reference_vaddr	symbol_addr	symbol_type	caller_function	data
0xf5100d	0xf61128	import	0xf51000	KERNEL32.dll.lstrcmpA
0xf51017	0xf61330	string	0xf51000	pdef
0xf51054	0xf61128	import	0xf51000	KERNEL32.dll.lstrcmpA
0xf51062	0xf61124	import	0xf51000	KERNEL32.dll.MoveFileExA
0xf5106d	0xf66514	string	0xf51000	ruskill
0xf51072	0xf61328	string	0xf51000	%s.%s
0xf51080	0xf61120	import	0xf51000	KERNEL32.dll.lstrcpyA
0xf510c8	0xf61134	import	0xf510a0	KERNEL32.dll.lstrcmpW
0xf510dd	0xf61330	string	0xf510a0	pdef
0xf51127	0xf61130	import	0xf510a0	KERNEL32.dll.MoveFileExW
0xf51132	0xf66514	string	0xf510a0	ruskill
0xf51137	0xf61338	string	0xf510a0	%s.%S
0xf51157	0xf6112c	import	0xf510a0	KERNEL32.dll.WideCharToMultiByte
0xf51163	0xf61120	import	0xf510a0	KERNEL32.dll.lstrcpyA
0xf51201	0xf61140	import	0xf511c0	KERNEL32.dll.GetFileAttributesA
0xf51241	0xf6113c	import	0xf511c0	KERNEL32.dll.MultiByteToWideChar
0xf51261	0xf61138	import	0xf511c0	KERNEL32.dll.ExitThread
0xf512be	0xf61148	import	0xf51290	KERNEL32.dll.GetFileAttributesW
0xf5130d	0xf61364	string	0xf51290	\\.\pipe
0xf5131f	0xf61358	string	0xf51290	DBWIN
0xf51368	0xf61144	import	0xf51290	KERNEL32.dll.SetFileAttributesW
0xf51373	0xf61130	import	0xf51290	KERNEL32.dll.MoveFileExW
0xf513e3	0xf66514	string	0xf51290	ruskill
0xf513e8	0xf61338	string	0xf51290	%s.%S
0xf51416	0xf61138	import	0xf51290	KERNEL32.dll.ExitThread
0xf515cd	0xf61128	import	0xf515c0	KERNEL32.dll.lstrcmpA
0xf515d7	0xf61330	string	0xf515c0	pdef
0xf515f3	0xf61380	string	0xf515c0	%s.Blocked "%s" from removing our bot file!
0xf5162d	0xf61134	import	0xf51620	KERNEL32.dll.lstrcmpW
0xf51637	0xf61330	string	0xf51620	pdef
0xf51653	0xf613ac	string	0xf51620	%s.Blocked "%S" from removing our bot file!
0xf51727	0xf613e4	string	0xf516f0	bdns
0xf5174e	0xf613dc	string	0xf516f0	block
0xf51754	0xf61128	import	0xf516f0	KERNEL32.dll.lstrcmpA
0xf517a0	0xf613e4	string	0xf516f0	bdns
0xf5185b	0xf613e4	string	0xf517e0	bdns
0xf51882	0xf613dc	string	0xf517e0	block
0xf51888	0xf61128	import	0xf517e0	KERNEL32.dll.lstrcmpA
0xf518b7	0xf6113c	import	0xf517e0	KERNEL32.dll.MultiByteToWideChar
0xf51905	0xf6112c	import	0xf517e0	KERNEL32.dll.WideCharToMultiByte
0xf51922	0xf613e4	string	0xf517e0	bdns
0xf519ba	0xf6651c	string	0xf517e0	rdns
0xf519bf	0xf61338	string	0xf517e0	%s.%S
0xf51a36	0xf61158	import	0xf51a10	KERNEL32.dll.CreateFileW
0xf51a50	0xf61154	import	0xf51a10	KERNEL32.dll.SetFileTime
0xf51a59	0xf61150	import	0xf51a10	KERNEL32.dll.CloseHandle
0xf51a96	0xf61158	import	0xf51a70	KERNEL32.dll.CreateFileW
0xf51ab0	0xf6115c	import	0xf51a70	KERNEL32.dll.GetFileTime
0xf51ab9	0xf61150	import	0xf51a70	KERNEL32.dll.CloseHandle
0xf51ae9	0xf61160	import	0xf51ad0	KERNEL32.dll.GetSystemTimeAsFileTime
0xf51b78	0xf61160	import	0xf51b60	KERNEL32.dll.GetSystemTimeAsFileTime
0xf51bc5	0xf61160	import	0xf51ba0	KERNEL32.dll.GetSystemTimeAsFileTime
0xf51c64	0xf61410	string	0xf51c50	CreateFileW
0xf51c6e	0xf61168	import	0xf51c50	KERNEL32.dll.GetModuleHandleW
0xf51cc6	0xf61164	import	0xf51c50	KERNEL32.dll.WriteFile
0xf51cd9	0xf61150	import	0xf51c50	KERNEL32.dll.CloseHandle
0xf51cf7	0xf61148	import	0xf51cf0	KERNEL32.dll.GetFileAttributesW
0xf51d6e	0xf613e4	string	0xf51d10	bdns
0xf51d95	0xf613dc	string	0xf51d10	block
0xf51d9b	0xf61128	import	0xf51d10	KERNEL32.dll.lstrcmpA
0xf51dca	0xf6113c	import	0xf51d10	KERNEL32.dll.MultiByteToWideChar
0xf51e0c	0xf6112c	import	0xf51d10	KERNEL32.dll.WideCharToMultiByte
0xf51e29	0xf613e4	string	0xf51d10	bdns
0xf51ecd	0xf61158	import	0xf51ea0	KERNEL32.dll.CreateFileW
0xf51eda	0xf6116c	import	0xf51ea0	KERNEL32.dll.GetLastError
0xf51ef5	0xf61030	import	0xf51ea0	ADVAPI32.dll.CryptAcquireContextA
