reference_vaddr	symbol_addr	symbol_type	caller_function	data
0xa377c	0xa13c4	string	0xa3770	dwwin.exe
0xa37b1	0xa13d0	string	0xa37a0	protectaavprotector_c000900
0xa37e4	0xa11a0	import	0xa37a0	kernel32.dll.CreateThread
0xa37fb	0xa13ec	string	0xa37f0	IsWow64Process
0xa3800	0xa13fc	string	0xa37f0	kernel32.dll
0xa3805	0xa1184	import	0xa37f0	kernel32.dll.GetModuleHandleA
0xa380c	0xa1188	import	0xa37f0	kernel32.dll.GetProcAddress
0xa381f	0xa140c	string	0xa37f0	AAVkillllerrrsdadc000900
0xa3843	0xa118c	import	0xa37f0	kernel32.dll.GetCurrentProcessId
0xa385d	0xa11a0	import	0xa37f0	kernel32.dll.CreateThread
0xa38f6	0xa11a0	import	0xa37f0	kernel32.dll.CreateThread
0xa390e	0xa11a0	import	0xa37f0	kernel32.dll.CreateThread
0xa3932	0xa1168	import	0xa3920	kernel32.dll.lstrcatA
0xa3943	0xa116c	import	0xa3920	kernel32.dll.FindFirstFileA
0xa396e	0xa1200	import	0xa3920	shlwapi.dll.StrRChrA
0xa39a2	0xa1170	import	0xa3920	kernel32.dll.lstrcpynA
0xa39b6	0xa1168	import	0xa3920	kernel32.dll.lstrcatA
0xa39d9	0xa142c	string	0xa3920	.exe
0xa39e5	0xa1204	import	0xa3920	shlwapi.dll.StrStrIA
0xa3a02	0xa1174	import	0xa3920	kernel32.dll.lstrcpyA
0xa3a21	0xa1178	import	0xa3920	kernel32.dll.lstrlenA
0xa3a53	0xa117c	import	0xa3920	kernel32.dll.FindNextFileA
0xa3a68	0xa1180	import	0xa3920	kernel32.dll.FindClose
0xa3add	0xa11d8	import	0xa3a80	shell32.dll.SHGetFolderPathA
0xa3aef	0xa1168	import	0xa3a80	kernel32.dll.lstrcatA
0xa3b37	0xa116c	import	0xa3a80	kernel32.dll.FindFirstFileA
0xa3b6b	0xa1178	import	0xa3a80	kernel32.dll.lstrlenA
0xa3ba3	0xa1200	import	0xa3a80	shlwapi.dll.StrRChrA
0xa3be5	0xa1170	import	0xa3a80	kernel32.dll.lstrcpynA
0xa3bf9	0xa1168	import	0xa3a80	kernel32.dll.lstrcatA
0xa3c26	0xa117c	import	0xa3a80	kernel32.dll.FindNextFileA
0xa3c3b	0xa1180	import	0xa3a80	kernel32.dll.FindClose
0xa3c66	0xa1438	string	0xa3c60	iphlpapi.dll
0xa3c6b	0xa115c	import	0xa3c60	kernel32.dll.LoadLibraryA
0xa3c74	0xa1448	string	0xa3c60	GetExtendedTcpTable
0xa3c7d	0xa1188	import	0xa3c60	kernel32.dll.GetProcAddress
0xa3c86	0xa145c	string	0xa3c60	GetOwnerModuleFromTcpEntry
0xa3c8f	0xa1188	import	0xa3c60	kernel32.dll.GetProcAddress
0xa3c98	0xa1160	import	0xa3c60	kernel32.dll.GetProcessHeap
0xa3caf	0xa1164	import	0xa3c60	kernel32.dll.VirtualAlloc
0xa3cc6	0xa1164	import	0xa3c60	kernel32.dll.VirtualAlloc
0xa3e49	0xa1178	import	0xa3dd0	kernel32.dll.lstrlenA
0xa3f31	0xa1158	import	0xa3dd0	kernel32.dll.CloseHandle
0xa407c	0xa1508	string	0xa4050	{A5DCBF10-6530-11D2-901F-00C04FB951ED}
0xa4081	0xa125c	import	0xa4050	ole32.dll.CLSIDFromString
0xa4091	0xa1220	import	0xa4050	user32.dll.RegisterDeviceNotificationW
0xa40fb	0xa1158	import	0xa40a0	kernel32.dll.CloseHandle
0xa411f	0xa1234	import	0xa40a0	user32.dll.DestroyWindow
0xa412f	0xa1230	import	0xa40a0	user32.dll.UnregisterDeviceNotification
0xa4137	0xa122c	import	0xa40a0	user32.dll.PostQuitMessage
0xa4151	0xa1228	import	0xa40a0	user32.dll.DefWindowProcA
0xa41dd	0xa1558	string	0xa41d0	abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ
0xa420d	0xa1178	import	0xa41d0	kernel32.dll.lstrlenA
0xa4270	0xa1068	import	0xa4240	kernel32.dll.GetVolumeInformationA
0xa4290	0xa1594	string	0xa4240	CoInitializeEx
0xa4295	0xa15a4	string	0xa4240	ole32.dll
0xa429a	0xa115c	import	0xa4240	kernel32.dll.LoadLibraryA
0xa42a1	0xa1188	import	0xa4240	kernel32.dll.GetProcAddress
0xa42da	0xa1260	import	0xa4240	ole32.dll.CoCreateInstance
0xa432b	0xa15b0	string	0xa4240	/c "%%SystemRoot%%\explorer.exe %%cd%%%s & attrib -s -h %%cd%%%s & xcopy /F /S /Q /H /R /Y %%cd%%%s %%temp%%\%s\ & attrib +s +h %%cd%%%s & start %%temp%%\%s\%s & exit"
0xa4337	0xa1238	import	0xa4240	user32.dll.wsprintfA
