reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40430c	0x4013c4	string	0x404300	dwwin.exe
0x40431e	0x4011b0	import	0x404300	KERNEL32.dll.Sleep
0x40433b	0x401198	import	0x404330	KERNEL32.dll.SetLastError
0x404341	0x4013d0	string	0x404330	protectaavprotector_c0009X00
0x40434a	0x40119c	import	0x404330	KERNEL32.dll.CreateMutexA
0x404350	0x4011a0	import	0x404330	KERNEL32.dll.GetLastError
0x40435f	0x4011a4	import	0x404330	KERNEL32.dll.ExitProcess
0x404374	0x4011a8	import	0x404330	KERNEL32.dll.CreateThread
0x40438b	0x4013f0	string	0x404380	IsWow64Process
0x404390	0x401400	string	0x404380	kernel32.dll
0x404395	0x40118c	import	0x404380	KERNEL32.dll.GetModuleHandleA
0x40439c	0x401190	import	0x404380	KERNEL32.dll.GetProcAddress
0x4043a9	0x401198	import	0x404380	KERNEL32.dll.SetLastError
0x4043af	0x401410	string	0x404380	AAVkillllerrrsdadc0009X00
0x4043b8	0x40119c	import	0x404380	KERNEL32.dll.CreateMutexA
0x4043be	0x4011a0	import	0x404380	KERNEL32.dll.GetLastError
0x4043cd	0x4011a4	import	0x404380	KERNEL32.dll.ExitProcess
0x4043d3	0x401194	import	0x404380	KERNEL32.dll.GetCurrentProcessId
0x4043ed	0x4011a8	import	0x404380	KERNEL32.dll.CreateThread
0x404486	0x4011a8	import	0x404380	KERNEL32.dll.CreateThread
0x40449e	0x4011a8	import	0x404380	KERNEL32.dll.CreateThread
0x4044c2	0x401170	import	0x4044b0	KERNEL32.dll.lstrcatA
0x4044d3	0x401174	import	0x4044b0	KERNEL32.dll.FindFirstFileA
0x4044fe	0x401200	import	0x4044b0	SHLWAPI.dll.StrRChrA
0x404532	0x401178	import	0x4044b0	KERNEL32.dll.lstrcpynA
0x404546	0x401170	import	0x4044b0	KERNEL32.dll.lstrcatA
0x404569	0x401430	string	0x4044b0	.exe
0x404575	0x4011fc	import	0x4044b0	SHLWAPI.dll.StrStrIA
0x404592	0x40117c	import	0x4044b0	KERNEL32.dll.lstrcpyA
0x4045b1	0x401180	import	0x4044b0	KERNEL32.dll.lstrlenA
0x4045e3	0x401184	import	0x4044b0	KERNEL32.dll.FindNextFileA
0x4045f8	0x401188	import	0x4044b0	KERNEL32.dll.FindClose
0x40466d	0x4011e4	import	0x404610	SHELL32.dll.SHGetFolderPathA
0x40467f	0x401170	import	0x404610	KERNEL32.dll.lstrcatA
0x4046c7	0x401174	import	0x404610	KERNEL32.dll.FindFirstFileA
0x4046fb	0x401180	import	0x404610	KERNEL32.dll.lstrlenA
0x404733	0x401200	import	0x404610	SHLWAPI.dll.StrRChrA
0x404775	0x401178	import	0x404610	KERNEL32.dll.lstrcpynA
0x404789	0x401170	import	0x404610	KERNEL32.dll.lstrcatA
0x4047b6	0x401184	import	0x404610	KERNEL32.dll.FindNextFileA
0x4047cb	0x401188	import	0x404610	KERNEL32.dll.FindClose
0x4047f6	0x40143c	string	0x4047f0	iphlpapi.dll
0x4047fb	0x401164	import	0x4047f0	KERNEL32.dll.LoadLibraryA
0x404804	0x40144c	string	0x4047f0	GetExtendedTcpTable
0x40480d	0x401190	import	0x4047f0	KERNEL32.dll.GetProcAddress
0x404816	0x401460	string	0x4047f0	GetOwnerModuleFromTcpEntry
0x40481f	0x401190	import	0x4047f0	KERNEL32.dll.GetProcAddress
0x404828	0x401168	import	0x4047f0	KERNEL32.dll.GetProcessHeap
0x40483f	0x40116c	import	0x4047f0	KERNEL32.dll.VirtualAlloc
0x404856	0x40116c	import	0x4047f0	KERNEL32.dll.VirtualAlloc
0x404943	0x4011b0	import	0x4047f0	KERNEL32.dll.Sleep
0x4049d9	0x401180	import	0x404960	KERNEL32.dll.lstrlenA
0x404ac1	0x401160	import	0x404960	KERNEL32.dll.CloseHandle
0x404ac9	0x4011b0	import	0x404960	KERNEL32.dll.Sleep
0x404c0c	0x401510	string	0x404be0	{A5DCBF10-6530-11D2-901F-00C04FB951ED}
0x404c11	0x40125c	import	0x404be0	ole32.dll.CLSIDFromString
0x404c21	0x40120c	import	0x404be0	USER32.dll.RegisterDeviceNotificationA
0x404c8b	0x401160	import	0x404c30	KERNEL32.dll.CloseHandle
0x404caf	0x401234	import	0x404c30	USER32.dll.DestroyWindow
0x404cbf	0x401230	import	0x404c30	USER32.dll.UnregisterDeviceNotification
0x404cc7	0x40122c	import	0x404c30	USER32.dll.PostQuitMessage
0x404ce1	0x401228	import	0x404c30	USER32.dll.DefWindowProcA
0x404d6d	0x401560	string	0x404d60	abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ
0x404d9d	0x401180	import	0x404d60	KERNEL32.dll.lstrlenA
0x404e00	0x401068	import	0x404dd0	KERNEL32.dll.GetVolumeInformationA
0x404e20	0x40159c	string	0x404dd0	CoInitializeEx
0x404e25	0x4015ac	string	0x404dd0	ole32.dll
0x404e2a	0x401164	import	0x404dd0	KERNEL32.dll.LoadLibraryA
0x404e31	0x401190	import	0x404dd0	KERNEL32.dll.GetProcAddress
0x404e6a	0x401258	import	0x404dd0	ole32.dll.CoCreateInstance
0x404ebb	0x4015b8	string	0x404dd0	/c "%%SystemRoot%%\explorer.exe %%cd%%%s & attrib -s -h %%cd%%%s & xcopy /F /S /Q /H /R /Y %%cd%%%s %%temp%%\%s\ & attrib +s +h %%cd%%%s & start %%temp%%\%s\%s & exit"
0x404ec7	0x401238	import	0x404dd0	USER32.dll.wsprintfA
0x404eee	0x401660	string	0x404dd0	/c "start %%cd%%%s & attrib -s -h %%cd%%%s & xcopy /F /S /Q /H /R /Y %%cd%%%s %%temp%%\%s\ & attrib +s +h %%cd%%%s & start %%temp%%\%s\%s & exit"
0x404efa	0x401238	import	0x404dd0	USER32.dll.wsprintfA
0x404f03	0x4016f4	string	0x404dd0	%ALLUSERSPROFILE%\..\..\windows\system32\cmd.exe
0x404f35	0x401728	string	0x404dd0	%SystemRoot%\system32\SHELL32.dll
0x404f4c	0x40174c	string	0x404dd0	%SystemRoot%\system32\SHELL32.dll
0x404f8e	0x401064	import	0x404dd0	KERNEL32.dll.SetFileAttributesW
0x404f98	0x401060	import	0x404dd0	KERNEL32.dll.DeleteFileW
0x404fe4	0x4010d8	import	0x404dd0	KERNEL32.dll.CreateFileW
0x404fea	0x401260	import	0x404dd0	ole32.dll.CoUninitialize
0x405010	0x401770	string	0x405000	BCDEFGHIJKLMNOPQRSTUVWXYZ
0x405024	0x40178c	string	0x405000	abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ
0x40506d	0x4011e4	import	0x405000	SHELL32.dll.SHGetFolderPathA
0x40507a	0x4017c4	string	0x405000	%s\c731200
0x405086	0x401238	import	0x405000	USER32.dll.wsprintfA
0x4050b1	0x401180	import	0x405000	KERNEL32.dll.lstrlenA
0x405113	0x40108c	import	0x405000	KERNEL32.dll.GetDriveTypeA
0x40515c	0x4017d0	string	0x405000	%s\c731200
0x405168	0x401238	import	0x405000	USER32.dll.wsprintfA
0x40517d	0x401088	import	0x405000	KERNEL32.dll.SetFileAttributesA
0x40518a	0x401084	import	0x405000	KERNEL32.dll.DeleteFileA
0x4051a9	0x401080	import	0x405000	KERNEL32.dll.CreateFileA
0x4051c5	0x401160	import	0x405000	KERNEL32.dll.CloseHandle
0x4051d2	0x401084	import	0x405000	KERNEL32.dll.DeleteFileA
0x40520f	0x401068	import	0x405000	KERNEL32.dll.GetVolumeInformationA
0x405235	0x4017dc	string	0x405000	.exe
0x405241	0x401170	import	0x405000	KERNEL32.dll.lstrcatA
0x40524e	0x4017e4	string	0x405000	%s\*
0x40525a	0x401238	import	0x405000	USER32.dll.wsprintfA
0x405271	0x401174	import	0x405000	KERNEL32.dll.FindFirstFileA
0x405298	0x40107c	import	0x405000	KERNEL32.dll.lstrcmpA
0x40531a	0x40117c	import	0x405000	KERNEL32.dll.lstrcpyA
0x405342	0x401180	import	0x405000	KERNEL32.dll.lstrlenA
0x4053d7	0x4017ec	string	0x405000	%s\%s
0x4053e3	0x401238	import	0x405000	USER32.dll.wsprintfA
0x4053fa	0x4017f4	string	0x405000	%s\%s
0x405406	0x401238	import	0x405000	USER32.dll.wsprintfA
0x40541d	0x401078	import	0x405000	KERNEL32.dll.MoveFileA
0x405443	0x4017fc	string	0x405000	%s\%s.lnk
0x40544f	0x401238	import	0x405000	USER32.dll.wsprintfA
0x405466	0x401808	string	0x405000	%s\%s
0x405472	0x401238	import	0x405000	USER32.dll.wsprintfA
0x40547b	0x401810	string	0x405000	.lnk
0x405487	0x401204	import	0x405000	SHLWAPI.dll.StrStrA
0x40549d	0x401088	import	0x405000	KERNEL32.dll.SetFileAttributesA
0x4054aa	0x401084	import	0x405000	KERNEL32.dll.DeleteFileA
0x4054ba	0x401818	string	0x405000	.exe
0x4054c6	0x401204	import	0x405000	SHLWAPI.dll.StrStrA
0x4054d0	0x401820	string	0x405000	.pif
0x4054dc	0x401204	import	0x405000	SHLWAPI.dll.StrStrA
0x4054e6	0x401828	string	0x405000	.scr
0x4054f2	0x401204	import	0x405000	SHLWAPI.dll.StrStrA
0x4054fc	0x401830	string	0x405000	.cmd
0x405508	0x401204	import	0x405000	SHLWAPI.dll.StrStrA
0x405512	0x401838	string	0x405000	.com
0x40551e	0x401204	import	0x405000	SHLWAPI.dll.StrStrA
0x40552f	0x401074	import	0x405000	KERNEL32.dll.GetFileAttributesA
0x405568	0x401088	import	0x405000	KERNEL32.dll.SetFileAttributesA
