reference_vaddr	symbol_addr	symbol_type	caller_function	data
0xb1100d	0xb21128	import	0xb11000	KERNEL32.dll.lstrcmpA
0xb11017	0xb21330	string	0xb11000	pdef
0xb11054	0xb21128	import	0xb11000	KERNEL32.dll.lstrcmpA
0xb11062	0xb21124	import	0xb11000	KERNEL32.dll.MoveFileExA
0xb1106d	0xb263d4	string	0xb11000	ruskill
0xb11072	0xb21328	string	0xb11000	%s.%s
0xb11080	0xb21120	import	0xb11000	KERNEL32.dll.lstrcpyA
0xb110c8	0xb21134	import	0xb110a0	KERNEL32.dll.lstrcmpW
0xb110dd	0xb21330	string	0xb110a0	pdef
0xb11127	0xb21130	import	0xb110a0	KERNEL32.dll.MoveFileExW
0xb11132	0xb263d4	string	0xb110a0	ruskill
0xb11137	0xb21338	string	0xb110a0	%s.%S
0xb11157	0xb2112c	import	0xb110a0	KERNEL32.dll.WideCharToMultiByte
0xb11163	0xb21120	import	0xb110a0	KERNEL32.dll.lstrcpyA
0xb11201	0xb21140	import	0xb111c0	KERNEL32.dll.GetFileAttributesA
0xb11241	0xb2113c	import	0xb111c0	KERNEL32.dll.MultiByteToWideChar
0xb11261	0xb21138	import	0xb111c0	KERNEL32.dll.ExitThread
0xb112be	0xb21148	import	0xb11290	KERNEL32.dll.GetFileAttributesW
0xb1130d	0xb21364	string	0xb11290	\\.\pipe
0xb1131f	0xb21358	string	0xb11290	DBWIN
0xb11368	0xb21144	import	0xb11290	KERNEL32.dll.SetFileAttributesW
0xb11373	0xb21130	import	0xb11290	KERNEL32.dll.MoveFileExW
0xb113e3	0xb263d4	string	0xb11290	ruskill
0xb113e8	0xb21338	string	0xb11290	%s.%S
0xb11416	0xb21138	import	0xb11290	KERNEL32.dll.ExitThread
0xb115cd	0xb21128	import	0xb115c0	KERNEL32.dll.lstrcmpA
0xb115d7	0xb21330	string	0xb115c0	pdef
0xb115f3	0xb21380	string	0xb115c0	%s.Blocked "%s" from removing our bot file!
0xb1162d	0xb21134	import	0xb11620	KERNEL32.dll.lstrcmpW
0xb11637	0xb21330	string	0xb11620	pdef
0xb11653	0xb213ac	string	0xb11620	%s.Blocked "%S" from removing our bot file!
0xb11727	0xb213e4	string	0xb116f0	bdns
0xb1174e	0xb213dc	string	0xb116f0	block
0xb11754	0xb21128	import	0xb116f0	KERNEL32.dll.lstrcmpA
0xb117a0	0xb213e4	string	0xb116f0	bdns
0xb1185b	0xb213e4	string	0xb117e0	bdns
0xb11882	0xb213dc	string	0xb117e0	block
0xb11888	0xb21128	import	0xb117e0	KERNEL32.dll.lstrcmpA
0xb118b7	0xb2113c	import	0xb117e0	KERNEL32.dll.MultiByteToWideChar
0xb11905	0xb2112c	import	0xb117e0	KERNEL32.dll.WideCharToMultiByte
0xb11922	0xb213e4	string	0xb117e0	bdns
0xb119ba	0xb263dc	string	0xb117e0	rdns
0xb119bf	0xb21338	string	0xb117e0	%s.%S
0xb11a36	0xb21158	import	0xb11a10	KERNEL32.dll.CreateFileW
0xb11a50	0xb21154	import	0xb11a10	KERNEL32.dll.SetFileTime
0xb11a59	0xb21150	import	0xb11a10	KERNEL32.dll.CloseHandle
0xb11a96	0xb21158	import	0xb11a70	KERNEL32.dll.CreateFileW
0xb11ab0	0xb2115c	import	0xb11a70	KERNEL32.dll.GetFileTime
0xb11ab9	0xb21150	import	0xb11a70	KERNEL32.dll.CloseHandle
0xb11ae9	0xb21160	import	0xb11ad0	KERNEL32.dll.GetSystemTimeAsFileTime
0xb11b78	0xb21160	import	0xb11b60	KERNEL32.dll.GetSystemTimeAsFileTime
0xb11bc5	0xb21160	import	0xb11ba0	KERNEL32.dll.GetSystemTimeAsFileTime
0xb11c64	0xb21410	string	0xb11c50	CreateFileW
0xb11c6e	0xb21168	import	0xb11c50	KERNEL32.dll.GetModuleHandleW
0xb11cc6	0xb21164	import	0xb11c50	KERNEL32.dll.WriteFile
0xb11cd9	0xb21150	import	0xb11c50	KERNEL32.dll.CloseHandle
0xb11cf7	0xb21148	import	0xb11cf0	KERNEL32.dll.GetFileAttributesW
0xb11d6e	0xb213e4	string	0xb11d10	bdns
0xb11d95	0xb213dc	string	0xb11d10	block
0xb11d9b	0xb21128	import	0xb11d10	KERNEL32.dll.lstrcmpA
0xb11dca	0xb2113c	import	0xb11d10	KERNEL32.dll.MultiByteToWideChar
