reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x3d100d	0x3e1128	import	0x3d1000	KERNEL32.dll.lstrcmpA
0x3d1017	0x3e1330	string	0x3d1000	pdef
0x3d1054	0x3e1128	import	0x3d1000	KERNEL32.dll.lstrcmpA
0x3d1062	0x3e1124	import	0x3d1000	KERNEL32.dll.MoveFileExA
0x3d106d	0x3e63d4	string	0x3d1000	ruskill
0x3d1072	0x3e1328	string	0x3d1000	%s.%s
0x3d1080	0x3e1120	import	0x3d1000	KERNEL32.dll.lstrcpyA
0x3d10c8	0x3e1134	import	0x3d10a0	KERNEL32.dll.lstrcmpW
0x3d10dd	0x3e1330	string	0x3d10a0	pdef
0x3d1127	0x3e1130	import	0x3d10a0	KERNEL32.dll.MoveFileExW
0x3d1132	0x3e63d4	string	0x3d10a0	ruskill
0x3d1137	0x3e1338	string	0x3d10a0	%s.%S
0x3d1157	0x3e112c	import	0x3d10a0	KERNEL32.dll.WideCharToMultiByte
0x3d1163	0x3e1120	import	0x3d10a0	KERNEL32.dll.lstrcpyA
0x3d1201	0x3e1140	import	0x3d11c0	KERNEL32.dll.GetFileAttributesA
0x3d1241	0x3e113c	import	0x3d11c0	KERNEL32.dll.MultiByteToWideChar
0x3d1261	0x3e1138	import	0x3d11c0	KERNEL32.dll.ExitThread
0x3d12be	0x3e1148	import	0x3d1290	KERNEL32.dll.GetFileAttributesW
0x3d130d	0x3e1364	string	0x3d1290	\\.\pipe
0x3d131f	0x3e1358	string	0x3d1290	DBWIN
0x3d1368	0x3e1144	import	0x3d1290	KERNEL32.dll.SetFileAttributesW
0x3d1373	0x3e1130	import	0x3d1290	KERNEL32.dll.MoveFileExW
0x3d13e3	0x3e63d4	string	0x3d1290	ruskill
0x3d13e8	0x3e1338	string	0x3d1290	%s.%S
0x3d1416	0x3e1138	import	0x3d1290	KERNEL32.dll.ExitThread
0x3d15cd	0x3e1128	import	0x3d15c0	KERNEL32.dll.lstrcmpA
0x3d15d7	0x3e1330	string	0x3d15c0	pdef
