reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x177f100d	0x17801128	import	0x177f1000	KERNEL32.dll.lstrcmpA
0x177f1017	0x17801330	string	0x177f1000	pdef
0x177f1054	0x17801128	import	0x177f1000	KERNEL32.dll.lstrcmpA
0x177f1062	0x17801124	import	0x177f1000	KERNEL32.dll.MoveFileExA
0x177f106d	0x178063d4	string	0x177f1000	ruskill
0x177f1072	0x17801328	string	0x177f1000	%s.%s
0x177f1080	0x17801120	import	0x177f1000	KERNEL32.dll.lstrcpyA
0x177f10c8	0x17801134	import	0x177f10a0	KERNEL32.dll.lstrcmpW
0x177f10dd	0x17801330	string	0x177f10a0	pdef
0x177f1127	0x17801130	import	0x177f10a0	KERNEL32.dll.MoveFileExW
0x177f1132	0x178063d4	string	0x177f10a0	ruskill
0x177f1137	0x17801338	string	0x177f10a0	%s.%S
0x177f1157	0x1780112c	import	0x177f10a0	KERNEL32.dll.WideCharToMultiByte
0x177f1163	0x17801120	import	0x177f10a0	KERNEL32.dll.lstrcpyA
0x177f1201	0x17801140	import	0x177f11c0	KERNEL32.dll.GetFileAttributesA
0x177f1241	0x1780113c	import	0x177f11c0	KERNEL32.dll.MultiByteToWideChar
0x177f1261	0x17801138	import	0x177f11c0	KERNEL32.dll.ExitThread
0x177f12be	0x17801148	import	0x177f1290	KERNEL32.dll.GetFileAttributesW
0x177f130d	0x17801364	string	0x177f1290	\\.\pipe
0x177f131f	0x17801358	string	0x177f1290	DBWIN
0x177f1368	0x17801144	import	0x177f1290	KERNEL32.dll.SetFileAttributesW
0x177f1373	0x17801130	import	0x177f1290	KERNEL32.dll.MoveFileExW
0x177f13e3	0x178063d4	string	0x177f1290	ruskill
0x177f13e8	0x17801338	string	0x177f1290	%s.%S
0x177f1416	0x17801138	import	0x177f1290	KERNEL32.dll.ExitThread
0x177f15cd	0x17801128	import	0x177f15c0	KERNEL32.dll.lstrcmpA
0x177f15d7	0x17801330	string	0x177f15c0	pdef
0x177f15f3	0x17801380	string	0x177f15c0	%s.Blocked "%s" from removing our bot file!
0x177f162d	0x17801134	import	0x177f1620	KERNEL32.dll.lstrcmpW
0x177f1637	0x17801330	string	0x177f1620	pdef
0x177f1653	0x178013ac	string	0x177f1620	%s.Blocked "%S" from removing our bot file!
0x177f1727	0x178013e4	string	0x177f16f0	bdns
0x177f174e	0x178013dc	string	0x177f16f0	block
0x177f1754	0x17801128	import	0x177f16f0	KERNEL32.dll.lstrcmpA
0x177f17a0	0x178013e4	string	0x177f16f0	bdns
0x177f185b	0x178013e4	string	0x177f17e0	bdns
0x177f1882	0x178013dc	string	0x177f17e0	block
0x177f1888	0x17801128	import	0x177f17e0	KERNEL32.dll.lstrcmpA
0x177f18b7	0x1780113c	import	0x177f17e0	KERNEL32.dll.MultiByteToWideChar
0x177f1905	0x1780112c	import	0x177f17e0	KERNEL32.dll.WideCharToMultiByte
0x177f1922	0x178013e4	string	0x177f17e0	bdns
0x177f19ba	0x178063dc	string	0x177f17e0	rdns
0x177f19bf	0x17801338	string	0x177f17e0	%s.%S
0x177f1a36	0x17801158	import	0x177f1a10	KERNEL32.dll.CreateFileW
0x177f1a50	0x17801154	import	0x177f1a10	KERNEL32.dll.SetFileTime
0x177f1a59	0x17801150	import	0x177f1a10	KERNEL32.dll.CloseHandle
0x177f1a96	0x17801158	import	0x177f1a70	KERNEL32.dll.CreateFileW
0x177f1ab0	0x1780115c	import	0x177f1a70	KERNEL32.dll.GetFileTime
0x177f1ab9	0x17801150	import	0x177f1a70	KERNEL32.dll.CloseHandle
0x177f1ae9	0x17801160	import	0x177f1ad0	KERNEL32.dll.GetSystemTimeAsFileTime
0x177f1b78	0x17801160	import	0x177f1b60	KERNEL32.dll.GetSystemTimeAsFileTime
0x177f1bc5	0x17801160	import	0x177f1ba0	KERNEL32.dll.GetSystemTimeAsFileTime
0x177f1c64	0x17801410	string	0x177f1c50	CreateFileW
0x177f1c6e	0x17801168	import	0x177f1c50	KERNEL32.dll.GetModuleHandleW
0x177f1cc6	0x17801164	import	0x177f1c50	KERNEL32.dll.WriteFile
0x177f1cd9	0x17801150	import	0x177f1c50	KERNEL32.dll.CloseHandle
0x177f1cf7	0x17801148	import	0x177f1cf0	KERNEL32.dll.GetFileAttributesW
0x177f1d6e	0x178013e4	string	0x177f1d10	bdns
0x177f1d95	0x178013dc	string	0x177f1d10	block
0x177f1d9b	0x17801128	import	0x177f1d10	KERNEL32.dll.lstrcmpA
0x177f1dca	0x1780113c	import	0x177f1d10	KERNEL32.dll.MultiByteToWideChar
0x177f1e0c	0x1780112c	import	0x177f1d10	KERNEL32.dll.WideCharToMultiByte
0x177f1e29	0x178013e4	string	0x177f1d10	bdns
0x177f1ecd	0x17801158	import	0x177f1ea0	KERNEL32.dll.CreateFileW
0x177f1eda	0x1780116c	import	0x177f1ea0	KERNEL32.dll.GetLastError
0x177f1ef5	0x17801030	import	0x177f1ea0	ADVAPI32.dll.CryptAcquireContextA
0x177f1eff	0x1780116c	import	0x177f1ea0	KERNEL32.dll.GetLastError
0x177f1f06	0x17801150	import	0x177f1ea0	KERNEL32.dll.CloseHandle
0x177f1f23	0x17801034	import	0x177f1ea0	ADVAPI32.dll.CryptCreateHash
0x177f1f2d	0x1780116c	import	0x177f1ea0	KERNEL32.dll.GetLastError
0x177f1f34	0x17801150	import	0x177f1ea0	KERNEL32.dll.CloseHandle
0x177f1f3f	0x17801038	import	0x177f1ea0	ADVAPI32.dll.CryptReleaseContext
0x177f1f4e	0x17801170	import	0x177f1ea0	KERNEL32.dll.ReadFile
0x177f1f84	0x17801008	import	0x177f1ea0	ADVAPI32.dll.CryptHashData
0x177f1fa8	0x1780116c	import	0x177f1ea0	KERNEL32.dll.GetLastError
0x177f1fb3	0x17801038	import	0x177f1ea0	ADVAPI32.dll.CryptReleaseContext
0x177f1fbd	0x17801004	import	0x177f1ea0	ADVAPI32.dll.CryptDestroyHash
0x177f1fc4	0x17801150	import	0x177f1ea0	KERNEL32.dll.CloseHandle
0x177f1fd7	0x1780116c	import	0x177f1ea0	KERNEL32.dll.GetLastError
0x177f1fe2	0x17801038	import	0x177f1ea0	ADVAPI32.dll.CryptReleaseContext
0x177f1fec	0x17801004	import	0x177f1ea0	ADVAPI32.dll.CryptDestroyHash
0x177f1ff3	0x17801150	import	0x177f1ea0	KERNEL32.dll.CloseHandle
0x177f2018	0x1780101c	import	0x177f1ea0	ADVAPI32.dll.CryptGetHashParam
0x177f2067	0x17801004	import	0x177f1ea0	ADVAPI32.dll.CryptDestroyHash
0x177f2072	0x17801038	import	0x177f1ea0	ADVAPI32.dll.CryptReleaseContext
0x177f2079	0x17801150	import	0x177f1ea0	KERNEL32.dll.CloseHandle
0x177f208b	0x1780116c	import	0x177f1ea0	KERNEL32.dll.GetLastError
0x177f2264	0x17801430	string	0x177f2220	i.root-servers.org
0x177f22bd	0x17801174	import	0x177f2220	KERNEL32.dll.GetTickCount
0x177f246c	0x1780117c	import	0x177f2460	KERNEL32.dll.GetProcessHeap
0x177f247e	0x17801178	import	0x177f2460	KERNEL32.dll.HeapAlloc
0x177f24b4	0x1780117c	import	0x177f24a0	KERNEL32.dll.GetProcessHeap
0x177f24c3	0x17801180	import	0x177f24a0	KERNEL32.dll.HeapFree
0x177f251d	0x17801128	import	0x177f2510	KERNEL32.dll.lstrcmpA
0x177f2527	0x17801330	string	0x177f2510	pdef
