reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x6d1007	0x71ac50	string	0x6d1000	C:\Documents and Settings\Administrator\Application Data\Microsoft\Vqkgkb.exe
0x6d100d	0x6e1128	import	0x6d1000	KERNEL32.dll.lstrcmpA
0x6d1017	0x6e1330	string	0x6d1000	pdef
0x6d104e	0x71aa28	string	0x6d1000	C:\WINDOWS\system32\svchost.exe
0x6d1054	0x6e1128	import	0x6d1000	KERNEL32.dll.lstrcmpA
0x6d1062	0x6e1124	import	0x6d1000	KERNEL32.dll.MoveFileExA
0x6d106d	0x6e63d4	string	0x6d1000	ruskill
0x6d1072	0x6e1328	string	0x6d1000	%s.%s
0x6d1080	0x6e1120	import	0x6d1000	KERNEL32.dll.lstrcpyA
0x6d10c8	0x6e1134	import	0x6d10a0	KERNEL32.dll.lstrcmpW
0x6d10d1	0x71ada0	string	0x6d10a0	C:\Documents and Settings\Administrator\Application Data\Microsoft\Vqkgkb.exe
0x6d10dd	0x6e1330	string	0x6d10a0	pdef
0x6d1127	0x6e1130	import	0x6d10a0	KERNEL32.dll.MoveFileExW
0x6d1132	0x6e63d4	string	0x6d10a0	ruskill
0x6d1137	0x6e1338	string	0x6d10a0	%s.%S
0x6d1157	0x6e112c	import	0x6d10a0	KERNEL32.dll.WideCharToMultiByte
0x6d1163	0x6e1120	import	0x6d10a0	KERNEL32.dll.lstrcpyA
0x6d1201	0x6e1140	import	0x6d11c0	KERNEL32.dll.GetFileAttributesA
0x6d1241	0x6e113c	import	0x6d11c0	KERNEL32.dll.MultiByteToWideChar
0x6d1261	0x6e1138	import	0x6d11c0	KERNEL32.dll.ExitThread
0x6d12be	0x6e1148	import	0x6d1290	KERNEL32.dll.GetFileAttributesW
0x6d130d	0x6e1364	string	0x6d1290	\\.\pipe
0x6d131f	0x6e1358	string	0x6d1290	DBWIN
0x6d1368	0x6e1144	import	0x6d1290	KERNEL32.dll.SetFileAttributesW
0x6d1373	0x6e1130	import	0x6d1290	KERNEL32.dll.MoveFileExW
0x6d13e3	0x6e63d4	string	0x6d1290	ruskill
0x6d13e8	0x6e1338	string	0x6d1290	%s.%S
0x6d1416	0x6e1138	import	0x6d1290	KERNEL32.dll.ExitThread
0x6d15c7	0x71ac50	string	0x6d15c0	C:\Documents and Settings\Administrator\Application Data\Microsoft\Vqkgkb.exe
0x6d15cd	0x6e1128	import	0x6d15c0	KERNEL32.dll.lstrcmpA
0x6d15d7	0x6e1330	string	0x6d15c0	pdef
0x6d15e9	0x71aa28	string	0x6d15c0	C:\WINDOWS\system32\svchost.exe
