reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401014	0x439048	import	0x401000	KERNEL32.dll.AreFileApisANSI
0x401027	0x439184	import	0x401000	USER32.dll.GetMenuDefaultItem
0x401102	0x439180	import	0x4010a0	USER32.dll.IsCharAlphaNumericA
0x40118b	0x439050	import	0x401180	KERNEL32.dll.WTSGetActiveConsoleSessionId
0x401218	0x43904c	import	0x401180	KERNEL32.dll.ReplaceFileA
0x4012f7	0x439178	import	0x4012c0	USER32.dll.IsGUIThread
0x40130f	0x43917c	import	0x4012c0	USER32.dll.GetAncestor
0x401323	0x439054	import	0x4012c0	KERNEL32.dll.ClearCommBreak
0x40145b	0x43908c	import	0x401430	KERNEL32.dll.GetThreadTimes
0x40147b	0x439028	import	0x401430	GDI32.dll.GetFontData
0x401592	0x439000	import	0x401430	GDI32.dll.ExtTextOutA
0x401633	0x439154	import	0x401430	USER32.dll.TrackPopupMenuEx
0x4016d4	0x43b03c	string	0x401430	9QAM\fZS
0x4016dc		string	0x401430	9QAM\fZS
0x4018b2	0x439088	import	0x401430	KERNEL32.dll.SetSystemTimeAdjustment
0x4018c7	0x439084	import	0x401430	KERNEL32.dll.GetProcessHeap
0x401934	0x439004	import	0x401430	GDI32.dll.SetICMProfileA
0x401a4d	0x439158	import	0x401430	USER32.dll.GetInputState
0x401a95	0x43915c	import	0x401430	USER32.dll.GetCursor
0x401ac4	0x439160	import	0x401430	USER32.dll.GetUserObjectInformationW
0x401b03	0x439008	import	0x401430	GDI32.dll.RestoreDC
0x401b41	0x439080	import	0x401430	KERNEL32.dll.HeapAlloc
0x401bb1	0x439158	import	0x401430	USER32.dll.GetInputState
0x401c84	0x43900c	import	0x401430	GDI32.dll.AngleArc
0x401cc1	0x439010	import	0x401430	GDI32.dll.MaskBlt
0x401cfe	0x439164	import	0x401430	USER32.dll.GetMenu
0x401d40	0x439014	import	0x401430	GDI32.dll.InvertRgn
0x401dcd	0x43907c	import	0x401430	KERNEL32.dll.CreateTimerQueue
0x401e98	0x43917c	import	0x401430	USER32.dll.GetAncestor
0x401ea0	0x439168	import	0x401430	USER32.dll.CloseClipboard
0x401f8e	0x439078	import	0x401430	KERNEL32.dll.ReleaseSemaphore
0x401ff5	0x43916c	import	0x401430	USER32.dll.GetClassWord
0x402129	0x439074	import	0x401430	KERNEL32.dll.PeekNamedPipe
0x402191	0x439070	import	0x401430	KERNEL32.dll.SetProcessShutdownParameters
0x4022d2	0x43906c	import	0x401430	KERNEL32.dll.QueueUserAPC
0x402304	0x439170	import	0x401430	USER32.dll.GetDesktopWindow
0x4024fe	0x439174	import	0x401430	USER32.dll.ArrangeIconicWindows
0x402520	0x439068	import	0x401430	KERNEL32.dll.GetCurrentProcess
0x4025ee	0x439064	import	0x401430	KERNEL32.dll.CreateTapePartition
