reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40122c	0x47b1fc	import	0x40122c	kernel32.dll.CloseHandle
0x401234	0x47b1f8	import	0x401234	kernel32.dll.CreateFileA
0x40123c	0x47b1f4	import	0x40123c	kernel32.dll.GetFileType
0x401244	0x47b1f0	import	0x401244	kernel32.dll.GetFileSize
0x40124c	0x47b1ec	import	0x40124c	kernel32.dll.GetStdHandle
0x401254	0x47b1e8	import	0x40124c	kernel32.dll.RaiseException
0x40125c	0x47b1e4	import	0x40125c	kernel32.dll.ReadFile
0x401264	0x47b1e0	import	0x40125c	kernel32.dll.RtlUnwind
0x40126c	0x47b1dc	import	0x40126c	kernel32.dll.SetEndOfFile
0x401274	0x47b1d8	import	0x401274	kernel32.dll.SetFilePointer
0x40127c	0x47b1d4	import	0x40127c	kernel32.dll.UnhandledExceptionFilter
0x401284	0x47b1d0	import	0x401284	kernel32.dll.WriteFile
0x40128c	0x47b210	import	0x40128c	user32.dll.CharNextA
0x401294	0x47b1cc	import	0x401294	kernel32.dll.ExitProcess
0x40129c	0x47b20c	import	0x40129c	user32.dll.MessageBoxA
0x4012a4	0x47b1c8	import	0x4012a4	kernel32.dll.CreateDirectoryA
0x4012ac	0x47b1c4	import	0x4012ac	kernel32.dll.FindClose
0x4012b4	0x47b1c0	import	0x4012b4	kernel32.dll.FindFirstFileA
0x4012bc	0x47b1bc	import	0x4012bc	kernel32.dll.FreeLibrary
0x4012c4	0x47b1b8	import	0x4012c4	kernel32.dll.GetCommandLineA
0x4012cc	0x47b1b4	import	0x4012cc	kernel32.dll.GetLastError
0x4012d4	0x47b1b0	import	0x4012d4	kernel32.dll.GetLocaleInfoA
0x4012dc	0x47b1ac	import	0x4012dc	kernel32.dll.GetModuleFileNameA
0x4012e4	0x47b1a8	import	0x4012e4	kernel32.dll.GetModuleHandleA
0x4012ec	0x47b1a4	import	0x4012ec	kernel32.dll.GetProcAddress
0x4012f4	0x47b1a0	import	0x4012f4	kernel32.dll.GetStartupInfoA
0x4012fc	0x47b19c	import	0x4012fc	kernel32.dll.GetThreadLocale
0x401304	0x47b198	import	0x401304	kernel32.dll.LoadLibraryExA
0x40130c	0x47b208	import	0x40130c	user32.dll.LoadStringA
0x401314	0x47b194	import	0x401314	kernel32.dll.lstrcpynA
0x40131c	0x47b190	import	0x40131c	kernel32.dll.lstrlenA
0x401324	0x47b18c	import	0x401324	kernel32.dll.MultiByteToWideChar
0x40132c	0x47b220	import	0x40132c	advapi32.dll.RegCloseKey
0x401334	0x47b21c	import	0x401334	advapi32.dll.RegOpenKeyExA
0x40133c	0x47b218	import	0x40133c	advapi32.dll.RegQueryValueExA
0x401344	0x47b188	import	0x401344	kernel32.dll.WideCharToMultiByte
0x40134c	0x47b184	import	0x40134c	kernel32.dll.VirtualQuery
0x401354	0x47b230	import	0x401354	oleaut32.dll.SysAllocStringLen
0x40135c	0x47b22c	import	0x40135c	oleaut32.dll.SysReAllocStringLen
0x401364	0x47b228	import	0x401364	oleaut32.dll.SysFreeString
0x40136c	0x47b180	import	0x40136c	kernel32.dll.InterlockedIncrement
0x401374	0x47b17c	import	0x401374	kernel32.dll.InterlockedDecrement
0x40137c	0x47b178	import	0x40137c	kernel32.dll.GetCurrentThreadId
0x401384	0x47b174	import	0x401384	kernel32.dll.GetVersion
0x4013b0	0x47b170	import	0x4013b0	kernel32.dll.LocalAlloc
0x4013b8	0x47b16c	import	0x4013b8	kernel32.dll.LocalFree
0x4013c0	0x47b168	import	0x4013c0	kernel32.dll.VirtualAlloc
0x4013c8	0x47b164	import	0x4013c8	kernel32.dll.VirtualFree
0x4013d0	0x47b160	import	0x4013d0	kernel32.dll.InitializeCriticalSection
0x4013d8	0x47b15c	import	0x4013d8	kernel32.dll.EnterCriticalSection
0x4013e0	0x47b158	import	0x4013e0	kernel32.dll.LeaveCriticalSection
0x4013e8	0x47b154	import	0x4013e8	kernel32.dll.DeleteCriticalSection
0x403a44	0x47b204	import	0x403a44	user32.dll.GetKeyboardType
0x406d24	0x47b23c	import	0x406d24	kernel32.dll.TlsGetValue
0x406d2c	0x47b238	import	0x406d2c	kernel32.dll.TlsSetValue
0x407994	0x47b480	import	0x407994	user32.dll.CreateWindowExA
0x40ead0	0x47b72c	import	0x40ead0	oleaut32.dll.VariantClear
0x40ead8	0x47b728	import	0x40ead8	oleaut32.dll.VariantCopy
0x40eae0	0x47b724	import	0x40eae0	oleaut32.dll.VariantChangeType
0x40ef2c	0x47b720	import	0x40ef2c	oleaut32.dll.SafeArrayCreate
0x40ef34	0x47b71c	import	0x40ef34	oleaut32.dll.SafeArrayGetLBound
