reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x50c486	0x4c9e00	string	0x50b940	5W\n3X
0x5101ef	0x51020c	string	0x50b940	-BK9
0x512282	0x5122c9	string	0x50b940	P=PMP
0x5130a8	0x5130b4	string	0x50b940	|\ny\r4
0x513c85	0x513c87	string	0x50b940	System
0x513cb9	0x513cbb	string	0x50b940	System.Drawing
0x513d30	0x513d9b	string	0x50b940	System.Web.Extensions
0x513d4f	0x513d51	string	0x50b940	AForge.Video
0x513d76	0x513de1	string	0x50b940	kernel32
0x513daf	0x513db1	string	0x50b940	System.Security
0x513e9b	0x513f11	string	0x50b940	costura.microsoft.win32.taskscheduler.dll.zip
0x513edb	0x513edd	string	0x50b940	costura.aforge.video.dll.zip
0x513ef8	0x513efa	string	0x50b940	costura.cscore.dll.zip
0x513f0f	0x513f11	string	0x50b940	costura.microsoft.win32.taskscheduler.dll.zip
0x513f3d	0x513f3f	string	0x50b940	costura.orcus.plugins.dll.zip
0x513f5b	0x513f5d	string	0x50b940	costura.orcus.shared.dll.zip
0x513f78	0x513f7a	string	0x50b940	costura.orcus.shared.utilities.dll.zip
0x513f7f	0x513fe2	string	0x50b940	2e150d96a72744e9abe3b2c1bb8d33f9
0x513f9f	0x513fa1	string	0x50b940	costura.starksoft.aspen.dll.zip
0x513fbf	0x513fc1	string	0x50b940	fff099a62ac04963ac0ed85bb139404a
0x514032	0x514034	string	0x50b940	MainForm
0x51406a	0x5140db	string	0x50b940	add_Closing
0x5140a8	0x514119	string	0x50b940	sender
0x5140f9	0x5140fb	string	0x50b940	Form1_Closing
0x514117	0x514119	string	0x50b940	sender
0x514145	0x5141ac	string	0x50b940	get_RemoteEndPoint
0x514165	0x514167	string	0x50b940	IPEndPoint
0x5141aa	0x5141ac	string	0x50b940	get_RemoteEndPoint
0x5141f9	0x5141fb	string	0x50b940	set_Text
0x514208	0x51420a	string	0x50b940	get_DarkGreen
0x51421a	0x51427b	string	0x50b940	GetFreeTempFileName
0x514224	0x514226	string	0x50b940	Connected
0x514279	0x51427b	string	0x50b940	GetFreeTempFileName
0x5142a4	0x51430f	string	0x50b940	Process
0x5142d0	0x514333	string	0x50b940	IDisposable
0x5142db	0x514351	string	0x50b940	SuspendLayout
0x514315	0x514317	string	0x50b940	Start
0x514336	0x5143a8	string	0x50b940	FontStyle
0x514370	0x514372	string	0x50b940	set_Location
0x5143a6	0x5143a8	string	0x50b940	FontStyle
0x5143ad	0x514428	string	0x50b940	set_AutoScaleMode
0x5143c6	0x5143c8	string	0x50b940	ButtonBase
0x5143ed	0x5143ef	string	0x50b940	add_Click
0x514426	0x514428	string	0x50b940	set_AutoScaleMode
0x51445e	0x514460	string	0x50b940	set_ClientSize
0x51447a	0x51447c	string	0x50b940	ControlCollection
0x514498	0x514507	string	0x50b940	PerformLayout
0x5144c8	0x514529	string	0x50b940	<_client_Connected>b__6_0
0x5144d4	0x5144d6	string	0x50b940	set_StartPosition
0x5144f3	0x51455e	string	0x50b940	System.Runtime.CompilerServices
0x514527	0x514529	string	0x50b940	<_client_Connected>b__6_0
0x514651	0x5146b8	string	0x50b940	IEnumerable`1
0x514670	0x5146e1	string	0x50b940	WaitHandle
0x514672	0x514674	string	0x50b940	ClientController
0x5146a6	0x51470d	string	0x50b940	DialogResult
0x514706	0x514708	string	0x50b940	Show
0x514715	0x51478c	string	0x50b940	AppDomain
0x514718	0x51471a	string	0x50b940	Application
0x514759	0x51475b	string	0x50b940	SetUnhandledExceptionMode
0x514815	0x51487c	string	0x50b940	get_IsAttached
0x514818	0x51486e	string	0x50b940	Exit
0x514860	0x514862	string	0x50b940	Environment
0x51486c	0x51486e	string	0x50b940	Exit
0x514871	0x514873	string	0x50b940	Debugger
0x5148ab	0x5148ad	string	0x50b940	StringComparison
0x5148ca	0x5148cc	string	0x50b940	get_Current
