reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x489346	0x48936b	string	0x4861ad	$n\fI
0x489764	0x48976c	string	0x4861ad	j[4\e
0x4897da	0x4897f7	string	0x4861ad	$)\ri
0x489d55	0x489cf9	string	0x4861ad	\b^sk"
0x48a320	0x48a322	string	0x4861ad	1\vL\a
0x48e5f1	0x48e5f3	string	0x4861ad	System
0x48e625	0x48e627	string	0x4861ad	System.Drawing
0x48e631	0x48e69c	string	0x4861ad	System.Speech
0x48e64c	0x48e6c2	string	0x4861ad	System.Xml
0x48e68d	0x48e68f	string	0x4861ad	AForge.Video
0x48e715	0x48e717	string	0x4861ad	User32.dll
0x48e771	0x48e7dc	string	0x4861ad	costura.aforge.video.directshow.dll.zip
0x48e7c2	0x48e838	string	0x4861ad	costura.orcus.plugins.dll.zip
0x48e802	0x48e804	string	0x4861ad	costura.aforge.video.dll.zip
0x48e81f	0x48e821	string	0x4861ad	costura.cscore.dll.zip
0x48e836	0x48e838	string	0x4861ad	costura.orcus.plugins.dll.zip
0x48e843	0x48e8b8	string	0x4861ad	_client
0x48e854	0x48e856	string	0x4861ad	costura.orcus.shared.dll.zip
0x48e861	0x48e8d6	string	0x4861ad	System.ComponentModel
0x48e871	0x48e873	string	0x4861ad	costura.orcus.shared.utilities.dll.zip
0x48e87e	0x48e8f3	string	0x4861ad	Label
0x48e898	0x48e89a	string	0x4861ad	<Module>
0x48e8a8	0x48e8aa	string	0x4861ad	MainForm
0x48e8e0	0x48e951	string	0x4861ad	add_Closing
0x48e91e	0x48e98f	string	0x4861ad	sender
0x48e96f	0x48e971	string	0x4861ad	Form1_Closing
0x48e98d	0x48e98f	string	0x4861ad	sender
0x48e9bb	0x48ea22	string	0x4861ad	get_RemoteEndPoint
0x48e9db	0x48e9dd	string	0x4861ad	IPEndPoint
0x48ea20	0x48ea22	string	0x4861ad	get_RemoteEndPoint
0x48ea6f	0x48ea71	string	0x4861ad	set_Text
0x48ea7e	0x48ea80	string	0x4861ad	get_DarkGreen
0x48ea90	0x48eaf1	string	0x4861ad	GetFreeTempFileName
0x48ea9a	0x48ea9c	string	0x4861ad	Connected
0x48eaef	0x48eaf1	string	0x4861ad	GetFreeTempFileName
0x48eb1a	0x48eb85	string	0x4861ad	Process
0x48eb46	0x48eba9	string	0x4861ad	IDisposable
0x48eb51	0x48ebc7	string	0x4861ad	SuspendLayout
0x48eb8b	0x48eb8d	string	0x4861ad	Start
0x48ebac	0x48ec1e	string	0x4861ad	FontStyle
0x48ebe6	0x48ebe8	string	0x4861ad	set_Location
0x48ec1c	0x48ec1e	string	0x4861ad	FontStyle
0x48ec23	0x48ec9e	string	0x4861ad	set_AutoScaleMode
0x48ec3c	0x48ec3e	string	0x4861ad	ButtonBase
0x48ec63	0x48ec65	string	0x4861ad	add_Click
0x48ec9c	0x48ec9e	string	0x4861ad	set_AutoScaleMode
0x48ecd4	0x48ecd6	string	0x4861ad	set_ClientSize
0x48ecf0	0x48ecf2	string	0x4861ad	ControlCollection
