reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x4b1c9c	0x4c3b00	string	0x4b0dc0	Null
0x4b4499	0x4b44bb	string	0x4b0dc0	\t*yS
0x4b7d6e	0x4b7d7e	string	0x4b0dc0	i,J\a
0x4b7d7a	0x4b7d8a	string	0x4b0dc0	s,N\a
0x4b7d92	0x4b7da2	string	0x4b0dc0	i,J\a
0x4b7d98	0x4b7da8	string	0x4b0dc0	s,N\a
0x4b88fa	0x4b8906	string	0x4b0dc0	|\n{\r4
0x4b94a5	0x4b94a7	string	0x4b0dc0	System
0x4b94d9	0x4b94db	string	0x4b0dc0	System.Drawing
0x4b956f	0x4b9571	string	0x4b0dc0	AForge.Video
0x4b9574	0x4b95dd	string	0x4b0dc0	System.Security
0x4b9586	0x4b95ed	string	0x4b0dc0	User32.dll
0x4b95db	0x4b95dd	string	0x4b0dc0	System.Security
0x4b96c7	0x4b973d	string	0x4b0dc0	costura.microsoft.win32.taskscheduler.dll.zip
0x4b9707	0x4b9709	string	0x4b0dc0	costura.aforge.video.dll.zip
0x4b9724	0x4b9726	string	0x4b0dc0	costura.cscore.dll.zip
0x4b973b	0x4b973d	string	0x4b0dc0	costura.microsoft.win32.taskscheduler.dll.zip
0x4b9769	0x4b976b	string	0x4b0dc0	costura.orcus.plugins.dll.zip
0x4b9787	0x4b9789	string	0x4b0dc0	costura.orcus.shared.dll.zip
0x4b97a4	0x4b97a6	string	0x4b0dc0	costura.orcus.shared.utilities.dll.zip
0x4b97b7	0x4b981e	string	0x4b0dc0	IContainer
0x4b97cb	0x4b97cd	string	0x4b0dc0	costura.starksoft.aspen.dll.zip
0x4b97eb	0x4b97ed	string	0x4b0dc0	<Module>
0x4b97fb	0x4b97fd	string	0x4b0dc0	MainForm
0x4b9833	0x4b98a4	string	0x4b0dc0	add_Closing
0x4b9871	0x4b98e2	string	0x4b0dc0	sender
0x4b98c2	0x4b98c4	string	0x4b0dc0	Form1_Closing
0x4b98e0	0x4b98e2	string	0x4b0dc0	sender
0x4b990e	0x4b9975	string	0x4b0dc0	get_RemoteEndPoint
0x4b992e	0x4b9930	string	0x4b0dc0	IPEndPoint
0x4b9973	0x4b9975	string	0x4b0dc0	get_RemoteEndPoint
0x4b99c2	0x4b99c4	string	0x4b0dc0	set_Text
0x4b99d1	0x4b99d3	string	0x4b0dc0	get_DarkGreen
0x4b99e3	0x4b9a44	string	0x4b0dc0	GetFreeTempFileName
0x4b99ed	0x4b99ef	string	0x4b0dc0	Connected
0x4b9a42	0x4b9a44	string	0x4b0dc0	GetFreeTempFileName
0x4b9a6d	0x4b9ad8	string	0x4b0dc0	Process
0x4b9a99	0x4b9afc	string	0x4b0dc0	IDisposable
