reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401001	0x422170	import	0x401000	OLEAUT32.dll.VariantCopy
0x401047	0x4221bc	import	0x401020	USER32.dll.EndDialog
0x401112	0x4221c8	import	0x4010e0	USER32.dll.GetGUIThreadInfo
0x401171	0x4220e0	import	0x4010e0	KERNEL32.dll.GetLastError
0x4011e7	0x429e38	string	0x4010e0	Save current changes in %s?
0x4011ed	0x4221b4	import	0x4010e0	USER32.dll.wsprintfA
0x4011fe	0x42218c	import	0x4010e0	USER32.dll.DdeNameService
0x40121f	0x4221d0	import	0x4010e0	USER32.dll.MessageBoxA
0x401245	0x42217c	import	0x4010e0	USER32.dll.SendMessageA
0x40126d	0x4221c4	import	0x4010e0	USER32.dll.GetMenu
0x401324	0x4221a0	import	0x4010e0	USER32.dll.GetWindowRect
0x401375	0x42219c	import	0x4010e0	USER32.dll.ScreenToClient
0x4013a9	0x4221cc	import	0x4010e0	USER32.dll.SetRect
0x4013cb	0x4221b8	import	0x4010e0	USER32.dll.GetClientRect
0x4013f3	0x42200c	import	0x4010e0	GDI32.dll.ExcludeClipRect
0x401401	0x4221a4	import	0x4010e0	USER32.dll.FillRect
0x40140c	0x422008	import	0x4010e0	GDI32.dll.CreateSolidBrush
0x401435	0x42201c	import	0x4010e0	GDI32.dll.SelectClipRgn
0x401451	0x42200c	import	0x4010e0	GDI32.dll.ExcludeClipRect
0x40145e	0x4221a4	import	0x4010e0	USER32.dll.FillRect
0x401479	0x422014	import	0x4010e0	GDI32.dll.DeleteObject
0x401499	0x4220e8	import	0x4010e0	KERNEL32.dll.HeapCreate
0x4014aa	0x42201c	import	0x4010e0	GDI32.dll.SelectClipRgn
0x4014c3	0x4221a4	import	0x4010e0	USER32.dll.FillRect
0x4014d1	0x4221f4	import	0x4010e0	ole32.dll.CreateBindCtx
0x401519	0x422138	import	0x4010e0	KERNEL32.dll.HeapAlloc
0x40151f	0x422200	import	0x4010e0	ole32.dll.CoInitializeEx
0x401535	0x4221f8	import	0x4010e0	ole32.dll.CoInitializeSecurity
0x401559	0x422208	import	0x4010e0	ole32.dll.CoCreateInstance
0x401563	0x4221f0	import	0x4010e0	ole32.dll.CoUninitialize
0x401576	0x40157b	string	0x4010e0	SSSj
0x4015b5	0x422208	import	0x4010e0	ole32.dll.CoCreateInstance
0x4015d3	0x429ed4	string	0x4010e0	root\cimv2
0x4015de	0x4221f0	import	0x4010e0	ole32.dll.CoUninitialize
0x4015ff	0x4221f0	import	0x4010e0	ole32.dll.CoUninitialize
0x401616	0x422208	import	0x4010e0	ole32.dll.CoCreateInstance
0x401622	0x4221f0	import	0x4010e0	ole32.dll.CoUninitialize
0x401628	0x422174	import	0x4010e0	OLEAUT32.dll.SysReAllocString
0x40162e	0x42a068	string	0x4010e0	root\CIMV2
0x401636	0x42216c	import	0x4010e0	OLEAUT32.dll.SysStringLen
0x401640	0x4221f0	import	0x4010e0	ole32.dll.CoUninitialize
0x401651	0x422204	import	0x4010e0	ole32.dll.CoSetProxyBlanket
0x401658	0x4221fc	import	0x4010e0	ole32.dll.CoInitialize
0x401669	0x4221f8	import	0x4010e0	ole32.dll.CoInitializeSecurity
0x401684	0x422208	import	0x4010e0	ole32.dll.CoCreateInstance
0x401755	0x42a170	string	0x4010e0	__PATH
0x40178f	0x42a180	string	0x4010e0	ReturnValue
0x40179d	0x422174	import	0x4010e0	OLEAUT32.dll.SysReAllocString
0x4017bf	0x422134	import	0x4010e0	KERNEL32.dll.InterlockedDecrement
0x4017d0	0x42216c	import	0x4010e0	OLEAUT32.dll.SysStringLen
0x401815	0x42216c	import	0x4010e0	OLEAUT32.dll.SysStringLen
0x40188e	0x4220ec	import	0x4010e0	KERNEL32.dll.GetVolumeInformationA
0x4018c8	0x4220e0	import	0x4010e0	KERNEL32.dll.GetLastError
0x40192b	0x4220d4	import	0x4010e0	KERNEL32.dll.GetModuleHandleA
0x401953	0x42a198	string	0x4010e0	listbox
0x40195d	0x422194	import	0x4010e0	USER32.dll.CreateWindowExW
0x401965	0x422024	import	0x4010e0	GDI32.dll.GetStockObject
0x40196b	0x42a1a8	string	0x4010e0	List Item #
0x401977	0x4220cc	import	0x4010e0	KERNEL32.dll.lstrcpyW
0x401984	0x4220e4	import	0x4010e0	KERNEL32.dll.lstrlenW
0x40199e	0x4221a0	import	0x4010e0	USER32.dll.GetWindowRect
0x4019b0	0x42217c	import	0x4010e0	USER32.dll.SendMessageA
0x4019b6	0x42219c	import	0x4010e0	USER32.dll.ScreenToClient
0x4019ca	0x42a1c0	string	0x4010e0	uxtheme.dll
0x4019cf	0x4220d8	import	0x4010e0	KERNEL32.dll.LoadLibraryA
0x4019d7	0x42a1cc	string	0x4010e0	IsThemeActive
0x4019dd	0x4220dc	import	0x4010e0	KERNEL32.dll.GetProcAddress
0x4019e4	0x42213c	import	0x4010e0	KERNEL32.dll.FreeLibrary
0x4019f1	0x422020	import	0x4010e0	GDI32.dll.CreateCompatibleDC
0x4019ff	0x42a274	string	0x4010e0	DISPLAY
0x401a04	0x422010	import	0x4010e0	GDI32.dll.CreateDCA
0x401a12	0x422004	import	0x4010e0	GDI32.dll.GetDeviceCaps
0x401a36	0x422190	import	0x4010e0	USER32.dll.GetSystemMetrics
0x401a6f	0x422198	import	0x4010e0	USER32.dll.GetSysColorBrush
0x401a7b	0x4221a4	import	0x4010e0	USER32.dll.FillRect
0x401a8a	0x4221c0	import	0x4010e0	USER32.dll.DrawEdge
