reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401414	0x47c000	import	0x401320	KERNEL32.dll.GetModuleHandleA
0x40141f	0x47c004	import	0x401320	KERNEL32.dll.LoadLibraryA
0x401447	0x47c004	import	0x401443	KERNEL32.dll.LoadLibraryA
0x4014af	0x47c004	import	0x40145d	KERNEL32.dll.LoadLibraryA
0x4014b9	0x481eb4	string	0x40145d	GetFileAttributesA
0x40152f	0x47c004	import	0x4014df	KERNEL32.dll.LoadLibraryA
0x401539	0x481ec8	string	0x4014df	CreateDirectoryA
0x401614	0x47c004	import	0x40154f	KERNEL32.dll.LoadLibraryA
0x401622	0x481edc	string	0x40154f	FindFirstFileA
0x401743	0x47c004	import	0x40154f	KERNEL32.dll.LoadLibraryA
0x401751	0x481ef0	string	0x40154f	SetFileAttributesA
0x4017b5	0x47c004	import	0x40154f	KERNEL32.dll.LoadLibraryA
0x4017c3	0x481f04	string	0x40154f	DeleteFileA
0x401810	0x47c004	import	0x40154f	KERNEL32.dll.LoadLibraryA
0x401827	0x481f10	string	0x40154f	FindNextFileA
0x401897	0x481f20	string	0x40154f	FindClose
0x4018f8	0x47c004	import	0x40154f	KERNEL32.dll.LoadLibraryA
0x401906	0x481ef0	string	0x40154f	SetFileAttributesA
0x401963	0x47c004	import	0x40154f	KERNEL32.dll.LoadLibraryA
0x401971	0x481f2c	string	0x40154f	RemoveDirectoryA
0x4019f5	0x47c004	import	0x401999	KERNEL32.dll.LoadLibraryA
0x4019ff	0x481f40	string	0x401999	CopyFileA
0x401c2e	0x47c004	import	0x401b9e	KERNEL32.dll.LoadLibraryA
0x401c3a	0x401c48	string	0x401b9e	SSSS
0x401c3c	0x481f54	string	0x401b9e	GetVolumeInformationA
0x401dfb	0x47c004	import	0x401d69	KERNEL32.dll.LoadLibraryA
0x401e09	0x481edc	string	0x401d69	FindFirstFileA
0x401fea	0x401fcd	string	0x401d69	j\nX;
0x402329	0x47c004	import	0x401d69	KERNEL32.dll.LoadLibraryA
0x402337	0x481f74	string	0x401d69	GetTickCount
0x4025b1	0x47c004	import	0x401d69	KERNEL32.dll.LoadLibraryA
0x4025bf	0x481f10	string	0x401d69	FindNextFileA
0x402641	0x47c004	import	0x401d69	KERNEL32.dll.LoadLibraryA
0x40264b	0x481f20	string	0x401d69	FindClose
0x4035e0	0x481f04	string	0x402675	DeleteFileA
0x4038bd	0x481f88	string	0x4038bd	invalid string position
0x403dd6	0x481fa0	string	0x403dd6	string too long
0x403fc9	0x403fd6	string	0x403f62	3ۃ}\b blocks=Basic Latin,Arabic
0x40414f	0x481fd8	string	0x404144	SQLITE_
0x40426b	0x487158	string	0x4041f6	misuse
0x404270	0x487128	string	0x4041f6	%s at line %d of [%.10s]
0x404705	0x481fe0	string	0x4046c9	20b:20e
0x40476d	0x481fe8	string	0x404758	20c:20e
0x40498f	0x481ff4	string	0x40496d	40f-21a-21d
0x404b42	0x478aa0	string	0x404b00	WVS3
0x404d25	0x478aa0	string	0x404c95	WVS3
0x404dbb	0x482004	string	0x404c95	local time unavailable
0x404df8	0x404e0d	string	0x404ddb	3҈T5 blocks=Basic Latin,Cyrillic
0x404edd	0x478aa0	string	0x404ddb	WVS3
0x404fd7	0x482064	string	0x404ddb	hour
0x404ffa	0x482058	string	0x404ddb	year
0x40507e	0x48206c	string	0x404ddb	minute
0x40509e	0x482074	string	0x404ddb	second
0x4050d2	0x482050	string	0x404ddb	month
0x40517c	0x48201c	string	0x404ddb	localtime
0x4051e4	0x482038	string	0x404ddb	weekday
0x405293	0x478aa0	string	0x404ddb	WVS3
0x4052fa	0x482028	string	0x404ddb	unixepoch
0x40532a	0x478aa0	string	0x404ddb	WVS3
0x4053cd	0x482044	string	0x404ddb	start of
