reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x4013e4	0x481000	import	0x4012f0	KERNEL32.dll.GetModuleHandleA
0x4013ef	0x481004	import	0x4012f0	KERNEL32.dll.LoadLibraryA
0x401417	0x481004	import	0x401413	KERNEL32.dll.LoadLibraryA
0x401436	0x481004	import	0x401432	KERNEL32.dll.LoadLibraryA
0x401497	0x481004	import	0x40144c	KERNEL32.dll.LoadLibraryA
0x4014a1	0x487cc4	string	0x40144c	GetFileAttributesA
0x40150f	0x481004	import	0x4014c7	KERNEL32.dll.LoadLibraryA
0x401519	0x487cd8	string	0x4014c7	CreateDirectoryA
0x4015e4	0x481004	import	0x40152f	KERNEL32.dll.LoadLibraryA
0x4015f2	0x487cec	string	0x40152f	FindFirstFileA
0x40170d	0x481004	import	0x40152f	KERNEL32.dll.LoadLibraryA
0x40171b	0x487d00	string	0x40152f	SetFileAttributesA
0x401773	0x481004	import	0x40152f	KERNEL32.dll.LoadLibraryA
0x401781	0x487d14	string	0x40152f	DeleteFileA
0x4017c6	0x481004	import	0x40152f	KERNEL32.dll.LoadLibraryA
0x4017dd	0x487d20	string	0x40152f	FindNextFileA
0x40183c	0x487d30	string	0x40152f	FindClose
0x401896	0x481004	import	0x40152f	KERNEL32.dll.LoadLibraryA
0x4018a4	0x487d00	string	0x40152f	SetFileAttributesA
0x4018fa	0x481004	import	0x40152f	KERNEL32.dll.LoadLibraryA
0x401908	0x487d3c	string	0x40152f	RemoveDirectoryA
0x401976	0x481004	import	0x401930	KERNEL32.dll.LoadLibraryA
0x401980	0x487d50	string	0x401930	EnumDisplayDevicesA
0x401b3c	0x481004	import	0x401ae8	KERNEL32.dll.LoadLibraryA
0x401b46	0x487d64	string	0x401ae8	CopyFileA
0x401c52	0x481004	import	0x401b5e	KERNEL32.dll.LoadLibraryA
0x401c5c	0x487d70	string	0x401b5e	GetTickCount
0x401e63	0x481004	import	0x401de3	KERNEL32.dll.LoadLibraryA
0x401e6f	0x401e7d	string	0x401de3	SSSS
0x401e71	0x487d88	string	0x401de3	GetVolumeInformationA
0x402022	0x481004	import	0x401f9e	KERNEL32.dll.LoadLibraryA
0x402030	0x487cec	string	0x401f9e	FindFirstFileA
0x4023f5	0x4910b0	string	0x401f9e	\adhhlnbt)tvknsb
0x4024f3	0x481004	import	0x401f9e	KERNEL32.dll.LoadLibraryA
0x402501	0x487d70	string	0x401f9e	GetTickCount
0x4026c1	0x481004	import	0x401f9e	KERNEL32.dll.LoadLibraryA
0x4026cf	0x487d20	string	0x401f9e	FindNextFileA
0x40272e	0x481004	import	0x401f9e	KERNEL32.dll.LoadLibraryA
0x402738	0x487d30	string	0x401f9e	FindClose
0x402877	0x4910e0	string	0x402762	,pkIBI^M@pOM^H_
0x4033a0	0x4911c0	string	0x402762	x$+\e\n
0x4038fd	0x487d14	string	0x402762	DeleteFileA
0x403ca1	0x487db0	string	0x403ca1	invalid string position
0x4041ba	0x487dc8	string	0x4041ba	string too long
0x4043cb	0x4043d8	string	0x404364	3ۃ}\b blocks=Basic Latin,Arabic
0x404551	0x487e00	string	0x404546	SQLITE_
0x40466d	0x48cf80	string	0x4045f8	misuse
0x404672	0x48cf50	string	0x4045f8	%s at line %d of [%.10s]
0x404b07	0x487e08	string	0x404acb	20b:20e
0x404b6f	0x487e10	string	0x404b5a	20c:20e
0x404d91	0x487e1c	string	0x404d6f	40f-21a-21d
0x404f44	0x47df40	string	0x404f02	WVS3
0x405127	0x47df40	string	0x405097	WVS3
0x4051bd	0x487e2c	string	0x405097	local time unavailable
0x4051fa	0x40520f	string	0x4051dd	3҈T5 blocks=Basic Latin,Cyrillic
0x4052df	0x47df40	string	0x4051dd	WVS3
0x4053d9	0x487e8c	string	0x4051dd	hour
0x4053fc	0x487e80	string	0x4051dd	year
0x405480	0x487e94	string	0x4051dd	minute
0x4054a0	0x487e9c	string	0x4051dd	second
0x4054d4	0x487e78	string	0x4051dd	month
0x40557e	0x487e44	string	0x4051dd	localtime
0x4055e6	0x487e60	string	0x4051dd	weekday
0x405695	0x47df40	string	0x4051dd	WVS3
0x4056fc	0x487e50	string	0x4051dd	unixepoch
0x40572c	0x47df40	string	0x4051dd	WVS3
0x4057cf	0x487e6c	string	0x4051dd	start of
0x405811	0x487e78	string	0x4051dd	month
0x405836	0x487e80	string	0x4051dd	year
0x4059e8	0x487ea4	string	0x405991	%04d-%02d-%02d %02d:%02d:%02d
0x405a54	0x487ec4	string	0x405a11	%02d:%02d:%02d
0x405aba	0x487ed4	string	0x405a7a	%04d-%02d-%02d
0x405c9c	0x487f0c	string	0x405ae0	%04d
0x405cca	0x487ee4	string	0x405ae0	%02d
0x405d07	0x487efc	string	0x405ae0	%.16g
0x405d32	0x487ee4	string	0x405ae0	%02d
0x405d9e	0x47df40	string	0x405ae0	WVS3
0x405dcd	0x47df40	string	0x405ae0	WVS3
0x405ddc	0x487f04	string	0x405ae0	%lld
0x405e54	0x47df40	string	0x405ae0	WVS3
0x405e88	0x487ee4	string	0x405ae0	%02d
0x405e90	0x47df40	string	0x405ae0	WVS3
0x405ebc	0x487ef4	string	0x405ae0	%03d
0x405eeb	0x487eec	string	0x405ae0	%06.3f
0x406120	0x40612b	string	0x406101	9J\fu
0x4061fb	0x487f7c	string	0x4061e5	failed to allocate %u bytes of memory
0x406241	0x487fa4	string	0x40621d	failed memory resize %u to %u bytes
0x40635e	0x481038	import	0x40632c	KERNEL32.dll.InitializeCriticalSection
0x4063ae	0x4810d8	import	0x40632c	KERNEL32.dll.DeleteCriticalSection
0x4063fb	0x481038	import	0x4063ca	KERNEL32.dll.InitializeCriticalSection
0x40642c	0x4810d8	import	0x406418	KERNEL32.dll.DeleteCriticalSection
0x406442	0x48101c	import	0x40643c	KERNEL32.dll.EnterCriticalSection
0x40646a	0x481010	import	0x40644a	KERNEL32.dll.TryEnterCriticalSection
0x406482	0x481034	import	0x40647c	KERNEL32.dll.LeaveCriticalSection
0x4065ec	0x406606	string	0x40655c	9=TRI
0x406cdd	0x406d14	string	0x406cc7	YY^Y]
0x406e25	0x406e57	string	0x406e14	_^[Y]ÀyE blocks=Basic Latin,Latin-1 Supplement
0x407348	0x40736f	string	0x406f1b	2ɋǈL$ blocks=Basic Latin,Latin Extended-B
0x407369	0x40736f	string	0x406f1b	2ɋǈL$ blocks=Basic Latin,Latin Extended-B
0x407458	0x48dcfc	string	0x406f1b	0123456789ABCDEF0123456789abcdef
0x407c12	0x487fd0	string	0x406f1b	NULL
0x407c17	0x487fd8	string	0x406f1b	(NULL)
0x407f46	0x407f60	string	0x407f1f	_^Y]
0x407f4a	0x407f60	string	0x407f1f	_^Y]
0x408409	0x481060	import	0x408382	KERNEL32.dll.GetCurrentThreadId
0x408458	0x4810ac	import	0x408423	KERNEL32.dll.CloseHandle
0x408b29	0x408b37	string	0x408b0a	3\tF<^
0x408d6e	0x408d78	string	0x408d17	;E\b|
0x408ff7	0x47e150	string	0x408d17	WVU3
0x4091a5	0x4091af	string	0x409167	;E\b|
0x40988a	0x487fd0	string	0x409885	NULL
0x40988f	0x487ff4	string	0x409885	API call with %s database connection pointer
0x4098b4	0x488024	string	0x409885	unopened
0x4098dc	0x488030	string	0x4098c0	invalid
0x4098e1	0x487ff4	string	0x4098c0	API call with %s database connection pointer
0x4099e6	0x47e150	string	0x4099d1	WVU3
0x409a03	0x47e150	string	0x4099d1	WVU3
0x40a155	0x488b84	string	0x40a0f6	OsError 0x%lx (%lu)
0x40a1f8	0x488b9c	string	0x40a184	os_win.c:%d: (%lu) %s(%s) - %s
0x40a283	0x488bbc	string	0x40a26a	delayed %dms for lock/sharing conflict at line %d
0x40a342	0x488bfc	string	0x40a2f3	winClose
0x40a585	0x488c1c	string	0x40a4ae	winWrite2
0x40a594	0x488c10	string	0x40a4ae	winWrite1
0x40a63d	0x488bf0	string	0x40a5be	winSeekFile
0x40a65a	0x488c28	string	0x40a5be	winTruncate1
0x40a695	0x488c38	string	0x40a5be	winTruncate2
0x40a6ee	0x488c48	string	0x40a6bf	winSync1
0x40a719	0x488c54	string	0x40a6bf	winSync2
0x40a776	0x488c60	string	0x40a72e	winFileSize
0x40a806	0x488c6c	string	0x40a7c7	winUnlockReadLock
0x40aa71	0x488c80	string	0x40aa25	winUnlock
0x40ac78	0x40ac82	string	0x40ab16	;V@u\t;~D
0x40aec9	0x488c8c	string	0x40ae4a	%s-shm
0x40afb6	0x488c94	string	0x40ae4a	winOpenShm
0x40b35b	0x488ca0	string	0x40b2e3	winShmMap1
0x40b3b7	0x488cac	string	0x40b2e3	winShmMap2
0x40b47a	0x488cb8	string	0x40b2e3	winShmMap3
0x40b505	0x488cc4	string	0x40b4de	winUnmapfile1
0x40b54d	0x488cd4	string	0x40b4de	winUnmapfile2
0x40b5c6	0x40b5db	string	0x40b55d	;~0u\t;^4
0x40b5cb	0x40b5db	string	0x40b55d	;~0u\t;^4
0x40b5d2	0x40b5db	string	0x40b55d	;~0u\t;^4
0x40b61b	0x488ce4	string	0x40b55d	winMapfile1
0x40b661	0x488cf0	string	0x40b55d	winMapfile2
0x40b7bd	0x488d04	string	0x40b735	winGetTempname1
0x40b831	0x488d14	string	0x40b735	winGetTempname2
0x40b899	0x488d24	string	0x40b735	winGetTempname4
0x40b8ce	0x488d34	string	0x40b735	winGetTempname5
0x40b8d8	0x488cfc	string	0x40b735	etilqs_
0x40ba2e	0x40a014	string	0x40b99e	SVW3
0x40baea	0x488d44	string	0x40b99e	winOpen
