reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401324	0x47b000	import	0x401320	KERNEL32.dll.LoadLibraryA
0x401332	0x47b004	import	0x401320	KERNEL32.dll.GetProcAddress
0x40138c	0x47b000	import	0x40133a	KERNEL32.dll.LoadLibraryA
0x401396	0x480ea4	string	0x40133a	GetFileAttributesA
0x40139c	0x47b004	import	0x40133a	KERNEL32.dll.GetProcAddress
0x40140c	0x47b000	import	0x4013bc	KERNEL32.dll.LoadLibraryA
0x401416	0x480eb8	string	0x4013bc	CreateDirectoryA
0x40141c	0x47b004	import	0x4013bc	KERNEL32.dll.GetProcAddress
0x4014f1	0x47b000	import	0x40142c	KERNEL32.dll.LoadLibraryA
0x4014ff	0x480ecc	string	0x40142c	FindFirstFileA
0x401505	0x47b004	import	0x40142c	KERNEL32.dll.GetProcAddress
0x401620	0x47b000	import	0x40142c	KERNEL32.dll.LoadLibraryA
0x40162e	0x480ee0	string	0x40142c	SetFileAttributesA
0x401634	0x47b004	import	0x40142c	KERNEL32.dll.GetProcAddress
0x401692	0x47b000	import	0x40142c	KERNEL32.dll.LoadLibraryA
0x4016a0	0x480ef4	string	0x40142c	DeleteFileA
0x4016a6	0x47b004	import	0x40142c	KERNEL32.dll.GetProcAddress
0x4016ed	0x47b000	import	0x40142c	KERNEL32.dll.LoadLibraryA
0x401704	0x480f00	string	0x40142c	FindNextFileA
0x40170a	0x47b004	import	0x40142c	KERNEL32.dll.GetProcAddress
0x401774	0x480f10	string	0x40142c	FindClose
0x40177a	0x47b004	import	0x40142c	KERNEL32.dll.GetProcAddress
0x4017d5	0x47b000	import	0x40142c	KERNEL32.dll.LoadLibraryA
0x4017e3	0x480ee0	string	0x40142c	SetFileAttributesA
0x4017e9	0x47b004	import	0x40142c	KERNEL32.dll.GetProcAddress
0x401841	0x47b000	import	0x40142c	KERNEL32.dll.LoadLibraryA
0x40184f	0x480f1c	string	0x40142c	RemoveDirectoryA
0x401855	0x47b004	import	0x40142c	KERNEL32.dll.GetProcAddress
0x4018d3	0x47b000	import	0x401877	KERNEL32.dll.LoadLibraryA
0x4018dd	0x480f30	string	0x401877	CopyFileA
0x4018e3	0x47b004	import	0x401877	KERNEL32.dll.GetProcAddress
0x401a8e	0x47b000	import	0x4019fe	KERNEL32.dll.LoadLibraryA
0x401a9a	0x401aa8	string	0x4019fe	SSSS
0x401a9c	0x480f44	string	0x4019fe	GetVolumeInformationA
0x401aa2	0x47b004	import	0x4019fe	KERNEL32.dll.GetProcAddress
0x401c3a	0x47b000	import	0x401bae	KERNEL32.dll.LoadLibraryA
0x401c48	0x480ecc	string	0x401bae	FindFirstFileA
0x401c4e	0x47b004	import	0x401bae	KERNEL32.dll.GetProcAddress
0x401e29	0x401e0c	string	0x401bae	j\nX;
0x402168	0x47b000	import	0x401bae	KERNEL32.dll.LoadLibraryA
0x402176	0x480f64	string	0x401bae	GetTickCount
0x40217c	0x47b004	import	0x401bae	KERNEL32.dll.GetProcAddress
0x402378	0x47b000	import	0x401bae	KERNEL32.dll.LoadLibraryA
0x402386	0x480f00	string	0x401bae	FindNextFileA
0x40238c	0x47b004	import	0x401bae	KERNEL32.dll.GetProcAddress
0x402408	0x47b000	import	0x401bae	KERNEL32.dll.LoadLibraryA
0x402412	0x480f10	string	0x401bae	FindClose
0x402418	0x47b004	import	0x401bae	KERNEL32.dll.GetProcAddress
0x403384	0x480ef4	string	0x40243c	DeleteFileA
0x403638	0x480f74	string	0x403638	invalid string position
0x403b51	0x480f8c	string	0x403b51	string too long
0x403d44	0x403d51	string	0x403cdd	3ۃ}\b blocks=Basic Latin,Arabic
0x403eca	0x480fc4	string	0x403ebf	SQLITE_
0x403fe6	0x486148	string	0x403f71	misuse
0x403feb	0x486118	string	0x403f71	%s at line %d of [%.10s]
0x404480	0x480fcc	string	0x404444	20b:20e
0x4044e8	0x480fd4	string	0x4044d3	20c:20e
0x40470a	0x480fe0	string	0x4046e8	40f-21a-21d
0x4048bd	0x4781a0	string	0x40487b	WVS3
0x404aa0	0x4781a0	string	0x404a10	WVS3
0x404b36	0x480ff0	string	0x404a10	local time unavailable
0x404b73	0x404b88	string	0x404b56	3҈T5 blocks=Basic Latin,Cyrillic
0x404c58	0x4781a0	string	0x404b56	WVS3
0x404d52	0x481050	string	0x404b56	hour
0x404d75	0x481044	string	0x404b56	year
0x404df9	0x481058	string	0x404b56	minute
0x404e19	0x481060	string	0x404b56	second
0x404e4d	0x48103c	string	0x404b56	month
