reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401304	0x48a000	import	0x401210	KERNEL32.dll.GetModuleHandleA
0x40130f	0x48a004	import	0x401210	KERNEL32.dll.LoadLibraryA
0x401337	0x48a004	import	0x401333	KERNEL32.dll.LoadLibraryA
0x4013f6	0x497494	string	0x4013b6	GetFileAttributesA
0x40145e	0x4974a8	string	0x40141c	CreateDirectoryA
0x40152b	0x4974bc	string	0x401475	FindFirstFileA
0x40160e	0x4974cc	string	0x401475	SetFileAttributesA
0x40165e	0x4974e0	string	0x401475	DeleteFileA
0x4016b1	0x4974ec	string	0x401475	FindNextFileA
0x4016f7	0x4974fc	string	0x401475	FindClose
0x401748	0x4974cc	string	0x401475	SetFileAttributesA
0x401795	0x497508	string	0x401475	RemoveDirectoryA
0x40180f	0x49751c	string	0x4017c0	CopyFileA
0x401ac0	0x401ac7	string	0x401a4f	SSSS
0x401ad6	0x497530	string	0x401a4f	GetVolumeInformationA
0x401c58	0x4974bc	string	0x401bcd	FindFirstFileA
0x4021a0	0x4974ec	string	0x401bcd	FindNextFileA
0x4021f9	0x4974fc	string	0x401bcd	FindClose
0x4023a8	0x4023b3	string	0x402221	j\nXƄ$ blocks=Basic Latin,Latin Extended-B
0x402422	0x497558	string	0x402221	CreateMutexA
0x40249e	0x497568	string	0x402221	WaitForSingleObject
0x402511	0x49757c	string	0x402221	ReleaseMutex
0x402571	0x49758c	string	0x402221	CloseHandle
0x402988	0x4a0b40	string	0x402221	b>%\a\f\a
0x402cff	0x402d50	string	0x402221	hhZJ
0x402de3	0x4a0b30	string	0x402221	=mORZO\P{TQXN
0x405112	0x4974e0	string	0x402221	DeleteFileA
0x40576b	0x49759c	string	0x40576b	invalid string position
0x405b55	0x4975b4	string	0x405b55	string too long
0x405ebf	0x4975ec	string	0x405eb3	SQLITE_
0x4063e4	0x4975f4	string	0x4063a8	20b:20e
0x40644c	0x4975fc	string	0x406437	20c:20e
0x40666e	0x497608	string	0x40664c	40f-21a-21d
0x40680c	0x488570	string	0x4067ca	WVS3
0x4069ef	0x488570	string	0x40695f	WVS3
