reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401252	0x43a000	import	0x4011a0	KERNEL32.dll.GetModuleHandleA
0x40125d	0x43a004	import	0x4011a0	KERNEL32.dll.LoadLibraryA
0x40131a	0x43a004	import	0x401302	KERNEL32.dll.LoadLibraryA
0x4013d8	0x440e7c	string	0x401398	GetFileAttributesA
0x401442	0x440e90	string	0x401400	CreateDirectoryA
0x401504	0x440ea4	string	0x401459	FindFirstFileA
0x40160b	0x440eb4	string	0x401459	SetFileAttributesA
0x401660	0x440ec8	string	0x401459	DeleteFileA
0x4016ac	0x440ed4	string	0x401459	FindNextFileA
0x4016fd	0x440ee4	string	0x401459	FindClose
0x401747	0x440eb4	string	0x401459	SetFileAttributesA
0x401799	0x440ef0	string	0x401459	RemoveDirectoryA
0x401814	0x440f04	string	0x4017c5	CopyFileA
0x401ab8	0x401abf	string	0x401a4a	SSSS
0x401ace	0x440f10	string	0x401a4a	GetVolumeInformationA
0x401c2d	0x440ea4	string	0x401b97	FindFirstFileA
0x40211e	0x440ed4	string	0x401b97	FindNextFileA
0x402180	0x440ee4	string	0x401b97	FindClose
0x40238d	0x440f38	string	0x4021a8	CreateMutexA
0x4023fe	0x440f48	string	0x4021a8	WaitForSingleObject
0x40246e	0x440f5c	string	0x4021a8	ReleaseMutex
0x4024e5	0x440f6c	string	0x4021a8	CloseHandle
0x402ca7	0x402cf8	string	0x4021a8	h,gD
0x402d8b	0x441a20	string	0x4021a8	!qSNFS@LgHMDR\tY
0x4051d3	0x440ec8	string	0x4021a8	DeleteFileA
0x4057a5	0x440f7c	string	0x4057a5	invalid string position
0x405bd5	0x440f94	string	0x405bd5	string too long
0x40609d	0x43a188	import	0x40608e	gdiplus.dll.GdipDisposeImage
0x4060b0	0x43a184	import	0x40608e	gdiplus.dll.GdipFree
0x4060db	0x43a194	import	0x4060c9	gdiplus.dll.GdipCloneImage
0x4060ea	0x43a190	import	0x4060c9	gdiplus.dll.GdipAlloc
0x40614a	0x4415d0	string	0x40610d	GetModuleFileNameA
0x40649f	0x406519	string	0x4063df	3҉uȅ blocks=Basic Latin,Cyrillic,Latin Extended-B
0x40719a	0x4415ec	string	0x4070e7	CryptUnprotectData
0x4072ca	0x440ea4	string	0x407229	FindFirstFileA
0x407404	0x440eb4	string	0x407229	SetFileAttributesA
0x40746f	0x440ed4	string	0x407229	FindNextFileA
0x4074df	0x440ee4	string	0x407229	FindClose
0x407562	0x440ea4	string	0x407229	FindFirstFileA
0x40765d	0x440ed4	string	0x407229	FindNextFileA
0x4076c1	0x440ee4	string	0x407229	FindClose
0x40782f	0x43a160	import	0x4076ed	WININET.dll.InternetOpenA
0x407854	0x43a16c	import	0x4076ed	WININET.dll.InternetConnectA
0x4078a1	0x43a174	import	0x4076ed	WININET.dll.HttpOpenRequestA
0x407b81	0x43a168	import	0x4076ed	WININET.dll.HttpSendRequestA
0x407b8a	0x43a164	import	0x4076ed	WININET.dll.InternetCloseHandle
0x407bc6	0x43a164	import	0x4076ed	WININET.dll.InternetCloseHandle
0x407bcd	0x43a164	import	0x4076ed	WININET.dll.InternetCloseHandle
0x407c65	0x441604	string	0x407bf0	RegQueryValueExA
0x407cf9	0x43a17c	import	0x407cd3	gdiplus.dll.GdipGetImageEncodersSize
0x407d25	0x43a198	import	0x407cd3	gdiplus.dll.GdipGetImageEncoders
0x407d38	0x4417b8	string	0x407cd3	image/png
0x407ef2	0x441618	string	0x407eb7	GetSystemTimes
0x4085a9	0x440ea4	string	0x408191	FindFirstFileA
0x408755	0x440ed4	string	0x408191	FindNextFileA
0x4087b9	0x440ee4	string	0x408191	FindClose
