reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x4012f4	0x48a000	import	0x401200	KERNEL32.dll.GetModuleHandleA
0x4012ff	0x48a004	import	0x401200	KERNEL32.dll.LoadLibraryA
0x401327	0x48a004	import	0x401323	KERNEL32.dll.LoadLibraryA
0x4013e6	0x497494	string	0x4013a6	GetFileAttributesA
0x40144e	0x4974a8	string	0x40140c	CreateDirectoryA
0x40151b	0x4974bc	string	0x401465	FindFirstFileA
0x4015fc	0x4974cc	string	0x401465	SetFileAttributesA
0x401658	0x4974e0	string	0x401465	DeleteFileA
0x4016ab	0x4974ec	string	0x401465	FindNextFileA
0x4016fa	0x4974fc	string	0x401465	FindClose
0x40174a	0x4974cc	string	0x401465	SetFileAttributesA
0x401798	0x497508	string	0x401465	RemoveDirectoryA
0x401812	0x49751c	string	0x4017c3	CopyFileA
0x401ac3	0x401aca	string	0x401a52	SSSS
0x401ad9	0x497530	string	0x401a52	GetVolumeInformationA
0x401c5c	0x4974bc	string	0x401bd0	FindFirstFileA
0x4021af	0x4974ec	string	0x401bd0	FindNextFileA
0x402209	0x4974fc	string	0x401bd0	FindClose
0x402417	0x497558	string	0x402231	CreateMutexA
0x402479	0x497568	string	0x402231	WaitForSingleObject
0x4024ef	0x49757c	string	0x402231	ReleaseMutex
0x40254f	0x49758c	string	0x402231	CloseHandle
0x4028bf	0x4a0b50	string	0x402231	9e~\W\KXUeZXK]J
0x402cfe	0x402d4f	string	0x402231	hhZJ
0x402de2	0x4a0b70	string	0x402231	pROGRAMfILES\bX
0x405114	0x4974e0	string	0x402231	DeleteFileA
0x40576d	0x49759c	string	0x40576d	invalid string position
0x405b57	0x4975b4	string	0x405b57	string too long
0x405ec1	0x4975ec	string	0x405eb5	SQLITE_
0x4063e6	0x4975f4	string	0x4063aa	20b:20e
0x40644e	0x4975fc	string	0x406439	20c:20e
0x406670	0x497608	string	0x40664e	40f-21a-21d
0x40680e	0x488540	string	0x4067cc	WVS3
0x4069f1	0x488540	string	0x406961	WVS3
0x406a87	0x497618	string	0x406961	local time unavailable
0x406ac4	0x406ad9	string	0x406aa7	3҈T5 blocks=Basic Latin,Cyrillic
0x406ba5	0x488540	string	0x406aa7	WVS3
0x406c85	0x497678	string	0x406aa7	hour
0x406ca8	0x49766c	string	0x406aa7	year
0x406d29	0x497680	string	0x406aa7	minute
0x406d49	0x497688	string	0x406aa7	second
0x406d7a	0x497664	string	0x406aa7	month
0x406e1d	0x497630	string	0x406aa7	localtime
0x406e85	0x49764c	string	0x406aa7	weekday
0x406f27	0x488540	string	0x406aa7	WVS3
0x406f8e	0x49763c	string	0x406aa7	unixepoch
