reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401304	0x48a000	import	0x401210	KERNEL32.dll.GetModuleHandleA
0x40130f	0x48a004	import	0x401210	KERNEL32.dll.LoadLibraryA
0x401337	0x48a004	import	0x401333	KERNEL32.dll.LoadLibraryA
0x4013f6	0x497494	string	0x4013b6	GetFileAttributesA
0x40145e	0x4974a8	string	0x40141c	CreateDirectoryA
0x40152b	0x4974bc	string	0x401475	FindFirstFileA
0x40160e	0x4974cc	string	0x401475	SetFileAttributesA
0x40165e	0x4974e0	string	0x401475	DeleteFileA
0x4016b1	0x4974ec	string	0x401475	FindNextFileA
0x4016f7	0x4974fc	string	0x401475	FindClose
0x401748	0x4974cc	string	0x401475	SetFileAttributesA
0x401796	0x497508	string	0x401475	RemoveDirectoryA
0x401810	0x49751c	string	0x4017c1	CopyFileA
0x401ac1	0x401ac8	string	0x401a50	SSSS
0x401ad7	0x497530	string	0x401a50	GetVolumeInformationA
0x401c58	0x4974bc	string	0x401bce	FindFirstFileA
0x402063	0x4a0af0	string	0x401bce	H+''#!-;f;9$!<-
0x4021ba	0x4974ec	string	0x401bce	FindNextFileA
0x402213	0x4974fc	string	0x401bce	FindClose
0x402417	0x497558	string	0x40223b	CreateMutexA
0x402479	0x497568	string	0x40223b	WaitForSingleObject
0x4024f7	0x49757c	string	0x40223b	ReleaseMutex
0x40255e	0x49758c	string	0x40223b	CloseHandle
0x402d01	0x402d52	string	0x40223b	hhZJ
0x405135	0x4974e0	string	0x40223b	DeleteFileA
0x40578e	0x49759c	string	0x40578e	invalid string position
0x405b78	0x4975b4	string	0x405b78	string too long
0x405ee2	0x4975ec	string	0x405ed6	SQLITE_
0x406407	0x4975f4	string	0x4063cb	20b:20e
0x40646f	0x4975fc	string	0x40645a	20c:20e
0x406691	0x497608	string	0x40666f	40f-21a-21d
0x40682f	0x4883d0	string	0x4067ed	WVS3
0x406a12	0x4883d0	string	0x406982	WVS3
0x406aa8	0x497618	string	0x406982	local time unavailable
0x406ae5	0x406afa	string	0x406ac8	3҈T5 blocks=Basic Latin,Cyrillic
