reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401324	0x47b000	import	0x401320	KERNEL32.dll.LoadLibraryA
0x401332	0x47b004	import	0x401320	KERNEL32.dll.GetProcAddress
0x40138c	0x47b000	import	0x40133a	KERNEL32.dll.LoadLibraryA
0x401396	0x480ea4	string	0x40133a	GetFileAttributesA
0x40139c	0x47b004	import	0x40133a	KERNEL32.dll.GetProcAddress
0x40140c	0x47b000	import	0x4013bc	KERNEL32.dll.LoadLibraryA
0x401416	0x480eb8	string	0x4013bc	CreateDirectoryA
0x40141c	0x47b004	import	0x4013bc	KERNEL32.dll.GetProcAddress
0x4014f1	0x47b000	import	0x40142c	KERNEL32.dll.LoadLibraryA
0x4014ff	0x480ecc	string	0x40142c	FindFirstFileA
0x401505	0x47b004	import	0x40142c	KERNEL32.dll.GetProcAddress
0x401620	0x47b000	import	0x40142c	KERNEL32.dll.LoadLibraryA
0x40162e	0x480ee0	string	0x40142c	SetFileAttributesA
0x401634	0x47b004	import	0x40142c	KERNEL32.dll.GetProcAddress
0x401692	0x47b000	import	0x40142c	KERNEL32.dll.LoadLibraryA
0x4016a0	0x480ef4	string	0x40142c	DeleteFileA
0x4016a6	0x47b004	import	0x40142c	KERNEL32.dll.GetProcAddress
0x4016ed	0x47b000	import	0x40142c	KERNEL32.dll.LoadLibraryA
0x401704	0x480f00	string	0x40142c	FindNextFileA
0x40170a	0x47b004	import	0x40142c	KERNEL32.dll.GetProcAddress
0x401774	0x480f10	string	0x40142c	FindClose
0x40177a	0x47b004	import	0x40142c	KERNEL32.dll.GetProcAddress
0x4017d5	0x47b000	import	0x40142c	KERNEL32.dll.LoadLibraryA
0x4017e3	0x480ee0	string	0x40142c	SetFileAttributesA
0x4017e9	0x47b004	import	0x40142c	KERNEL32.dll.GetProcAddress
0x401840	0x47b000	import	0x40142c	KERNEL32.dll.LoadLibraryA
0x40184e	0x480f1c	string	0x40142c	RemoveDirectoryA
0x401854	0x47b004	import	0x40142c	KERNEL32.dll.GetProcAddress
0x4018d2	0x47b000	import	0x401876	KERNEL32.dll.LoadLibraryA
0x4018dc	0x480f30	string	0x401876	CopyFileA
0x4018e2	0x47b004	import	0x401876	KERNEL32.dll.GetProcAddress
0x401a8d	0x47b000	import	0x4019fd	KERNEL32.dll.LoadLibraryA
0x401a99	0x401aa7	string	0x4019fd	SSSS
0x401a9b	0x480f44	string	0x4019fd	GetVolumeInformationA
0x401aa1	0x47b004	import	0x4019fd	KERNEL32.dll.GetProcAddress
0x401c39	0x47b000	import	0x401bad	KERNEL32.dll.LoadLibraryA
0x401c47	0x480ecc	string	0x401bad	FindFirstFileA
0x401c4d	0x47b004	import	0x401bad	KERNEL32.dll.GetProcAddress
0x401e28	0x401e0b	string	0x401bad	j\nX;
0x402167	0x47b000	import	0x401bad	KERNEL32.dll.LoadLibraryA
0x402175	0x480f64	string	0x401bad	GetTickCount
0x40217b	0x47b004	import	0x401bad	KERNEL32.dll.GetProcAddress
0x402345	0x47b000	import	0x401bad	KERNEL32.dll.LoadLibraryA
0x402353	0x480f00	string	0x401bad	FindNextFileA
0x402359	0x47b004	import	0x401bad	KERNEL32.dll.GetProcAddress
0x4023d5	0x47b000	import	0x401bad	KERNEL32.dll.LoadLibraryA
0x4023df	0x480f10	string	0x401bad	FindClose
0x4023e5	0x47b004	import	0x401bad	KERNEL32.dll.GetProcAddress
0x403362	0x480ef4	string	0x402409	DeleteFileA
0x403617	0x480f78	string	0x403617	invalid string position
0x403b30	0x480f90	string	0x403b30	string too long
0x403d23	0x403d30	string	0x403cbc	3ۃ}\b blocks=Basic Latin,Arabic
0x403ea9	0x480fc8	string	0x403e9e	SQLITE_
0x403fc5	0x486148	string	0x403f50	misuse
0x403fca	0x486118	string	0x403f50	%s at line %d of [%.10s]
0x40445f	0x480fd0	string	0x404423	20b:20e
0x4044c7	0x480fd8	string	0x4044b2	20c:20e
0x4046e9	0x480fe4	string	0x4046c7	40f-21a-21d
0x40489c	0x4781c0	string	0x40485a	WVS3
0x404a7f	0x4781c0	string	0x4049ef	WVS3
0x404b15	0x480ff4	string	0x4049ef	local time unavailable
0x404b52	0x404b67	string	0x404b35	3҈T5 blocks=Basic Latin,Cyrillic
0x404c37	0x4781c0	string	0x404b35	WVS3
0x404d31	0x481054	string	0x404b35	hour
0x404d54	0x481048	string	0x404b35	year
0x404dd8	0x48105c	string	0x404b35	minute
0x404df8	0x481064	string	0x404b35	second
0x404e2c	0x481040	string	0x404b35	month
