reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401040	0x402058	import	0x401000	MSVCRT.dll.realloc
0x40110d	0x402000	import	0x40108a	KERNEL32.dll.VirtualAlloc
0x401178	0x402008	import	0x40108a	KERNEL32.dll.VirtualFree
0x40118d	0x40201c	import	0x401185	KERNEL32.dll.GetCommandLineW
0x401198	0x402070	import	0x401185	SHELL32.dll.CommandLineToArgvW
0x4011ad	0x40200c	import	0x401185	KERNEL32.dll.SetErrorMode
0x4011de	0x40205c	import	0x401185	MSVCRT.dll.free
0x4011fc	0x402084	string	0x4011f0	.bin
0x401256	0x402084	string	0x4011f0	.bin
0x40125d	0x402054	import	0x4011f0	MSVCRT.dll.strncmp
0x4012d1	0x402028	import	0x4012a4	MSVCRT.dll.__set_app_type
0x4012e6	0x402064	import	0x4012a4	MSVCRT.dll.__p__fmode
0x4012f4	0x402024	import	0x4012a4	MSVCRT.dll.__p__commode
0x401320	0x402038	import	0x4012a4	MSVCRT.dll.__setusermatherr
0x401359	0x402040	import	0x4012a4	MSVCRT.dll.__getmainargs
0x4013a8	0x402014	import	0x4012a4	KERNEL32.dll.GetStartupInfoA
0x4013b2	0x4013c5	string	0x4012a4	j\nXPVSS
0x4013cc	0x402018	import	0x4012a4	KERNEL32.dll.GetModuleHandleA
0x4013dc	0x402048	import	0x4012a4	MSVCRT.dll.exit
0x401402	0x40204c	import	0x401402	MSVCRT.dll._XcptFilter
0x401408	0x40203c	import	0x401408	MSVCRT.dll._initterm
0x401436	0x402030	import	0x401436	MSVCRT.dll._controlfp
0x40148c	0x402060	import	0x40148c	MSVCRT.dll.memcpy
0x401492	0x402068	import	0x401492	MSVCRT.dll.memset
