reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x43cdec	0x43cde8	string	0x43cddd	K8p\ax
0x440d45	0x440d48	string	0x440c27	A\r6\fL
0x44ab3e	0x44ab4a	string	0x4484fb	x\nr)\b
0x44d48a	0x44d4cb	string	0x4484fb	E?E{E
0x451aaf	0x451ab1	string	0x4484fb	kernel32.dll
0x452678	0x45267a	string	0x4484fb	Copy
0x452a86	0x452a88	string	0x4484fb	EventArgs
0x452a90	0x452a92	string	0x4484fb	_clean
0x452a9c	0x452b0a	string	0x4484fb	Normal
0x452aa8	0x452b16	string	0x4484fb	ProtocolError
0x452b14	0x452b16	string	0x4484fb	ProtocolError
0x452b22	0x452b24	string	0x4484fb	UnsupportedData
0x452b45	0x452b47	string	0x4484fb	Abnormal
0x452b78	0x452be9	string	0x4484fb	_message
0x452b90	0x452b92	string	0x4484fb	TlsHandshakeFailure
0x452bd2	0x452bd4	string	0x4484fb	_exception
0x452c28	0x452c2a	string	0x4484fb	_last
0x452c35	0x452c37	string	0x4484fb	_tspecials
0x452c40	0x452c42	string	0x4484fb	MemoryStream
0x452c6a	0x452cd1	string	0x4484fb	CompressionMode
0x452cfa	0x452cfc	string	0x4484fb	compressToArray
0x452d0a	0x452d0c	string	0x4484fb	decompress
0x452d27	0x452d29	string	0x4484fb	String
0x452d54	0x452da3	string	0x4484fb	get_UTF8
0x452dc0	0x452e27	string	0x4484fb	System.Collections.Specialized
0x452de3	0x452de5	string	0x4484fb	IndexOfAny
0x452dee	0x452df0	string	0x4484fb	Contains
0x452e01	0x452e64	string	0x4484fb	Split
0x452e62	0x452e64	string	0x4484fb	Split
0x452e74	0x452e76	string	0x4484fb	StringComparison
0x452eb8	0x452eba	string	0x4484fb	get_Current
0x452ec4	0x452ec6	string	0x4484fb	Func`2
0x452ede	0x452ee0	string	0x4484fb	System.Collections
0x452ef1	0x452ef3	string	0x4484fb	MoveNext
0x452ef5	0x452f5c	string	0x4484fb	BeginRead
0x452f10	0x452f73	string	0x4484fb	Action`1
0x452f20	0x452f22	string	0x4484fb	length
0x452f71	0x452f73	string	0x4484fb	Action`1
0x452f92	0x453000	string	0x4484fb	action
0x452f9d	0x452f9f	string	0x4484fb	Decompress
0x452fba	0x452fbc	string	0x4484fb	EventHandler
0x45301a	0x453085	string	0x4484fb	get_HostNameType
0x4530de	0x4530e0	string	0x4484fb	GetMessage
0x453110	0x453112	string	0x4484fb	GetString
0x45314b	0x45314d	string	0x4484fb	GetValue
0x453158	0x4531cf	string	0x4484fb	IsHttpMethod
0x453166	0x4531dc	string	0x4484fb	version
0x45316f	0x4531e4	string	0x4484fb	IsPortNumber
0x453175	0x4531dc	string	0x4484fb	version
0x453185	0x453187	string	0x4484fb	order
0x45318e	0x4531f1	string	0x4484fb	IsReserved
0x45326e	0x453270	string	0x4484fb	Quote
0x453293	0x453295	string	0x4484fb	SplitHeaderValue
0x4532bb	0x4532bd	string	0x4484fb	GetValues
0x4532c5	0x4532c7	string	0x4484fb	ToCompressionMethod
0x4532e8	0x45334f	string	0x4484fb	get_AddressFamily
0x4532ea	0x4532ec	string	0x4484fb	ToExtensionString
0x4533ed	0x453454	string	0x4484fb	uriString
0x453408	0x453476	string	0x4484fb	TryGetUTF8EncodedBytes
0x45340a	0x45340c	string	0x4484fb	get_Scheme
0x45342b	0x45342d	string	0x4484fb	get_PathAndQuery
0x45343b	0x4534b6	string	0x4484fb	fileInfo
0x4534a4	0x453518	string	0x4484fb	WriteBytesAsync
0x4534cd	0x453518	string	0x4484fb	WriteBytesAsync
0x4535ae	0x4535b0	string	0x4484fb	get_OSSupportsIPv6
0x4535c9	0x4535cb	string	0x4484fb	IPv6Loopback
0x4535ef	0x45365d	string	0x4484fb	Int16
0x4535f8	0x4535fa	string	0x4484fb	IsPredefinedScheme
0x453613	0x45367e	string	0x4484fb	UInt64
0x453629	0x45368e	string	0x4484fb	ToSingle
0x453639	0x45363b	string	0x4484fb	startIndex
0x45367a	0x4536af	string	0x4484fb	ToDouble
0x45368a	0x4536bf	string	0x4484fb	ToBoolean
0x4536ab	0x4536de	string	0x4484fb	ToHostOrder
0x4536b3	0x453717	string	0x4484fb	ToUri
0x453703	0x453705	string	0x4484fb	TryCreate
0x453728	0x45372a	string	0x4484fb	content
0x453730	0x453732	string	0x4484fb	.cctor
0x453737	0x453739	string	0x4484fb	<>c__DisplayClass19_0
0x4537a8	0x453823	string	0x4484fb	CS$<>8__locals1
0x4537b3	0x4537b5	string	0x4484fb	<>c__DisplayClass57_0
0x4537cf	0x4537d1	string	0x4484fb	offset
0x4537d6	0x4537d8	string	0x4484fb	<ReadBytesAsync>b__0
0x45380b	0x45380d	string	0x4484fb	<>c__DisplayClass58_1
0x453857	0x4538be	string	0x4484fb	<buff>5__3
0x453882	0x453884	string	0x4484fb	<>l__initialThreadId
0x4538db	0x453942	string	0x4484fb	System.Diagnostics
0x453972	0x4539d3	string	0x4484fb	System.Collections.IEnumerator.Reset
0x4539bb	0x4539bd	string	0x4484fb	NotSupportedException
0x4539f6	0x4539f8	string	0x4484fb	Reset
0x4539fc	0x4539fe	string	0x4484fb	System.Collections.IEnumerator.get_Current
0x453a27	0x453a29	string	0x4484fb	System.Collections.Generic.IEnumerable<System.String>.GetEnumerator
0x453a6b	0x453a6d	string	0x4484fb	System.Collections.IEnumerable.GetEnumerator
0x453a98	0x453a9a	string	0x4484fb	System.Collections.Generic.IEnumerator<System.String>.Current
0x453ad6	0x453ad8	string	0x4484fb	System.Collections.IEnumerator.Current
0x453ad9	0x453b4e	string	0x4484fb	<WriteBytesAsync>b__0
0x453af3	0x453b64	string	0x4484fb	<WriteBytesAsync>b__1
0x453afd	0x453aff	string	0x4484fb	<TrimEach>d__69
0x453b52	0x453bb9	string	0x4484fb	EntityBodyData
0x453bea	0x453c4b	string	0x4484fb	<Read>b__0
0x453c10	0x453c86	string	0x4484fb	EntityBody
0x453c25	0x453c27	string	0x4484fb	readHeaders
0x453dc5	0x453dc7	string	0x4484fb	CreateWebSocketRequest
0x453e01	0x453e03	string	0x4484fb	SetCookies
0x453f95	0x453fec	string	0x4484fb	_level
0x453fad	0x454001	string	0x4484fb	caller
0x453fba	0x454031	string	0x4484fb	System.Reflection
0x453fbc	0x454001	string	0x4484fb	caller
0x453ff9	0x453ffb	string	0x4484fb	level
0x45401e	0x45407f	string	0x4484fb	Level
0x454028	0x454092	string	0x4484fb	IsVolatile
0x4540a3	0x4540a5	string	0x4484fb	Action`2
0x4540af	0x45412a	string	0x4484fb	StreamWriter
0x4540cf	0x4540d1	string	0x4484fb	Enter
0x4540d5	0x4540d7	string	0x4484fb	Exit
0x4540da	0x4540dc	string	0x4484fb	set_File
0x4540f6	0x45416d	string	0x4484fb	Info
0x4540f8	0x4540fa	string	0x4484fb	set_Output
0x4540fa	0x454161	string	0x4484fb	Error
0x454101	0x454178	string	0x4484fb	Warn
0x454103	0x454105	string	0x4484fb	Console
0x45411b	0x454189	string	0x4484fb	LogLevel
0x454123	0x454125	string	0x4484fb	path
0x454135	0x454137	string	0x4484fb	TextWriter
0x454140	0x454142	string	0x4484fb	Synchronized
0x454165	0x454167	string	0x4484fb	Fatal
0x4541ab	0x454214	string	0x4484fb	get_RawData
0x4541ad	0x4541af	string	0x4484fb	_data
0x4541cc	0x45422f	string	0x4484fb	Data
0x4541da	0x45423d	string	0x4484fb	IsPing
0x4541ee	0x454251	string	0x4484fb	Text
0x454249	0x4542ac	string	0x4484fb	set_ExtensionDataLength
0x45424f	0x454251	string	0x4484fb	Text
0x4542f5	0x454360	string	0x4484fb	<>4__this
0x454300	0x454302	string	0x4484fb	ExtensionDataLength
0x4543b3	0x4543b5	string	0x4484fb	System.Collections.Generic.IEnumerator<System.Byte>.Current
0x4543dd	0x454452	string	0x4484fb	_emitOnPing
0x4543ea	0x45445e	string	0x4484fb	_enableRedirection
0x4543fd	0x4543ff	string	0x4484fb	_authChallenge
0x45441f	0x454421	string	0x4484fb	_closeContext
0x454450	0x454452	string	0x4484fb	_emitOnPing
0x45447b	0x45447d	string	0x4484fb	_extensionsRequested
0x4544ec	0x45454f	string	0x4484fb	_maxRetryCountForConnect
0x4544fd	0x454568	string	0x4484fb	_messageEventQueue
0x454518	0x45451a	string	0x4484fb	_ignoreExtensions
0x45452a	0x45452c	string	0x4484fb	_inContinuation
0x45458d	0x45458f	string	0x4484fb	_origin
0x4545b4	0x4545b6	string	0x4484fb	_preAuth
0x4545d2	0x4545d4	string	0x4484fb	_protocolsRequested
0x4545ec	0x454667	string	0x4484fb	_waitTime
