reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x14000108b	0x140028988	string	0x140001070	C:\Users\Public\Documents\demo.txt
0x1400010b0	0x140023470	import	0x140001070	KERNEL32.dll.CreateFileA
0x1400010da	0x140023468	import	0x140001070	KERNEL32.dll.WriteFile
0x1400010e8	0x140023460	import	0x140001070	KERNEL32.dll.CloseHandle
0x140001116	0x140023458	import	0x140001110	KERNEL32.dll.GetCommandLineA
0x140001121	0x140023450	import	0x140001110	KERNEL32.dll.GetModuleHandleA
0x14000115c	0x140023480	import	0x140001110	KERNEL32.dll.GetCurrentProcessId
0x140001172	0x140023648	import	0x140001110	USER32.dll.EnumWindows
0x140001189	0x140023650	import	0x140001110	USER32.dll.ShowWindow
0x14000118f	0x140028988	string	0x140001110	C:\Users\Public\Documents\demo.txt
0x1400011a0	0x140023448	import	0x140001110	KERNEL32.dll.Sleep
0x1400011ae	0x140028988	string	0x140001110	C:\Users\Public\Documents\demo.txt
0x1400011ce	0x140023470	import	0x140001110	KERNEL32.dll.CreateFileA
0x140001332	0x140023a38	string	0x140001310	KERNEL32
0x140001339	0x140023450	import	0x140001310	KERNEL32.dll.GetModuleHandleA
0x14000134d	0x140023a28	string	0x140001310	CreateActCtxA
0x140001357	0x140023428	import	0x140001310	KERNEL32.dll.GetProcAddress
0x14000135d	0x140023a18	string	0x140001310	ReleaseActCtx
0x14000136e	0x140023428	import	0x140001310	KERNEL32.dll.GetProcAddress
0x140001374	0x140023a08	string	0x140001310	ActivateActCtx
0x140001385	0x140023428	import	0x140001310	KERNEL32.dll.GetProcAddress
0x14000138b	0x1400239f0	string	0x140001310	DeactivateActCtx
0x14000139c	0x140023428	import	0x140001310	KERNEL32.dll.GetProcAddress
0x140001462	0x140023030	import	0x140001310	ADVAPI32.dll.RegOpenKeyExA
0x14000149a	0x140023038	import	0x140001310	ADVAPI32.dll.RegQueryValueExA
0x1400014e8	0x140023040	import	0x140001310	ADVAPI32.dll.RegCloseKey
0x14000159c	0x140023918	string	0x140001570	PreviewPages
0x1400015a3	0x140023908	string	0x140001570	Settings
0x1400015ad	0x14000459c	string	0x140001570	@SUVWH
0x14000160b	0x140023420	import	0x140001570	KERNEL32.dll.FreeLibrary
0x140001663	0x1400236b0	import	0x140001638	USER32.dll.PostQuitMessage
0x1400017d4	0x140023408	import	0x1400017b4	KERNEL32.dll.GlobalLock
0x1400017e4	0x140023410	import	0x1400017b4	KERNEL32.dll.lstrcmpA
0x140001840	0x140023418	import	0x1400017b4	KERNEL32.dll.GlobalAlloc
0x140001850	0x140023408	import	0x1400017b4	KERNEL32.dll.GlobalLock
0x140001915	0x1400233f0	import	0x1400018f8	KERNEL32.dll.LoadResource
0x140001927	0x1400233f8	import	0x1400018f8	KERNEL32.dll.LockResource
0x14000193b	0x140023400	import	0x1400018f8	KERNEL32.dll.SizeofResource
0x140001e1a	0x140023c50	string	0x140001dd0	kernel32.dll
0x140001e21	0x140023450	import	0x140001dd0	KERNEL32.dll.GetModuleHandleA
0x140001e2a	0x140023c30	string	0x140001dd0	GetUserDefaultUILanguage
0x140001e34	0x140023428	import	0x140001dd0	KERNEL32.dll.GetProcAddress
0x140001e63	0x1400233b0	import	0x140001dd0	KERNEL32.dll.ConvertDefaultLocale
0x140001e6f	0x1400233b0	import	0x140001dd0	KERNEL32.dll.ConvertDefaultLocale
0x140001e7d	0x140023c10	string	0x140001dd0	GetSystemDefaultUILanguage
0x140001e87	0x140023428	import	0x140001dd0	KERNEL32.dll.GetProcAddress
0x140001eb1	0x1400233b0	import	0x140001dd0	KERNEL32.dll.ConvertDefaultLocale
0x140001ebd	0x1400233b0	import	0x140001dd0	KERNEL32.dll.ConvertDefaultLocale
0x140001ecd	0x140023c00	string	0x140001dd0	ntdll.dll
0x140001ed4	0x140023450	import	0x140001dd0	KERNEL32.dll.GetModuleHandleA
0x140001f02	0x1400233b8	import	0x140001dd0	KERNEL32.dll.EnumResourceLanguagesA
0x140001f2e	0x1400233b0	import	0x140001dd0	KERNEL32.dll.ConvertDefaultLocale
0x140001f3a	0x1400233b0	import	0x140001dd0	KERNEL32.dll.ConvertDefaultLocale
0x140001f7e	0x1400233c0	import	0x140001dd0	KERNEL32.dll.GetModuleFileNameA
0x1400020aa	0x1400233c8	import	0x140001dd0	KERNEL32.dll.GetLocaleInfoA
0x140002138	0x1400233d0	import	0x140001dd0	KERNEL32.dll.LoadLibraryA
0x14000227b	0x1400233c0	import	0x140001dd0	KERNEL32.dll.GetModuleFileNameA
0x140002291	0x1400234c8	import	0x140001dd0	SHLWAPI.dll.PathFindExtensionA
0x1400022a4	0x140023c60	string	0x140001dd0	%s%s.dll
0x1400023a7	0x1400233a0	import	0x140002308	KERNEL32.dll.GetCurrentThread
0x1400023b1	0x1400233a8	import	0x140002308	KERNEL32.dll.GetCurrentThreadId
0x1400024a8	0x1400233e8	import	0x14000246c	KERNEL32.dll.FindResourceA
0x1400024f5	0x1400233d8	import	0x14000246c	KERNEL32.dll.WideCharToMultiByte
0x14000253f	0x1400233d8	import	0x14000246c	KERNEL32.dll.WideCharToMultiByte
0x1400027fb	0x140023398	import	0x14000271c	KERNEL32.dll.GlobalDeleteAtom
0x14000280d	0x140023398	import	0x14000271c	KERNEL32.dll.GlobalDeleteAtom
0x1400029ab	0x1400234c0	import	0x140002990	SHLWAPI.dll.PathFindFileNameA
0x1400029b9	0x140023390	import	0x140002990	KERNEL32.dll.lstrlenA
0x140002a63	0x1400233c0	import	0x140002a0c	KERNEL32.dll.GetModuleFileNameA
0x140002a7e	0x1400234c8	import	0x140002a0c	SHLWAPI.dll.PathFindExtensionA
