reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401092	0x40ea1c	string	0x401092	run_as_install_service() started
0x4010d1	0x40e018	import	0x401092	ADVAPI32.dll.StartServiceCtrlDispatcherA
0x4010db	0x40ea40	string	0x401092	run_as_install_service(): StartServiceCtrlDispatcher() failed
0x4010e0	0x40e198	import	0x401092	KERNEL32.dll.GetLastError
0x401130	0x40e064	import	0x4010f5	ADVAPI32.dll.SetServiceStatus
0x401150	0x40eb18	string	0x401138	got unknown service control code: %d
0x4011d6	0x40eb40	string	0x4011cc	RunPluginOnceMain(): running '%S'
0x4011fd	0x40eb64	string	0x4011cc	RunPluginOnceMain(): sxor2_open('%S') failed
0x401226	0x40eb94	string	0x4011cc	RunPluginOnceMain(): mem_alloc() failed
0x401240	0x40e190	import	0x4011cc	KERNEL32.dll.lstrcpynW
0x401247	0x40ebbc	string	0x4011cc	PluginMainRemote(): g_CoreData.wszQbotinjExePath='%S'
0x40126e	0x40ebf4	string	0x4011cc	RunPluginOnceMain(): failed
0x40127e	0x40ec10	string	0x4011cc	RunPluginOnceMain(): dll loaded ok
0x40128f	0x40e194	import	0x4011cc	KERNEL32.dll.Sleep
0x4012bd	0x40ec34	string	0x4012a4	StopQbotThread(): started
0x4012cc	0x40e088	import	0x4012a4	KERNEL32.dll.GetCurrentProcessId
0x4012d8	0x40ec50	string	0x4012a4	2%s%u
0x4012f2	0x40e148	import	0x4012a4	KERNEL32.dll.OpenEventA
0x401302	0x412498	string	0x4012a4	SignalEvent(): OpenEvent('%s') failed
0x401307	0x40e198	import	0x4012a4	KERNEL32.dll.GetLastError
0x401319	0x40e144	import	0x4012a4	KERNEL32.dll.SetEvent
0x401327	0x4124c0	string	0x4012a4	SignalEvent(): SetEvent('%s') failed
0x40132c	0x40e198	import	0x4012a4	KERNEL32.dll.GetLastError
0x40134f	0x40ec58	string	0x4012a4	StopQbotThread(): event szQbotStopEvent='%s' signaled ok
0x401366	0x40ec94	string	0x401364	stop_dllinject(): started
0x401385	0x40ecb0	string	0x401364	stop_dllinject(): window found hWnd=0x%x
0x4013a5	0x40ecdc	string	0x401364	stop_dllinject(): Message sent ret=%u.
0x4013b4	0x40ed04	string	0x401364	stop_dllinject(): FindWindow('%s') failed
0x4013b9	0x40e198	import	0x401364	KERNEL32.dll.GetLastError
0x4013f8	0x40ed30	string	0x4013de	QbotMainDllThread(): started
0x401421	0x40ed50	string	0x4013de	QbotMainDllThread(): UnpackQbotDll() failed nErr=%d
0x401457	0x40ed84	string	0x4013de	QbotMainDllThread(): mem_alloc() failed
0x401470	0x40e190	import	0x4013de	KERNEL32.dll.lstrcpynW
0x401477	0x40edac	string	0x4013de	QbotMainDllThread: pQbotMainDll=%08X
0x401499	0x40edd4	string	0x4013de	QbotMainDllThread: done
0x4014cd	0x4014d6	string	0x4014ad	SWVVV
0x4014db	0x40e0ec	import	0x4014ad	KERNEL32.dll.CreateEventA
0x4014e8	0x40edf0	string	0x4014ad	StartQbotThread(): CreateEventA() failed szSuccessStartEventName='%s'
0x4014fa	0x40e198	import	0x4014ad	KERNEL32.dll.GetLastError
0x401508	0x40ee38	string	0x4014ad	StartQbotThread(): event '%s' already exists!!!
0x401521	0x40e178	import	0x4014ad	KERNEL32.dll.WaitForSingleObject
0x40152b	0x40ee68	string	0x4014ad	StartQbotThread(): success!
0x401546	0x40ee84	string	0x4014ad	StartQbotThread(): hSuccessStartEvent wait timeout!
0x401556	0x40eeb8	string	0x4014ad	StartQbotThread(): WaitForSingleObject() error return %08x
0x401565	0x40e084	import	0x4014ad	KERNEL32.dll.CloseHandle
0x40159c	0x40ef38	string	0x401573	WndProc(): Got WM_QBOT_MSG_2 message
0x4015b1	0x40ef60	string	0x401573	WndProc(): got WM_QBOT_MSG_2 with MSG_WPARAM_CONTROL
0x4015f5	0x40f020	string	0x401573	WndProc(): got WM_QBOT_MSG_1 with unknown wParam=%04X
0x401607	0x40eff4	string	0x401573	WndProc(): got MSG_WPARAM_STOP lParam=%u
0x40161b	0x40efc4	string	0x401573	WndProc(): got MSG_WPARAM_UNINSTALL lParam=%u
0x40162f	0x40ef98	string	0x401573	WndProc(): got MSG_WPARAM_RESTART lParam=%u
0x401659	0x40ef18	string	0x401573	WndProc(): Got WM_QUIT message
0x401676	0x40eef4	string	0x401573	WndProc(): Got WM_DESTROY message
0x4016a6	0x40f058	string	0x40169f	user32.dll
0x4016c7	0x40e078	import	0x40169f	KERNEL32.dll.LoadLibraryA
0x4016d3	0x40f064	string	0x40169f	setup_message_filter(): LoadLibrary() failed
0x4016d8	0x40e198	import	0x40169f	KERNEL32.dll.GetLastError
0x4016ec	0x40f094	string	0x40169f	ChangeWindowMessageFilter
0x4016f2	0x40e074	import	0x40169f	KERNEL32.dll.GetProcAddress
0x4016fe	0x40f0b0	string	0x40169f	setup_message_filter(): GetProcAddress() failed
0x401703	0x40e198	import	0x40169f	KERNEL32.dll.GetLastError
0x401726	0x40f0e0	string	0x40169f	setup_message_filter(): ChangeWindowMessageFilter() failed i=%d
0x40172b	0x40e198	import	0x40169f	KERNEL32.dll.GetLastError
0x401740	0x40f120	string	0x40169f	setup_message_filter(): finished
0x40174c	0x40e17c	import	0x40169f	KERNEL32.dll.FreeLibrary
0x401761	0x40f144	string	0x401759	listen_msg_loop(): started
0x4017b9	0x40f160	string	0x401759	msg_thread(): RegisterClassEx() failed
0x4017be	0x40e198	import	0x401759	KERNEL32.dll.GetLastError
0x4017ff	0x40f188	string	0x401759	msg_thread(): CreateWindowExA() failed wnd_name='%s'
0x401804	0x40e198	import	0x401759	KERNEL32.dll.GetLastError
0x40183a	0x40f1c0	string	0x401759	msg_thread(): Create window ok: hWndMain=0x%08x wnd_name='%s'
0x40184e	0x40f200	string	0x401759	msg_thread(): GetMessage() returned ret=-1
0x401880	0x40f22c	string	0x401759	msg_thread(): GetMessage() loop finished.
0x4018b1	0x40f258	string	0x401759	msg_thread(): SF_RESTART
0x4018e5	0x40f274	string	0x401759	msg_thread(): SF_UNINSTALL
0x40191b	0x40f294	string	0x401759	RunAsInjectorEP(): init_constants_lib() failed
0x401932	0x40f2c4	string	0x401759	RunAsInjectorEP(): started
0x401957	0x40f2e0	string	0x401759	RunAsInjectorEP(): ResolveProcs(dllinject_winapi) failed!!!
0x4019e2	0x40f34c	string	0x401993	LoadConfigEmbedded(): cannot load qbot_main_dll
0x401a1d	0x40f37c	string	0x401993	LoadConfigEmbedded(): PreparePEImage() failed
0x401a56	0x40f3ac	string	0x401993	LoadConfigEmbedded(): GetResData(RESDLL_CONF) ok: dwConfLen=%u
0x401a85	0x40f3ec	string	0x401993	LoadConfigEmbedded(): GetResData() failed: res=[%s]
0x401ac8	0x40f420	string	0x401abb	TRUE
0x401ad0	0x401ad7	string	0x401abb	PSh0
0x401ad2	0x40f428	string	0x401abb	FALSE
0x401ad9	0x40f430	string	0x401abb	run_as_exe_installer(): started flags=%08x bSystemFinish=%s
0x401b23	0x40e180	import	0x401abb	KERNEL32.dll.GetDriveTypeW
0x401b2c	0x40f46c	string	0x401abb	run_as_exe_installer(): drive_type=%u
0x401b85	0x40f498	string	0x401abb	run_as_exe_installer(): ===>>> szBotGroup='%s'
0x401b9c	0x401ba3	string	0x401abb	Y_^3
0x401bd9	0x40e07c	import	0x401bab	KERNEL32.dll.lstrcmpiW
0x401be4	0x40f420	string	0x401bab	TRUE
0x401beb	0x40f428	string	0x401bab	FALSE
0x401bf6	0x40f4c8	string	0x401bab	BotInstalled(): ===>>> bRet=%s wszCurrentHomeDirName='%S' wszBotHomeDirName='%S'
0x401c17	0x40f51c	string	0x401c09	kernel32.dll
0x401c20	0x40e184	import	0x401c09	KERNEL32.dll.lstrcmpA
0x401c2a	0x40f52c	string	0x401c09	TestStringConstants(): CS3[] corrupted!!!
0x401c71	0x40f558	string	0x401c4a	TestQbotDllsRes(): ===>>> res: %s
0x401d5a	0x40f5c0	string	0x401d0b	CheckExeSilent(): success
0x401d74	0x40f580	string	0x401d0b	EXE Error: res_test=%d dwSehTest=%u res_msg='%s' iConstTest=%d
0x401e62	0x40f5e4	string	0x401de3	PrintVersionMessage(): no memory
0x401e67	0x40e198	import	0x401de3	KERNEL32.dll.GetLastError
0x401ec2	0x40f608	string	0x401de3	\n!!! Achtung !!! DEBUG IS ENABLED !!!
0x401ec8	0x40e06c	import	0x401de3	KERNEL32.dll.lstrcatA
0x401ed1	0x40f630	string	0x401de3	PrintVersionMessage(): szSelfTestResult='%s'
0x401ede	0x40f660	string	0x401de3	PrintVersionMessage(): szFmt='%s'
0x401f16	0x40f684	string	0x401de3	PrintVersionMessage(): finished
0x401f51	0x40e198	import	0x401f28	KERNEL32.dll.GetLastError
0x401f5a	0x40f6a8	string	0x401f28	testtest
0x401f6c	0x40e188	import	0x401f28	KERNEL32.dll.GetCommandLineW
0x401f79	0x40e1d4	import	0x401f28	SHELL32.dll.CommandLineToArgvW
0x401fa6	0x40f6b4	string	0x401f28	wszCommandLine=[%S] nArgc=%d wszProc2=[%S] hInstance=%08X
0x401fb4	0x40f6f0	string	0x401f28	c:\tmp_dbg
0x401fb9	0x40e070	import	0x401f28	KERNEL32.dll.CreateDirectoryA
0x401fcc	0x40f6fc	string	0x401f28	WinMain(): init_constants_lib() failed: ret=%d
0x401fdd	0x40e080	import	0x401f28	KERNEL32.dll.GetModuleHandleA
0x401ffd	0x40f72c	string	0x401f28	qbotinject started. qbotinj version: %X.%u
0x40202f	0x40f758	string	0x401f28	ResolveProcs(dllinject_winapi) failed ret=%d!
0x40205f	0x40f788	string	0x401f28	Bad command line arguments: argc=%u argv[1]='%S'
0x4020e0	0x40f7bc	string	0x401f28	Bad command line arguments
0x402149	0x40f7d8	string	0x401f28	Running as installer
0x402164	0x40e230	import	0x401f28	ole32.dll.CoInitializeEx
0x40216a	0x40e1e4	import	0x401f28	USER32.dll.GetForegroundWindow
0x402171	0x40f7f0	string	0x401f28	GetForegroundWindow()=0x%08x
0x4021ae	0x40e1d8	import	0x401f28	SHELL32.dll.ShellExecuteW
0x4021bd	0x40f830	string	0x401f28	ShellExecute() failed dRet=%d cmd='%S'
0x4021d0	0x40e194	import	0x401f28	KERNEL32.dll.Sleep
0x4021d8	0x40f858	string	0x401f28	Finished.
0x40221d	0x40f864	string	0x401f28	%s\%d.exe
0x40223a	0x40f878	string	0x401f28	Started as NT SYSTEM, copy myself to '%S'
0x402255	0x40e134	import	0x401f28	KERNEL32.dll.CopyFileW
0x402267	0x40f8a4	string	0x401f28	CopyFileA() failed '%S'=>'%S'
0x402308	0x40f8c4	string	0x401f28	Finished! ret=%d
0x402315	0x40e18c	import	0x401f28	KERNEL32.dll.ExitProcess
0x40238a	0x40f8d8	string	0x40237f	finish_uninstall(): started
0x4023cc	0x40f8f4	string	0x40237f	finish_uninstall(): wszUninstallCmd='%S'
0x402414	0x40f920	string	0x40237f	finish_uninstall(): wszRegData='%S' wszRunKey='%S'
0x40244d	0x40f954	string	0x40237f	finish_uninstall(): done
0x40247e	0x40e0a8	import	0x40245e	KERNEL32.dll.WriteFile
0x4024ab	0x40e0bc	import	0x40249a	KERNEL32.dll.GetLocalTime
0x4024b1	0x40e0c8	import	0x40249a	KERNEL32.dll.GetCurrentThreadId
0x4024b8	0x40e088	import	0x40249a	KERNEL32.dll.GetCurrentProcessId
0x4024ce	0x40f970	string	0x40249a	[%02u:%02u:%02u] [%u] [%u]
0x4024f9	0x40e090	import	0x40249a	KERNEL32.dll.CreateFileA
0x402507	0x40e0cc	import	0x40249a	KERNEL32.dll.OutputDebugStringA
0x402519	0x40e094	import	0x40249a	KERNEL32.dll.SetFilePointer
0x402526	0x40e098	import	0x40249a	KERNEL32.dll.lstrlenA
0x402545	0x40e0cc	import	0x40249a	KERNEL32.dll.OutputDebugStringA
0x40254b	0x40f98c	string	0x40249a	WriteLogFile() failed!\n
0x40256f	0x40e0cc	import	0x40249a	KERNEL32.dll.OutputDebugStringA
0x402575	0x40f98c	string	0x40249a	WriteLogFile() failed!\n
0x402597	0x40e0cc	import	0x40249a	KERNEL32.dll.OutputDebugStringA
0x40259d	0x40f98c	string	0x40249a	WriteLogFile() failed!\n
0x4025ab	0x40e084	import	0x40249a	KERNEL32.dll.CloseHandle
0x4025c3	0x40e088	import	0x4025b7	KERNEL32.dll.GetCurrentProcessId
0x40260b	0x40e0c0	import	0x4025b7	KERNEL32.dll.GetModuleFileNameA
0x402611	0x40f9a8	string	0x4025b7	qbot_dll_main
0x402617	0x40e184	import	0x4025b7	KERNEL32.dll.lstrcmpA
0x40261d	0x40e204	import	0x4025b7	msvcrt.dll.strchr
0x402646	0x40f9b8	string	0x4025b7	dbg_%s_%u_qbotdll.txt
0x40265f	0x40f9d0	string	0x4025b7	dbg_%s_%u.txt
0x402675	0x41a4f0	string	0x4025b7	c:\tmp_dbg\
0x402681	0x40e09c	import	0x4025b7	KERNEL32.dll.lstrcpynA
0x402687	0x40e06c	import	0x4025b7	KERNEL32.dll.lstrcatA
0x40269f	0x40e0a0	import	0x4025b7	KERNEL32.dll.GetCurrentProcess
0x4026cf	0x40f9e4	string	0x4025b7	file_test\n
0x4026d7	0x40e098	import	0x4025b7	KERNEL32.dll.lstrlenA
0x4026e4	0x40f9f0	string	0x4025b7	file test\n
0x4026fe	0x40f9fc	string	0x4025b7	TEMP
0x402703	0x40e0b0	import	0x4025b7	KERNEL32.dll.GetEnvironmentVariableA
0x402714	0x40e0cc	import	0x4025b7	KERNEL32.dll.OutputDebugStringA
0x40271c	0x40fa04	string	0x4025b7	szLogFile=
0x402726	0x40fa10	string	0x4025b7	test from low\n
0x40272c	0x40e098	import	0x4025b7	KERNEL32.dll.lstrlenA
0x40273b	0x40fa20	string	0x4025b7	logger_init(): ok.
0x402792	0x40fa34	string	0x40274d	{-} %s:
0x4027b3	0x40e098	import	0x40274d	KERNEL32.dll.lstrlenA
0x4027f2	0x40e0a4	import	0x40274d	KERNEL32.dll.FormatMessageA
0x402826	0x40e098	import	0x40274d	KERNEL32.dll.lstrlenA
0x402833	0x40fa48	string	0x40274d	: %s
0x402869	0x40e098	import	0x40274d	KERNEL32.dll.lstrlenA
0x4028bc	0x40fa50	string	0x402887	%s:
0x4028ce	0x40e098	import	0x402887	KERNEL32.dll.lstrlenA
0x402950	0x40fa34	string	0x402918	{-} %s:
0x402971	0x40e098	import	0x402918	KERNEL32.dll.lstrlenA
0x4029b0	0x40e0a4	import	0x402918	KERNEL32.dll.FormatMessageA
0x4029e4	0x40e098	import	0x402918	KERNEL32.dll.lstrlenA
0x4029f1	0x40fa48	string	0x402918	: %s
