reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x1000141f	0x1000143d	string	0x100013a0	WUQP
0x10001a5b	0x100331e8	string	0x10001a4f	string too long
0x10001aec	0x100331f8	string	0x10001ae0	invalid string position
0x10001b43	0x10033210	string	0x10001ae0	invalid string argument
0x10001bc9	0x10001bf4	string	0x10001b9d	_^]ËC` blocks=Basic Latin,Latin-1 Supplement
0x10001d3a	0x10033234	string	0x10001d1d	Unknown exception
0x1000204a	0x10033024	import	0x10002037	KERNEL32.dll.GetProcessHeap
0x1000205b	0x10033020	import	0x10002037	KERNEL32.dll.HeapAlloc
0x10002071	0x1003301c	import	0x10002037	KERNEL32.dll.GetVersionExA
0x10002081	0x10033018	import	0x10002037	KERNEL32.dll.HeapFree
0x100020a7	0x10033018	import	0x10002037	KERNEL32.dll.HeapFree
0x1000210c	0x10033014	import	0x10002037	KERNEL32.dll.GetCommandLineA
0x100021e0	0x10033010	import	0x10002037	KERNEL32.dll.GetCurrentThreadId
0x1000231e	0x10002210	string	0x10002210	j\fh`
0x100023fb	0x10033028	import	0x100023bb	KERNEL32.dll.RaiseException
0x10002644	0x10002651	string	0x100025e3	jjjjj
0x100029a9	0x10033040	import	0x100028f0	KERNEL32.dll.IsDebuggerPresent
0x100029be	0x1003303c	import	0x100028f0	KERNEL32.dll.SetUnhandledExceptionFilter
0x100029c9	0x10033038	import	0x100028f0	KERNEL32.dll.UnhandledExceptionFilter
0x100029e5	0x10033034	import	0x100028f0	KERNEL32.dll.GetCurrentProcess
0x100029ec	0x10033030	import	0x100028f0	KERNEL32.dll.TerminateProcess
0x10002e19	0x10033040	import	0x10002d6f	KERNEL32.dll.IsDebuggerPresent
0x10002e23	0x1003303c	import	0x10002d6f	KERNEL32.dll.SetUnhandledExceptionFilter
0x10002e2d	0x10033038	import	0x10002d6f	KERNEL32.dll.UnhandledExceptionFilter
0x10002e48	0x10033034	import	0x10002d6f	KERNEL32.dll.GetCurrentProcess
0x10002e4f	0x10033030	import	0x10002d6f	KERNEL32.dll.TerminateProcess
0x100030da	0x10033020	import	0x10003094	KERNEL32.dll.HeapAlloc
0x1000310a	0x10033020	import	0x10003094	KERNEL32.dll.HeapAlloc
0x10003121	0x10033020	import	0x10003112	KERNEL32.dll.HeapAlloc
0x1000323d	0x10033018	import	0x1000322b	KERNEL32.dll.HeapFree
0x1000324e	0x10033044	import	0x1000322b	KERNEL32.dll.GetLastError
0x10003a7b	0x10003a7f	string	0x100039d8	_^][Y
0x10003acc	0x100039d8	string	0x10003ab4	QSUVW
0x10003af4	0x10003ab4	string	0x10003af0	j\fh@
0x10003b99	0x100332c0	string	0x10003b99	mscoree.dll
0x10003b9e	0x1003304c	import	0x10003b99	KERNEL32.dll.GetModuleHandleA
0x10003ba8	0x100332b0	string	0x10003b99	CorExitProcess
0x10003bae	0x10033048	import	0x10003b99	KERNEL32.dll.GetProcAddress
0x10003bcd	0x10033050	import	0x10003bbf	KERNEL32.dll.ExitProcess
0x10003be9	0x10003bf6	string	0x10003be6	;t$\br
0x10003c05	0x10003c16	string	0x10003bfe	;t$\fr
0x10003c09	0x10003c1c	string	0x10003bfe	^ËL$ blocks=Basic Latin,Latin-1 Supplement
0x10003dc1	0x1000d212	string	0x10003db3	j\bhh
0x10003e2c	0x1000d212	string	0x10003db3	j\bhh
0x10003f1b	0x10003e45	string	0x10003efe	j\fh`
0x10003f2c	0x10003e45	string	0x10003f24	j\fh`
0x10003f3b	0x10003e45	string	0x10003f35	j\fh`
0x10003f4a	0x10003e45	string	0x10003f35	j\fh`
0x10003fa6	0x10033054	import	0x10003f9f	KERNEL32.dll.TlsGetValue
0x10003fd3	0x100332dc	string	0x10003f9f	KERNEL32.DLL
0x10003fd8	0x1003304c	import	0x10003f9f	KERNEL32.dll.GetModuleHandleA
0x10003fe2	0x100332cc	string	0x10003f9f	EncodePointer
0x10003fe8	0x10033048	import	0x10003f9f	KERNEL32.dll.GetProcAddress
0x10004012	0x10033054	import	0x1000400b	KERNEL32.dll.TlsGetValue
0x1000403f	0x100332dc	string	0x1000400b	KERNEL32.DLL
0x10004044	0x1003304c	import	0x1000400b	KERNEL32.dll.GetModuleHandleA
0x1000404e	0x100332ec	string	0x1000400b	DecodePointer
0x10004054	0x10033048	import	0x1000400b	KERNEL32.dll.GetProcAddress
0x1000406e	0x10033058	import	0x1000400b	KERNEL32.dll.TlsAlloc
0x10004081	0x10033054	import	0x1000400b	KERNEL32.dll.TlsGetValue
0x10004098	0x10033054	import	0x10004092	KERNEL32.dll.TlsGetValue
0x100040b5	0x1003305c	import	0x10004092	KERNEL32.dll.TlsSetValue
