reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x10001377	0x10042014	import	0x100011c0	KERNEL32.dll.GetSystemDirectoryW
0x100013c6	0x1004202c	import	0x100011c0	KERNEL32.dll.VirtualProtect
0x10001535	0x10042028	import	0x100011c0	KERNEL32.dll.GetCurrentDirectoryW
0x10002964	0x10002958	string	0x100028f8	H9;t\vH
0x10014003	0x10014019	string	0x10013ae3	$\bSAH
0x100142d7	0x10014321	string	0x10013ae3	H̊ǉHHV;\bHH blocks=Basic Latin,Combining Diacritical Marks,Latin Extended-B
0x1001439b	0x10014321	string	0x10013ae3	H̊ǉHHV;\bHH blocks=Basic Latin,Combining Diacritical Marks,Latin Extended-B
0x1001518b	0x10015137	string	0x10013ae3	\rB$@
0x10017a85	0x10017a1b	string	0x10016893	\e\e\e\e
0x100234b0	0x100234c0	string	0x100234a1	*\rH$
0x100375d2	0x10042020	import	0x10036e30	KERNEL32.dll.GetModuleFileNameW
0x10037ccb	0x10042024	import	0x10037c70	KERNEL32.dll.GetTempPathW
0x10037d85	0x10042004	import	0x10037c70	KERNEL32.dll.FindFirstChangeNotificationW
0x100386fc	0x1004204c	import	0x100386f4	KERNEL32.dll.InterlockedIncrement
0x10038728	0x10042050	import	0x100386f4	KERNEL32.dll.InterlockedDecrement
0x100388e7	0x100388eb	string	0x100388d9	9T$\br
0x10038e12	0x10042058	import	0x10038e0e	KERNEL32.dll.InitializeCriticalSection
0x10038e1d	0x1004205c	import	0x10038e19	KERNEL32.dll.DeleteCriticalSection
0x10038e28	0x10042060	import	0x10038e24	KERNEL32.dll.EnterCriticalSection
0x10038e33	0x10042064	import	0x10038e2f	KERNEL32.dll.LeaveCriticalSection
0x10038f87	0x10042204	string	0x10038f7b	string too long
0x10039018	0x10042214	string	0x1003900c	invalid string position
0x10039162	0x1003a53b	string	0x1003910b	j\fh؋ blocks=Basic Latin,Arabic
0x1003925c	0x10042010	import	0x10039249	KERNEL32.dll.GetProcessHeap
0x1003926d	0x10042008	import	0x10039249	KERNEL32.dll.HeapAlloc
0x10039283	0x10042074	import	0x10039249	KERNEL32.dll.GetVersionExA
0x10039293	0x10042070	import	0x10039249	KERNEL32.dll.HeapFree
0x100392b9	0x10042070	import	0x10039249	KERNEL32.dll.HeapFree
0x1003931e	0x1004206c	import	0x10039249	KERNEL32.dll.GetCommandLineA
0x100393f2	0x10042068	import	0x10039249	KERNEL32.dll.GetCurrentThreadId
0x10039530	0x10039422	string	0x10039422	j\fhX
0x100395dc	0x100395e0	string	0x10039539	_^][Y
0x1003962d	0x10039539	string	0x10039615	QSUVW
0x10039655	0x10039615	string	0x10039651	j\fhx
0x1003974f	0x1004223c	string	0x10039732	Unknown exception
0x100398f9	0x10042070	import	0x100398e7	KERNEL32.dll.HeapFree
0x1003990a	0x10042078	import	0x100398e7	KERNEL32.dll.GetLastError
0x10039b44	0x10039b51	string	0x10039ae3	jjjjj
0x10039e26	0x10042080	import	0x10039de6	KERNEL32.dll.RaiseException
0x10039f78	0x1004204c	import	0x10039f70	KERNEL32.dll.InterlockedIncrement
0x1003a002	0x10042050	import	0x10039ff6	KERNEL32.dll.InterlockedDecrement
0x1003a211	0x10042088	import	0x1003a136	KERNEL32.dll.SetUnhandledExceptionFilter
0x1003a21b	0x10042084	import	0x1003a136	KERNEL32.dll.UnhandledExceptionFilter
0x1003a2e2	0x10042094	import	0x1003a229	KERNEL32.dll.IsDebuggerPresent
0x1003a2f7	0x10042088	import	0x1003a229	KERNEL32.dll.SetUnhandledExceptionFilter
