reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x1003f4ff	0x1003f4ab	string	0x1003f4ae	[[[6;+
0x1003f57b	0x1003f584	string	0x1003f4ae	h~0!9\v
0x1003fed9	0x1003feaa	string	0x1003f4ae	If(wAɄ blocks=Basic Latin,Latin Extended-B
0x10040451	0x10113ba0	import	0x1004043b	user32.dll.IntersectRect
0x10040464	0x10113994	import	0x1004043b	advapi32.dll.RegCloseKey
0x10040526	0x100b761e	string	0x1004043b	Y6iWgQ2ETYJe5HzLtgdY9S2qAiwF56hAqbg8h4kA9A5i89xZqu99xYy5MinF6YHrXTJKr7ucIbs1TL7kTAtAzqlic7OPelnGNXT8WPeHeawuJQ3qQ0YqH4WgiyZjHOVONYwGWp7XZARUfR863vAWMrcspsB3VLo0PwZgFiZnqrgW3bTU59sm7or2LVuRHhueyrmju2R75GJfrSw4SpSztncuRcf63xCvt90Ej2MGNFh3kCB5CKjB9LVPFDjMpjCw3T6Kf3RJn5WqW8jjNQhtztNWYy5L4OfirxPEvmPVjZq3QoEJpwazPgihg8W4Okxy2SpB4H5fAQLk0KkyGdc2DU4zwbb6rto1db8thYK23UncqWDLixzylfsfBtj66O1AhReof8edfZou5JwL3ze1ov8fYqPgMnKHWv4GpMl2aDUc9rocyw4AvwG8NSec0ct3xfxLbnLXpGLJVw3rqeGNwkaILHz16vnOtnupTEDTKYATbv9zdJCtHCNZAO21FEqeBl2e73Gb
0x10040544	0x100b761e	string	0x1004043b	Y6iWgQ2ETYJe5HzLtgdY9S2qAiwF56hAqbg8h4kA9A5i89xZqu99xYy5MinF6YHrXTJKr7ucIbs1TL7kTAtAzqlic7OPelnGNXT8WPeHeawuJQ3qQ0YqH4WgiyZjHOVONYwGWp7XZARUfR863vAWMrcspsB3VLo0PwZgFiZnqrgW3bTU59sm7or2LVuRHhueyrmju2R75GJfrSw4SpSztncuRcf63xCvt90Ej2MGNFh3kCB5CKjB9LVPFDjMpjCw3T6Kf3RJn5WqW8jjNQhtztNWYy5L4OfirxPEvmPVjZq3QoEJpwazPgihg8W4Okxy2SpB4H5fAQLk0KkyGdc2DU4zwbb6rto1db8thYK23UncqWDLixzylfsfBtj66O1AhReof8edfZou5JwL3ze1ov8fYqPgMnKHWv4GpMl2aDUc9rocyw4AvwG8NSec0ct3xfxLbnLXpGLJVw3rqeGNwkaILHz16vnOtnupTEDTKYATbv9zdJCtHCNZAO21FEqeBl2e73Gb
0x100405fe	0x100b761e	string	0x100405f3	Y6iWgQ2ETYJe5HzLtgdY9S2qAiwF56hAqbg8h4kA9A5i89xZqu99xYy5MinF6YHrXTJKr7ucIbs1TL7kTAtAzqlic7OPelnGNXT8WPeHeawuJQ3qQ0YqH4WgiyZjHOVONYwGWp7XZARUfR863vAWMrcspsB3VLo0PwZgFiZnqrgW3bTU59sm7or2LVuRHhueyrmju2R75GJfrSw4SpSztncuRcf63xCvt90Ej2MGNFh3kCB5CKjB9LVPFDjMpjCw3T6Kf3RJn5WqW8jjNQhtztNWYy5L4OfirxPEvmPVjZq3QoEJpwazPgihg8W4Okxy2SpB4H5fAQLk0KkyGdc2DU4zwbb6rto1db8thYK23UncqWDLixzylfsfBtj66O1AhReof8edfZou5JwL3ze1ov8fYqPgMnKHWv4GpMl2aDUc9rocyw4AvwG8NSec0ct3xfxLbnLXpGLJVw3rqeGNwkaILHz16vnOtnupTEDTKYATbv9zdJCtHCNZAO21FEqeBl2e73Gb
0x10040e6c	0x10113a34	import	0x10040e27	kernel32.dll.CreateDirectoryW
0x100410aa	0x10113b48	import	0x1004109e	ole32.dll.CoInitializeEx
