reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x4012e7	0x442a5c	string	0x4012c0	hellowin.wav
0x4012ec	0x40a138	import	0x4012c0	WINMM.dll.PlaySoundA
0x4012fe	0x40a120	import	0x4012c0	USER32.dll.BeginPaint
0x40130f	0x40a124	import	0x4012c0	USER32.dll.GetClientRect
0x40131d	0x442a6c	string	0x4012c0	Hello, Windows 95!
0x401326	0x40a128	import	0x4012c0	USER32.dll.DrawTextA
0x401334	0x40a12c	import	0x4012c0	USER32.dll.EndPaint
0x401340	0x40a130	import	0x4012c0	USER32.dll.PostQuitMessage
0x40135a	0x40a0f8	import	0x4012c0	USER32.dll.DefWindowProcA
0x401376	0x442a8c	string	0x401370	C:\Mirc\mirc.ini
0x4013f8	0x40a0fc	import	0x401370	USER32.dll.LoadIconA
0x401408	0x40a100	import	0x401370	USER32.dll.LoadCursorA
0x401413	0x40a000	import	0x401370	GDI32.dll.GetStockObject
0x401423	0x442a80	string	0x401370	HelloWin
0x401431	0x40a0fc	import	0x401370	USER32.dll.LoadIconA
0x40143e	0x40a104	import	0x401370	USER32.dll.RegisterClassExA
0x40144b	0x40a00c	import	0x401370	KERNEL32.dll.ExitProcess
0x401453	0x40a02c	import	0x401370	KERNEL32.dll.SetErrorMode
0x40147c	0x442ab0	string	0x401370	The Hello Program
0x401481	0x442a80	string	0x401370	HelloWin
0x401488	0x40a108	import	0x401370	USER32.dll.CreateWindowExA
0x401499	0x40a10c	import	0x401370	USER32.dll.ShowWindow
0x4014a3	0x40a110	import	0x401370	USER32.dll.UpdateWindow
0x4014b3	0x40a114	import	0x401370	USER32.dll.GetMessageA
0x4014c1	0x40a118	import	0x401370	USER32.dll.TranslateMessage
0x4014cb	0x40a11c	import	0x401370	USER32.dll.DispatchMessageA
0x401547	0x442ac4	string	0x4014e0	GetProcAddress
0x4015d0	0x442ad4	string	0x401590	VirtualAlloc
0x4015e7	0x442ae4	string	0x401590	GetModuleHandleA
0x4015fe	0x442af8	string	0x401590	LoadLibraryExA
0x401614	0x442b08	string	0x401590	CreateFileW
0x40162b	0x442b14	string	0x401590	Sleep
0x401642	0x442b1c	string	0x401590	SetErrorMode
0x401658	0x442b2c	string	0x401590	RegOpenKeyW
0x401661	0x442b38	string	0x401590	advapi32
0x401678	0x442b44	string	0x401590	LoadIconW
0x401681	0x442b50	string	0x401590	user32
0x401698	0x442b58	string	0x401590	RegQueryValueExW
0x4016a1	0x442b6c	string	0x401590	advapi32
0x4016b8	0x442b78	string	0x401590	GetEnhMetaFileBits
0x4016c1	0x442b8c	string	0x401590	gdi32
0x4016d6	0x442b94	string	0x401590	GetLastError
0x401c66	0x442ba8	string	0x401c60	ujn3rfecee42t96b2872ta3y-141ar469c-55aa22rrrrPP1
0x402899	0x4035f1	string	0x401ff5	_^]Ö(@ blocks=Basic Latin,Latin-1 Supplement
0x4034fe	0x4035f1	string	0x401ff5	_^]Ö(@ blocks=Basic Latin,Latin-1 Supplement
0x40351f	0x4035f1	string	0x401ff5	_^]Ö(@ blocks=Basic Latin,Latin-1 Supplement
0x403540	0x4035f1	string	0x401ff5	_^]Ö(@ blocks=Basic Latin,Latin-1 Supplement
0x403550	0x4035f1	string	0x401ff5	_^]Ö(@ blocks=Basic Latin,Latin-1 Supplement
0x403563	0x4035f1	string	0x401ff5	_^]Ö(@ blocks=Basic Latin,Latin-1 Supplement
0x403587	0x4035f1	string	0x401ff5	_^]Ö(@ blocks=Basic Latin,Latin-1 Supplement
0x4035a4	0x4035f1	string	0x401ff5	_^]Ö(@ blocks=Basic Latin,Latin-1 Supplement
0x4035cf	0x4035f1	string	0x401ff5	_^]Ö(@ blocks=Basic Latin,Latin-1 Supplement
0x4036b3	0x40a03c	import	0x403675	KERNEL32.dll.GetStartupInfoA
0x403737	0x4043bc	string	0x403675	jThx
0x403748	0x40a038	import	0x403675	KERNEL32.dll.GetCommandLineA
0x403799	0x4037a1	string	0x403675	j\nYQPVh
0x40386d	0x40a040	import	0x403828	KERNEL32.dll.SetUnhandledExceptionFilter
0x403882	0x40a048	import	0x403876	KERNEL32.dll.Sleep
0x40388b	0x40a044	import	0x403876	KERNEL32.dll.GetModuleHandleW
0x4038d4	0x40a180	string	0x4038cf	mscoree.dll
0x4038d9	0x40a044	import	0x4038cf	KERNEL32.dll.GetModuleHandleW
0x4038e3	0x40a170	string	0x4038cf	CorExitProcess
0x4038e9	0x40a04c	import	0x4038cf	KERNEL32.dll.GetProcAddress
0x40390b	0x40a00c	import	0x4038fa	KERNEL32.dll.ExitProcess
0x40392c	0x403939	string	0x403924	;u\br
0x40394c	0x40395d	string	0x403941	;u\fr
0x403c13	0x40a740	string	0x403bae	Runtime Error!\n\nProgram:
0x403c51	0x40a058	import	0x403bae	KERNEL32.dll.GetModuleFileNameA
0x403c5b	0x40a728	string	0x403bae	<program name unknown>
0x403d12	0x40a6f8	string	0x403bae	Microsoft Visual C++ Runtime Library
0x403d24	0x40a054	import	0x403bae	KERNEL32.dll.GetStdHandle
0x403d4e	0x40a050	import	0x403bae	KERNEL32.dll.WriteFile
0x403f4b	0x403f42	string	0x403ef3	< w\aF
0x4041f6	0x40a058	import	0x4041ca	KERNEL32.dll.GetModuleFileNameA
0x404294	0x40a070	import	0x404285	KERNEL32.dll.GetEnvironmentStringsW
0x4042b7	0x40a06c	import	0x404285	KERNEL32.dll.GetLastError
0x4042f9	0x4042f4	string	0x404285	@@f9
0x404300	0x4042f4	string	0x404285	@@f9
0x404302	0x40a068	import	0x404285	KERNEL32.dll.WideCharToMultiByte
0x404351	0x40a064	import	0x404285	KERNEL32.dll.FreeEnvironmentStringsW
0x404364	0x40a060	import	0x404285	KERNEL32.dll.GetEnvironmentStrings
0x404396	0x40a05c	import	0x404285	KERNEL32.dll.FreeEnvironmentStringsA
0x4043af	0x40a05c	import	0x404285	KERNEL32.dll.FreeEnvironmentStringsA
0x4043d1	0x40a03c	import	0x4043bc	KERNEL32.dll.GetStartupInfoA
0x40446c	0x4044c9	string	0x4043bc	9=dCD
0x4044fb	0x40a078	import	0x4043bc	KERNEL32.dll.GetFileType
0x404585	0x40a054	import	0x4043bc	KERNEL32.dll.GetStdHandle
0x404597	0x40a078	import	0x4043bc	KERNEL32.dll.GetFileType
0x4045ef	0x40a074	import	0x4043bc	KERNEL32.dll.SetHandleCount
0x404668	0x40a080	import	0x40465c	KERNEL32.dll.TlsGetValue
0x404695	0x40a7ec	string	0x40465c	KERNEL32.DLL
0x40469b	0x40a044	import	0x40465c	KERNEL32.dll.GetModuleHandleW
0x4046b0	0x40a7dc	string	0x40465c	EncodePointer
0x4046b6	0x40a04c	import	0x40465c	KERNEL32.dll.GetProcAddress
0x4046e3	0x40a080	import	0x4046d7	KERNEL32.dll.TlsGetValue
0x404710	0x40a7ec	string	0x4046d7	KERNEL32.DLL
0x404716	0x40a044	import	0x4046d7	KERNEL32.dll.GetModuleHandleW
0x40472b	0x40a808	string	0x4046d7	DecodePointer
0x404731	0x40a04c	import	0x4046d7	KERNEL32.dll.GetProcAddress
0x404749	0x40a084	import	0x4046d7	KERNEL32.dll.TlsAlloc
0x40475b	0x40a080	import	0x404752	KERNEL32.dll.TlsGetValue
0x40477c	0x40a088	import	0x404752	KERNEL32.dll.TlsSetValue
0x4047b1	0x40a08c	import	0x404786	KERNEL32.dll.TlsFree
0x4047cf	0x40a7ec	string	0x4047c3	KERNEL32.DLL
0x4047d5	0x40a044	import	0x4047c3	KERNEL32.dll.GetModuleHandleW
0x4047fd	0x40a7dc	string	0x4047c3	EncodePointer
0x404803	0x40a04c	import	0x4047c3	KERNEL32.dll.GetProcAddress
0x404811	0x40a808	string	0x4047c3	DecodePointer
0x404848	0x40a090	import	0x4047c3	KERNEL32.dll.InterlockedIncrement
0x4048ae	0x40a06c	import	0x4048aa	KERNEL32.dll.GetLastError
0x404900	0x40a098	import	0x4048aa	KERNEL32.dll.GetCurrentThreadId
0x404918	0x40a094	import	0x4048aa	KERNEL32.dll.SetLastError
0x4049db	0x40a09c	import	0x404923	KERNEL32.dll.InterlockedDecrement
0x404a70	0x40a7ec	string	0x404a6c	KERNEL32.DLL
0x404a76	0x40a044	import	0x404a6c	KERNEL32.dll.GetModuleHandleW
0x404a91	0x40a04c	import	0x404a6c	KERNEL32.dll.GetProcAddress
0x404a97	0x40a838	string	0x404a6c	FlsAlloc
0x404a9f	0x40a82c	string	0x404a6c	FlsGetValue
0x404aac	0x40a820	string	0x404a6c	FlsSetValue
0x404ab9	0x40a818	string	0x404a6c	FlsFree
0x404acd	0x40a088	import	0x404a6c	KERNEL32.dll.TlsSetValue
0x404b14	0x40a084	import	0x404a6c	KERNEL32.dll.TlsAlloc
0x404b8a	0x40493d	string	0x404a6c	j\bh3@
0x404bde	0x40a098	import	0x404a6c	KERNEL32.dll.GetCurrentThreadId
0x404c0e	0x40a0a0	import	0x404bf9	KERNEL32.dll.HeapCreate
0x404cc4	0x40764e	string	0x404c92	;\r\b6D
0x404cd4	0x40764e	string	0x404c92	;\r\b6D
0x404d19	0x407752	string	0x404c92	UVWS
0x404d47	0x40764e	string	0x404c92	;\r\b6D
0x404d57	0x40764e	string	0x404c92	;\r\b6D
0x404e53	0x40a0b8	import	0x404e1c	KERNEL32.dll.GetSystemTimeAsFileTime
0x404e5f	0x40a0b4	import	0x404e1c	KERNEL32.dll.GetCurrentProcessId
0x404e67	0x40a098	import	0x404e1c	KERNEL32.dll.GetCurrentThreadId
0x404e6f	0x40a0b0	import	0x404e1c	KERNEL32.dll.GetTickCount
0x404e7b	0x40a0ac	import	0x404e1c	KERNEL32.dll.QueryPerformanceCounter
0x404f4a	0x40a07c	import	0x404efc	KERNEL32.dll.DeleteCriticalSection
0x404fad	0x40a0bc	import	0x404f9e	KERNEL32.dll.LeaveCriticalSection
0x40508e	0x404fb5	string	0x405078	j\fh\b
0x4050a2	0x40a0c0	import	0x405078	KERNEL32.dll.EnterCriticalSection
0x405196	0x40a0d0	import	0x4050ba	KERNEL32.dll.IsDebuggerPresent
0x4051a0	0x40a040	import	0x4050ba	KERNEL32.dll.SetUnhandledExceptionFilter
0x4051ad	0x40a0cc	import	0x4050ba	KERNEL32.dll.UnhandledExceptionFilter
0x4051c8	0x40a0c8	import	0x4050ba	KERNEL32.dll.GetCurrentProcess
0x4051cf	0x40a0c4	import	0x4050ba	KERNEL32.dll.TerminateProcess
0x4051db	0x40764e	string	0x4050ba	;\r\b6D
0x40538c	0x405348	string	0x405384	j\fh(
0x405433	0x40543f	string	0x405400	_^[]
