reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401043	0x5d7bb0	import	0x401020	KERNEL32.dll.VirtualAlloc
0x401990	0x5d7bb8	import	0x401980	KERNEL32.dll.SetErrorMode
0x4019c3	0x5d7f30	import	0x401980	ADVAPI32.dll.RegQueryValueExA
0x401b9d	0x5d7d98	import	0x401b20	USER32.dll.LoadIconW
0x401cee	0x5d7ed4	import	0x401cc0	GDI32.dll.GetStockObject
0x47af45	0x47af47	string	0x479005	!QYe
0x4992f8	0x4992bd	string	0x495281	,\aX<
0x4a2b3a	0x4a2b3d	string	0x49cfc8	\Z)s
0x4a5c2e	0x4a5bf4	string	0x4a4d97	^kl<'=
0x4aa9de	0x4aa9e0	string	0x4a7781	vvPh
0x4b359a	0x4b35b5	string	0x4a7781	8dyu2r\e
0x4b6649	0x4b662a	string	0x4a7781	sy\\a?^:
0x4b906a	0x4b909b	string	0x4a7781	\f&Gc
0x4bb756	0x4bb791	string	0x4a7781	L}*O<
0x4be179	0x4be1b4	string	0x4be0d6	TqI@␎ blocks=Basic Latin,Control Pictures
0x4beb42	0x4beb47	string	0x4be0d6	[QnA
0x4c76fc	0x4c76dc	string	0x4bf371	zu[h
0x4d4343	0x4d4345	string	0x4cb439	Y$oyX
0x4d49c5	0x4d49fb	string	0x4cb439	rծZ`w blocks=Basic Latin,Armenian
0x4dff99	0x4dff89	string	0x4df051	7a3B
0x4dffbb	0x4dff89	string	0x4df051	7a3B
0x4e0fef	0x4e0fe4	string	0x4df051	cbڣ3R\fId blocks=Basic Latin,Arabic
0x4e6133	0x4e6128	string	0x4df051	&Ɣ;$ blocks=Basic Latin,Latin Extended-B
0x4eb591	0x4eb559	string	0x4df051	ix@f
0x4f5156	0x4f515d	string	0x4df051	gpEjd
0x4f856b	0x4f8519	string	0x4df051	)FJ6
0x4ff04e	0x4ff076	string	0x4df051	FqP#
0x505508	0x505513	string	0x4df051	@t\r'
0x520b25	0x520b1d	string	0x4df051	wKP<X]`
0x524295	0x524239	string	0x4df051	`-Uº blocks=Basic Latin,Latin-1 Supplement
0x524c4d	0x524bf6	string	0x4df051	|Uv*H\b8
0x52c44e	0x52c46f	string	0x4df051	o=j}
0x52f1b4	0x52f18c	string	0x4df051	)j5:
0x542c66	0x542c8e	string	0x4df051	ҙ)"Q+7c blocks=Cyrillic,Basic Latin
0x54bb5d	0x54bb92	string	0x4df051	@ℙ\t4 blocks=Basic Latin,Letterlike Symbols
0x54d87f	0x54d8c0	string	0x4df051	,5mo
0x5539dc	0x5539ef	string	0x4df051	1>7Tr 枋uڢ+ blocks=Basic Latin,CJK Unified Ideographs,Arabic
0x5609d8	0x5609d4	string	0x4df051	fDxkv
0x569eff	0x569f36	string	0x4df051	X'\b"
0x57273a	0x57278f	string	0x4df051	A.F@N\r
0x57fd9c	0x57fdc9	string	0x4df051	;\rݩU blocks=Basic Latin,Arabic Supplement
0x580dbc	0x580dcd	string	0x4df051	]u.T
0x59321e	0x593225	string	0x4df051	\tj@3
0x5b0bf6	0x5b0bfb	string	0x4df051	7Uܼs blocks=Basic Latin,Syriac
0x5b2280	0x5b22ad	string	0x4df051	5H!"h
0x5b2fcb	0x5b2fb1	string	0x4df051	FZvӬ blocks=Basic Latin,Cyrillic
0x5bced5	0x5bceb1	string	0x4df051	$b\bE:
0x5c3cf5	0x5c3d2b	string	0x4df051	&,H\v
0x5c7775	0x5c7759	string	0x4df051	ޙ0+ߧ0h blocks=Thaana,Basic Latin,NKo
