reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x70e51121	0x70e68038	import	0x70e5110b	kernel32.dll.lstrcmpA
0x70e5152b	0x70e68034	import	0x70e51521	kernel32.dll.CreateMutexA
0x70e51541	0x70e68034	import	0x70e51521	kernel32.dll.CreateMutexA
0x70e51559	0x70e51080	string	0x70e51521	QQhP
0x70e517de	0x70e51080	string	0x70e5175e	QQhP
0x70e51816	0x70e51080	string	0x70e5175e	QQhP
0x70e518eb	0x70e5191c	string	0x70e5175e	j PQ
0x70e51917	0x70e518f2	string	0x70e5175e	j QP
0x70e51ac4	0x70e68104	import	0x70e51a01	ws2_32.dll.inet_ntoa
0x70e51acf	0x70e68044	import	0x70e51a01	kernel32.dll.lstrcpynA
0x70e51ba6	0x70e68030	import	0x70e51b16	kernel32.dll.GetCurrentProcess
0x70e51bb8	0x70e68040	import	0x70e51b16	kernel32.dll.GetCurrentThread
0x70e51bc2	0x70e6803c	import	0x70e51b16	kernel32.dll.DuplicateHandle
0x70e51cae	0x70e51cd1	string	0x70e51c51	3\r|$
0x70e51d03	0x70e68030	import	0x70e51c51	kernel32.dll.GetCurrentProcess
0x70e51d15	0x70e68040	import	0x70e51c51	kernel32.dll.GetCurrentThread
0x70e51d1f	0x70e6803c	import	0x70e51c51	kernel32.dll.DuplicateHandle
0x70e51fb2	0x70e6b978	string	0x70e51f9f	full
0x70e51fb9	0x70e68038	import	0x70e51f9f	kernel32.dll.lstrcmpA
0x70e520de	0x70e6b980	string	0x70e52010	.exe
0x70e520ea	0x70e6b98c	string	0x70e52010	\ ="|
0x70e52388	0x70e68048	import	0x70e52352	kernel32.dll.GetLastError
0x70e523ab	0x70e68048	import	0x70e52352	kernel32.dll.GetLastError
0x70e5240a	0x70e68048	import	0x70e523ee	kernel32.dll.GetLastError
0x70e5254c	0x70e525a5	string	0x70e5253a	97u\t
0x70e527bc	0x70e527c6	string	0x70e52784	3҉=\b blocks=Basic Latin,Cyrillic
0x70e52a63	0x70e68140	import	0x70e52a46	msvcrt.dll.atol
0x70e52b30	0x70e6804c	import	0x70e52add	kernel32.dll.lstrcatA
0x70e52bcd	0x70e6b98c	string	0x70e52b97	\ ="|
0x70e52cee	0x70e6b98c	string	0x70e52c82	\ ="|
0x70e52d51	0x70e6b98c	string	0x70e52c82	\ ="|
0x70e52d94	0x70e68050	import	0x70e52c82	kernel32.dll.CreateDirectoryW
0x70e532c3	0x70e68048	import	0x70e53294	kernel32.dll.GetLastError
0x70e5334e	0x70e53379	string	0x70e53294	VVj\nZ
0x70e5349b	0x70e68048	import	0x70e53294	kernel32.dll.GetLastError
0x70e534a7	0x70e68054	import	0x70e53294	kernel32.dll.DisconnectNamedPipe
0x70e53587	0x70e68058	import	0x70e534f9	kernel32.dll.lstrcpynW
0x70e535f1	0x70e6b9ac	string	0x70e534f9	p%08x
0x70e5361c	0x70e68048	import	0x70e534f9	kernel32.dll.GetLastError
0x70e537f4	0x70e6b98c	string	0x70e5377f	\ ="|
0x70e538a9	0x70e6805c	import	0x70e53885	kernel32.dll.GetProcessId
