reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x651028	0x671048	import	0x651000	GDI32.dll.ArcTo
0x65109d	0x6710e4	import	0x651091	KERNEL32.dll.IsValidCodePage
0x651179	0x67100c	import	0x651100	ADVAPI32.dll.RegOpenKeyExW
0x6511ad	0x671000	import	0x651100	ADVAPI32.dll.RegQueryInfoKeyW
0x651212	0x671008	import	0x651100	ADVAPI32.dll.RegEnumValueW
0x65121a	0x65126a	string	0x651100	j,j!j
0x651237	0x671004	import	0x651100	ADVAPI32.dll.RegDeleteValueW
0x65123f	0x6710e4	import	0x651100	KERNEL32.dll.IsValidCodePage
0x65127b	0x671048	import	0x651100	GDI32.dll.ArcTo
0x6512bc	0x671044	import	0x651100	GDI32.dll.BitBlt
0x651358	0x6710e4	import	0x651338	KERNEL32.dll.IsValidCodePage
0x651462	0x6710f4	import	0x65142e	KERNEL32.dll.GetCPInfoExA
0x65153d	0x6710f0	import	0x6514a3	KERNEL32.dll.GetLastError
0x651543	0x6722b0	string	0x6514a3	yWejZljp,xJiZuNRPD.BOj9Idaiwm sSX4F33KwpsA V5BEVvr5z7xL03 x hxiJ78 ,PQ nOw29IrGVl6dbf,D,q0jC4njnQR,,ANKbYlREw0TJ.PJLJw,DvmnDI8DlMn7Bv37DWdJprY29wk5rHfBAKde 7XpKTytDm0 KWa4dnATjRYXLMn5bb4 UcBtHS0QvOapcWi T,sl0 2w,zOO.G Sn i,Rsc,Lue42G66 xOKCbdGTaxOJF1cYIuY H eC6Ti
0x651576	0x6710ec	import	0x6514a3	KERNEL32.dll.MultiByteToWideChar
0x651591	0x671044	import	0x6514a3	GDI32.dll.BitBlt
0x6515e1	0x67103c	import	0x6514a3	GDI32.dll.Arc
0x65167f	0x6710e4	import	0x65163b	KERNEL32.dll.IsValidCodePage
0x6516aa	0x6710f0	import	0x65168e	KERNEL32.dll.GetLastError
0x6516e7	0x671044	import	0x65168e	GDI32.dll.BitBlt
0x651712	0x671048	import	0x6516f5	GDI32.dll.ArcTo
0x65171a	0x6710e4	import	0x6516f5	KERNEL32.dll.IsValidCodePage
0x651802	0x6710f0	import	0x6517fa	KERNEL32.dll.GetLastError
0x651808	0x6723c0	string	0x6517fa	pYqF,.C5teRd27Wj f 29YmxQDolV05zRkaLF,F3ZE RbZtzqar0Q jxFBoLQ802ZL zZdUcIAa4ZzEB4hT.D47jqIZVl15E0NoOSIT RAqDQ DZ,SqbrfSgkKmlVkECvJS7DU1rGg1eX48 7SfR 66 mzTpKeXHePJ97yN2UewdSUHE.T75U7vn0sRC,vrllzNufC2dSOTXyy0g 5w5NtcngseMbuVTk Z6E WNxF3Ku76DvEkK6FbWFIY50N012VGZL080oS1.K8gdRKnpZm8zMAWc 8l1ZBFLYzzB SpKjQ IPliOdfVKkbo5ZkIj8F lRQfU7LpVXes6o1674MO9TwSQSkmrRl7zvihHI5Y6fYeK9ukm77Z.6NB FvU3ILzdcq3RhHR1tYIp90pJvUWlt5vLaioB71fZXJTkuMiBwOJqDaZtTvlBYll f FE,8Dn9HadwoSWi qCdz 1BdvfOAOPgoPb EFFuorRD4nKvTL5GdBYClrbjT2bv34jiCZvKCkGUL96bjciIUo70eAwPchgN3nqauZ 3qsN,2NeKEEkZv1twMeuLJ6v9b8kFvNtSNSO2.GyF5ihG1AngzTzIHInza7Iw.NMmDRh8C22wJt8qBocWBqRMAc2f0 fOu9RsZQ83nnBBijp.,tZFMyz hT..xz5C J9L W9VL XJdWSN8yQ 1NmFDqv zxLIY.S5GF0pj56C.GzxM jXaVmDn8HrA8yulb6 bezktNU aocnkua yjYCzukF9q9MSm7f2FBr9Z2immou3SN2YJMJOSiASFfIcrFvO8i0q2LEKSeOV0FdrzY Ih3Qht bMuT1G.f misXWfcU6p3m.ShJKrojLDFWu7kpJAMsQw acE9nNKhHeqLgg.. jZ5. qXMshvxs JAFH1Dk8ef.NogHz qsI74GZOz14fW,OuD26WmLsihrsyWj9MVMmHl0LYGtQdKHyXbEK1KjHmI9g53dPg tO5H7D3sLuFBfSEpX5pAS6tuxx 0 IoNVKFs4yH s3xsf.A 5 6YBM sA0X3m5V1T9 z5LjJJKT6Ez1Z XeXObIAfRySsRVF6KYeRUi2y,IcL7jMBeJd3VFD 5GjWEdRKA5H7zgIOI6E1T02olJCAc.0donjDuq8RBc6nr 0Dad,uBi p6hmCHa0L1SiEIw lz21Zfg aEZP Nbprfzv,8mt WKFcK.le7zqVc3cfiFFitxCCTYpy8VXI.2Bz4sv2s K6ewegIdLWw,4DHqT MW4YlW3hM5YR eJBjT0KJz,3rC4ip0Bx1VRhySS Cma,ejh55MowgQpXtHlXvFyfDVw74kIIBlt32X dT5LcaNGA0A4b83mn8 bnGT ScQoe.HqHYvKQunn6HnNbKICUF 3TIMIJkX0n2MGHQW3ZBMRbFfDVD vZ3.Jn 4vO03.bEx 3npFOsx FmXhsFEszGnrvvecxJv W3b kt1gWXFXZs3fWK0J5BaIt Vtwe KCT9AKOrGCcTMbRidT.nKFHEq8,TZo31l0Hdc6sY QM,,lwAt.2F1Nzar6aP0p03jGa1zPp5CHet B 2Z L,0fKO0.J,PiX 9o1iV,jS4FkFfzzRtGHtG37KpbXx.xp6eFbyGoFtWq2fl m29hyMtPN7O 0EskDaFvQP57QKaSSIqzUNfmQNH.xn2VWKItVYJFar2IRa5Od,LZptPg8 m3XoywswRxGE9zIyTtZn7UiLdskpoHxtuIVqiw9AOX13YsGDX3lZnju DAIjJB F2rYCDzIXvXo.XZ
