reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x10004f08	0x10004f7c	import	0x10001cf4	ole32.dll.StringFromCLSID
0x10004f0c	0x10004f80	import	0x10001cf4	ole32.dll.CoRegisterClassObject
0x10006817	0x10006882	string	0x1000678f	HeapAlloc
0x10006a0f	0x10006a7a	string	0x1000678f	ReleaseMutex
0x10006aa0	0x10006b14	string	0x1000678f	LockResource
0x10006b0a	0x10006b74	string	0x1000678f	GetDateFormatW
0x10006b49	0x10006bb4	string	0x1000678f	OutputDebugStringW
0x10006b7d	0x10006bec	string	0x1000678f	GetDriveTypeW
0x10006ccb	0x10006d3a	string	0x1000678f	SetLastError
0x10007018	0x10007082	string	0x10006f19	ctime
0x100070ca	0x1000713e	string	0x10006f19	wcscpy
0x1000711e	0x1000718e	string	0x10006f19	fseek
0x10007134	0x100071a8	string	0x10006f19	ceil
0x10007236	0x100072aa	string	0x10006f19	isdigit
0x10007280	0x100072e6	string	0x10006f19	wcspbrk
0x100072e8	0x1000735a	string	0x10006f19	CoCreateInstance
0x100073a9	0x1000741e	string	0x10006f19	StringFromCLSID
0x10007473	0x100074da	string	0x10006f19	CoFreeUnusedLibraries
0x1000757c	0x100075ec	string	0x10007499	CreateOleAdviseHolder
0x10007cf9	0x10007d48	string	0x10007c5b	GetAncestor
0x10007de6	0x10007e38	string	0x10007c5b	TranslateMessage
0x10007e8b	0x10007ef2	string	0x10007e4a	GetMonitorInfoW
0x10008085	0x100080e8	string	0x10008023	DrawTextA
0x100082df	0x10008346	string	0x10008290	GetClassNameW
0x100082ef	0x10008356	string	0x10008290	PostQuitMessage
0x10008308	0x10008376	string	0x10008290	SetWindowTextW
0x10008358	0x100083ce	string	0x10008290	LoadStringA
0x1000847b	0x100084ec	string	0x100083e9	FillRect
0x100084c3	0x10008534	string	0x100083e9	MessageBoxW
0x100086be	0x1000872e	string	0x100085db	FtpCreateDirectoryW
0x1000879b	0x10008802	string	0x100085db	InternetGetLastResponseInfoW
0x10008d79	0x1000507c	import	0x10008d2d	shlwapi.dll.PathAddBackslashW
0x10008e66	0x10005030	import	0x10008e3c	shell32.dll.SHGetMalloc
0x1000908a	0x10004cf0	import	0x10009081	kernel32.dll.GetModuleHandleA
