reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40111b	0x5e6ac4	import	0x401100	USER32.dll.LoadIconA
0x40112d	0x5e6ac4	import	0x401100	USER32.dll.LoadIconA
0x4011c6	0x54e158	string	0x4011c0	INT3roacE442196b2872bab4-101a-b69c-00aa00341d071
0x40130c	0x5e6ec4	import	0x4011c0	GDI32.dll.CreateSolidBrush
0x401312	0x54e14c	string	0x4011c0	XtxBVdHXMQ
0x401317	0x5e6ec8	import	0x4011c0	GDI32.dll.AddFontResourceA
0x401357	0x5e6f64	import	0x4011c0	ADVAPI32.dll.RegQueryValueExA
0x4013bb	0x5e6ecc	import	0x4013b0	GDI32.dll.GetEnhMetaFileA
0x4013c1	0x5e6a10	import	0x4013b0	KERNEL32.dll.GetLastError
0x401497	0x5e6ac8	import	0x4013b0	USER32.dll.DestroyIcon
0x40149f	0x5e6acc	import	0x4013b0	USER32.dll.GetMessageTime
0x4014a5	0x5e6ad0	import	0x4013b0	USER32.dll.GetCaretBlinkTime
0x4014af	0x5e6ed0	import	0x4013b0	GDI32.dll.RealizePalette
0x4014b9	0x5e6ed4	import	0x4013b0	GDI32.dll.GetTextCharacterExtra
0x4014c3	0x5e6ed8	import	0x4013b0	GDI32.dll.CloseEnhMetaFile
0x4014cd	0x5e6ad4	import	0x4013b0	USER32.dll.CloseWindowStation
0x4014d8	0x5e6ad8	import	0x4013b0	USER32.dll.IsCharUpperA
0x4014e2	0x5e6edc	import	0x4013b0	GDI32.dll.SaveDC
0x4014e8	0x5e6adc	import	0x4013b0	USER32.dll.GetCursor
0x4014ee	0x5e6ae0	import	0x4013b0	USER32.dll.GetCapture
0x4014f8	0x5e6ae4	import	0x4013b0	USER32.dll.GetMenuContextHelpId
0x401502	0x5e6ee0	import	0x4013b0	GDI32.dll.CancelDC
0x40150d	0x5e6ae8	import	0x4013b0	USER32.dll.IsCharAlphaNumericW
0x401517	0x5e6ee4	import	0x4013b0	GDI32.dll.GetTextColor
0x401521	0x5e6ee4	import	0x4013b0	GDI32.dll.GetTextColor
0x40152b	0x5e6ee8	import	0x4013b0	GDI32.dll.CloseMetaFile
0x401536	0x5e6aec	import	0x4013b0	USER32.dll.VkKeyScanA
0x401540	0x5e6eec	import	0x4013b0	GDI32.dll.DeleteColorSpace
0x40154a	0x5e6ef0	import	0x4013b0	GDI32.dll.GetGraphicsMode
0x401550	0x5e6af0	import	0x4013b0	USER32.dll.ReleaseCapture
0x401556	0x54e1c0	string	0x4013b0	bRYFwPobfq
0x40155b	0x5e6af4	import	0x4013b0	USER32.dll.CharUpperA
0x401565	0x5e6ef4	import	0x4013b0	GDI32.dll.CreatePatternBrush
0x40156f	0x5e6af8	import	0x4013b0	USER32.dll.DrawMenuBar
0x401575	0x5e6afc	import	0x4013b0	USER32.dll.GetActiveWindow
0x40157f	0x5e6ef8	import	0x4013b0	GDI32.dll.GetStretchBltMode
0x401589	0x5e6efc	import	0x4013b0	GDI32.dll.GetDCPenColor
0x401593	0x5e6ef4	import	0x4013b0	GDI32.dll.CreatePatternBrush
0x40159d	0x5e6f00	import	0x4013b0	GDI32.dll.CreateHalftonePalette
0x4015a8	0x5e6b00	import	0x4013b0	USER32.dll.IsCharAlphaNumericA
0x4015b2	0x5e6f04	import	0x4013b0	GDI32.dll.FlattenPath
0x4015bd	0x5e6ecc	import	0x4013b0	GDI32.dll.GetEnhMetaFileA
0x4015c3	0x5e6a10	import	0x4013b0	KERNEL32.dll.GetLastError
0x4015da	0x5e6ecc	import	0x4013b0	GDI32.dll.GetEnhMetaFileA
0x4015e0	0x5e6a10	import	0x4013b0	KERNEL32.dll.GetLastError
0x4015f7	0x5e6ecc	import	0x4013b0	GDI32.dll.GetEnhMetaFileA
0x4015fd	0x5e6a10	import	0x4013b0	KERNEL32.dll.GetLastError
0x401615	0x5e6f08	import	0x4013b0	GDI32.dll.GetEnhMetaFileBits
0x40161b	0x5e6a10	import	0x4013b0	KERNEL32.dll.GetLastError
0x40162d	0x5e6f0c	import	0x4013b0	GDI32.dll.GetStockObject
0x401a1b	0x5e6a18	import	0x401a10	KERNEL32.dll.GetModuleHandleA
0x404718	0x404777	string	0x4046c8	y%}Rj
0x4047a6	0x40475e	string	0x4046c8	pJwq
0x406c4d	0x406ccc	string	0x40655a	\f\f\f\f\f\f\f\f\f\f\f\f\f\f
0x407189	0x40711c	string	0x40655a	_I\f\f\f\f\f\f\f
0x40738e	0x40732e	string	0x40655a	\f\f\f\f\f\f
0x416200	0x4161a4	string	0x41616a	\f\f\f\f\f\f\f
0x418354	0x4182db	string	0x4174b0	\t\f\f\f\f\f\f\f\f
0x4195f6	0x4195f8	string	0x419567	v\n\f\f\f\f\f{ۓ blocks=Basic Latin,Arabic
0x41a419	0x41a427	string	0x41a370	e\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\fA
0x41c454	0x41c3ea	string	0x41c1d0	\f\f\f\f\f\f\f\f
