reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x100010fb	0x1020d8f8	import	0x100010f0	KERNEL32.dll.GetModuleHandleW
0x1000122f	0x1020d95c	import	0x10001210	USER32.dll.LoadIconA
0x10001246	0x1020d95c	import	0x10001210	USER32.dll.LoadIconA
0x10001350	0x1020da9c	import	0x100012f0	GDI32.dll.GetStockObject
0x1000139c	0x1020daa0	import	0x10001380	GDI32.dll.GetEnhMetaFileW
0x100013a2	0x1020d8fc	import	0x10001380	KERNEL32.dll.GetLastError
0x100013ba	0x1020daa4	import	0x10001380	GDI32.dll.GetEnhMetaFileBits
0x100013c0	0x1020d8fc	import	0x10001380	KERNEL32.dll.GetLastError
0x1000142a	0x1020d960	import	0x10001380	USER32.dll.GetMenuContextHelpId
0x10001434	0x1020daa8	import	0x10001380	GDI32.dll.StrokePath
0x1000143e	0x1020d964	import	0x10001380	USER32.dll.GetLastActivePopup
0x10001448	0x1020d968	import	0x10001380	USER32.dll.GetWindowTextLengthA
0x10001452	0x1020d96c	import	0x10001380	USER32.dll.IsClipboardFormatAvailable
0x1000145c	0x1020daac	import	0x10001380	GDI32.dll.DeleteEnhMetaFile
0x10001466	0x1020d970	import	0x10001380	USER32.dll.GetListBoxInfo
0x1000146c	0x1020d974	import	0x10001380	USER32.dll.GetInputState
0x10001477	0x1020d978	import	0x10001380	USER32.dll.IsCharLowerW
0x10001481	0x1020dab0	import	0x10001380	GDI32.dll.CloseMetaFile
0x1000148b	0x1020dab4	import	0x10001380	GDI32.dll.GetTextCharset
0x10001495	0x1020d97c	import	0x10001380	USER32.dll.IsMenu
0x1000149f	0x1020dab8	import	0x10001380	GDI32.dll.DeleteObject
0x100014a9	0x1020dabc	import	0x10001380	GDI32.dll.GetStretchBltMode
0x100014b4	0x1020d980	import	0x10001380	USER32.dll.IsCharUpperA
0x100014be	0x1020dac0	import	0x10001380	GDI32.dll.CreateSolidBrush
0x100014c8	0x1020dac4	import	0x10001380	GDI32.dll.GetObjectType
0x100014ce	0x1020d984	import	0x10001380	USER32.dll.GetCapture
0x100014d9	0x1020d988	import	0x10001380	USER32.dll.VkKeyScanW
0x100014df	0x1020d98c	import	0x10001380	USER32.dll.CountClipboardFormats
