reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x1000129a	0x1006f0d0	string	0x10001270	Value
0x10001355	0x1006f0d0	string	0x10001270	Value
0x10001540	0x100cb6cc	string	0x10001540	string too long
0x10001570	0x1006a2bc	string	0x10001566	bad allocation
0x10001699	0x1006a29c	string	0x10001672	Unknown exception
0x10001737	0x1000184b	string	0x100016ee	j\fhh
0x10001a59	0x1006a130	import	0x10001a54	KERNEL32.dll.SetUnhandledExceptionFilter
0x10001a62	0x1006a12c	import	0x10001a54	KERNEL32.dll.UnhandledExceptionFilter
0x10001a6d	0x1006a134	import	0x10001a54	KERNEL32.dll.GetCurrentProcess
0x10001a74	0x1006a138	import	0x10001a54	KERNEL32.dll.TerminateProcess
0x10001c74	0x1006a304	string	0x10001c6a	bad array new length
0x10001cd3	0x1006a14c	import	0x10001cbc	KERNEL32.dll.GetSystemTimeAsFileTime
0x10001ce2	0x1006a148	import	0x10001cbc	KERNEL32.dll.GetCurrentThreadId
0x10001ceb	0x1006a144	import	0x10001cbc	KERNEL32.dll.GetCurrentProcessId
0x10001cf8	0x1006a140	import	0x10001cbc	KERNEL32.dll.QueryPerformanceCounter
0x10001d5e	0x1006a150	import	0x10001d59	KERNEL32.dll.InitializeSListHead
0x1000216d	0x1006a154	import	0x10002096	KERNEL32.dll.IsDebuggerPresent
0x1000218d	0x1006a130	import	0x10002096	KERNEL32.dll.SetUnhandledExceptionFilter
0x10002197	0x1006a12c	import	0x10002096	KERNEL32.dll.UnhandledExceptionFilter
0x100025a2	0x1006a164	import	0x10002542	KERNEL32.dll.RaiseException
0x1000266b	0x10002c10	string	0x100025f0	UVWS
0x1000274d	0x1006a168	import	0x10002747	KERNEL32.dll.InterlockedFlushSList
0x1000298a	0x1006a16c	import	0x1000297c	KERNEL32.dll.GetLastError
0x10002a03	0x1006a170	import	0x1000297c	KERNEL32.dll.SetLastError
0x10002c4d	0x10002c59	string	0x10002c44	_^[]Ë blocks=Basic Latin,Latin-1 Supplement
0x10002c53	0x1006a160	import	0x10002c44	KERNEL32.dll.RtlUnwind
0x10002cc9	0x1006a17c	import	0x10002cb3	KERNEL32.dll.DeleteCriticalSection
0x10002d3a	0x1006a19c	import	0x10002cff	KERNEL32.dll.LoadLibraryExW
0x10002d46	0x1006a16c	import	0x10002cff	KERNEL32.dll.GetLastError
0x10002d53	0x1006ab70	string	0x10002cff	api-ms-
0x10002d67	0x1006ab80	string	0x10002cff	ext-ms-
0x10002d7c	0x1006a19c	import	0x10002cff	KERNEL32.dll.LoadLibraryExW
0x10002da2	0x1006a194	import	0x10002cff	KERNEL32.dll.FreeLibrary
0x10002e09	0x1006a198	import	0x10002dc3	KERNEL32.dll.GetProcAddress
0x10002e36	0x1006ab98	string	0x10002e32	FlsAlloc
0x10002e40	0x1006ab98	string	0x10002e32	FlsAlloc
0x10002e71	0x1006abac	string	0x10002e6d	FlsFree
0x10002e7b	0x1006abac	string	0x10002e6d	FlsFree
0x10002e9f	0x1006a190	import	0x10002e6d	KERNEL32.dll.TlsFree
0x10002eac	0x1006abbc	string	0x10002ea8	FlsGetValue
0x10002eb6	0x1006abbc	string	0x10002ea8	FlsGetValue
0x10002eda	0x1006a188	import	0x10002ea8	KERNEL32.dll.TlsGetValue
0x10002ee7	0x1006abd0	string	0x10002ee3	FlsSetValue
0x10002ef1	0x1006abd0	string	0x10002ee3	FlsSetValue
0x10002f18	0x1006a18c	import	0x10002ee3	KERNEL32.dll.TlsSetValue
0x10002f25	0x1006abe4	string	0x10002f21	InitializeCriticalSectionEx
0x10002f2f	0x1006abe4	string	0x10002f21	InitializeCriticalSectionEx
0x10002f57	0x10002f65	string	0x10002f21	^]ùd blocks=Basic Latin,Latin-1 Supplement
0x10002f5f	0x1006a180	import	0x10002f21	KERNEL32.dll.InitializeCriticalSectionAndSpinCount
0x10002fac	0x1006a194	import	0x10002f91	KERNEL32.dll.FreeLibrary
0x1000355b	0x10003569	string	0x10003550	]_^[
0x10003563	0x1006a160	import	0x10003550	KERNEL32.dll.RtlUnwind
0x10003ccc	0x1006ac00	string	0x10003cbd	Visual C++ CRT: Not enough memory to complete call to strerror.
0x10003cfd	0x1006ac00	string	0x10003cbd	Visual C++ CRT: Not enough memory to complete call to strerror.
