reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401073	0x415978	import	0x401000	GDI32.dll.GetTextAlign
0x401079	0x4157f8	import	0x401000	USER32.dll.EndMenu
0x401083	0x41597c	import	0x401000	GDI32.dll.GetTextCharacterExtra
0x40108d	0x415980	import	0x401000	GDI32.dll.SetMetaRgn
0x401097	0x415984	import	0x401000	GDI32.dll.UpdateColors
0x4010a1	0x415988	import	0x401000	GDI32.dll.PathToRegion
0x4010ab	0x41598c	import	0x401000	GDI32.dll.GetLayout
0x4010b1	0x4157fc	import	0x401000	USER32.dll.CloseClipboard
0x4010bb	0x415990	import	0x401000	GDI32.dll.StrokePath
0x4010c5	0x415994	import	0x401000	GDI32.dll.UnrealizeObject
0x4010cf	0x415998	import	0x401000	GDI32.dll.GetObjectType
0x4010d9	0x41599c	import	0x401000	GDI32.dll.GetTextColor
0x4010df	0x4157fc	import	0x401000	USER32.dll.CloseClipboard
0x4010e9	0x4159a0	import	0x401000	GDI32.dll.RealizePalette
0x4010f3	0x415990	import	0x401000	GDI32.dll.StrokePath
0x4010fd	0x415988	import	0x401000	GDI32.dll.PathToRegion
0x401107	0x415980	import	0x401000	GDI32.dll.SetMetaRgn
0x401111	0x415998	import	0x401000	GDI32.dll.GetObjectType
0x40111b	0x4159a4	import	0x401000	GDI32.dll.WidenPath
0x401125	0x4159a8	import	0x401000	GDI32.dll.GetMapMode
0x40112f	0x415984	import	0x401000	GDI32.dll.UpdateColors
0x401139	0x4159ac	import	0x401000	GDI32.dll.GetGraphicsMode
0x401143	0x41597c	import	0x401000	GDI32.dll.GetTextCharacterExtra
0x401149	0x415800	import	0x401000	USER32.dll.CreateMenu
0x40114f	0x415804	import	0x401000	USER32.dll.AnyPopup
0x401159	0x4159b0	import	0x401000	GDI32.dll.GetPolyFillMode
0x40115f	0x415808	import	0x401000	USER32.dll.CreatePopupMenu
0x401169	0x4159b4	import	0x401000	GDI32.dll.SaveDC
0x401173	0x4159b8	import	0x401000	GDI32.dll.GetTextCharset
0x401179	0x4157f8	import	0x401000	USER32.dll.EndMenu
0x401183	0x4159a8	import	0x401000	GDI32.dll.GetMapMode
0x401189	0x415808	import	0x401000	USER32.dll.CreatePopupMenu
0x40118f	0x415804	import	0x401000	USER32.dll.AnyPopup
0x401199	0x41598c	import	0x401000	GDI32.dll.GetLayout
0x4011a3	0x415990	import	0x401000	GDI32.dll.StrokePath
0x4011ad	0x4159b8	import	0x401000	GDI32.dll.GetTextCharset
0x4011b3	0x41580c	import	0x401000	USER32.dll.CountClipboardFormats
0x4011bd	0x41598c	import	0x401000	GDI32.dll.GetLayout
0x4011c3	0x415808	import	0x401000	USER32.dll.CreatePopupMenu
0x4011cd	0x41597c	import	0x401000	GDI32.dll.GetTextCharacterExtra
0x4011d3	0x415804	import	0x401000	USER32.dll.AnyPopup
0x4011dd	0x4159a0	import	0x401000	GDI32.dll.RealizePalette
0x4011e7	0x41597c	import	0x401000	GDI32.dll.GetTextCharacterExtra
0x4011f1	0x4159b4	import	0x401000	GDI32.dll.SaveDC
0x4011fb	0x4159bc	import	0x401000	GDI32.dll.SwapBuffers
0x401205	0x4159a4	import	0x401000	GDI32.dll.WidenPath
0x40120f	0x41597c	import	0x401000	GDI32.dll.GetTextCharacterExtra
0x401219	0x4159a4	import	0x401000	GDI32.dll.WidenPath
0x401223	0x415990	import	0x401000	GDI32.dll.StrokePath
0x40122d	0x415980	import	0x401000	GDI32.dll.SetMetaRgn
0x401233	0x415808	import	0x401000	USER32.dll.CreatePopupMenu
0x40123d	0x4159a8	import	0x401000	GDI32.dll.GetMapMode
0x401247	0x415990	import	0x401000	GDI32.dll.StrokePath
0x401251	0x41597c	import	0x401000	GDI32.dll.GetTextCharacterExtra
0x40125b	0x4159a4	import	0x401000	GDI32.dll.WidenPath
0x401265	0x4159b8	import	0x401000	GDI32.dll.GetTextCharset
