reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x4011cc	0x4011ec	string	0x401194	_[^]
0x401bf2	0x411000	string	0x401bb2	5xdJnWv6JFWHzPXPVP3PDaykfqHNHFCq
0x401e7a	0x40f000	string	0x401d34	6}I0
0x4027b1	0x402884	string	0x40271b	F;u\f
0x402a8e	0x40f040	string	0x402a46	\\?\
0x402a9b	0x40c000	import	0x402a46	KERNEL32.dll.lstrlenW
0x402fdb	0x403170	string	0x402f9a	Y_^[
0x4033ac	0x4033c4	string	0x403343	_^[]
0x4035b2	0x4035bc	string	0x40359c	VVVj
0x4035d1	0x40ffd8	string	0x40359c	^e>j
0x4035f0	0x40ffe4	string	0x40359c	6dZkZ
0x4035fa	0x40ffd8	string	0x40359c	^e>j
0x403661	0x40ffd8	string	0x40359c	^e>j
0x403684	0x40ffe4	string	0x40359c	6dZkZ
0x40379c	0x40ffd8	string	0x40359c	^e>j
0x4037b7	0x40c03c	string	0x4037ad	ServicesActive
0x403e0e	0x40c008	import	0x403e04	KERNEL32.dll.GetModuleHandleW
0x403e23	0x40c05c	string	0x403e04	Second attempt
0x403e29	0x40c014	import	0x403e04	USER32.dll.MessageBoxW
0x403e30	0x40c004	import	0x403e04	KERNEL32.dll.SetErrorMode
0x403f3d	0x410158	string	0x403e70	)H\e\t
0x4044db	0x410118	string	0x40444d	]J|\v
0x40470f	0x4100e8	string	0x404709	SʊIUg blocks=Basic Latin,IPA Extensions
0x404904	0x40490f	string	0x40488b	f9>u-
0x40514d	0x40c0e8	string	0x4050c9	SetFileSecurity first call
0x405152	0x40c00c	import	0x4050c9	KERNEL32.dll.OutputDebugStringA
0x40516a	0x40c104	string	0x4050c9	SetFileSecurity second call
0x405610	0x40563b	string	0x4055df	^_[]
0x405c1e	0x405c34	string	0x405bf7	f92t\v
0x405c53	0x405c70	string	0x405bf7	f92u\n
0x405c6c	0x405c5d	string	0x405bf7	f;u\bt\v
0x405caf	0x40ffd0	string	0x405c9a	L5wt
0x405cd3	0x40ffd0	string	0x405c9a	L5wt
0x4068bc	0x406726	string	0x406817	hL5*
0x407039	0x407075	string	0x406ff3	Vf9~\bv
0x40736c	0x4101b0	string	0x4072cd	imJq9-
0x4073f8	0x4101b0	string	0x4072cd	imJq9-
0x407401	0x4101b0	string	0x4072cd	imJq9-
0x4074d4	0x4101b0	string	0x4072cd	imJq9-
0x4074dd	0x4101b0	string	0x4072cd	imJq9-
0x4074e4	0x4101b0	string	0x4072cd	imJq9-
0x407946	0x40c230	string	0x407919	expand 32-byte kexpand 16-byte k
0x408276	0x408586	string	0x408109	_^[]
