reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x4011f4	0x4511fc	import	0x4011f4	kernel32.dll.CloseHandle
0x4011fc	0x4511f8	import	0x4011fc	kernel32.dll.CreateFileA
0x401204	0x4511f4	import	0x401204	kernel32.dll.GetFileType
0x40120c	0x4511f0	import	0x40120c	kernel32.dll.GetFileSize
0x401214	0x4511ec	import	0x401214	kernel32.dll.GetStdHandle
0x40121c	0x4511e8	import	0x401214	kernel32.dll.RaiseException
0x401224	0x4511e4	import	0x401224	kernel32.dll.ReadFile
0x40122c	0x4511e0	import	0x401224	kernel32.dll.RtlUnwind
0x401234	0x4511dc	import	0x401234	kernel32.dll.SetEndOfFile
0x40123c	0x4511d8	import	0x40123c	kernel32.dll.SetFilePointer
0x401244	0x4511d4	import	0x401244	kernel32.dll.UnhandledExceptionFilter
0x40124c	0x4511d0	import	0x40124c	kernel32.dll.WriteFile
0x401254	0x451210	import	0x401254	user32.dll.CharNextA
0x40125c	0x4511cc	import	0x40125c	kernel32.dll.ExitThread
0x401264	0x4511c8	import	0x401264	kernel32.dll.ExitProcess
0x40126c	0x45120c	import	0x40126c	user32.dll.MessageBoxA
0x401274	0x4511c4	import	0x401274	kernel32.dll.FindClose
0x40127c	0x4511c0	import	0x40127c	kernel32.dll.FindFirstFileA
0x401284	0x4511bc	import	0x401284	kernel32.dll.FreeLibrary
0x40128c	0x4511b8	import	0x40128c	kernel32.dll.GetCommandLineA
0x401294	0x4511b4	import	0x401294	kernel32.dll.GetLastError
0x40129c	0x4511b0	import	0x40129c	kernel32.dll.GetLocaleInfoA
0x4012a4	0x4511ac	import	0x4012a4	kernel32.dll.GetModuleFileNameA
0x4012ac	0x4511a8	import	0x4012ac	kernel32.dll.GetModuleHandleA
0x4012b4	0x4511a4	import	0x4012b4	kernel32.dll.GetProcAddress
0x4012bc	0x4511a0	import	0x4012bc	kernel32.dll.GetStartupInfoA
0x4012c4	0x45119c	import	0x4012c4	kernel32.dll.GetThreadLocale
0x4012cc	0x451198	import	0x4012cc	kernel32.dll.LoadLibraryExA
0x4012d4	0x451208	import	0x4012d4	user32.dll.LoadStringA
0x4012dc	0x451194	import	0x4012dc	kernel32.dll.lstrcpynA
0x4012e4	0x451190	import	0x4012e4	kernel32.dll.lstrlenA
0x4012ec	0x45118c	import	0x4012ec	kernel32.dll.MultiByteToWideChar
0x4012f4	0x451220	import	0x4012f4	advapi32.dll.RegCloseKey
0x4012fc	0x45121c	import	0x4012fc	advapi32.dll.RegOpenKeyExA
0x401304	0x451218	import	0x401304	advapi32.dll.RegQueryValueExA
0x40130c	0x451188	import	0x40130c	kernel32.dll.WideCharToMultiByte
0x401314	0x451184	import	0x401314	kernel32.dll.VirtualQuery
0x40131c	0x451230	import	0x40131c	oleaut32.dll.SysAllocStringLen
0x401324	0x45122c	import	0x401324	oleaut32.dll.SysReAllocStringLen
0x40132c	0x451228	import	0x40132c	oleaut32.dll.SysFreeString
0x401334	0x451180	import	0x401334	kernel32.dll.InterlockedIncrement
0x40133c	0x45117c	import	0x40133c	kernel32.dll.InterlockedDecrement
0x401344	0x451178	import	0x401344	kernel32.dll.GetCurrentThreadId
0x40134c	0x451174	import	0x40134c	kernel32.dll.GetVersion
0x401378	0x451170	import	0x401378	kernel32.dll.LocalAlloc
0x401380	0x45116c	import	0x401380	kernel32.dll.LocalFree
0x401388	0x451168	import	0x401388	kernel32.dll.VirtualAlloc
0x401390	0x451164	import	0x401390	kernel32.dll.VirtualFree
0x401398	0x451160	import	0x401398	kernel32.dll.InitializeCriticalSection
0x4013a0	0x45115c	import	0x4013a0	kernel32.dll.EnterCriticalSection
0x4013a8	0x451158	import	0x4013a8	kernel32.dll.LeaveCriticalSection
0x4013b0	0x451154	import	0x4013b0	kernel32.dll.DeleteCriticalSection
0x403598	0x451204	import	0x403598	user32.dll.GetKeyboardType
0x40625c	0x451244	import	0x40625c	kernel32.dll.TlsAlloc
0x406264	0x451240	import	0x406264	kernel32.dll.TlsFree
0x40626c	0x45123c	import	0x40626c	kernel32.dll.TlsGetValue
0x406274	0x451238	import	0x406274	kernel32.dll.TlsSetValue
0x406564	0x451260	import	0x406564	advapi32.dll.FreeSid
0x40658c	0x45137c	import	0x40658c	kernel32.dll.CompareStringA
0x406594	0x451378	import	0x406594	kernel32.dll.CreateEventA
