reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x4011f4	0x4521fc	import	0x4011f4	kernel32.dll.CloseHandle
0x4011fc	0x4521f8	import	0x4011fc	kernel32.dll.CreateFileA
0x401204	0x4521f4	import	0x401204	kernel32.dll.GetFileType
0x40120c	0x4521f0	import	0x40120c	kernel32.dll.GetFileSize
0x401214	0x4521ec	import	0x401214	kernel32.dll.GetStdHandle
0x40121c	0x4521e8	import	0x401214	kernel32.dll.RaiseException
0x401224	0x4521e4	import	0x401224	kernel32.dll.ReadFile
0x40122c	0x4521e0	import	0x401224	kernel32.dll.RtlUnwind
0x401234	0x4521dc	import	0x401234	kernel32.dll.SetEndOfFile
0x40123c	0x4521d8	import	0x40123c	kernel32.dll.SetFilePointer
0x401244	0x4521d4	import	0x401244	kernel32.dll.UnhandledExceptionFilter
0x40124c	0x4521d0	import	0x40124c	kernel32.dll.WriteFile
0x401254	0x452210	import	0x401254	user32.dll.CharNextA
0x40125c	0x4521cc	import	0x40125c	kernel32.dll.ExitThread
0x401264	0x4521c8	import	0x401264	kernel32.dll.ExitProcess
0x40126c	0x45220c	import	0x40126c	user32.dll.MessageBoxA
0x401274	0x4521c4	import	0x401274	kernel32.dll.FindClose
0x40127c	0x4521c0	import	0x40127c	kernel32.dll.FindFirstFileA
0x401284	0x4521bc	import	0x401284	kernel32.dll.FreeLibrary
0x40128c	0x4521b8	import	0x40128c	kernel32.dll.GetCommandLineA
0x401294	0x4521b4	import	0x401294	kernel32.dll.GetLastError
0x40129c	0x4521b0	import	0x40129c	kernel32.dll.GetLocaleInfoA
0x4012a4	0x4521ac	import	0x4012a4	kernel32.dll.GetModuleFileNameA
0x4012ac	0x4521a8	import	0x4012ac	kernel32.dll.GetModuleHandleA
0x4012b4	0x4521a4	import	0x4012b4	kernel32.dll.GetProcAddress
0x4012bc	0x4521a0	import	0x4012bc	kernel32.dll.GetStartupInfoA
0x4012c4	0x45219c	import	0x4012c4	kernel32.dll.GetThreadLocale
0x4012cc	0x452198	import	0x4012cc	kernel32.dll.LoadLibraryExA
0x4012d4	0x452208	import	0x4012d4	user32.dll.LoadStringA
0x4012dc	0x452194	import	0x4012dc	kernel32.dll.lstrcpynA
0x4012e4	0x452190	import	0x4012e4	kernel32.dll.lstrlenA
0x4012ec	0x45218c	import	0x4012ec	kernel32.dll.MultiByteToWideChar
0x4012f4	0x452220	import	0x4012f4	advapi32.dll.RegCloseKey
0x4012fc	0x45221c	import	0x4012fc	advapi32.dll.RegOpenKeyExA
0x401304	0x452218	import	0x401304	advapi32.dll.RegQueryValueExA
0x40130c	0x452188	import	0x40130c	kernel32.dll.WideCharToMultiByte
0x401314	0x452184	import	0x401314	kernel32.dll.VirtualQuery
0x40131c	0x452230	import	0x40131c	oleaut32.dll.SysAllocStringLen
0x401324	0x45222c	import	0x401324	oleaut32.dll.SysReAllocStringLen
0x40132c	0x452228	import	0x40132c	oleaut32.dll.SysFreeString
0x401334	0x452180	import	0x401334	kernel32.dll.InterlockedIncrement
0x40133c	0x45217c	import	0x40133c	kernel32.dll.InterlockedDecrement
0x401344	0x452178	import	0x401344	kernel32.dll.GetCurrentThreadId
0x40134c	0x452174	import	0x40134c	kernel32.dll.GetVersion
0x401378	0x452170	import	0x401378	kernel32.dll.LocalAlloc
0x401380	0x45216c	import	0x401380	kernel32.dll.LocalFree
0x401388	0x452168	import	0x401388	kernel32.dll.VirtualAlloc
0x401390	0x452164	import	0x401390	kernel32.dll.VirtualFree
0x401398	0x452160	import	0x401398	kernel32.dll.InitializeCriticalSection
0x4013a0	0x45215c	import	0x4013a0	kernel32.dll.EnterCriticalSection
0x4013a8	0x452158	import	0x4013a8	kernel32.dll.LeaveCriticalSection
0x4013b0	0x452154	import	0x4013b0	kernel32.dll.DeleteCriticalSection
0x403598	0x452204	import	0x403598	user32.dll.GetKeyboardType
0x40625c	0x452244	import	0x40625c	kernel32.dll.TlsAlloc
0x406264	0x452240	import	0x406264	kernel32.dll.TlsFree
0x40626c	0x45223c	import	0x40626c	kernel32.dll.TlsGetValue
0x406274	0x452238	import	0x406274	kernel32.dll.TlsSetValue
0x406574	0x452264	import	0x406574	advapi32.dll.RegCreateKeyExA
0x40657c	0x452260	import	0x40657c	advapi32.dll.RegDeleteKeyA
0x406594	0x452254	import	0x406594	advapi32.dll.RegSetValueExA
0x4065a4	0x452388	import	0x4065a4	kernel32.dll.CompareStringA
0x4065ac	0x452384	import	0x4065ac	kernel32.dll.CreateEventA
0x4065bc	0x45237c	import	0x4065bc	kernel32.dll.CreateFileW
0x4065c4	0x452378	import	0x4065c4	kernel32.dll.CreateThread
0x4065dc	0x45236c	import	0x4065dc	kernel32.dll.EnumCalendarInfoA
0x4065e4	0x452368	import	0x4065e4	kernel32.dll.FindResourceA
0x4065ec	0x452364	import	0x4065ec	kernel32.dll.FlushInstructionCache
0x4065f4	0x452360	import	0x4065f4	kernel32.dll.FormatMessageA
0x406604	0x452358	import	0x406604	kernel32.dll.InterlockedExchange
0x40660c	0x452354	import	0x40660c	kernel32.dll.FreeResource
0x406614	0x452350	import	0x406614	kernel32.dll.GetACP
0x40661c	0x45234c	import	0x40661c	kernel32.dll.GetCPInfo
0x406624	0x452348	import	0x406624	kernel32.dll.GetCurrentProcess
0x40662c	0x452344	import	0x40662c	kernel32.dll.GetCurrentProcessId
0x40663c	0x45233c	import	0x40663c	kernel32.dll.GetDateFormatA
0x406644	0x452338	import	0x406644	kernel32.dll.GetDiskFreeSpaceA
0x40664c	0x452334	import	0x40664c	kernel32.dll.GetEnvironmentVariableA
0x406654	0x452330	import	0x406654	kernel32.dll.GetFileAttributesA
0x40665c	0x45232c	import	0x40665c	kernel32.dll.GetFullPathNameA
0x40666c	0x452324	import	0x40666c	kernel32.dll.GetLocalTime
0x40669c	0x45230c	import	0x40669c	kernel32.dll.GetStringTypeExA
0x4066a4	0x452308	import	0x4066a4	kernel32.dll.GetSystemInfo
0x4066ac	0x452304	import	0x4066a4	kernel32.dll.GetTempPathA
0x4066bc	0x4522fc	import	0x4066bc	kernel32.dll.GetTickCount
0x4066cc	0x4522f4	import	0x4066cc	kernel32.dll.GetVersionExA
0x4066d4	0x4522f0	import	0x4066d4	kernel32.dll.GlobalAddAtomA
0x4066dc	0x4522ec	import	0x4066dc	kernel32.dll.GlobalAlloc
0x4066e4	0x4522e8	import	0x4066e4	kernel32.dll.GlobalDeleteAtom
0x4066ec	0x4522e4	import	0x4066ec	kernel32.dll.GlobalFindAtomA
0x4066f4	0x4522e0	import	0x4066f4	kernel32.dll.GlobalFree
0x4066fc	0x4522dc	import	0x4066fc	kernel32.dll.GlobalLock
0x406704	0x4522d8	import	0x406704	kernel32.dll.GlobalHandle
0x40670c	0x4522d4	import	0x40670c	kernel32.dll.GlobalReAlloc
0x406714	0x4522d0	import	0x406714	kernel32.dll.GlobalUnlock
0x406724	0x4522c8	import	0x406724	kernel32.dll.IsBadReadPtr
0x406734	0x4522c0	import	0x406734	kernel32.dll.LoadLibraryA
0x40673c	0x4522bc	import	0x40673c	kernel32.dll.LoadResource
0x406744	0x4522b8	import	0x406744	kernel32.dll.LockResource
0x40674c	0x4522b4	import	0x40674c	kernel32.dll.MulDiv
0x40675c	0x4522ac	import	0x40675c	kernel32.dll.ResetEvent
0x40676c	0x4522a4	import	0x40676c	kernel32.dll.SetErrorMode
0x406774	0x4522a0	import	0x406774	kernel32.dll.SetEvent
0x406784	0x452298	import	0x406784	kernel32.dll.SetThreadLocale
0x40678c	0x452294	import	0x40678c	kernel32.dll.SizeofResource
0x406794	0x452290	import	0x406794	kernel32.dll.Sleep
0x4067a4	0x452288	import	0x4067a4	kernel32.dll.VirtualProtect
0x4067b4	0x452280	import	0x4067b4	kernel32.dll.WaitForSingleObject
0x4067c4	0x452278	import	0x4067c4	kernel32.dll.lstrcpyA
0x4067cc	0x45239c	import	0x4067cc	version.dll.GetFileVersionInfoA
0x4067d4	0x452398	import	0x4067d4	version.dll.GetFileVersionInfoSizeA
0x4067dc	0x452394	import	0x4067dc	version.dll.VerQueryValueA
0x4067e4	0x452478	import	0x4067e4	gdi32.dll.BitBlt
0x4067ec	0x452474	import	0x4067ec	gdi32.dll.CreateBitmap
0x4067f4	0x452470	import	0x4067f4	gdi32.dll.CreateBrushIndirect
0x4067fc	0x45246c	import	0x4067fc	gdi32.dll.CreateCompatibleBitmap
0x406804	0x452468	import	0x406804	gdi32.dll.CreateCompatibleDC
0x40680c	0x452464	import	0x40680c	gdi32.dll.CreateDIBSection
0x406814	0x452460	import	0x406814	gdi32.dll.CreateDIBitmap
0x40681c	0x45245c	import	0x40681c	gdi32.dll.CreateFontIndirectA
0x406824	0x452458	import	0x406824	gdi32.dll.CreateHalftonePalette
0x40682c	0x452454	import	0x40682c	gdi32.dll.CreatePalette
0x406834	0x452450	import	0x406834	gdi32.dll.CreatePenIndirect
0x40683c	0x45244c	import	0x40683c	gdi32.dll.CreateSolidBrush
0x406844	0x452448	import	0x406844	gdi32.dll.DeleteDC
0x40684c	0x452444	import	0x40684c	gdi32.dll.DeleteObject
0x406854	0x452440	import	0x406854	gdi32.dll.ExcludeClipRect
0x40685c	0x45243c	import	0x40685c	gdi32.dll.GetBitmapBits
0x406864	0x452438	import	0x406864	gdi32.dll.GetBrushOrgEx
0x40686c	0x452434	import	0x40686c	gdi32.dll.GetClipBox
0x406874	0x452430	import	0x406874	gdi32.dll.GetCurrentPositionEx
0x40687c	0x45242c	import	0x40687c	gdi32.dll.GetDCOrgEx
0x406884	0x452428	import	0x406884	gdi32.dll.GetDIBColorTable
0x40688c	0x452424	import	0x40688c	gdi32.dll.GetDIBits
0x406894	0x452420	import	0x406894	gdi32.dll.GetDeviceCaps
0x40689c	0x45241c	import	0x40689c	gdi32.dll.GetObjectA
0x4068a4	0x452418	import	0x4068a4	gdi32.dll.GetPaletteEntries
0x4068ac	0x452414	import	0x4068ac	gdi32.dll.GetPixel
0x4068b4	0x452410	import	0x4068b4	gdi32.dll.GetStockObject
0x4068bc	0x45240c	import	0x4068bc	gdi32.dll.GetSystemPaletteEntries
0x4068c4	0x452408	import	0x4068c4	gdi32.dll.GetTextExtentPoint32A
0x4068cc	0x452404	import	0x4068cc	gdi32.dll.GetTextMetricsA
0x4068d4	0x452400	import	0x4068d4	gdi32.dll.GetWindowOrgEx
0x4068dc	0x4523fc	import	0x4068dc	gdi32.dll.IntersectClipRect
