reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x1000117a	0x1000119a	string	0x10001142	_[^]
0x10001926	0x1000432e	string	0x1000149b	SVW3
0x10001aae	0x1001e000	string	0x10001a6e	TkzjwVikq7nkN2vczZ5Mi4DmTkz8QdPc
0x10001df1	0x1001c000	string	0x10001cab	6}I0
0x1000268b	0x1001ca98	string	0x10002647	`a>x42~HF
0x10002844	0x1001ca98	string	0x100027bf	`a>x42~HF
0x10002d0b	0x10002d23	string	0x10002cac	_^[]
0x10002d44	0x1000432e	string	0x10002d28	SVW3
0x10002eb2	0x1001cae0	string	0x10002e61	e77.t
0x100035fa	0x1000c000	import	0x100035e5	KERNEL32.dll.CreateThread
0x10003601	0x1000c004	import	0x100035e5	KERNEL32.dll.CloseHandle
0x1000397c	0x1001cb5c	string	0x100038c8	\n#BY
0x10003c40	0x1001cb30	string	0x10003c3a	*F}_BؚR blocks=Basic Latin,Arabic
0x10004803	0x1001cb88	string	0x100047e0	ih"q6
0x10004bae	0x10004bd9	string	0x10004b7d	^_[]
0x1000519f	0x100051b5	string	0x10005178	f92t\v
0x100051d4	0x100051f1	string	0x10005178	f92u\n
0x100051ed	0x100051de	string	0x10005178	f;u\bt\v
0x100064d6	0x10006502	string	0x10006493	Vf9~\bv
0x10006626	0x1001ca5c	string	0x100065dd	pZS,
0x10006864	0x1001cbe8	string	0x100066c4	G@x6
0x10006913	0x1000691f	string	0x100068f0	Wj@h
0x10006934	0x10006946	string	0x100068f0	_^[]
0x10006ee9	0x10018d58	string	0x10006ebc	expand 32-byte kexpand 16-byte k
0x10007819	0x10007b29	string	0x100076ac	_^[]
