reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401d7a	0x401d9a	string	0x401d42	_[^]
0x402525	0x404b66	string	0x40209e	SVW3
0x403399	0x4033a6	string	0x403317	Y_^[]
0x40381b	0x403833	string	0x4037bc	_^[]
0x403854	0x404b66	string	0x403838	SVW3
0x404c3e	0x41b6b4	string	0x404c3e	;f[4~
0x404f90	0x41b6b4	string	0x404f52	;f[4~
0x4053e6	0x405411	string	0x4053b5	^_[]
0x4059a6	0x4059bc	string	0x40597f	f92t\v
0x4059db	0x4059f8	string	0x40597f	f92u\n
0x4059f4	0x4059e5	string	0x40597f	f;u\bt\v
0x406ce0	0x406d05	string	0x406c9a	Vf9~\bv
0x407116	0x407122	string	0x4070f3	Wj@h
0x407137	0x407149	string	0x4070f3	_^[]
0x408017	0x41a6b8	string	0x407eb5	[4)C
0x408022	0x408332	string	0x407eb5	_^[]
0x409ed6	0x41a6b8	string	0x409eca	[4)C
