reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x140001e60	0x140001e71	string	0x140001dd0	3ۀy$ blocks=Basic Latin,Arabic
0x140001fa0	0x140001fb1	string	0x140001f10	3ۀy$ blocks=Basic Latin,Arabic
0x1400020e0	0x1400020f1	string	0x140002050	3ۀy$ blocks=Basic Latin,Arabic
0x1400022d5	0x1400016d0	string	0x140002190	@SVATAUAWH
0x140002500	0x14002f4b0	string	0x140002500	bad array new length
0x140002570	0x14002f5a8	string	0x140002570	bad cast
0x14000268f	0x140004760	string	0x140002640	@SUWAVAWH
0x1400026a8	0x140002190	string	0x140002640	@USVWATAVAWH
0x140002e55	0x14002f670	string	0x140002cb0	ios_base::badbit set
0x140002e61	0x14002f688	string	0x140002cb0	ios_base::failbit set
0x140002e68	0x14002f6a0	string	0x140002cb0	ios_base::eofbit set
0x1400031f0	0x1400048c0	string	0x1400030c0	@SUWAVAWH
0x14000334b	0x140001a00	string	0x1400030c0	@SUVATH
0x140003c6a	0x14002f5e8	string	0x140003b20	false
0x140003c97	0x14002f5f0	string	0x140003b20	true
0x140003d6e	0x14002f5d8	string	0x140003b20	bad locale name
0x140003e8b	0x1400048c0	string	0x140003da0	@SUWAVAWH
0x140003fc1	0x140001a00	string	0x140003da0	@SUVATH
0x140004584	0x14002f4c8	string	0x140004580	string too long
0x1400045a4	0x14002f840	string	0x1400045a0	invalid string position
0x1400046a6	0x1400016d0	string	0x140004630	@SVATAUAWH
0x140004ad9	0x140001bd0	string	0x140004a30	@SVAVAWH
0x140004bb9	0x140001bd0	string	0x140004b10	@SVAVAWH
0x140006042	0x14002f670	string	0x140005ef0	ios_base::badbit set
0x14000604e	0x14002f688	string	0x140005ef0	ios_base::failbit set
0x140006055	0x14002f6a0	string	0x140005ef0	ios_base::eofbit set
0x1400060a4	0x14002f468	string	0x140005ef0	Unknown exception
0x140006114	0x1400122a4	string	0x1400060d0	@USWH
0x140006177	0x14002f0b8	import	0x140006177	KERNEL32.dll.CreateToolhelp32Snapshot
0x14000617d	0x14002f058	import	0x14000617d	KERNEL32.dll.Process32FirstW
0x140006183	0x14002f060	import	0x140006183	KERNEL32.dll.Process32NextW
0x140006281	0x14002f870	string	0x14000627c	bad allocation
0x1400064cb	0x140030030	string	0x1400064bc	address family not supported
0x1400064d7	0x1400306e0	string	0x1400064bc	unknown error
0x140006b0f	0x1400084bc	string	0x140006a10	@UAVAWH
0x140006bc8	0x140006b98	string	0x140006b40	fA99}
0x140006ce1	0x1400084bc	string	0x140006bd8	@UAVAWH
0x140006d91	0x140006da2	string	0x140006d18	3ۀy$ blocks=Basic Latin,Arabic
0x140007808	0x14002f670	string	0x14000779c	ios_base::badbit set
0x140007813	0x14002f688	string	0x14000779c	ios_base::failbit set
0x14000781a	0x14002f6a0	string	0x14000779c	ios_base::eofbit set
0x140008458	0x14002f0e8	import	0x140008458	KERNEL32.dll.DeleteCriticalSection
0x140008468	0x14002f0e0	import	0x140008460	KERNEL32.dll.InitializeCriticalSectionEx
0x140008470	0x14002f0d0	import	0x140008470	KERNEL32.dll.EnterCriticalSection
0x140008478	0x14002f0d8	import	0x140008478	KERNEL32.dll.LeaveCriticalSection
0x14000848e	0x14002f0f0	import	0x140008480	KERNEL32.dll.EncodePointer
0x14000852f	0x14002f100	import	0x1400084bc	KERNEL32.dll.MultiByteToWideChar
