reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401325	0x41d000	import	0x401070	KERNEL32.dll.GetCurrentDirectoryA
0x401332	0x42bdcc	string	0x401070	received RX_GOT_ABAR_A event
0x40139d	0x42bdec	string	0x401070	received RX_GOT_ABAR_A event
0x401739	0x42be0c	string	0x401070	received RX_GOT_ABAR_A event
0x401764	0x42be2c	string	0x401070	received RX_GOT_ABAR_A event
0x4018c1	0x4184ae	string	0x401070	;\rزA blocks=Basic Latin,Arabic
0x4018f1	0x41d000	import	0x4018d0	KERNEL32.dll.GetCurrentDirectoryA
0x401911	0x42be4c	string	0x4018d0	received RX_GOT_ABAR_A event
0x401989	0x42be6c	string	0x4018d0	received RX_GOT_ABAR_A event
0x4019b4	0x42be8c	string	0x4018d0	received RX_GOT_ABAR_A event
0x401a10	0x4184ae	string	0x4018d0	;\rزA blocks=Basic Latin,Arabic
0x401a46	0x41d000	import	0x401a30	KERNEL32.dll.GetCurrentDirectoryA
0x401a6e	0x42d1f0	string	0x401a30	received RX_GOT_ABAR_A event
0x401ad3	0x42d1f0	string	0x401a30	received RX_GOT_ABAR_A event
0x401b0f	0x42d1f0	string	0x401a30	received RX_GOT_ABAR_A event
0x401b38	0x42d1f0	string	0x401a30	received RX_GOT_ABAR_A event
0x401ce1	0x42d1f0	string	0x401a30	received RX_GOT_ABAR_A event
0x401da0	0x4184ae	string	0x401a30	;\rزA blocks=Basic Latin,Arabic
0x401dd0	0x41d000	import	0x401db0	KERNEL32.dll.GetCurrentDirectoryA
0x401ddf	0x42bec4	string	0x401db0	received RX_GOT_ABAR_A event
0x401e15	0x42bee4	string	0x401db0	received RX_GOT_ABAR_A event
0x401e4a	0x4184ae	string	0x401db0	;\rزA blocks=Basic Latin,Arabic
0x401e81	0x41d000	import	0x401e60	KERNEL32.dll.GetCurrentDirectoryA
0x401ea1	0x42d1f0	string	0x401e60	received RX_GOT_ABAR_A event
0x401f09	0x4184ae	string	0x401e60	;\rزA blocks=Basic Latin,Arabic
0x401f46	0x42bf20	string	0x401f20	received RX_GOT_ABAR_A event
0x401f5c	0x41d000	import	0x401f20	KERNEL32.dll.GetCurrentDirectoryA
0x4020b3	0x4184ae	string	0x401f20	;\rزA blocks=Basic Latin,Arabic
0x4020e8	0x42bf58	string	0x4020c0	received RX_GOT_ABAR_A event
0x4020fe	0x41d000	import	0x4020c0	KERNEL32.dll.GetCurrentDirectoryA
0x402130	0x4184ae	string	0x4020c0	;\rزA blocks=Basic Latin,Arabic
0x402171	0x41d000	import	0x402140	KERNEL32.dll.GetCurrentDirectoryA
0x402197	0x42d1f0	string	0x402140	received RX_GOT_ABAR_A event
0x402312	0x41add4	string	0x402140	_yP"v
0x402579	0x42d1f0	string	0x402140	received RX_GOT_ABAR_A event
0x4025d9	0x42d1f0	string	0x402140	received RX_GOT_ABAR_A event
0x4025fe	0x42d1f0	string	0x402140	received RX_GOT_ABAR_A event
0x402623	0x42d1f0	string	0x402140	received RX_GOT_ABAR_A event
0x4028fd	0x42d1f0	string	0x402140	received RX_GOT_ABAR_A event
0x402990	0x42d1f0	string	0x402140	received RX_GOT_ABAR_A event
0x402b42	0x42d1f0	string	0x402140	received RX_GOT_ABAR_A event
0x402bcb	0x4184ae	string	0x402140	;\rزA blocks=Basic Latin,Arabic
0x402bf0	0x41d000	import	0x402be0	KERNEL32.dll.GetCurrentDirectoryA
0x402c13	0x42d1f0	string	0x402be0	received RX_GOT_ABAR_A event
0x402c7d	0x42d1f0	string	0x402be0	received RX_GOT_ABAR_A event
0x402d4d	0x42d1f0	string	0x402be0	received RX_GOT_ABAR_A event
0x402d95	0x42d1f0	string	0x402be0	received RX_GOT_ABAR_A event
0x40315a	0x42d1f0	string	0x402be0	received RX_GOT_ABAR_A event
0x4031e7	0x4184ae	string	0x402be0	;\rزA blocks=Basic Latin,Arabic
0x403226	0x42bf78	string	0x403200	received RX_GOT_ABAR_A event
0x40323c	0x41d000	import	0x403200	KERNEL32.dll.GetCurrentDirectoryA
0x403276	0x42bf98	string	0x403200	received RX_GOT_ABAR_A event
0x40328c	0x41d000	import	0x403200	KERNEL32.dll.GetCurrentDirectoryA
0x40349e	0x41add4	string	0x403200	_yP"v
0x40357f	0x4184ae	string	0x403200	;\rزA blocks=Basic Latin,Arabic
0x403606	0x42bff8	string	0x4035d0	received RX_GOT_ABAR_A event
0x40361c	0x41d000	import	0x4035d0	KERNEL32.dll.GetCurrentDirectoryA
0x403976	0x41add4	string	0x4035d0	_yP"v
0x403a46	0x42c018	string	0x4035d0	received RX_GOT_ABAR_A event
0x403a5c	0x41d000	import	0x4035d0	KERNEL32.dll.GetCurrentDirectoryA
0x403d5f	0x42c038	string	0x4035d0	received RX_GOT_ABAR_A event
0x403d75	0x41d000	import	0x4035d0	KERNEL32.dll.GetCurrentDirectoryA
0x403ddd	0x4184ae	string	0x4035d0	;\rزA blocks=Basic Latin,Arabic
0x403e3d	0x4184ae	string	0x403e20	;\rزA blocks=Basic Latin,Arabic
0x403e80	0x41d000	import	0x403e60	KERNEL32.dll.GetCurrentDirectoryA
0x403e8d	0x42d1f0	string	0x403e60	received RX_GOT_ABAR_A event
0x403eb6	0x42d1f0	string	0x403e60	received RX_GOT_ABAR_A event
0x403ed5	0x4184ae	string	0x403e60	;\rزA blocks=Basic Latin,Arabic
0x403f01	0x41d000	import	0x403ee0	KERNEL32.dll.GetCurrentDirectoryA
0x403f12	0x42c1b4	string	0x403ee0	received RX_GOT_ABAR_A event
0x403f3e	0x42c1d4	string	0x403ee0	received RX_GOT_ABAR_A event
0x403f8a	0x4184ae	string	0x403ee0	;\rزA blocks=Basic Latin,Arabic
0x403fbd	0x4184ae	string	0x403fa0	;\rزA blocks=Basic Latin,Arabic
0x403fef	0x41d030	import	0x403fd0	USER32.dll.PostMessageA
0x4040e7	0x4184ae	string	0x403fd0	;\rزA blocks=Basic Latin,Arabic
0x404139	0x41d030	import	0x4040f0	USER32.dll.PostMessageA
0x404146	0x4184ae	string	0x4040f0	;\rزA blocks=Basic Latin,Arabic
0x40418f	0x41d030	import	0x404150	USER32.dll.PostMessageA
0x4041a5	0x4184ae	string	0x404150	;\rزA blocks=Basic Latin,Arabic
0x4041d9	0x41d030	import	0x4041b0	USER32.dll.PostMessageA
0x40420f	0x41d030	import	0x4041f0	USER32.dll.PostMessageA
0x404395	0x4184ae	string	0x4041f0	;\rزA blocks=Basic Latin,Arabic
0x4043bf	0x41d030	import	0x4043a0	USER32.dll.PostMessageA
0x40441e	0x4184ae	string	0x4043a0	;\rزA blocks=Basic Latin,Arabic
0x404727	0x4047a0	string	0x404440	_^][Y
0x404735	0x41d030	import	0x404440	USER32.dll.PostMessageA
0x4047ef	0x41d030	import	0x4047b0	USER32.dll.PostMessageA
0x4047fb	0x4184ae	string	0x4047b0	;\rزA blocks=Basic Latin,Arabic
0x40481f	0x41d030	import	0x404800	USER32.dll.PostMessageA
0x40487c	0x4184ae	string	0x404800	;\rزA blocks=Basic Latin,Arabic
0x4048af	0x41d030	import	0x404890	USER32.dll.PostMessageA
0x40493e	0x4184ae	string	0x404890	;\rزA blocks=Basic Latin,Arabic
0x404958	0x41d030	import	0x404950	USER32.dll.PostMessageA
0x404aec		string	0x404a00	_yP"v
0x404d6b	0x404da4	string	0x404a00	_^][
0x404d7e	0x404da4	string	0x404a00	_^][
0x404d9e	0x41d030	import	0x404a00	USER32.dll.PostMessageA
0x404dcd	0x4184ae	string	0x404db0	;\rزA blocks=Basic Latin,Arabic
0x405178	0x4051e5	string	0x404df0	_^][
0x405181	0x4051e5	string	0x404df0	_^][
0x405190	0x41d030	import	0x404df0	USER32.dll.PostMessageA
0x4051c3	0x4051e5	string	0x404df0	_^][
0x4051fd	0x41d030	import	0x4051f0	USER32.dll.PostMessageA
