reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40118d	0x40c1e0	string	0x401150	install
0x4011aa	0x40c1e8	string	0x401150	remove
0x4011c7	0x40c1ef	string	0x401150	debug
0x4011f4	0x40c1f5	string	0x401150	\nStartServiceCtrlDispatcher being called.\n
0x4011ff	0x40c220	string	0x401150	This may take several seconds. Please wait.\n
0x401227	0x40c24e	string	0x401150	StartServiceCtrlDispatcher
0x40125a	0x40c269	string	0x401252	WinMgmtHelp
0x401383	0x40c275	string	0x4012fa	SetServiceStatus
0x4013d2	0x401453	string	0x4013af	_^[]
0x4013dd	0x401453	string	0x4013af	_^[]
0x4013e8	0x401453	string	0x4013af	_^[]
0x401421	0x40c286	string	0x4013af	Windows Management Help Service
0x401431	0x401453	string	0x4013af	_^[]
0x401464	0x40c1d4	string	0x401458	WinMgmtHelp
0x4015a3	0x40c1d4	string	0x40159d	WinMgmtHelp
0x40171e	0x40c4de	string	0x401713	Windows Management Help Service
0x401723	0x40c4cf	string	0x401713	Debugging %s.\n
0x401757	0x40c50c	string	0x40174a	Windows Management Help Service
0x40175c	0x40c4fe	string	0x40174a	Stopping %s.\n
0x4017ce	0x40c52c	string	0x40177b	%s (0x%x)
0x4017fb	0x40c1d4	string	0x4017f0	WinMgmtHelp
0x4019ee	0x40c68c	string	0x401924	start /min dnsmgr.exe
0x4019f9	0x40c6a2	string	0x401924	start /min csrsvc.exe
0x401abe	0x40c6b8	string	0x401a8d	%s failed. Error Code %d - %s
0x401afa	0x40c6d6	string	0x401adf	unknown user
0x401be1	0x40c1d4	string	0x401bd0	WinMgmtHelp
0x40211d	0x402126	string	0x4020c0	_^[Ð blocks=Basic Latin,Latin-1 Supplement
0x402184	0x40219b	string	0x402154	_^[Ðh blocks=Basic Latin,Latin-1 Supplement
0x4021d4	0x40c784	string	0x4021b8	borlndmm
0x4021e6	0x40c78d	string	0x4021b8	hrdir_b.c: LoadLibrary != mmdll borlndmm failed
0x402210	0x40226b	string	0x4021f4	_^[]
0x402212	0x40c7bd	string	0x4021f4	borlndmm
0x402224	0x40226b	string	0x4021f4	_^[]
