reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x18000114a	0x1800e70f0	string	0x180001144	ETW0
0x18000211e	0x180040ca0	string	0x180001fe0	H;\ra#\f
0x18000230b	0x1800d6c40	string	0x180002130	Unknown
0x180002314	0x1800d6c30	string	0x180002130	Opted Out
0x18000231d	0x1800d6c20	string	0x180002130	Opted In
0x180002324	0x1800d3f98	string	0x180002130	piip Status is: %s
0x18000250b	0x1800d3ff0	string	0x1800024e0	AppleScript
0x180002513	0x1800d4000	string	0x1800024e0	JavaScript
0x18000251b	0x1800d4010	string	0x1800024e0	VBScript
0x180002523	0x1800d4020	string	0x1800024e0	ExtendScript
0x18000252b	0x1800d4030	string	0x1800024e0	JSFL
0x180002533	0x1800d4038	string	0x1800024e0	NodeJS
0x18000254b	0x1800d4048	string	0x1800024e0	Other
0x1800025ec	0x1800d4050	string	0x1800024e0	load
0x1800025f3	0x1800d3ee8	string	0x1800024e0	event.type
0x1800025fd	0x180001fe0	string	0x1800024e0	@SUVWAVH
0x180002605	0x1800d3f60	string	0x1800024e0	content.name
0x18000260f	0x180001fe0	string	0x1800024e0	@SUVWAVH
0x18000261f	0x1800d3f70	string	0x1800024e0	content.type
0x180002629	0x180001fe0	string	0x1800024e0	@SUVWAVH
0x180002682	0x1800d3ee8	string	0x1800024e0	event.type
0x180002689	0x180001fe0	string	0x1800024e0	@SUVWAVH
0x180003334	0x1800d4058	string	0x180003330	vector<T> too long
0x1800034b4	0x1800d4070	string	0x1800034b0	invalid string position
0x1800034d4	0x1800d4088	string	0x1800034d0	string too long
0x1800041d5	0x1800045a0	string	0x180003f90	ATAVAWH
0x180004c1a	0x180006730	string	0x180004ba0	@UVWAVAWH
0x180004c4f	0x1800d4310	string	0x180004ba0	Dequeued %d events.
0x180004cd9	0x1800d4328	string	0x180004cb0	Event Processor waiting.
0x180004dc0	0x1800d4348	string	0x180004cb0	Event Processor resumed.
0x180004df0	0x180040ca0	string	0x180004cb0	H;\ra#\f
0x180004f82	0x1800d43a8	string	0x180004f70	EventProcessor notified.
0x180005041	0x1800d43c8	string	0x180004ff0	Clearing Events as userId has Changed
0x18000515d	0x180040ca0	string	0x180004ff0	H;\ra#\f
0x1800051d3	0x1800d43f0	string	0x180005180	Deque at max %d events.
0x180005257	0x18000525d	string	0x180005180	L9w
0x18000526c	0x1800d4408	string	0x180005180	Dropping %d events.
0x180005a9f	0x180005ac3	string	0x180005a50	I;6tLH
0x180005b14	0x1800d4758	string	0x180005a50	invalid map<K, T> key
0x180005b6b	0x180040ca0	string	0x180005a50	H;\ra#\f
0x180005c2c	0x180008510	string	0x180005b80	ATAVAWH
0x180005cce	0x180008510	string	0x180005b80	ATAVAWH
0x180005d70	0x180008510	string	0x180005b80	ATAVAWH
0x180005e12	0x180008510	string	0x180005b80	ATAVAWH
0x180005ebd	0x180008510	string	0x180005b80	ATAVAWH
0x180005f1c	0x1800d4630	string	0x180005b80	DESKTOP
0x180005f49	0x180008510	string	0x180005b80	ATAVAWH
0x180005f79	0x180040ca0	string	0x180005b80	H;\ra#\f
0x1800060a4	0x180008510	string	0x180006000	ATAVAWH
0x18000613d	0x180008510	string	0x180006000	ATAVAWH
0x1800061d8	0x180008510	string	0x180006000	ATAVAWH
0x18000626b	0x180008510	string	0x180006000	ATAVAWH
0x18000629b	0x180040ca0	string	0x180006000	H;\ra#\f
