reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40118b	0x41a000	import	0x401171	KERNEL32.dll.GetVersionExW
0x4011d3	0x41a1b0	import	0x4011b0	SHLWAPI.dll.PathFileExistsW
0x40130e	0x41a014	import	0x4012e6	KERNEL32.dll.CreateFileW
0x40131f	0x40132f	string	0x4012e6	VVVj
0x401322	0x41a018	import	0x4012e6	KERNEL32.dll.CloseHandle
0x401336	0x41a01c	import	0x4012e6	KERNEL32.dll.CreateFileMappingW
0x401356	0x41a020	import	0x4012e6	KERNEL32.dll.GetFileSize
0x401367	0x41a024	import	0x4012e6	KERNEL32.dll.MapViewOfFile
0x401376	0x41a018	import	0x4012e6	KERNEL32.dll.CloseHandle
0x4013c5	0x41a028	import	0x4012e6	KERNEL32.dll.UnmapViewOfFile
0x4013e6	0x41a028	import	0x4012e6	KERNEL32.dll.UnmapViewOfFile
0x4013ef	0x41a018	import	0x4012e6	KERNEL32.dll.CloseHandle
0x401442	0x41a008	import	0x401410	KERNEL32.dll.GetModuleHandleW
0x401449	0x41a02c	import	0x401410	KERNEL32.dll.GetModuleFileNameW
0x401483	0x41a030	import	0x401463	KERNEL32.dll.lstrcmpiW
0x40148c	0x41bb88	string	0x401463	-silent
0x40149e	0x41bb98	string	0x401463	-shadow
0x4014b0	0x41bba8	string	0x401463	-force32
0x4014c8	0x41bbbc	string	0x401463	-wait
0x4014f7	0x41a034	import	0x401463	KERNEL32.dll.WaitForSingleObject
0x40150b	0x41a030	import	0x401463	KERNEL32.dll.lstrcmpiW
0x401544	0x41bb98	string	0x401463	-shadow
0x40154f	0x401604	string	0x401463	j\nh̻A blocks=Basic Latin,Combining Diacritical Marks
0x4015cf	0x41a030	import	0x401463	KERNEL32.dll.lstrcmpiW
0x4016f8	0x41a014	import	0x4016d0	KERNEL32.dll.CreateFileW
0x401709	0x401719	string	0x4016d0	SSSj
0x40170c	0x41a018	import	0x4016d0	KERNEL32.dll.CloseHandle
0x401720	0x41a01c	import	0x4016d0	KERNEL32.dll.CreateFileMappingW
0x401740	0x41a020	import	0x4016d0	KERNEL32.dll.GetFileSize
0x40174e	0x41a024	import	0x4016d0	KERNEL32.dll.MapViewOfFile
0x40175d	0x41a018	import	0x4016d0	KERNEL32.dll.CloseHandle
0x401772	0x41bbf8	string	0x4016d0	kernux32.dll
0x401780	0x41bc08	string	0x4016d0	kernel32.dll
0x4017e3	0x41a028	import	0x4016d0	KERNEL32.dll.UnmapViewOfFile
0x4017ec	0x41a018	import	0x4016d0	KERNEL32.dll.CloseHandle
0x401811	0x41a1d0	import	0x4016d0	USER32.dll.GetParent
0x40181f	0x41a1cc	import	0x4016d0	USER32.dll.SetForegroundWindow
0x40183f	0x41bb64	string	0x40182f	IsWow64Process
0x401846	0x41bb74	string	0x40182f	kernel32
0x40184e	0x41a008	import	0x40182f	KERNEL32.dll.GetModuleHandleW
0x401855	0x41a004	import	0x40182f	KERNEL32.dll.GetProcAddress
0x40186c	0x41a00c	import	0x40182f	KERNEL32.dll.GetCurrentProcess
0x401885	0x41bc18	string	0x40182f	setup_x64.exe
0x40188e	0x41bc34	string	0x40182f	setup_x86.exe
0x40190c	0x41a038	import	0x40182f	KERNEL32.dll.GetCurrentDirectoryW
0x401997	0x41a03c	import	0x40182f	KERNEL32.dll.CreateProcessW
0x4019a6	0x41a1c8	import	0x40182f	USER32.dll.WaitForInputIdle
0x4019b5	0x41a1c4	import	0x40182f	USER32.dll.EnumThreadWindows
0x4019be	0x41a018	import	0x40182f	KERNEL32.dll.CloseHandle
0x4019cb	0x41a034	import	0x40182f	KERNEL32.dll.WaitForSingleObject
0x401a24	0x41bc58	string	0x401a06	Unspecified error. Check whether you have enough free disk space.
0x401a41	0x41a040	import	0x401a06	KERNEL32.dll.FormatMessageW
0x401a59	0x41a044	import	0x401a06	KERNEL32.dll.LocalFree
0x401aa7	0x41a048	import	0x401a89	KERNEL32.dll.GetCommandLineW
0x401aae	0x41a1a4	import	0x401a89	SHELL32.dll.CommandLineToArgvW
0x401aff	0x41a044	import	0x401a89	KERNEL32.dll.LocalFree
0x401b0d	0x401b1e	string	0x401a89	9t$\f
0x401b56	0x41a010	import	0x401a89	KERNEL32.dll.GetTempPathW
0x401b61	0x41a218	import	0x401a89	ole32.dll.CoCreateGuid
0x401b71	0x41a214	import	0x401a89	ole32.dll.StringFromCLSID
0x401b7b	0x41a04c	import	0x401a89	KERNEL32.dll.lstrcatW
0x401b8f	0x41a210	import	0x401a89	ole32.dll.CoTaskMemFree
0x401b95	0x41bcdc	string	0x401a89	.exe
0x401bbc	0x41a050	import	0x401a89	KERNEL32.dll.CopyFileW
0x401bc6	0x41a054	import	0x401a89	KERNEL32.dll.GetLastError
0x401c22	0x41a00c	import	0x401a89	KERNEL32.dll.GetCurrentProcess
0x401c38	0x41a058	import	0x401a89	KERNEL32.dll.DuplicateHandle
0x401c49	0x41bce8	string	0x401a89	-wait %u
0x401c4f	0x41a05c	import	0x401a89	KERNEL32.dll.lstrlenW
0x401c5d	0x41a1c0	import	0x401a89	USER32.dll.wsprintfW
0x401c81	0x41a03c	import	0x401a89	KERNEL32.dll.CreateProcessW
0x401c8f	0x41a060	import	0x401a89	KERNEL32.dll.DeleteFileW
0x401c95	0x41a054	import	0x401a89	KERNEL32.dll.GetLastError
0x401cb2	0x41a018	import	0x401a89	KERNEL32.dll.CloseHandle
0x401d7c	0x41bc58	string	0x401a89	Unspecified error. Check whether you have enough free disk space.
0x401d90	0x41bcfc	string	0x401a89	Installer error
0x401d97	0x41a1bc	import	0x401a89	USER32.dll.MessageBoxW
0x401e64	0x402785	string	0x401e2d	SUVW3
0x401ef4	0x402785	string	0x401ebd	SUVW3
0x4020fe	0x41bbec	string	0x4020cc	-7z "
0x40250d	0x402519	string	0x4024f3	9E\bt\r
0x4027b1	0x41a074	import	0x402785	KERNEL32.dll.FindResourceExW
0x4027f3	0x41a06c	import	0x4027e8	KERNEL32.dll.LoadResource
0x402801	0x41a068	import	0x4027e8	KERNEL32.dll.LockResource
0x402815	0x41a064	import	0x4027e8	KERNEL32.dll.SizeofResource
0x402836	0x402841	string	0x4027e8	_^ËD$\b blocks=Basic Latin,Latin-1 Supplement
0x402856	0x41a070	import	0x402844	KERNEL32.dll.FindResourceW
0x4028e5	0x41a018	import	0x4028bf	KERNEL32.dll.CloseHandle
0x40291a	0x4101b8	string	0x40291a	j\fhX
0x40296c	0x41a1a0	import	0x40291f	SHELL32.dll.SHFileOperationW
0x402999	0x41a08c	import	0x402986	KERNEL32.dll.CreateThread
0x402a16	0x4101b8	string	0x4029ff	j\fhX
0x402a27	0x41a1e0	import	0x4029ff	USER32.dll.EndDialog
0x402a3f	0x4101b8	string	0x4029ff	j\fhX
0x402a69	0x41a094	import	0x402a52	KERNEL32.dll.DeleteCriticalSection
0x402a77	0x41a018	import	0x402a52	KERNEL32.dll.CloseHandle
0x402ad9	0x41a1f0	import	0x402ab4	USER32.dll.DialogBoxParamW
0x402aef	0x41a1d4	import	0x402ab4	USER32.dll.SetWindowTextW
0x402b03	0x41a208	import	0x402ab4	USER32.dll.ShowWindow
0x402b34	0x41a1d8	import	0x402b0e	USER32.dll.DestroyWindow
0x402bcc	0x4101b8	string	0x402b0e	j\fhX
0x402c09	0x41a034	import	0x402bd8	KERNEL32.dll.WaitForSingleObject
0x402c2b	0x41a1dc	import	0x402bd8	USER32.dll.PostMessageW
0x402c75	0x41be34	string	0x402c37	Can not find archive file
0x402caf	0x41bdfc	string	0x402c37	File is not correct archive
0x402e71	0x41a018	import	0x402c37	KERNEL32.dll.CloseHandle
0x40303a	0x41a090	import	0x402fb6	KERNEL32.dll.InitializeCriticalSection
0x403076	0x41a018	import	0x40306f	KERNEL32.dll.CloseHandle
0x403176	0x41a010	import	0x403130	KERNEL32.dll.GetTempPathW
0x403185	0x41a218	import	0x403130	ole32.dll.CoCreateGuid
0x403193	0x41a214	import	0x403130	ole32.dll.StringFromCLSID
0x4031c3	0x41a210	import	0x403130	ole32.dll.CoTaskMemFree
0x4031d8	0x41a014	import	0x403130	KERNEL32.dll.CreateFileW
0x4031f6	0x41a054	import	0x403130	KERNEL32.dll.GetLastError
0x403203	0x41a040	import	0x403130	KERNEL32.dll.FormatMessageW
0x40320c	0x41a044	import	0x403130	KERNEL32.dll.LocalFree
0x403213	0x41a018	import	0x403130	KERNEL32.dll.CloseHandle
0x40324a	0x41a098	import	0x403130	KERNEL32.dll.WriteFile
0x403261	0x41a018	import	0x403130	KERNEL32.dll.CloseHandle
0x40328b	0x41a018	import	0x403130	KERNEL32.dll.CloseHandle
0x4034a3	0x4034af	string	0x403487	C;^\bt
0x403593	0x4101b8	string	0x403551	j\fhX
0x403630	0x4101b8	string	0x4035ee	j\fhX
0x403661	0x4101b8	string	0x4035ee	j\fhX
0x40367e	0x4101b8	string	0x4035ee	j\fhX
0x403862	0x41a09c	import	0x403857	KERNEL32.dll.FindClose
