reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x180003de4	0x180003e58	string	0x180003c14	QueryUmsThreadInformation
0x180003e4a	0x180003ec0	string	0x180003c14	combase.dll
0x180003e6d	0x180003ed8	string	0x180003c14	RoInitialize
0x180003e92	0x180003ee8	string	0x180003c14	RoUninitialize
0x1800053d4	0x180005448	string	0x180004c98	`virtual displacement map'
0x1800053e1	0x180005448	string	0x180004c98	`virtual displacement map'
0x18000543f	0x1800054b0	string	0x180004c98	`eh vector vbase constructor iterator'
0x1800054b7	0x180005528	string	0x180004c98	`local vftable constructor closure'
0x18000560f	0x180005680	string	0x180004c98	`dynamic atexit destructor for '
0x180005637	0x1800056a8	string	0x180004c98	`vector copy constructor iterator'
0x180005a97	0x180005ac0	string	0x180004c98	Base Class Array'
0x180005ab2	0x180005b28	string	0x180004c98	__cdecl
0x180005aeb	0x180005b50	string	0x180004c98	__thiscall
0x180006386	0x180006388	string	0x180004c98	Wednesday
0x1800063f5	0x180006470	string	0x180004c98	MM/dd/yy
0x180006e42	0x180006eaa	string	0x180004c98	]{f\f
0x18000bba2	0x18000bbdc	string	0x180004c98	;H9>&X
0x18000bc31	0x18000bc3d	string	0x180004c98	p\r>%@
0x18000bc3d	0x18000bc4c	string	0x180004c98	n03>Pu
0x18000bfc6	0x18000c005	string	0x180004c98	eF>t
0x180010776	0x180010140	string	0x180010770	ETW0
0x180010c2e	0x1800161d0	string	0x180010ab0	H;\rA>
0x180010cd7	0x180010ab0	string	0x180010c70	@SVWH
0x180010d56	0x1800161d0	string	0x180010c70	H;\rA>
0x180010e80	0x1800161d0	string	0x180010dc0	H;\rA>
0x180011109	0x180052088	import	0x180011100	KERNEL32.dll.DisableThreadLibraryCalls
0x180012797	0x180052038	import	0x180012760	KERNEL32.dll.ReadFile
0x180012875	0x1800161d0	string	0x180012760	H;\rA>
0x18001292c	0x1800161d0	string	0x1800128e0	H;\rA>
0x180012c35	0x1800161d0	string	0x180012b80	H;\rA>
0x180012da6	0x180010ab0	string	0x180012cd0	@SVWH
0x180012ef8	0x1800161d0	string	0x180012cd0	H;\rA>
0x18001435e	0x1800520d0	import	0x1800142f0	KERNEL32.dll.MultiByteToWideChar
0x1800143c4	0x1800520d0	import	0x1800142f0	KERNEL32.dll.MultiByteToWideChar
0x1800148ab	0x1800145ec	string	0x1800148a8	@SUVWATAVAWH
0x180014a8d	0x1800161d0	string	0x1800149d8	H;\rA>
0x180014b2d	0x1800012c0	string	0x180014ae0	Unknown exception
0x180014b82	0x180001360	string	0x180014b7c	bad allocation
0x180014dd7	0x180001b00	string	0x180014dc8	address family not supported
0x180014de3	0x180002100	string	0x180014dc8	unknown error
0x1800151c9	0x1800520f8	import	0x1800151c0	KERNEL32.dll.GetCurrentThreadId
0x1800152fa	0x180052040	import	0x1800152e8	KERNEL32.dll.GetCurrentProcess
0x180015303	0x180052110	import	0x1800152e8	KERNEL32.dll.GetCurrentThread
0x18001530c	0x180052040	import	0x1800152e8	KERNEL32.dll.GetCurrentProcess
0x180015333	0x180052080	import	0x1800152e8	KERNEL32.dll.DuplicateHandle
0x180015340	0x180052090	import	0x1800152e8	KERNEL32.dll.CloseHandle
0x18001534c	0x1800520f8	import	0x1800152e8	KERNEL32.dll.GetCurrentThreadId
0x18001536f	0x180052090	import	0x180015368	KERNEL32.dll.CloseHandle
0x18001541a	0x18001543e	string	0x1800153cc	E;C\b}
0x180015af1	0x180052130	import	0x180015a98	KERNEL32.dll.CreateEventW
0x180015d3c	0x180052158	import	0x180015d10	KERNEL32.dll.GetSystemTimeAsFileTime
0x180015e00	0x180052128	import	0x180015dc0	KERNEL32.dll.InitializeCriticalSectionAndSpinCount
0x1800161b4	0x1800520d8	import	0x1800161b4	KERNEL32.dll.EnterCriticalSection
0x180016b16	0x1800161d0	string	0x180016ac0	H;\rA>
0x180016bbf	0x180052198	import	0x180016bb4	KERNEL32.dll.SetUnhandledExceptionFilter
0x180016bc8	0x180052190	import	0x180016bb4	KERNEL32.dll.UnhandledExceptionFilter
0x180016bce	0x180052040	import	0x180016bb4	KERNEL32.dll.GetCurrentProcess
0x180016be1	0x180052058	import	0x180016bb4	KERNEL32.dll.TerminateProcess
0x180016c0d	0x180016cbc	string	0x180016bb4	@SVWH
0x180016cc7	0x180052178	import	0x180016cbc	KERNEL32.dll.RtlCaptureContext
0x180016ce1	0x180052180	import	0x180016cbc	KERNEL32.dll.RtlLookupFunctionEntry
0x180016d18	0x180052188	import	0x180016cbc	KERNEL32.dll.RtlVirtualUnwind
0x180016d76	0x180002600	string	0x180016d70	bad array new length
0x180016fed	0x180052178	import	0x180016fa8	KERNEL32.dll.RtlCaptureContext
0x180017007	0x180052180	import	0x180016fa8	KERNEL32.dll.RtlLookupFunctionEntry
0x180017048	0x180052188	import	0x180016fa8	KERNEL32.dll.RtlVirtualUnwind
0x18001709c	0x1800521a8	import	0x180016fa8	KERNEL32.dll.IsDebuggerPresent
0x1800170bd	0x180052198	import	0x180016fa8	KERNEL32.dll.SetUnhandledExceptionFilter
0x1800170c8	0x180052190	import	0x180016fa8	KERNEL32.dll.UnhandledExceptionFilter
0x18001711c	0x180052158	import	0x1800170f0	KERNEL32.dll.GetSystemTimeAsFileTime
0x18001712a	0x1800520f8	import	0x1800170f0	KERNEL32.dll.GetCurrentThreadId
0x180017136	0x1800521b8	import	0x1800170f0	KERNEL32.dll.GetCurrentProcessId
0x180017146	0x180052118	import	0x1800170f0	KERNEL32.dll.QueryPerformanceCounter
0x1800171a3	0x1800521c0	import	0x18001719c	KERNEL32.dll.InitializeSListHead
0x18001782d	0x1800521c8	import	0x180017804	KERNEL32.dll.CreateTimerQueue
0x1800183fb	0x1800161d0	string	0x180018204	H;\rA>
0x1800187aa	0x1800028c8	string	0x18001876c	pEvents
0x1800187f4	0x1800028c8	string	0x18001876c	pEvents
0x18001883a	0x1800028c8	string	0x18001876c	pEvents
0x180018ac8	0x180018ad0	string	0x18001876c	H+D$hH+D$P3
0x180018d04	0x1800520f0	import	0x180018d04	KERNEL32.dll.DeleteCriticalSection
0x180019160	0x1800520e0	import	0x180019160	KERNEL32.dll.LeaveCriticalSection
0x18001961a	0x1800021c8	string	0x180019610	kernel32.dll
0x180019621	0x180052168	import	0x180019610	KERNEL32.dll.GetModuleHandleW
0x18001962a	0x180002990	string	0x180019610	SetThreadGroupAffinity
0x180019634	0x180052170	import	0x180019610	KERNEL32.dll.GetProcAddress
0x18001963a	0x1800029a8	string	0x180019610	GetThreadGroupAffinity
0x180019647	0x180052170	import	0x180019610	KERNEL32.dll.GetProcAddress
0x180019679	0x1800021c8	string	0x180019610	kernel32.dll
0x180019687	0x180052168	import	0x180019610	KERNEL32.dll.GetModuleHandleW
0x180019690	0x1800029c0	string	0x180019610	GetCurrentProcessorNumberEx
0x180019697	0x180052170	import	0x180019610	KERNEL32.dll.GetProcAddress
0x18001971c	0x180052010	import	0x18001971c	KERNEL32.dll.ChangeTimerQueueTimer
0x180019724	0x180052090	import	0x180019724	KERNEL32.dll.CloseHandle
0x180019788	0x1800521f0	import	0x180019788	KERNEL32.dll.CreateThread
0x180019790	0x180052210	import	0x180019790	KERNEL32.dll.CreateTimerQueueTimer
0x1800197c3	0x180052220	import	0x180019798	KERNEL32.dll.DeleteTimerQueueTimer
0x1800197cd	0x1800521d0	import	0x180019798	KERNEL32.dll.GetLastError
0x180019842	0x180052208	import	0x180019830	KERNEL32.dll.GetLogicalProcessorInformation
0x180019848	0x1800521d0	import	0x180019830	KERNEL32.dll.GetLastError
0x180019868	0x180052208	import	0x180019830	KERNEL32.dll.GetLogicalProcessorInformation
0x180019915	0x1800021c8	string	0x1800198fc	kernel32.dll
0x18001991c	0x180052168	import	0x1800198fc	KERNEL32.dll.GetModuleHandleW
0x180019925	0x1800029e0	string	0x1800198fc	GetLogicalProcessorInformationEx
0x18001992c	0x180052170	import	0x1800198fc	KERNEL32.dll.GetProcAddress
0x18001994b	0x1800521d0	import	0x1800198fc	KERNEL32.dll.GetLastError
0x180019a51	0x180052228	import	0x180019a48	KERNEL32.dll.GetNumaHighestNodeNumber
0x180019ad4	0x180052040	import	0x180019a94	KERNEL32.dll.GetCurrentProcess
0x180019ae7	0x180052230	import	0x180019a94	KERNEL32.dll.GetProcessAffinityMask
0x180019b10	0x180052200	import	0x180019b10	KERNEL32.dll.GetThreadPriority
0x180019b47	0x180052240	import	0x180019b28	KERNEL32.dll.RegisterWaitForSingleObject
0x180019b5b	0x1800521d0	import	0x180019b28	KERNEL32.dll.GetLastError
0x180019bd5	0x180052238	import	0x180019b28	KERNEL32.dll.SetThreadAffinityMask
0x180019bf4	0x1800521f8	import	0x180019b28	KERNEL32.dll.SetThreadPriority
0x180019c34	0x1800521e0	import	0x180019c34	KERNEL32.dll.SignalObjectAndWait
0x180019c3c	0x180052108	import	0x180019c3c	KERNEL32.dll.Sleep
0x180019c44	0x1800521e8	import	0x180019c44	KERNEL32.dll.SwitchToThread
0x180019c50	0x180052138	import	0x180019c4c	KERNEL32.dll.TlsAlloc
0x180019c90	0x180052150	import	0x180019c90	KERNEL32.dll.TlsFree
0x180019c98	0x180052140	import	0x180019c98	KERNEL32.dll.TlsGetValue
0x180019ca4	0x180052148	import	0x180019ca0	KERNEL32.dll.TlsSetValue
0x180019ce4	0x180052248	import	0x180019ce4	KERNEL32.dll.UnregisterWait
0x180019cef	0x180052100	import	0x180019cec	KERNEL32.dll.WaitForSingleObjectEx
0x180019d4c	0x180052260	import	0x180019d10	KERNEL32.dll.FreeLibrary
0x180019d8f	0x180052078	import	0x180019d64	KERNEL32.dll.FreeLibraryAndExitThread
0x180019db3	0x180052250	import	0x180019d9c	KERNEL32.dll.EncodePointer
0x180019dc3	0x180052110	import	0x180019d9c	KERNEL32.dll.GetCurrentThread
0x180019de5	0x180052258	import	0x180019d9c	KERNEL32.dll.GetThreadTimes
0x180019e6b	0x180052270	import	0x180019e50	KERNEL32.dll.GetModuleHandleA
0x180019e88	0x180052268	import	0x180019e50	KERNEL32.dll.GetModuleFileNameW
0x180019ea3	0x180052278	import	0x180019e50	KERNEL32.dll.LoadLibraryExW
0x180019ebb	0x1800161d0	string	0x180019e50	H;\rA>
0x18001a2d3	0x180052288	import	0x18001a220	KERNEL32.dll.VirtualAlloc
0x18001a4b5	0x180052290	import	0x18001a3e8	KERNEL32.dll.VirtualFree
