reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x140001146	0x140143bf0	string	0x140001140	ETW0
0x1400018bf	0x140001920	string	0x140001890	@UVWH
0x1400019a3	0x1400019b8	string	0x140001920	3ۀy$ blocks=Basic Latin,Arabic
0x1400019fc	0x140109368	string	0x140001920	bad cast
0x140001ae3	0x140001af8	string	0x140001a60	3ۀy$ blocks=Basic Latin,Arabic
0x140001b3c	0x140109368	string	0x140001a60	bad cast
0x140001c23	0x140001c38	string	0x140001ba0	3ۀy$ blocks=Basic Latin,Arabic
0x140001c7c	0x140109368	string	0x140001ba0	bad cast
0x140001e26	0x1401095c0	string	0x140001df0	reverseBits
0x140001e34	0x140006900	string	0x140001df0	@SVWATAUAVAWH
0x140001e6b	0x1401095d0	string	0x140001df0	clCreateBuffer
0x140001e77	0x140007a90	string	0x140001df0	@VWAVH
0x140001ecc	0x1401095d0	string	0x140001df0	clCreateBuffer
0x140001ed8	0x140007a90	string	0x140001df0	@VWAVH
0x140001f0b	0x1400b7e00	string	0x140001df0	H;\ri2\v
0x140001f91	0x140109378	string	0x140001f20	bad locale name
0x140002057	0x140003f30	string	0x140001ff0	@SVWH
0x1400020d4	0x1400b7e00	string	0x140001ff0	H;\ri2\v
0x140002405	0x1400b7e00	string	0x140002350	H;\ri2\v
0x140002688	0x140001a60	string	0x1400025f0	@UVWH
0x140002818	0x140001a60	string	0x140002780	@UVWH
0x140002f04	0x140001920	string	0x140002e10	@UVWH
0x140002f81	0x140001ba0	string	0x140002e10	@UVWH
0x14000310d	0x140109778	string	0x140002e10	string too long
0x14000311a	0x140109778	string	0x140002e10	string too long
0x140003127	0x140109760	string	0x140002e10	invalid string position
0x14000351c	0x1400b7e00	string	0x140002e10	H;\ri2\v
0x1400038a4	0x140109388	string	0x1400037f0	false
0x1400038e4	0x140109390	string	0x1400037f0	true
0x140003a0d	0x140001920	string	0x140003960	@UVWH
0x140003a8a	0x140001ba0	string	0x140003960	@UVWH
0x140003f08	0x1400b7e00	string	0x140003960	H;\ri2\v
0x140004038	0x1400b7e00	string	0x140003f30	H;\ri2\v
0x140004a2a	0x140109548	string	0x1400049b0	ios_base::badbit set
0x140004a73	0x140003f30	string	0x1400049b0	@SVWH
0x140004b53	0x140109560	string	0x1400049b0	ios_base::failbit set
0x140004b9c	0x140003f30	string	0x1400049b0	@SVWH
0x140004c68	0x140109578	string	0x1400049b0	ios_base::eofbit set
0x140004c9f	0x1400b7e00	string	0x1400049b0	H;\ri2\v
0x140006307	0x1401095e0	string	0x140006290	clEnqueueWriteBuffer
0x140006314	0x140007a90	string	0x140006290	@VWAVH
0x14000637e	0x1401095e0	string	0x140006290	clEnqueueWriteBuffer
0x14000638b	0x140007a90	string	0x140006290	@VWAVH
0x14000640c	0x140007370	string	0x140006290	@SVWH
0x140006429	0x140109608	string	0x140006290	WorkSize:
0x140006437	0x1400015c0	string	0x140006290	@VWATAVAWH
0x140006443	0x140002780	string	0x140006290	@VWAVH
0x14000644b	0x1401095f8	string	0x140006290	, LocalSize:
0x140006452	0x1400015c0	string	0x140006290	@VWATAVAWH
0x14000645e	0x140002780	string	0x140006290	@VWAVH
0x1400064d2	0x140109618	string	0x140006290	clEnqueueReadBuffer
0x1400064df	0x140007a90	string	0x140006290	@VWAVH
0x14000658e	0x140002780	string	0x140006290	@VWAVH
0x14000659d	0x1400015c0	string	0x140006290	@VWATAVAWH
0x1400065a7	0x1400025f0	string	0x140006290	@VWAVH
0x1400065b6	0x1400015c0	string	0x140006290	@VWATAVAWH
0x1400065c0	0x1400025f0	string	0x140006290	@VWAVH
0x1400065e3	0x140109630	string	0x140006290	Data mismatch!
0x140006622	0x140109640	string	0x140006290	%08x:
0x140006643	0x140109648	string	0x140006290	%02hhx
0x140006691	0x1400b7e00	string	0x140006290	H;\ri2\v
0x1400066e4	0x140109320	string	0x1400066c0	Unknown exception
0x140006753	0x140109650	string	0x140006710	[INPUTFILE]
0x14000675a	0x140109660	string	0x140006710	ReverseBits
0x140006761	0x140007430	string	0x140006710	@UVWATAUAVAWH
0x140006788	0x1400aa480	string	0x140006710	@VWAVH
0x140006792	0x14010966c	string	0x140006710	input
0x140006799	0x1400aa480	string	0x140006710	@VWAVH
0x1400067f0	0x140001df0	string	0x140006710	@SVWH
0x1400069c4	0x140109980	string	0x140006900	clGetDeviceIDs
0x1400069d5	0x140007a90	string	0x140006900	@VWAVH
0x140006a10	0x1401099c0	string	0x140006900	DeviceIndexOutOfRange
0x140006a21	0x140007a90	string	0x140006900	@VWAVH
0x140006a8c	0x140109980	string	0x140006900	clGetDeviceIDs
0x140006a9d	0x140007a90	string	0x140006900	@VWAVH
0x140006af2	0x140008180	string	0x140006900	@SVWATAUAVAWH
0x140006b1c	0x1401099d8	string	0x140006900	clGetDeviceMaxWorkGroupSize
0x140006b2d	0x140007a90	string	0x140006900	@VWAVH
0x140006b6a	0x1401099f8	string	0x140006900	clGetDeviceMaxComputeUnits
0x140006b7b	0x140007a90	string	0x140006900	@VWAVH
0x140006bbd	0x140109a18	string	0x140006900	clCreateContext
0x140006bd0	0x140007a90	string	0x140006900	@VWAVH
0x140006c13	0x140109990	string	0x140006900	clGetDeviceInfoName
0x140006c24	0x140007a90	string	0x140006900	@VWAVH
0x140006c71	0x140109990	string	0x140006900	clGetDeviceInfoName
0x140006c82	0x140007a90	string	0x140006900	@VWAVH
0x140006c9b	0x140109a28	string	0x140006900	Device:
0x140006ca9	0x1400015c0	string	0x140006900	@VWATAVAWH
0x140006cb4	0x1400025f0	string	0x140006900	@VWAVH
0x140006cc3	0x1400015c0	string	0x140006900	@VWATAVAWH
0x140006cce	0x1400015c0	string	0x140006900	@VWATAVAWH
0x140006cdb	0x140109a48	string	0x140006900	BinaryFormat:
0x140006ce9	0x1400015c0	string	0x140006900	@VWATAVAWH
0x140006d03	0x1400015c0	string	0x140006900	@VWATAVAWH
0x140006d08	0x140109a38	string	0x140006900	\nBitness:
0x140006d12	0x1400015c0	string	0x140006900	@VWATAVAWH
0x140006d2f	0x1400025f0	string	0x140006900	@VWAVH
0x140006d59	0x140109a58	string	0x140006900	clCreateCommandQueue
0x140006d6c	0x140007a90	string	0x140006900	@VWAVH
0x140006ddc	0x140006dd0	string	0x140006900	< t\nH
0x140006e4b	0x140109a80	string	0x140006900	clCreateKernel
0x140006e5a	0x140007a90	string	0x140006900	@VWAVH
0x140006f21	0x1400b7e00	string	0x140006900	H;\ri2\v
0x14000730f	0x1400b7e00	string	0x140007280	H;\ri2\v
0x1400073f8	0x1400b7e00	string	0x140007370	H;\ri2\v
0x1400074b7	0x140109940	string	0x140007430	Usage:
0x1400074c5	0x1400015c0	string	0x140007430	@VWATAVAWH
0x1400074d0	0x1400015c0	string	0x140007430	@VWATAVAWH
0x1400074d8	0x140109920	string	0x140007430	[DEVICE_INDEX[cl1|old|cl2]]
0x1400074df	0x1400015c0	string	0x140007430	@VWATAVAWH
0x1400074ea	0x1400015c0	string	0x140007430	@VWATAVAWH
0x1400074f2	0x140109908	string	0x140007430	\nPrint device list:
0x1400074f9	0x1400015c0	string	0x140007430	@VWATAVAWH
0x140007504	0x1400015c0	string	0x140007430	@VWATAVAWH
0x140007513	0x1400015c0	string	0x140007430	@VWATAVAWH
0x14000751b	0x1401098f0	string	0x140007430	\nPrint help:
0x140007522	0x1400015c0	string	0x140007430	@VWATAVAWH
0x14000752d	0x1400015c0	string	0x140007430	@VWATAVAWH
0x140007535	0x140109870	string	0x140007430	-?\n'cl2' after DEVICE_INDEX enables AMD OpenCL 2.0 mode\n'cl1' or 'old' after DEVICE_INDEX force old AMD OpenCL 1.2 mode
0x14000753c	0x1400015c0	string	0x140007430	@VWATAVAWH
0x140007615	0x140109970	string	0x140007430	Platform:
0x140007623	0x1400015c0	string	0x140007430	@VWATAVAWH
0x14000762e	0x1400015c0	string	0x140007430	@VWATAVAWH
0x14000763d	0x1400015c0	string	0x140007430	@VWATAVAWH
0x14000772b	0x1401099a8	string	0x140007430	Device:
0x140007739	0x1400015c0	string	0x140007430	@VWATAVAWH
0x140007744	0x1400025f0	string	0x140007430	@VWAVH
0x140007753	0x1400015c0	string	0x140007430	@VWATAVAWH
0x14000775e	0x1400015c0	string	0x140007430	@VWATAVAWH
0x14000776d	0x1400015c0	string	0x140007430	@VWATAVAWH
0x1400077c3	0x140109990	string	0x140007430	clGetDeviceInfoName
0x1400077d0	0x140007a90	string	0x140007430	@VWAVH
0x1400077e6	0x140109990	string	0x140007430	clGetDeviceInfoName
0x1400077f3	0x140007a90	string	0x140007430	@VWAVH
0x140007809	0x140109980	string	0x140007430	clGetDeviceIDs
0x140007816	0x140007a90	string	0x140007430	@VWAVH
0x14000782c	0x140109980	string	0x140007430	clGetDeviceIDs
0x140007839	0x140007a90	string	0x140007430	@VWAVH
0x14000784f	0x140109950	string	0x140007430	clGetPlatformInfoName
0x14000785c	0x140007a90	string	0x140007430	@VWAVH
0x140007872	0x140109950	string	0x140007430	clGetPlatformInfoName
0x14000787f	0x140007a90	string	0x140007430	@VWAVH
0x140007957	0x1400b7e00	string	0x140007430	H;\ri2\v
0x140007a10	0x1401044c0	import	0x140007a10	OpenCL.dll.clCreateBuffer
