reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x180001146	0x180065818	string	0x180001140	ETW0
0x1800018d1	0x1800151a0	string	0x1800017f0	H;\r)
0x180001c63	0x1800151a0	string	0x180001a90	H;\r)
0x180002938	0x1800151a0	string	0x180002830	H;\r)
0x180002bfb	0x180002830	string	0x180002b50	@SVWH
0x180002d1d	0x180002830	string	0x180002b50	@SVWH
0x180002dc7	0x1800151a0	string	0x180002b50	H;\r)
0x180003323	0x180050b40	string	0x180003200	string too long
0x18000359a	0x180003794	string	0x180003200	2ۀ|$( blocks=Basic Latin,Arabic
0x18000364d	0x180003794	string	0x180003200	2ۀ|$( blocks=Basic Latin,Arabic
0x18000376c	0x180003794	string	0x180003200	2ۀ|$( blocks=Basic Latin,Arabic
0x1800037ea	0x1800151a0	string	0x180003200	H;\r)
0x18000396e	0x180050b28	string	0x1800038b0	invalid string position
0x18000423a	0x1800151a0	string	0x180003c40	H;\r)
0x1800042c7	0x180050b10	string	0x180004260	vector<T> too long
0x180004859	0x180002830	string	0x1800047a0	@SVWH
0x180004903	0x1800151a0	string	0x1800047a0	H;\r)
0x180004b1b	0x18000f630	string	0x180004a30	;QPt&
0x180004f33	0x180050438	import	0x180004ef0	WS2_32.dll.htons
0x180004f42	0x180050438	import	0x180004ef0	WS2_32.dll.htons
0x180004f50	0x180050438	import	0x180004ef0	WS2_32.dll.htons
0x180004f5e	0x180050438	import	0x180004ef0	WS2_32.dll.htons
0x180004f88	0x180050440	import	0x180004ef0	WS2_32.dll.htonl
0x180004fa7	0x180050440	import	0x180004ef0	WS2_32.dll.htonl
0x180004fb3	0x180050440	import	0x180004ef0	WS2_32.dll.htonl
0x180005673	0x180005680	string	0x180005670	@VWATAVAWH
0x180005777	0x180005060	string	0x180005680	@VWAWH
0x1800057a9	0x180005060	string	0x180005680	@VWAWH
0x180005ab7	0x180050b10	string	0x180005a50	vector<T> too long
0x180005c21	0x180050ca0	string	0x180005b30	Image data is null pointer!
0x180005f70	0x180050ca0	string	0x180005c80	Image data is null pointer!
0x1800060b7	0x180050430	import	0x180006050	WS2_32.dll.ntohs
0x1800060cb	0x180050430	import	0x180006050	WS2_32.dll.ntohs
0x1800060df	0x180050430	import	0x180006050	WS2_32.dll.ntohs
0x1800060f3	0x180050430	import	0x180006050	WS2_32.dll.ntohs
0x180006106	0x180050440	import	0x180006050	WS2_32.dll.htonl
0x180006118	0x180050440	import	0x180006050	WS2_32.dll.htonl
0x18000612a	0x180050440	import	0x180006050	WS2_32.dll.htonl
0x180006193	0x18000f630	string	0x180006050	;QPt&
0x18000643c	0x180006460	string	0x1800063c0	@SVWATAUAVAWH
0x180006508	0x1800503c8	import	0x180006460	WS2_32.dll.WSAStartup
0x180006533	0x180050e80	string	0x180006460	WSAStartup failed!
0x180006609	0x180050e98	string	0x180006460	0.0.0.0
0x1800066b9	0x180050e98	string	0x180006460	0.0.0.0
0x1800067d5	0x1800503b8	import	0x180006460	WS2_32.dll.getaddrinfo
0x1800067eb	0x1800503c0	import	0x180006460	WS2_32.dll.WSAGetLastError
0x180006804	0x180050ea0	string	0x180006460	Error resolving remote address:
0x180006835	0x18000684f	string	0x180006460	HǄ$@ blocks=Basic Latin,Latin Extended-B
0x180006983	0x1800503b8	import	0x180006460	WS2_32.dll.getaddrinfo
0x18000699b	0x1800503c0	import	0x180006460	WS2_32.dll.WSAGetLastError
0x1800069b4	0x180050ec8	string	0x180006460	Error resolving local address:
0x1800069e5	0x1800069ff	string	0x180006460	HǄ$@ blocks=Basic Latin,Latin Extended-B
0x180006a74	0x180050ee8	string	0x180006460	Illegal operation mode
0x180006ab2	0x180007260	string	0x180006460	@UVWH
0x180006ac1	0x180006f10	string	0x180006460	@USVWAVH
0x180006ae0	0x1800503b0	import	0x180006460	WS2_32.dll.freeaddrinfo
0x180006af0	0x1800503b0	import	0x180006460	WS2_32.dll.freeaddrinfo
0x180006b05	0x1800151a0	string	0x180006460	H;\r)
0x180006e7d	0x180050400	import	0x180006e00	WS2_32.dll.inet_ntoa
0x180006ef5	0x1800151a0	string	0x180006e00	H;\r)
0x180006f5c	0x180050f00	string	0x180006f10	No remote address specified
0x180006fe4	0x1800503d0	import	0x180006f10	WS2_32.dll.socket
0x180006ff8	0x1800503c0	import	0x180006f10	WS2_32.dll.WSAGetLastError
0x18000700d	0x180050f20	string	0x180006f10	Error creating socket:
0x1800070c0	0x1800503d8	import	0x180006f10	WS2_32.dll.setsockopt
0x1800070d2	0x180050420	import	0x180006f10	WS2_32.dll.bind
0x1800070e0	0x1800503c0	import	0x180006f10	WS2_32.dll.WSAGetLastError
0x1800070f5	0x180050f38	string	0x180006f10	Error binding socket:
0x18000718a	0x180050410	import	0x180006f10	WS2_32.dll.connect
0x180007198	0x1800503c0	import	0x180006f10	WS2_32.dll.WSAGetLastError
0x1800071ad	0x180050f50	string	0x180006f10	Error connection to destination address:
0x180007245	0x1800151a0	string	0x180006f10	H;\r)
0x1800072ae	0x180050f80	string	0x180007260	No local address specified
0x180007336	0x1800503d0	import	0x180007260	WS2_32.dll.socket
0x18000734a	0x1800503c0	import	0x180007260	WS2_32.dll.WSAGetLastError
0x18000735f	0x180050fa0	string	0x180007260	Error opening socket:
0x180007409	0x1800503d8	import	0x180007260	WS2_32.dll.setsockopt
0x18000741b	0x180050420	import	0x180007260	WS2_32.dll.bind
0x180007429	0x1800503c0	import	0x180007260	WS2_32.dll.WSAGetLastError
0x18000743e	0x180050f38	string	0x180007260	Error binding socket:
0x1800074db	0x180050408	import	0x180007260	WS2_32.dll.ioctlsocket
0x1800074ea	0x1800503f8	import	0x180007260	WS2_32.dll.listen
0x1800074f7	0x1800151a0	string	0x180007260	H;\r)
0x180007563	0x180050f80	string	0x180007510	No local address specified
0x1800075ec	0x1800503d0	import	0x180007510	WS2_32.dll.socket
0x180007600	0x1800503c0	import	0x180007510	WS2_32.dll.WSAGetLastError
0x180007615	0x180050f20	string	0x180007510	Error creating socket:
0x1800076bf	0x1800503d8	import	0x180007510	WS2_32.dll.setsockopt
0x1800076d1	0x180050420	import	0x180007510	WS2_32.dll.bind
0x1800076df	0x1800503c0	import	0x180007510	WS2_32.dll.WSAGetLastError
0x1800076f4	0x180050f38	string	0x180007510	Error binding socket:
0x1800077a3	0x180050fb8	string	0x180007510	Illegal address length
0x1800077eb	0x1800151a0	string	0x180007510	H;\r)
0x180007b4c	0x180050b28	string	0x1800079d0	invalid string position
0x180007b59	0x180050b40	string	0x1800079d0	string too long
0x180007b66	0x180050b40	string	0x1800079d0	string too long
0x180007b93	0x180007ba0	string	0x180007b90	@SUWAVAWH
0x180007dd0	0x180050408	import	0x180007d80	WS2_32.dll.ioctlsocket
0x180007dff	0x1800503f0	import	0x180007d80	WS2_32.dll.recv
0x180007e3a	0x180050418	import	0x180007d80	WS2_32.dll.closesocket
0x180007e53	0x1800503c0	import	0x180007d80	WS2_32.dll.WSAGetLastError
0x180007e64	0x1800503c0	import	0x180007d80	WS2_32.dll.WSAGetLastError
0x180007e73	0x1800503c0	import	0x180007d80	WS2_32.dll.WSAGetLastError
0x180007e84	0x1800503c0	import	0x180007d80	WS2_32.dll.WSAGetLastError
0x180007e95	0x1800503c0	import	0x180007d80	WS2_32.dll.WSAGetLastError
0x180007eae	0x180051070	string	0x180007d80	Error reading from socket:
0x180007f68	0x1800151a0	string	0x180007d80	H;\r)
0x1800080a8	0x180050408	import	0x180008080	WS2_32.dll.ioctlsocket
0x1800080cf	0x1800503d8	import	0x180008080	WS2_32.dll.setsockopt
0x1800080f0	0x1800503d8	import	0x180008080	WS2_32.dll.setsockopt
0x18000811a	0x1800503d8	import	0x180008080	WS2_32.dll.setsockopt
0x18000813c	0x1800503d8	import	0x180008080	WS2_32.dll.setsockopt
0x18000815e	0x1800503d8	import	0x180008080	WS2_32.dll.setsockopt
0x1800081e2	0x180008208	string	0x180008190	L9cH
0x1800081fc	0x180008208	string	0x180008190	L9cH
