reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x180001146	0x1800a3080	string	0x180001140	ETW0
0x180001570	0x180093fe8	string	0x180001530	Incorrect TLV header of the container
0x180001594	0x180093fe8	string	0x180001530	Incorrect TLV header of the container
0x1800016bf	0x180016c10	string	0x1800015c0	@WAVH
0x1800016dc	0x180094090	string	0x1800015c0	Invalid parameter
0x1800016f8	0x180094058	string	0x1800015c0	Not enough memory to store given DNN model structure
0x180001707	0x180094038	string	0x1800015c0	Invalid format of DNN model
0x180001745	0x180094010	string	0x1800015c0	Invalid TLV header of dnn structure
0x1800017b7	0x1800940b0	string	0x180001770	DNN Meta Data Incorrect TLV header: magic, type or version doesn't fit.
0x1800017da	0x1800940f8	string	0x180001770	DNN Meta Data Incorrect TLV header: length cannot be zero.
0x18000180f	0x180094138	string	0x180001770	DNN Meta Data TLV declared size exceeds container size
0x18000183a	0x180094170	string	0x180001770	DNN Meta Data: data validation failed.
0x180001884	0x1800941a0	string	0x180001770	DNN Meta Data: found a node index exceeding number of output nodes in DNN structure.
0x18000190d	0x1800941f8	string	0x1800018b0	vector<T> too long
0x180001b4a	0x180094240	string	0x180001ac0	TLV Type of given binary attribute is incorrect
0x180002335	0x1800024a0	string	0x1800022b0	@SVWH
0x18000247d	0x1800024a0	string	0x180002420	@SVWH
0x1800027d0	0x180094338	string	0x180002760	list<T> too long
0x180002b94	0x180094378	string	0x180002b10	bad locale name
0x1800032a9	0x180003160	string	0x180003240	@SVWH
0x1800033f5	0x180003240	string	0x180003380	@SVWH
0x1800038be	0x180094418	string	0x180003840	Incorrect value
0x1800038e1	0x180094418	string	0x180003840	Incorrect value
0x180003a7d	0x180094440	string	0x180003a50	`anonymous-namespace'::InitLogger
0x180003aa6	0x180094468	string	0x180003a50	IntelWovSDK
0x180003aea	0x180094478	string	0x180003a50	1.2.333.0
0x180003cca	0x180003cf3	string	0x180003b10	I;4$
0x180003d20	0x180003d45	string	0x180003b10	I;4$
0x180003d72	0x180003da3	string	0x180003b10	I;4$
0x180003e6c	0x180003e93	string	0x180003b10	I;<$t>H
0x180003ed7	0x180094840	string	0x180003b10	invalid map<K, T> key
0x180003ee4	0x180094840	string	0x180003b10	invalid map<K, T> key
0x180003ef1	0x180094840	string	0x180003b10	invalid map<K, T> key
