reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x1400010d3	0x140014118	import	0x140001070	KERNEL32.dll.DeviceIoControl
0x1400010e1	0x140002d90	string	0x140001070	H;\rq2
0x140001135	0x140014108	import	0x1400010f0	KERNEL32.dll.K32EnumDeviceDrivers
0x1400011d7	0x140014110	import	0x1400010f0	KERNEL32.dll.K32GetDeviceDriverFileNameW
0x14000121d	0x140014368	import	0x1400010f0	USER32.dll.wsprintfW
0x140001223	0x140022f38	string	0x1400010f0	SystemRoot
0x140001242	0x140022f50	string	0x1400010f0	C:\Windows
0x140001249	0x140022f68	string	0x1400010f0	%ws%ws
0x140001257	0x140014368	import	0x1400010f0	USER32.dll.wsprintfW
0x140001266	0x140014378	import	0x1400010f0	VERSION.dll.GetFileVersionInfoSizeW
0x140001286	0x140014120	import	0x1400010f0	KERNEL32.dll.LocalAlloc
0x14000129e	0x140014380	import	0x1400010f0	VERSION.dll.GetFileVersionInfoW
0x1400012b9	0x140022f78	string	0x1400010f0	\VarFileInfo\Translation
0x1400012c0	0x140014388	import	0x1400010f0	VERSION.dll.VerQueryValueW
0x1400012d3	0x140022fb0	string	0x1400010f0	LegalCopyright
0x1400012da	0x140022fd0	string	0x1400010f0	\StringFileInfo\%08lx\%ws
0x1400012f7	0x140014368	import	0x1400010f0	USER32.dll.wsprintfW
0x140001311	0x140014388	import	0x1400010f0	VERSION.dll.VerQueryValueW
0x14000134b	0x140014150	import	0x1400010f0	KERNEL32.dll.LocalFree
0x140001353	0x140014130	import	0x1400010f0	KERNEL32.dll.GetLastError
0x140001359	0x140023008	string	0x1400010f0	[!] VerQueryValue Failed %d\n
0x140001362	0x140014130	import	0x1400010f0	KERNEL32.dll.GetLastError
0x140001368	0x140023050	string	0x1400010f0	[!] GetFileVersionInfo Failed %d\n
0x140001371	0x140014130	import	0x1400010f0	KERNEL32.dll.GetLastError
0x140001377	0x1400230a0	string	0x1400010f0	[!] GetFileVersionInfoSize Failed %d\n
0x14000138f	0x140002d90	string	0x1400010f0	H;\rq2
0x1400013e6	0x140014108	import	0x1400013b0	KERNEL32.dll.K32EnumDeviceDrivers
0x140001402	0x140002d90	string	0x1400013b0	H;\rq2
0x140001473	0x140014118	import	0x140001410	KERNEL32.dll.DeviceIoControl
0x140001485	0x140002d90	string	0x140001410	H;\rq2
0x140001507	0x140014118	import	0x1400014a0	KERNEL32.dll.DeviceIoControl
0x140001519	0x140002d90	string	0x1400014a0	H;\rq2
0x14000156d	0x1400230f0	string	0x140001530	ntoskrnl.exe
0x140001577	0x140014140	import	0x140001530	KERNEL32.dll.LoadLibraryW
0x140001594	0x140014148	import	0x140001530	KERNEL32.dll.GetProcAddress
0x1400015a7	0x140014158	import	0x140001530	KERNEL32.dll.FreeLibrary
0x1400015b2	0x1400230f0	string	0x140001530	ntoskrnl.exe
0x1400015bc	0x140014140	import	0x140001530	KERNEL32.dll.LoadLibraryW
0x1400015d5	0x140014148	import	0x140001530	KERNEL32.dll.GetProcAddress
0x1400015e5	0x140014158	import	0x140001530	KERNEL32.dll.FreeLibrary
0x1400015f0	0x1400236f0	string	0x140001530	\\.\RTCORE64
0x14000160f	0x140014128	import	0x140001530	KERNEL32.dll.CreateFileW
0x14000161e	0x140023110	string	0x140001530	[!] Unable to obtain a handle to the device object\n
0x1400016c8	0x140014118	import	0x140001530	KERNEL32.dll.DeviceIoControl
0x140001712	0x140023178	string	0x140001530	[!] Get patternAddress Failed\n
0x14000172f	0x140002d90	string	0x140001530	H;\rq2
0x140001946	0x1400234a8	string	0x140001900	[+] Windows Os Version 1809\n
0x140001952	0x140023420	string	0x140001900	[+] Windows Os Version 1607\n
0x140001966	0x1400231b8	string	0x140001900	Process
0x140001981	0x140023460	string	0x140001900	KeRegisterProcessorChangeCallback
0x14000198d	0x1400233e0	string	0x140001900	[+] Windows Os Version Win8.1\n
0x140001999	0x1400231b8	string	0x140001900	Process
0x1400019b4	0x1400233c0	string	0x140001900	NtFindAtom
0x1400019c3	0x1400233d0	string	0x140001900	ObCreateObject
0x1400019ca	0x140001530	string	0x140001900	@USVWATAVAWH
0x1400019d9	0x140023380	string	0x140001900	[+] Windows Os Version Win8\n
0x1400019e5	0x1400231b8	string	0x140001900	Process
0x140001a00	0x1400233c0	string	0x140001900	NtFindAtom
0x140001a0f	0x1400233d0	string	0x140001900	ObCreateObject
0x140001a16	0x140001530	string	0x140001900	@USVWATAVAWH
0x140001a25	0x140023308	string	0x140001900	[+] Windows Os Version Win7 \n
0x140001a31	0x1400231b8	string	0x140001900	Process
0x140001a4c	0x140023348	string	0x140001900	RtlGetIntegerAtom
0x140001a5b	0x140023360	string	0x140001900	RtlAreAllAccessesGranted
0x140001a62	0x140001530	string	0x140001900	@USVWATAVAWH
0x140001a71	0x1400234f8	string	0x140001900	[+] Windows Os Version 1903 \n
0x140001a9f	0x140023578	string	0x140001900	[+] Windows Os Version 2004 \n
0x140001aa8	0x140023538	string	0x140001900	[+] Windows Os Version 1909 \n
0x140001abc	0x1400231b8	string	0x140001900	Process
0x140001ac8	0x1400234e8	string	0x140001900	IoCreateDriver
0x140001ade	0x140023488	string	0x140001900	PsSetCreateProcessNotifyRoutine
0x140001ae5	0x140001530	string	0x140001900	@USVWATAVAWH
0x140001b06	0x1400231b8	string	0x140001b00	Process
0x140001b10	0x1400231b8	string	0x140001b00	Process
0x140001b38	0x1400231b8	string	0x140001b00	Process
0x140001b3f	0x140023230	string	0x140001b00	Thread
0x140001b86	0x140023420	string	0x140001b00	[+] Windows Os Version 1607\n
0x140001ba6	0x1400235f8	string	0x140001b00	PsRemoveLoadImageNotifyRoutine
0x140001bb5	0x140023618	string	0x140001b00	PsRemoveCreateThreadNotifyRoutine
0x140001bc1	0x1400233e0	string	0x140001b00	[+] Windows Os Version Win8.1\n
0x140001be1	0x1400233c0	string	0x140001b00	NtFindAtom
0x140001bf0	0x1400233d0	string	0x140001b00	ObCreateObject
0x140001bfc	0x140023308	string	0x140001b00	[+] Windows Os Version Win7 \n
0x140001c1c	0x1400235b8	string	0x140001b00	MmLockPagableSectionByHandle
0x140001c2b	0x1400235d8	string	0x140001b00	RtlUnicodeToMultiByteSize
0x140001c37	0x1400234a8	string	0x140001b00	[+] Windows Os Version 1809\n
0x140001c55	0x140023578	string	0x140001b00	[+] Windows Os Version 2004 \n
0x140001c61	0x140023538	string	0x140001b00	[+] Windows Os Version 1909 \n
0x140001c6d	0x1400232a0	string	0x140001b00	Image
0x140001c77	0x1400231b8	string	0x140001b00	Process
0x140001cb8	0x140023578	string	0x140001b00	[+] Windows Os Version 2004 \n
0x140001cd8	0x140023488	string	0x140001b00	PsSetCreateProcessNotifyRoutine
0x140001ce7	0x1400236c8	string	0x140001b00	PsSetLoadImageNotifyRoutineEx
0x140001cf3	0x140023538	string	0x140001b00	[+] Windows Os Version 1909 \n
0x140001cfc	0x1400234a8	string	0x140001b00	[+] Windows Os Version 1809\n
0x140001d05	0x140023420	string	0x140001b00	[+] Windows Os Version 1607\n
0x140001d25	0x140023678	string	0x140001b00	SeRegisterLogonSessionTerminatedRoutineEx
0x140001d34	0x1400236a8	string	0x140001b00	PsSetLoadImageNotifyRoutine
0x140001d3d	0x140023308	string	0x140001b00	[+] Windows Os Version Win7 \n
0x140001d5d	0x140023640	string	0x140001b00	IoSetPartitionInformationEx
0x140001d6c	0x140023660	string	0x140001b00	FsRtlReleaseFile
0x140001d73	0x140001530	string	0x140001b00	@USVWATAVAWH
0x140002207	0x140014120	import	0x140002190	KERNEL32.dll.LocalAlloc
0x140002270	0x140014010	import	0x140002190	ADVAPI32.dll.CryptAcquireContextW
0x140002285	0x140014120	import	0x140002190	KERNEL32.dll.LocalAlloc
0x1400022da	0x140014040	import	0x140002190	ADVAPI32.dll.CryptImportKey
0x1400022ff	0x140014038	import	0x140002190	ADVAPI32.dll.CryptSetKeyParam
0x14000231e	0x140014038	import	0x140002190	ADVAPI32.dll.CryptSetKeyParam
0x140002346	0x140014018	import	0x140002190	ADVAPI32.dll.CryptDecrypt
0x14000235a	0x140014008	import	0x140002190	ADVAPI32.dll.CryptDestroyKey
0x140002363	0x140014150	import	0x140002190	KERNEL32.dll.LocalFree
0x140002373	0x140014000	import	0x140002190	ADVAPI32.dll.CryptReleaseContext
0x140002383	0x140014150	import	0x140002190	KERNEL32.dll.LocalFree
0x140002393	0x140014000	import	0x140002190	ADVAPI32.dll.CryptReleaseContext
0x1400023aa	0x140014000	import	0x140002190	ADVAPI32.dll.CryptReleaseContext
0x1400023d0	0x140014178	import	0x140002190	KERNEL32.dll.GetModuleFileNameW
0x14000243d	0x1400238a0	string	0x140002190	%wsa.sys
0x14000244c	0x140014368	import	0x140002190	USER32.dll.wsprintfW
0x140002483	0x140014128	import	0x140002190	KERNEL32.dll.CreateFileW
0x1400024a1	0x140014190	import	0x140002190	KERNEL32.dll.SetFilePointer
0x1400024aa	0x1400141a0	import	0x140002190	KERNEL32.dll.SetEndOfFile
0x1400024c6	0x140014168	import	0x140002190	KERNEL32.dll.WriteFile
0x1400024cf	0x140014138	import	0x140002190	KERNEL32.dll.CloseHandle
0x1400024eb	0x1400238b8	string	0x140002190	ServicesActive
0x140002503	0x140014330	import	0x140002190	RPCRT4.dll.NdrClientCall2
0x140002574	0x1400238d8	string	0x140002190	testxxxx
0x140002596	0x140014330	import	0x140002190	RPCRT4.dll.NdrClientCall2
