reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x41e121	0x40109c	import	0x41e0eb	KERNEL32.dll.WaitForMultipleObjects
0x41e129	0x401098	import	0x41e0eb	KERNEL32.dll.WaitForSingleObject
0x41e131	0x401094	import	0x41e0eb	KERNEL32.dll.SleepEx
0x41e138	0x401114	import	0x41e0eb	KERNEL32.dll.PulseEvent
0x41e13f	0x40108c	import	0x41e0eb	KERNEL32.dll.SetEvent
0x41e145	0x401290	string	0x41e0eb	Yamohinifo bowi nenukodabebive goyigavu sofusixuyogo
0x41e14a	0x401088	import	0x41e0eb	KERNEL32.dll.GetFileAttributesW
0x41e15b	0x401084	import	0x41e0eb	KERNEL32.dll.WriteProcessMemory
0x41e172	0x401080	import	0x41e0eb	KERNEL32.dll.SetFileShortNameA
0x41e179	0x40107c	import	0x41e0eb	KERNEL32.dll.SetEndOfFile
0x41e1b7	0x401078	import	0x41e0eb	KERNEL32.dll.FindActCtxSectionGuid
0x41e1c4	0x4012fc	string	0x41e0eb	Kip sizu
0x41e1c9	0x401074	import	0x41e0eb	KERNEL32.dll.BuildCommDCBA
0x41e1d7	0x401308	string	0x41e0eb	Beleboroyere vigasoyuzo jilaw
0x41e1dc	0x401070	import	0x41e0eb	KERNEL32.dll.GetProfileSectionA
0x41e1e7	0x40106c	import	0x41e0eb	KERNEL32.dll.WriteFile
0x41e1f2	0x401068	import	0x41e0eb	KERNEL32.dll.ReadFile
0x41e209	0x40100c	import	0x41e0eb	ADVAPI32.dll.AdjustTokenGroups
0x41e215	0x401000	import	0x41e0eb	ADVAPI32.dll.AdjustTokenPrivileges
0x41e251	0x401064	import	0x41e0eb	KERNEL32.dll.IsDebuggerPresent
0x41e257	0x401328	string	0x41e0eb	Boruka hipeturuhog
0x41e25c	0x401060	import	0x41e0eb	KERNEL32.dll.LoadLibraryA
0x41e263	0x40105c	import	0x41e0eb	KERNEL32.dll.RequestDeviceWakeup
0x41e271	0x40133c	string	0x41e0eb	rinakimuhuzafoluj
0x41e276	0x401058	import	0x41e0eb	KERNEL32.dll.GetLongPathNameA
0x41e284	0x401054	import	0x41e0eb	KERNEL32.dll.InitializeCriticalSectionAndSpinCount
0x41e2e1	0x401050	import	0x41e0eb	KERNEL32.dll.GetPrivateProfileSectionW
0x41e2ea	0x40104c	import	0x41e0eb	KERNEL32.dll.WritePrivateProfileSectionA
0x41e2f0	0x401350	string	0x41e0eb	Cafefawotiweh rexic sulorabasekibak
0x41e2f5	0x401048	import	0x41e0eb	KERNEL32.dll.DeleteFileW
0x41e302	0x401044	import	0x41e0eb	KERNEL32.dll.CreateFileA
0x41e310	0x401004	import	0x41e0eb	ADVAPI32.dll.MapGenericMask
0x41e318	0x401008	import	0x41e0eb	ADVAPI32.dll.AreAnyAccessesGranted
0x41e98e	0x401040	import	0x41e0eb	KERNEL32.dll.GetLastError
0x41e9a5	0x40103c	import	0x41e0eb	KERNEL32.dll.WriteConsoleW
0x41ea28	0x401038	import	0x41e0eb	KERNEL32.dll.GetConsoleAliasesW
0x41ea58	0x401034	import	0x41e0eb	KERNEL32.dll.WaitNamedPipeA
0x41ea68	0x401030	import	0x41e0eb	KERNEL32.dll.VerifyVersionInfoA
0x41ea6f	0x40102c	import	0x41e0eb	KERNEL32.dll.SetConsoleCP
0x41ea79	0x401028	import	0x41e0eb	KERNEL32.dll.WriteTapemark
0x41ea82	0x401024	import	0x41e0eb	KERNEL32.dll.WaitCommEvent
0x41ea8b	0x401020	import	0x41e0eb	KERNEL32.dll.SetTapeParameters
0x41eaa1	0x40101c	import	0x41e0eb	KERNEL32.dll.ReadConsoleInputA
0x41eab1	0x401018	import	0x41e0eb	KERNEL32.dll.WriteConsoleInputA
0x41eac0	0x401014	import	0x41e0eb	KERNEL32.dll.GetCPInfoExA
0x41eac7	0x401090	import	0x41e0eb	KERNEL32.dll.AddRefActCtx
0x41eacd	0x401108	import	0x41e0eb	KERNEL32.dll.GetUserDefaultLCID
0x41eadb	0x401398	string	0x41e0eb	jivuzibibewuyadoruxecidowuguxodolenatumefefirarenolepiwurupuxoyijekoruhe
0x41eae0	0x40110c	import	0x41e0eb	KERNEL32.dll.GetLongPathNameW
0x41eaeb	0x401110	import	0x41e0eb	KERNEL32.dll.GetTapePosition
0x41eb45	0x4010c8	import	0x41eb1c	KERNEL32.dll.GetProcessHeap
0x41eb4c	0x401090	import	0x41eb1c	KERNEL32.dll.AddRefActCtx
0x41eb60	0x4010c4	import	0x41eb1c	KERNEL32.dll.ReadConsoleA
0x41eb67	0x4010c0	import	0x41eb1c	KERNEL32.dll.GetConsoleAliasesLengthW
0x41eb6e	0x4010bc	import	0x41eb1c	KERNEL32.dll.AttachConsole
0x41eb77	0x4010b8	import	0x41eb1c	KERNEL32.dll.SetConsoleWindowInfo
0x41eb83	0x4010b4	import	0x41eb1c	KERNEL32.dll.GetCurrentConsoleFont
0x41eb8b	0x4010b0	import	0x41eb1c	KERNEL32.dll.GenerateConsoleCtrlEvent
0x41eb92	0x4010ac	import	0x41eb1c	KERNEL32.dll.SetConsoleTitleA
0x41eb9a	0x4010a8	import	0x41eb1c	KERNEL32.dll.SetConsoleCtrlHandler
0x41eba0	0x4010a4	import	0x41eb1c	KERNEL32.dll.AllocConsole
0x41eba8	0x4010a0	import	0x41eb1c	KERNEL32.dll.SetConsoleTextAttribute
0x41ebd2	0x40142c	string	0x41ebc9	kernel32.dll
0x41ebd7	0x4010dc	import	0x41ebc9	KERNEL32.dll.GetModuleHandleA
0x41ebdd	0x4010d8	import	0x41ebc9	KERNEL32.dll.GetProcAddress
0x41ebe3	0x40143c	string	0x41ebc9	LocalAlloc
0x41ebf0	0x401448	string	0x41ebc9	VirtualProtect
0x41ec36	0x41ec49	string	0x41ebc9	VVVVV
0x41ec38	0x4010d4	import	0x41ebc9	KERNEL32.dll.GetCurrentProcess
0x41ec43	0x401204	import	0x41ebc9	USER32.dll.GetAltTabInfoW
0x41ec4e	0x4010d0	import	0x41ebc9	KERNEL32.dll.GetGeoInfoA
0x41ecd8	0x401458	string	0x41ebc9	Basiw cujadehocenis
0x41ecdd	0x4010cc	import	0x41ebc9	KERNEL32.dll.BuildCommDCBAndTimeoutsA
0x41ed1f	0x40146c	string	0x41ecf7	Yav fug
0x41ed24	0x401104	import	0x41ecf7	KERNEL32.dll.GetDiskFreeSpaceA
0x41ed2f	0x401100	import	0x41ecf7	KERNEL32.dll.HeapValidate
0x41ed38	0x4010fc	import	0x41ecf7	KERNEL32.dll.OpenWaitableTimerW
0x41ed3e	0x4010f8	import	0x41ecf7	KERNEL32.dll.SetFileApisToOEM
0x41ed45	0x4010f4	import	0x41ecf7	KERNEL32.dll.FindAtomW
0x41ed5b	0x41f0b5	string	0x41ecf7	j\bhx
0x41ed9d	0x4010f0	import	0x41ecf7	KERNEL32.dll.VerifyVersionInfoW
