reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40ca00	0x40ca67	string	0x40a59a	get_iPhanTramGG
0x40ca4b	0x40caac	string	0x40a59a	set_strSDTKH
0x40ca4d	0x40cac3	string	0x40a59a	get_STR_MaKH
0x40cb4d	0x40cbc3	string	0x40a59a	get_strHoTenKH
0x40cb9b	0x40cbe1	string	0x40a59a	_IMEI
0x40ccb2	0x40cd19	string	0x40a59a	loadDSSP_DAO
0x40cd43	0x40cd93	string	0x40a59a	demSoLuongTonKhoTheoSP_DAO
0x40cdec	0x40ce4f	string	0x40a59a	QLCHApple_DAO
0x40ce88	0x40cef9	string	0x40a59a	themLoaiKhachHang_DAO
0x40d2a2	0x40d303	string	0x40a59a	set_bTrangThaiLoaiSP
0x40d3f5	0x40d45c	string	0x40a59a	kiemTraTrungMaIEMI_BUS
0x40d4b4	0x40d504	string	0x40a59a	demSoLuongTonKhoTheoSP_BUS
0x40d53c	0x40d591	string	0x40a59a	_LST_DSHDBan_FromToDate_BUS
0x40d5bc	0x40d62d	string	0x40a59a	themLoaiKhachHang_BUS
0x40d958	0x40d9ad	string	0x40a59a	_STR_MaLoaiNV
0x40d997	0x40d9f8	string	0x40a59a	get_strTenLoaiNV
0x40da95	0x40daf6	string	0x40a59a	Microsoft.VisualBasic
0x40daac	0x40db22	string	0x40a59a	Form2_Load
0x40dab6	0x40db17	string	0x40a59a	Form1_Load
0x40dbf6	0x40dc4c	string	0x40a59a	FontStyle
0x40dcd6	0x40dd3d	string	0x40a59a	Close
0x40dcea	0x40dd58	string	0x40a59a	_DT_ToDate
0x40dcec	0x40dd63	string	0x40a59a	EditorBrowsableState
0x40dd34	0x40dd78	string	0x40a59a	STAThreadAttribute
0x40df2f	0x40df72	string	0x40a59a	wnHz.exe
0x40df8a	0x40dff5	string	0x40a59a	_LST_String
0x40e0b2	0x40e113	string	0x40a59a	get_bTrangThai
0x40e165	0x40e1d6	string	0x40a59a	get_strTenModel
0x40e217	0x40e28d	string	0x40a59a	set_bFull
0x40e289	0x40e2f7	string	0x40a59a	System
0x40e34c	0x40e3af	string	0x40a59a	strTruyVan
0x40e464	0x40e4cd	string	0x40a59a	Application
0x40e4f6	0x40e561	string	0x40a59a	TableLayoutControlCollection
0x40e54c	0x40e5c2	string	0x40a59a	FormStartPosition
0x40e5f1	0x40e635	string	0x40a59a	set_AcceptButton
0x40e606	0x40e67b	string	0x40a59a	Zero
0x40e672	0x40e6e9	string	0x40a59a	DbDataReader
0x40e68d	0x40e68f	string	0x40a59a	set_DT_NgayLap
0x40e68f	0x40e6f6	string	0x40a59a	SqlDataReader
0x40e69c	0x40e69e	string	0x40a59a	_CTHDNhap
0x40e6e7	0x40e6e9	string	0x40a59a	DbDataReader
0x40e712	0x40e779	string	0x40a59a	DbParameter
0x40e772	0x40e7d5	string	0x40a59a	Activator
0x40e783	0x40e785	string	0x40a59a	SqlParameter
0x40e790	0x40e792	string	0x40a59a	set_Anchor
0x40e79b	0x40e79d	string	0x40a59a	set_ForeColor
0x40e79d	0x40e804	string	0x40a59a	System.Runtime.InteropServices
0x40e7a9	0x40e7ab	string	0x40a59a	set_UseVisualStyleBackColor
0x40e7c5	0x40e7c7	string	0x40a59a	GetEnumerator
0x40e7d3	0x40e7d5	string	0x40a59a	Activator
