reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x10001075	0x10187c04	string	0x10001070	also_run_disabled_tests
0x10001095	0x10187c1c	string	0x10001090	break_on_failure
0x100010b5	0x10187c40	string	0x100010b0	catch_exceptions
0x100010d3	0x10187c54	string	0x100010d0	auto
0x100010d8	0x10187c5c	string	0x100010d0	color
0x10001113	0x10186610	string	0x10001110	fast
0x10001118	0x10185d1c	string	0x10001110	death_test_style
0x10001155	0x10186618	string	0x10001150	death_test_use_fork
0x10001178	0x10187c64	string	0x10001170	filter
0x100011e8	0x10187c6c	string	0x100011e0	output
0x10001225	0x10187c74	string	0x10001220	print_time
0x10001245	0x10187c80	string	0x10001240	random_seed
0x10001265	0x10187c8c	string	0x10001260	repeat
0x10001285	0x10187c94	string	0x10001280	shuffle
0x100012a5	0x10187c9c	string	0x100012a0	stack_trace_depth
0x100012c8	0x10187cb0	string	0x100012c0	stream_result_to
0x10001305	0x10187cc4	string	0x10001300	throw_on_failure
0x10001473	0x1018e530	string	0x10001470	atlTraceAllocation
0x10001493	0x10191654	string	0x10001490	atlTraceCOM
0x100014b3	0x1018e9b4	string	0x100014b0	atlTraceCache
0x100014d3	0x101916f0	string	0x100014d0	atlTraceControls
0x100014f3	0x10191734	string	0x100014f0	atlTraceDBClient
0x10001513	0x10191758	string	0x10001510	atlTraceDBProvider
0x10001533	0x1018e614	string	0x10001530	atlTraceException
0x10001553	0x10191634	string	0x10001550	atlTraceGeneral
0x10001573	0x10191714	string	0x10001570	atlTraceHosting
0x10001593	0x1018f22c	string	0x10001590	atlTraceISAPI
0x100015b3	0x1018ecec	string	0x100015b0	atlTraceMap
0x100015d3	0x101917a0	string	0x100015d0	atlTraceNotImpl
0x100015f3	0x1019166c	string	0x100015f0	atlTraceQI
0x10001613	0x101916a8	string	0x10001610	atlTraceRefcount
0x10001633	0x10191684	string	0x10001630	atlTraceRegistrar
0x10001653	0x1018ee04	string	0x10001650	atlTraceSecurity
0x10001673	0x10191780	string	0x10001670	atlTraceSnapin
0x10001693	0x1018ebec	string	0x10001690	atlTraceStencil
0x100016b3	0x1018ec0c	string	0x100016b0	atlTraceString
0x100016d3	0x1018f06c	string	0x100016d0	atlTraceSync
0x100016f3	0x1018e7fc	string	0x100016f0	atlTraceTime
0x10001713	0x10190ff4	string	0x10001710	atlTraceUI
0x10001733	0x1018ec34	string	0x10001730	atlTraceUtil
0x10001753	0x101916cc	string	0x10001750	atlTraceWindowing
0x10001776	0x101840f4	import	0x10001770	KERNEL32.dll.TlsAlloc
0x10001ba3	0x1019961c	string	0x10001ba0	atlTraceAllocation
0x10001bc3	0x10199564	string	0x10001bc0	atlTraceCOM
0x10001be3	0x1019932c	string	0x10001be0	atlTraceCache
0x10001c03	0x10198ea4	string	0x10001c00	atlTraceControls
0x10001c23	0x10198f6c	string	0x10001c20	atlTraceDBClient
0x10001c43	0x101995b4	string	0x10001c40	atlTraceDBProvider
0x10001c63	0x101990ec	string	0x10001c60	atlTraceException
0x10001c83	0x10199544	string	0x10001c80	atlTraceGeneral
0x10001ca3	0x10199594	string	0x10001ca0	atlTraceHosting
0x10001cc3	0x101996dc	string	0x10001cc0	atlTraceISAPI
0x10001ce3	0x10199684	string	0x10001ce0	atlTraceMap
0x10001d03	0x101995fc	string	0x10001d00	atlTraceNotImpl
0x10001d23	0x1019957c	string	0x10001d20	atlTraceQI
0x10001d43	0x10198c5c	string	0x10001d40	atlTraceRefcount
0x10001d63	0x10198b7c	string	0x10001d60	atlTraceRegistrar
0x10001d83	0x1019969c	string	0x10001d80	atlTraceSecurity
0x10001da3	0x101995dc	string	0x10001da0	atlTraceSnapin
0x10001dc3	0x10199644	string	0x10001dc0	atlTraceStencil
0x10001de3	0x10199664	string	0x10001de0	atlTraceString
0x10001e03	0x101996c0	string	0x10001e00	atlTraceSync
0x10001e23	0x101991b4	string	0x10001e20	atlTraceTime
0x10001e43	0x1019b00c	string	0x10001e40	atlTraceUI
0x10001e63	0x101993ec	string	0x10001e60	atlTraceUtil
0x10001e83	0x10198d24	string	0x10001e80	atlTraceWindowing
0x10001ea6	0x101840f4	import	0x10001ea0	KERNEL32.dll.TlsAlloc
0x10002772	0x101878cc	string	0x10002730	unknown file
0x100027e8	0x10187834	string	0x10002730	%s(%d):
0x1000289c	0x101878cc	string	0x10002850	unknown file
0x100028db	0x101878dc	string	0x10002850	%s:%d
0x1000299b	0x1018783c	string	0x10002950	[ INFO ]
0x100029aa	0x101878e4	string	0x10002950	[WARNING]
0x100029b9	0x101878f0	string	0x10002950	[ ERROR ]
0x100029c2	0x101878fc	string	0x10002950	[ FATAL ]
0x10002b18	0x1018793c	string	0x10002b10	stdout
