reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x100010fd	0x100f9884	string	0x10001070	GetHostAddr
0x10001102	0x100f9f30	string	0x10001070	CP2PServer_UT
0x10001163	0x100fa0ec	string	0x10001160	atlTraceException
0x10001183	0x100f9e5c	string	0x10001180	atlTraceWindowing
0x100011a6	0x100f31a8	import	0x100011a0	KERNEL32.dll.TlsAlloc
0x100012b3	0x100fc4c8	string	0x100012b0	atlTraceAllocation
0x100012d3	0x100fc35c	string	0x100012d0	atlTraceCOM
0x100012f3	0x100fc530	string	0x100012f0	atlTraceCache
0x10001313	0x100fc3f8	string	0x10001310	atlTraceControls
0x10001333	0x100fc43c	string	0x10001330	atlTraceDBClient
0x10001353	0x100fc460	string	0x10001350	atlTraceDBProvider
0x10001373	0x100fc4f0	string	0x10001370	atlTraceException
0x10001393	0x100fc33c	string	0x10001390	atlTraceGeneral
0x100013b3	0x100fc41c	string	0x100013b0	atlTraceHosting
0x100013d3	0x100fcbdc	string	0x100013d0	atlTraceISAPI
0x100013f3	0x100fc938	string	0x100013f0	atlTraceMap
0x10001413	0x100fc4a8	string	0x10001410	atlTraceNotImpl
0x10001433	0x100fc374	string	0x10001430	atlTraceQI
0x10001453	0x100fc3b0	string	0x10001450	atlTraceRefcount
0x10001473	0x100fc38c	string	0x10001470	atlTraceRegistrar
0x10001493	0x100fcaac	string	0x10001490	atlTraceSecurity
0x100014b3	0x100fc488	string	0x100014b0	atlTraceSnapin
0x100014d3	0x100fc54c	string	0x100014d0	atlTraceStencil
0x100014f3	0x100fc720	string	0x100014f0	atlTraceString
0x10001513	0x100fcbc0	string	0x10001510	atlTraceSync
0x10001533	0x100fc514	string	0x10001530	atlTraceTime
0x10001553	0x100fbd00	string	0x10001550	atlTraceUI
0x10001573	0x100fc950	string	0x10001570	atlTraceUtil
0x10001593	0x100fc3d4	string	0x10001590	atlTraceWindowing
0x100015b6	0x100f31a8	import	0x100015b0	KERNEL32.dll.TlsAlloc
0x10001d30	0x100f3258	import	0x10001ca0	SogouExplorer.dll.sym_imp_bool __cdecl UserCenter::SEConf::IsP2PDownloadEnable(void)
0x10001e11	0x100f3294	import	0x10001de0	USER32.dll.SetTimer
0x1000215f	0x100f37a4	string	0x100020b0	SELECT length, path, time FROM p4p WHERE md5 = '%s' LIMIT 1
0x10002332	0x100f37e0	string	0x100020b0	DELETE FROM p4p WHERE md5 = '%s'
0x10002366	0x100f3804	string	0x100020b0	SELECT length, path, time FROM xl WHERE md5 = '%s' LIMIT 1
0x10002536	0x100f3840	string	0x100020b0	DELETE FROM xl WHERE md5 = '%s'
0x1000269d	0x100f3860	string	0x10002630	Log_P2pServer
0x100026b1	0x100f3278	import	0x10002630	SogouExplorer.dll.sym_imp_void __cdecl Common::Log::InitLog(enum LOG_LEVEL *, wchar_t const *)
0x10002728	0x100f388c	string	0x10002630	Log_P2pServer
0x1000272d	0x100f3240	import	0x10002630	SogouExplorer.dll.sym_imp_void __cdecl Common::Log::LogDebugA(wchar_t const *, enum LogType, enum LOG_LEVEL, char const *)
0x10002767	0x100f38a8	string	0x10002630	Log_P2pServer
0x1000277b	0x100f3278	import	0x10002630	SogouExplorer.dll.sym_imp_void __cdecl Common::Log::InitLog(enum LOG_LEVEL *, wchar_t const *)
0x100027b8	0x100f38c4	string	0x10002630	MD5: %s\n
0x100027c1	0x100f38d0	string	0x10002630	Log_P2pServer
0x100027c6	0x100f3240	import	0x10002630	SogouExplorer.dll.sym_imp_void __cdecl Common::Log::LogDebugA(wchar_t const *, enum LogType, enum LOG_LEVEL, char const *)
0x100027f1	0x100f38ec	string	0x10002630	Log_P2pServer
0x10002805	0x100f3278	import	0x10002630	SogouExplorer.dll.sym_imp_void __cdecl Common::Log::InitLog(enum LOG_LEVEL *, wchar_t const *)
0x10002842	0x100f3908	string	0x10002630	URL: %s\n
0x1000284b	0x100f3914	string	0x10002630	Log_P2pServer
0x10002850	0x100f3240	import	0x10002630	SogouExplorer.dll.sym_imp_void __cdecl Common::Log::LogDebugA(wchar_t const *, enum LogType, enum LOG_LEVEL, char const *)
0x10002882	0x100f3154	import	0x10002630	KERNEL32.dll.CreateFileW
0x10002896	0x100f3140	import	0x10002630	KERNEL32.dll.CloseHandle
0x100028d3	0x100f3930	string	0x10002630	Log_P2pServer
0x100028e7	0x100f3278	import	0x10002630	SogouExplorer.dll.sym_imp_void __cdecl Common::Log::InitLog(enum LOG_LEVEL *, wchar_t const *)
0x1000295b	0x100f3960	string	0x10002630	Log_P2pServer
0x10002960	0x100f3240	import	0x10002630	SogouExplorer.dll.sym_imp_void __cdecl Common::Log::LogDebugA(wchar_t const *, enum LogType, enum LOG_LEVEL, char const *)
0x100029af	0x100f3130	import	0x10002630	KERNEL32.dll.GetFileSize
0x100029d2	0x100f397c	string	0x10002630	Log_P2pServer
0x100029e6	0x100f3278	import	0x10002630	SogouExplorer.dll.sym_imp_void __cdecl Common::Log::InitLog(enum LOG_LEVEL *, wchar_t const *)
0x10002a2b	0x100f39a8	string	0x10002630	Log_P2pServer
0x10002a30	0x100f3240	import	0x10002630	SogouExplorer.dll.sym_imp_void __cdecl Common::Log::LogDebugA(wchar_t const *, enum LogType, enum LOG_LEVEL, char const *)
0x10002a7a	0x100f39c4	string	0x10002630	Log_P2pServer
0x10002a8e	0x100f3278	import	0x10002630	SogouExplorer.dll.sym_imp_void __cdecl Common::Log::InitLog(enum LOG_LEVEL *, wchar_t const *)
0x10002ae9	0x100f3a10	string	0x10002630	Log_P2pServer
0x10002aee	0x100f3240	import	0x10002630	SogouExplorer.dll.sym_imp_void __cdecl Common::Log::LogDebugA(wchar_t const *, enum LogType, enum LOG_LEVEL, char const *)
0x10002b56	0x100f3a2c	string	0x10002630	SELECT * FROM p4p WHERE md5 = '%s' LIMIT 1
0x10002bb6	0x100f3a58	string	0x10002630	Log_P2pServer
0x10002bca	0x100f3278	import	0x10002630	SogouExplorer.dll.sym_imp_void __cdecl Common::Log::InitLog(enum LOG_LEVEL *, wchar_t const *)
0x10002c41	0x100f3a84	string	0x10002630	Log_P2pServer
0x10002c46	0x100f3240	import	0x10002630	SogouExplorer.dll.sym_imp_void __cdecl Common::Log::LogDebugA(wchar_t const *, enum LogType, enum LOG_LEVEL, char const *)
0x10002c8d	0x100f313c	import	0x10002630	KERNEL32.dll.GetFileTime
0x10002caa	0x100f3148	import	0x10002630	KERNEL32.dll.FileTimeToLocalFileTime
0x10002cc7	0x100f314c	import	0x10002630	KERNEL32.dll.FileTimeToSystemTime
0x10002d25	0x100f3aa0	string	0x10002630	%04d%02d%02d%02d%02d%02d
0x10002e2d	0x100f3ae8	string	0x10002630	INSERT INTO p4p(url, length, path, md5, time, type) VALUES('%s', %d, '%s', '%s', '%s', %d);
0x100030b6	0x100f364c	string	0x10002ff0	p4p.db
0x100030e6	0x100f3654	string	0x10002ff0	%s\%s
0x10003195	0x100f3660	string	0x10002ff0	CREATE TABLE [xl] ([id] INTEGER PRIMARY KEY AUTOINCREMENT,[urlmd5] CHAR(64),[url] CHAR(512),[length] BIGINT,[path] CHAR(512),[md5] CHAR(64),[time] CHAR(32));
0x100031bc	0x100f3708	string	0x10002ff0	CREATE TABLE [p4p] ([id] INTEGER PRIMARY KEY AUTOINCREMENT,[url] CHAR(512),[length] BIGINT,[path] CHAR(512),[md5] CHAR(64),[time] CHAR(32),[type] INT);
0x10003327	0x100f3abc	string	0x100032a0	SELECT id, length, path, md5, time FROM p4p
0x1000347c	0x100f3b44	string	0x100032a0	Log_P2pServer
0x10003490	0x100f3278	import	0x100032a0	SogouExplorer.dll.sym_imp_void __cdecl Common::Log::InitLog(enum LOG_LEVEL *, wchar_t const *)
0x10003501	0x100f3b60	string	0x100032a0	p4pɾ blocks=Basic Latin,IPA Extensions
0x1000350a	0x100f3b74	string	0x100032a0	Log_P2pServer
0x1000350f	0x100f3240	import	0x100032a0	SogouExplorer.dll.sym_imp_void __cdecl Common::Log::LogDebugA(wchar_t const *, enum LogType, enum LOG_LEVEL, char const *)
0x1000355a	0x100f3b90	string	0x100032a0	Log_P2pServer
