reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401859	0x4018d8	string	0x401570	L&&jL&&jl66Zl66Z~??A~??A
0x40186f	0x4017ff	string	0x401570	T`00P`00P
0x40192b	0x4018d8	string	0x401570	L&&jL&&jl66Zl66Z~??A~??A
0x401caf	0x401cc7	string	0x401570	;d22Vd22Vt::Nt::N
0x401e48	0x401e88	string	0x401570	j55_j55_
0x403afb	0x403cd5	string	0x403af0	_^[]Ü blocks=Basic Latin,Latin-1 Supplement
0x403c38	0x403ce0	string	0x403b06	;t$$
0x4041fb	0x40443c	string	0x4041a9	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x40428b	0x40443c	string	0x4041a9	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x404338	0x40443c	string	0x4041a9	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x404432	0x40443c	string	0x4041a9	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x404450	0x404180	string	0x404450	USVW
0x404460	0x404180	string	0x404460	USVW
0x404468	0x40446f	string	0x404460	USVW
0x404762	0x404912	string	0x404740	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x404b23	0x404b70	string	0x404ad0	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x404b2d	0x404b70	string	0x404ad0	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x404b93	0x404c04	string	0x404ad0	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x404b9d	0x404c04	string	0x404ad0	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x404d4a	0x404e80	string	0x404d40	USVW1
0x40503a	0x405090	string	0x405030	USVW1
0x4051fa	0x405230	string	0x4051f0	USVW
0x40543d	0x40550b	string	0x405350	_^[]
0x405458	0x40550b	string	0x405350	_^[]
0x405476	0x40550b	string	0x405350	_^[]
0x405494	0x40550b	string	0x405350	_^[]
0x4054b2	0x40550b	string	0x405350	_^[]
0x4054d0	0x40550b	string	0x405350	_^[]
0x4054ee	0x40550b	string	0x405350	_^[]
0x4055fd	0x4056cb	string	0x405510	_^[]
0x405618	0x4056cb	string	0x405510	_^[]
0x405636	0x4056cb	string	0x405510	_^[]
0x405654	0x4056cb	string	0x405510	_^[]
0x405672	0x4056cb	string	0x405510	_^[]
0x405690	0x4056cb	string	0x405510	_^[]
0x4056ae	0x4056cb	string	0x405510	_^[]
0x4058bd	0x405c75	string	0x4056d0	_^[]
0x4058ca	0x405c75	string	0x4056d0	_^[]
0x4059cb	0x405c75	string	0x4056d0	_^[]
0x4059e9	0x405c75	string	0x4056d0	_^[]
0x405a09	0x405c75	string	0x4056d0	_^[]
0x405a29	0x405c75	string	0x4056d0	_^[]
0x405a49	0x405c75	string	0x4056d0	_^[]
0x405a69	0x405c75	string	0x4056d0	_^[]
0x405a89	0x405c75	string	0x4056d0	_^[]
0x405aa8	0x405c75	string	0x4056d0	_^[]
0x405b3a	0x405c75	string	0x4056d0	_^[]
0x405b4d	0x405c75	string	0x4056d0	_^[]
0x405b62	0x405c75	string	0x4056d0	_^[]
0x405b77	0x405c75	string	0x4056d0	_^[]
0x405b8c	0x405c75	string	0x4056d0	_^[]
0x405ba1	0x405c75	string	0x4056d0	_^[]
0x405bb6	0x405c75	string	0x4056d0	_^[]
0x405bcf	0x405c75	string	0x4056d0	_^[]
0x40664d	0x406c14	string	0x406640	_^[]
0x406c9b	0x406f97	string	0x406c80	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x4072ba	0x4074af	string	0x4072a0	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x4072c6	0x4074af	string	0x4072a0	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x4074da	0x4076d3	string	0x4074c0	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x4074e6	0x4076d3	string	0x4074c0	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x4076fa	0x40783d	string	0x4076e0	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x407706	0x40783d	string	0x4076e0	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x40786a	0x4079ad	string	0x407850	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x407876	0x4079ad	string	0x407850	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x40a8e6	0x40a924	string	0x40a48f	ͦU\f2>Y blocks=Combining Diacritical Marks,Basic Latin
0x40da12	0x40dd72	string	0x40d9f0	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x40e457	0x40e520	string	0x40e43d	3\a3_
0x40e4f9	0x40e520	string	0x40e4df	3\a3_
0x40e887	0x40e950	string	0x40e86d	3\a3_
0x40e929	0x40e950	string	0x40e90f	3\a3_
0x40fa33	0x40fa71	string	0x40f5e0	iiiw
0x4101f5	0x4101f7	string	0x40f5e0	yDDD
0x410765	0x40e520	string	0x4106df	3\a3_
0x410857	0x40e950	string	0x4106df	3\a3_
0x410922	0x40e950	string	0x4106df	3\a3_
0x410a0a	0x410eee	string	0x410a00	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x41562c	0x41560a	string	0x413b39	sVY.\t#N
0x415e90	0x415e94	string	0x413b39	G\ws
0x415fd8	0x415fc7	string	0x413b39	V\bxh
0x4165cb	0x416558	string	0x413b39	Hm\aL?
0x416612	0x416656	string	0x413b39	*ORx
0x416627	0x4166a3	string	0x413b39	t\r9Qm
0x416a0e	0x416a3d	string	0x413b39	sE[4
0x417403	0x4173e5	string	0x413b39	'TPǡ blocks=Basic Latin,Latin Extended-B
0x417a68	0x417a36	string	0x413b39	oH@k
0x43c8ad	0x43c908	string	0x43c557	LwH'
0x44575f	0x445220	string	0x444e9b	3Q\f3Y\b
0x445fa6	0x446036	string	0x445f80	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x446053	0x446210	string	0x445fb1	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x449750	0x449800	string	0x449740	USVW
0x44975b	0x449790	string	0x449740	USVW
0x449767	0x449790	string	0x449740	USVW
0x44a3c6	0x44a418	string	0x4498f2	]]i]
0x44a405	0x44a46e	string	0x4498f2	\n-gg
0x44a940	0x44a9b8	string	0x4498f2	PP]P
0x44aa9a	0x44aab8	string	0x4498f2	MM)MRd
0x44b23a	0x60ee94	string	0x44b230	bad array new length
0x44b2f0	0x60eeac	string	0x44b2f0	string too long
0x44b336	0x59516c	import	0x44b300	KERNEL32.dll.lstrcmpiW
0x44b34a	0x59516c	import	0x44b300	KERNEL32.dll.lstrcmpiW
0x44b4c9	0x595278	import	0x44b300	SHLWAPI.dll.StrStrIW
0x44b548	0x595210	import	0x44b300	KERNEL32.dll.EnterCriticalSection
0x44b5c4	0x595204	import	0x44b300	KERNEL32.dll.LeaveCriticalSection
0x44b65b	0x595278	import	0x44b300	SHLWAPI.dll.StrStrIW
0x44b6fa	0x595210	import	0x44b300	KERNEL32.dll.EnterCriticalSection
0x44b711	0x595204	import	0x44b300	KERNEL32.dll.LeaveCriticalSection
0x44b71c	0x595178	import	0x44b300	KERNEL32.dll.Sleep
0x44b723	0x595210	import	0x44b300	KERNEL32.dll.EnterCriticalSection
0x44b745	0x595204	import	0x44b300	KERNEL32.dll.LeaveCriticalSection
0x44b74f	0x595080	import	0x44b300	KERNEL32.dll.WakeAllConditionVariable
0x44b7f2	0x59520c	import	0x44b300	KERNEL32.dll.FindNextFileW
0x44b803	0x595200	import	0x44b300	KERNEL32.dll.FindClose
0x44b81b	0x56f2aa	string	0x44b300	;\rDBa
0x44b8ba	0x595210	import	0x44b880	KERNEL32.dll.EnterCriticalSection
0x44b92f	0x595204	import	0x44b880	KERNEL32.dll.LeaveCriticalSection
0x44b99d	0x5951f8	import	0x44b990	KERNEL32.dll.ExitThread
0x44b9ee	0x595170	import	0x44b9b0	KERNEL32.dll.CreateThread
0x44ba5e	0x59521c	import	0x44ba00	KERNEL32.dll.GetLogicalDrives
0x44babe	0x595204	import	0x44ba00	KERNEL32.dll.LeaveCriticalSection
0x44bacd	0x595210	import	0x44ba00	KERNEL32.dll.EnterCriticalSection
0x44bad3	0x595204	import	0x44ba00	KERNEL32.dll.LeaveCriticalSection
0x44bafd	0x595178	import	0x44ba00	KERNEL32.dll.Sleep
0x44bba9	0x595204	import	0x44ba00	KERNEL32.dll.LeaveCriticalSection
0x44bbf0	0x595214	import	0x44ba00	KERNEL32.dll.FindFirstFileW
0x44bc04	0x595204	import	0x44ba00	KERNEL32.dll.LeaveCriticalSection
0x44bc5b	0x595204	import	0x44ba00	KERNEL32.dll.LeaveCriticalSection
0x44bcc2	0x56f2aa	string	0x44ba00	;\rDBa
0x44bd13	0x60f47c	string	0x44bce0	\README.TXT
0x44bd54	0x5951fc	import	0x44bce0	KERNEL32.dll.CreateFileW
0x44bd80	0x60eec0	string	0x44bce0	Hello!\r\n\r\n\tIf you are reading this, it means that your system were hit by Royal ransomware.\r\n\tPlease contact us via :\r\n\thttp://royal2xthig3ou5hd7zsliqagy6yygk2cdelaxtni2fyad6dpmpxedid.onion/%s\r\n\r\nIn the meantime, let us explain this case.It may seem complicated, but it is not!\r\nMost likely what happened was that you decided to save some money on your security infrastructure.\r\nAlas, as a result your critical data was not only encrypted but also copied from your systems on a secure server.\r\nFrom there it can be published online.Then anyone on the internet from darknet criminals, ACLU journalists, Chinese government(different names for the same thing),\r\nand even your employees will be able to see your internal documentation: personal data, HR reviews, internal lawsuitsand complains, financial reports, accounting, intellectual property, and more!\r\n\r\n\tFortunately we got you covered!\r\n\r\nRoyal offers you a unique deal.For a modest royalty(got it; got it ? ) for our pentesting services we will not only provide you with an amazing risk mitigation service,\r\ncovering you from reputational, legal, financial, regulatory, and insurance risks, but will also provide you with a security review for your systems.\r\nTo put it simply, your files will be decrypted, your data restoredand kept confidential, and your systems will remain secure.\r\n\r\n\tTry Royal today and enter the new era of data security!\r\n\tWe are looking to hearing from you soon!
0x44bdaa	0x595208	import	0x44bce0	KERNEL32.dll.WriteFile
0x44bdb1	0x595174	import	0x44bce0	KERNEL32.dll.CloseHandle
0x44be58	0x56f2aa	string	0x44bce0	;\rDBa
0x44c07f	0x44c08e	string	0x44bff0	3ɋE\b blocks=Basic Latin,Latin Extended-B
0x44c5de	0x59515c	import	0x44c590	KERNEL32.dll.InitializeCriticalSection
0x44c5e8	0x595158	import	0x44c590	KERNEL32.dll.InitializeConditionVariable
0x44c60e	0x595160	import	0x44c600	KERNEL32.dll.WaitForMultipleObjects
0x44c668	0x6104b0	string	0x44c620	.exe
0x44c716	0x6104bc	string	0x44c620	.dll
0x44c7be	0x6104c8	string	0x44c620	.bat
0x44c866	0x6104d4	string	0x44c620	.lnk
0x44c90e	0x6104e0	string	0x44c620	.royal
0x44c9b6	0x6104f0	string	0x44c620	README.TXT
0x44ca5e	0x610508	string	0x44c620	windows
0x44cb0c	0x610518	string	0x44c620	royal
0x44cbb4	0x610524	string	0x44c620	$recycle.bin
0x44cc5c	0x610540	string	0x44c620	google
0x44cd04	0x610550	string	0x44c620	perflogs
0x44cdac	0x610564	string	0x44c620	mozilla
0x44ce54	0x610574	string	0x44c620	tor browser
0x44cec8	0x61058c	string	0x44c620	boot
0x44cef6	0x610598	string	0x44c620	$windows.~ws
0x44cf24	0x6105b4	string	0x44c620	$windows.~bt
0x44cf52	0x6105d0	string	0x44c620	windows.old
0x44d0be	0x59515c	import	0x44cfa0	KERNEL32.dll.InitializeCriticalSection
0x44d0ed	0x595210	import	0x44d0e0	KERNEL32.dll.EnterCriticalSection
0x44d100	0x595204	import	0x44d0e0	KERNEL32.dll.LeaveCriticalSection
0x44d118	0x595150	import	0x44d110	KERNEL32.dll.WaitForSingleObject
0x44d169	0x5952e8	import	0x44d120	WS2_32.dll.WSAStartup
0x44d175	0x5952d8	import	0x44d120	WS2_32.dll.socket
0x44d1bb	0x5952c8	import	0x44d120	WS2_32.dll.WSAIoctl
0x44d1c6	0x5952cc	import	0x44d120	WS2_32.dll.closesocket
0x44d21b	0x56f2aa	string	0x44d120	;\rDBa
0x44d258	0x595168	import	0x44d230	KERNEL32.dll.GetCommandLineW
0x44d264	0x595270	import	0x44d230	SHELL32.dll.CommandLineToArgvW
0x44d2a9	0x610664	string	0x44d230	-path
0x44d2b4	0x59513c	import	0x44d230	KERNEL32.dll.lstrcmpW
0x44d2ca	0x44d358	string	0x44d230	F;t$<
0x44d2da	0x59513c	import	0x44d230	KERNEL32.dll.lstrcmpW
0x44d2fb	0x595164	import	0x44d230	KERNEL32.dll.lstrlenW
0x44d30a	0x595140	import	0x44d230	KERNEL32.dll.WideCharToMultiByte
0x44d321	0x59513c	import	0x44d230	KERNEL32.dll.lstrcmpW
0x44d32d	0x44d358	string	0x44d230	F;t$<
0x44d381	0x6105e8	string	0x44d230	delete shadows /all /quiet
0x44d387	0x595280	import	0x44d230	USER32.dll.wsprintfW
0x44d3d1	0x610620	string	0x44d230	C:\Windows\System32\vssadmin.exe
0x44d3ff	0x595144	import	0x44d230	KERNEL32.dll.CreateProcessW
0x44d412	0x595150	import	0x44d230	KERNEL32.dll.WaitForSingleObject
0x44d41c	0x595174	import	0x44d230	KERNEL32.dll.CloseHandle
0x44d432	0x595154	import	0x44d230	KERNEL32.dll.lstrlenA
0x44d43f	0x595148	import	0x44d230	KERNEL32.dll.ExitProcess
0x44d506	0x595148	import	0x44d230	KERNEL32.dll.ExitProcess
0x44d940	0x610680	string	0x44d940	vector too long
0x44d9d4	0x59516c	import	0x44d9c0	KERNEL32.dll.lstrcmpiW
0x44da4c	0x5952dc	import	0x44d9c0	WS2_32.dll.WSAAddressToStringW
0x44daac	0x59524c	import	0x44d9c0	NETAPI32.dll.NetShareEnum
0x44dae2	0x610690	string	0x44d9c0	ADMIN$
0x44daf3	0x6106a0	string	0x44d9c0	IPC$
0x44db0a	0x6106ac	string	0x44d9c0	\\%s\%s
0x44db10	0x595280	import	0x44d9c0	USER32.dll.wsprintfW
0x44db8a	0x595250	import	0x44d9c0	NETAPI32.dll.NetApiBufferFree
0x44dbcc	0x56f2aa	string	0x44d9c0	;\rDBa
0x44dbfd	0x59506c	import	0x44dbe0	KERNEL32.dll.CreateIoCompletionPort
0x44dc48	0x595068	import	0x44dbe0	KERNEL32.dll.GetQueuedCompletionStatus
0x44dc88	0x5952cc	import	0x44dbe0	WS2_32.dll.closesocket
0x44dccd	0x59510c	import	0x44dbe0	KERNEL32.dll.CancelIo
0x44dd0b	0x5952cc	import	0x44dbe0	WS2_32.dll.closesocket
0x44dd52	0x56f2aa	string	0x44dbe0	;\rDBa
0x44dda1	0x5952d4	import	0x44dd60	WS2_32.dll.WSASocketW
0x44ddc7	0x5952c4	import	0x44dd60	WS2_32.dll.bind
0x44ddda	0x59506c	import	0x44dd60	KERNEL32.dll.CreateIoCompletionPort
0x44ddf0	0x5952e4	import	0x44dd60	WS2_32.dll.htons
0x44de6f	0x5952cc	import	0x44dd60	WS2_32.dll.closesocket
0x44de8d	0x56f2aa	string	0x44dd60	;\rDBa
0x44ded3	0x595060	import	0x44dea0	IPHLPAPI.DLL.GetIpAddrTable
0x44df25	0x5952d0	import	0x44dea0	WS2_32.dll.ntohl
0x44df7d	0x5952d0	import	0x44dea0	WS2_32.dll.ntohl
0x44df95	0x5952e0	import	0x44dea0	WS2_32.dll.htonl
0x44dff3	0x5952e0	import	0x44dea0	WS2_32.dll.htonl
0x44e004	0x5952d0	import	0x44dea0	WS2_32.dll.ntohl
0x44e044	0x595210	import	0x44dea0	KERNEL32.dll.EnterCriticalSection
0x44e057	0x595204	import	0x44dea0	KERNEL32.dll.LeaveCriticalSection
0x44e070	0x56f2aa	string	0x44dea0	;\rDBa
0x44e07b	0x60f494	string	0x44dea0	list too long
0x44e0e1	0x595210	import	0x44e0e0	KERNEL32.dll.EnterCriticalSection
0x44e0f1	0x595204	import	0x44e0f0	KERNEL32.dll.LeaveCriticalSection
0x44e107	0x595070	import	0x44e100	KERNEL32.dll.SleepConditionVariableCS
0x44e228	0x595258	import	0x44e1e0	RstrtMgr.DLL.RmStartSession
0x44e246	0x595260	import	0x44e1e0	RstrtMgr.DLL.RmRegisterResources
0x44e254	0x59525c	import	0x44e1e0	RstrtMgr.DLL.RmGetList
0x44e2f0	0x59507c	import	0x44e1e0	KERNEL32.dll.GetCurrentProcess
0x44e2f7	0x595084	import	0x44e1e0	KERNEL32.dll.GetProcessId
0x44e307	0x59508c	import	0x44e1e0	KERNEL32.dll.CreateToolhelp32Snapshot
0x44e326	0x595098	import	0x44e1e0	KERNEL32.dll.Process32FirstW
0x44e330	0x595094	import	0x44e1e0	KERNEL32.dll.Process32NextW
0x44e344	0x59516c	import	0x44e1e0	KERNEL32.dll.lstrcmpiW
0x44e350	0x6106bc	string	0x44e1e0	explorer.exe
0x44e371	0x595174	import	0x44e1e0	KERNEL32.dll.CloseHandle
0x44e3b0	0x595264	import	0x44e1e0	RstrtMgr.DLL.RmShutdown
0x44e3c4	0x595268	import	0x44e1e0	RstrtMgr.DLL.RmEndSession
0x44e3d2	0x595174	import	0x44e1e0	KERNEL32.dll.CloseHandle
0x44e3ec	0x595268	import	0x44e1e0	RstrtMgr.DLL.RmEndSession
0x44e434	0x56f2aa	string	0x44e1e0	;\rDBa
0x44e49e	0x5951fc	import	0x44e450	KERNEL32.dll.CreateFileW
0x44e4ab	0x595090	import	0x44e450	KERNEL32.dll.GetLastError
0x44e4f7	0x5951fc	import	0x44e450	KERNEL32.dll.CreateFileW
0x44e509	0x595078	import	0x44e450	KERNEL32.dll.GetFileSizeEx
0x44e527	0x595174	import	0x44e450	KERNEL32.dll.CloseHandle
0x44e57a	0x56f2aa	string	0x44e450	;\rDBa
0x44e5c7	0x592600	string	0x44e590	WVS3
0x44e65b	0x5950a0	import	0x44e590	KERNEL32.dll.SetFilePointerEx
0x44e69a	0x595208	import	0x44e590	KERNEL32.dll.WriteFile
0x44e6c1	0x595088	import	0x44e590	KERNEL32.dll.SetEndOfFile
0x44e6e9	0x5950a0	import	0x44e590	KERNEL32.dll.SetFilePointerEx
0x44e7ec	0x592600	string	0x44e590	WVS3
0x44e829	0x592600	string	0x44e590	WVS3
0x44e839	0x44e86b	string	0x44e590	3ɉD$ blocks=Basic Latin,Latin Extended-B
0x44e8f0	0x595074	import	0x44e590	KERNEL32.dll.ReadFile
0x44e932	0x403af0	string	0x44e590	USVW
0x44e94c	0x5950a0	import	0x44e590	KERNEL32.dll.SetFilePointerEx
0x44e97f	0x595208	import	0x44e590	KERNEL32.dll.WriteFile
0x44e9d7	0x5950a0	import	0x44e590	KERNEL32.dll.SetFilePointerEx
0x44e9fd	0x5950a0	import	0x44e590	KERNEL32.dll.SetFilePointerEx
0x44ea32	0x595208	import	0x44e590	KERNEL32.dll.WriteFile
0x44ea8c	0x595208	import	0x44e590	KERNEL32.dll.WriteFile
0x44eaec	0x595208	import	0x44e590	KERNEL32.dll.WriteFile
0x44eb1c	0x56f2aa	string	0x44e590	;\rDBa
0x44eb32	0x595174	import	0x44e590	KERNEL32.dll.CloseHandle
0x44eb45	0x56f2aa	string	0x44e590	;\rDBa
0x44eb84	0x44f9e0	string	0x44eb50	VjRh
0x44eb96	0x60f4b0	string	0x44eb50	-----BEGIN RSA PUBLIC KEY-----\nMIICCAKCAgEAx8a32ARXqT+jt9K1ncsuA74sqJzTAaKFZ081prdMLdVsMF9pXgM5\nRfCNGXk037evQVEjvaU9SFp9emxbFFIPMxIQ8TqpTbmdJ1npIG4ZTxQdUg+sRDsy\nMUtqOWT0/BgolxFeyoOgqmxpcIhFfzlM8UbHVSi0+4ugpv7qsxDgR0Mcwn0H8uHP\nfthmZwU/5jL6Prapyl6hlRvNGWNO0EJ8oYCg25em86VdY3wmWkT0Mr4+h7kNx1nv\nLAb8WNZlsRHh1yI/LQZypkngVTd4XYBZt7H7L/KECmDp1fQSHF/oseohETfBUGhn\nWKPLGlryp4rEHaIsW89E6rJk2jdlRvP2zGBKvbqYkQSg2ete0fxJuFPy37rf25i4\nFsnRHm0NduMbLfyyQQFP/B8G8X0zNHHJdRDRHId/L9Ltm3I8dKhnDBUv1YIDGyuP\nSlcXHXyjANtDZwGrD5xKOa6em/0GFKCnECTai3N6fXs+RlMCfaRbjf/GqjJHpCI/\n4wWNYZFstQicOFxZQAmTAK/+Bax3CfWx9KwXD5LVJC5U96OcCGK7Y/oqTifQF6DB\nmF2hGdci8jqL8OJEOcaeU2tH956XK5C4rc/ZuT10R/+fykIEu1PPtftdPrL6K6ae\n32Zvv3w02Mg/eYdz31HjM/Ii0LL8VC3LRzIFAeilmsMWASxb59gbLqECAQM=\n-----END RSA PUBLIC KEY-----\n\r\n
0x44eb9b	0x595154	import	0x44eb50	KERNEL32.dll.lstrlenA
