reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x1800010f7	0x18000b0a0	import	0x180001000	KERNEL32.dll.OutputDebugStringA
0x18000111a	0x18000b038	import	0x180001000	KERNEL32.dll.GetProcessHeap
0x18000112e	0x18000b0d0	import	0x180001000	KERNEL32.dll.HeapAlloc
0x180001159	0x18000b038	import	0x180001000	KERNEL32.dll.GetProcessHeap
0x180001171	0x18000b0e8	import	0x180001000	KERNEL32.dll.HeapReAlloc
0x1800011d3	0x18000b048	import	0x180001000	KERNEL32.dll.WriteFile
0x180001207	0x18000b048	import	0x180001000	KERNEL32.dll.WriteFile
0x18000125a	0x1800029f0	string	0x180001000	H;\r\t
0x18000130c	0x18000b048	import	0x1800012d0	KERNEL32.dll.WriteFile
0x180001312	0x18000b038	import	0x1800012d0	KERNEL32.dll.GetProcessHeap
0x180001324	0x18000b028	import	0x1800012d0	KERNEL32.dll.HeapFree
0x18000133c	0x18000b0a8	import	0x1800012d0	KERNEL32.dll.CloseHandle
0x180001554	0x18000b078	import	0x180001510	KERNEL32.dll.SetUnhandledExceptionFilter
0x18000158c	0x18000b0b8	import	0x180001510	KERNEL32.dll.CreateThread
0x1800015ac	0x18000b0a8	import	0x180001510	KERNEL32.dll.CloseHandle
0x1800015cb	0x18000b0a8	import	0x180001510	KERNEL32.dll.CloseHandle
0x180001626	0x18000b040	import	0x1800015e0	KERNEL32.dll.IsBadReadPtr
0x1800016aa	0x18000cd40	string	0x180001670	ohzhie.woo
0x1800016fe	0x18000b098	import	0x180001670	KERNEL32.dll.GetModuleHandleA
0x180001718	0x18000b020	import	0x180001670	KERNEL32.dll.GetCurrentProcess
0x180001758	0x18000b040	import	0x180001670	KERNEL32.dll.IsBadReadPtr
0x1800017a8	0x1800029f0	string	0x180001670	H;\r\t
0x18000188b	0x18000b098	import	0x1800017e0	KERNEL32.dll.GetModuleHandleA
0x1800018a5	0x18000b020	import	0x1800017e0	KERNEL32.dll.GetCurrentProcess
0x180001908	0x18000b040	import	0x1800017e0	KERNEL32.dll.IsBadReadPtr
0x180001987	0x1800029f0	string	0x1800017e0	H;\r\t
0x1800019b6	0x18000b020	import	0x1800019a0	KERNEL32.dll.GetCurrentProcess
0x180001aab	0x18000b058	import	0x180001a80	KERNEL32.dll.GetVersionExW
0x180001b28	0x18000b090	import	0x180001a80	KERNEL32.dll.GetModuleFileNameA
0x180001b69	0x18000cd50	string	0x180001a80	xret.txt
0x180001b91	0x18000b0b0	import	0x180001a80	KERNEL32.dll.DeleteFileA
0x180001bc4	0x18000b0d8	import	0x180001a80	KERNEL32.dll.CreateFileA
0x180001c00	0x1800029f0	string	0x180001a80	H;\r\t
0x180001c5c	0x18000b040	import	0x180001c10	KERNEL32.dll.IsBadReadPtr
0x180001c6e	0x18000b040	import	0x180001c10	KERNEL32.dll.IsBadReadPtr
0x180001d15	0x1800029f0	string	0x180001c10	H;\r\t
0x180001e14	0x18000cd60	string	0x180001d30	\r\n%2w,%6w:
0x180001f84	0x18000b050	import	0x180001d30	KERNEL32.dll.Sleep
0x180001fdb	0x1800029f0	string	0x180001d30	H;\r\t
0x18000200b	0x18000cd78	string	0x180001ff0	nhe1_0.woo
0x180002059	0x18000b098	import	0x180001ff0	KERNEL32.dll.GetModuleHandleA
0x180002089	0x18000b020	import	0x180001ff0	KERNEL32.dll.GetCurrentProcess
0x1800020d7	0x1800029f0	string	0x180001ff0	H;\r\t
0x18000213b	0x18000cdb8	string	0x1800020f0	ML KZHHDLIW****
0x180002174	0x18000cdc8	string	0x1800020f0	%02C
0x180002202	0x18000cdd0	string	0x1800021b0	NO PASSWORD****
0x180002234	0x18000cde0	string	0x1800021b0	%02X
0x180002407	0x18000b000	import	0x180002320	ADVAPI32.dll.LsaOpenPolicy
0x180002411	0x18000cdf0	string	0x180002320	Viili 1 :0c%c \r\n
0x180002424	0x1800027ae	string	0x180002320	L9t$0t\vH
0x180002438	0x18000b008	import	0x180002320	ADVAPI32.dll.LsaQueryInformationPolicy
0x180002442	0x18000ce08	string	0x180002320	Viili 2 :0c%c \r\n
0x180002450	0x1800027ae	string	0x180002320	L9t$0t\vH
0x18000246c	0x18000ce20	string	0x180002320	Viili 3 :0c%c \r\n
0x18000247f	0x1800027ae	string	0x180002320	L9t$0t\vH
0x1800024b0	0x18000ce38	string	0x180002320	Viili 4 :0c%c \r\n
0x1800024d8	0x18000ce4c	string	0x180002320	\r\n\r\n
0x1800025f7	0x18000ce58	string	0x180002320	Viili 5 :0c%c \r\n
0x1800026d6	0x18000ce88	string	0x180002320	%H\%H:%w:%h:%h:::\r\n
0x180002720	0x18000b050	import	0x180002320	KERNEL32.dll.Sleep
0x180002728	0x18000ce70	string	0x180002320	Viili 6 :0c%c \r\n
0x180002775	0x18000cea0	string	0x180002320	Viili 7 :0c%c \r\n
0x1800027b3	0x1800027c0	string	0x180002320	L9t$Pt\vH
0x1800027c5	0x1800027d2	string	0x180002320	L9t$Xt\vH
0x1800027ee	0x18000b010	import	0x180002320	ADVAPI32.dll.LsaClose
0x180002800	0x1800029f0	string	0x180002320	H;\r\t
0x1800028ea	0x18000b098	import	0x180002820	KERNEL32.dll.GetModuleHandleA
0x1800028fd	0x18000b0c8	import	0x180002820	KERNEL32.dll.LoadLibraryA
0x18000297d	0x18000b0c0	import	0x180002820	KERNEL32.dll.GetProcAddress
0x1800029bc	0x1800029f0	string	0x180002820	H;\r\t
0x180002bdf	0x18000b100	import	0x180002ba8	KERNEL32.dll.GetCommandLineA
0x180002cb6	0x18000b0f8	import	0x180002ba8	KERNEL32.dll.FlsSetValue
0x180002cca	0x18000b0f0	import	0x180002ba8	KERNEL32.dll.GetCurrentThreadId
0x18000371a	0x180003723	string	0x18000331c	+ˉL$D blocks=Basic Latin,Spacing Modifier Letters
0x18000391e	0x18000b138	import	0x18000331c	KERNEL32.dll.DecodePointer
0x180003960	0x18000b138	import	0x18000331c	KERNEL32.dll.DecodePointer
0x180003980	0x18000b138	import	0x18000331c	KERNEL32.dll.DecodePointer
0x180003b60	0x1800029f0	string	0x18000331c	H;\r\t
0x180003df5	0x18000b130	import	0x180003d88	KERNEL32.dll.RtlCaptureContext
0x180003e7d	0x18000b118	import	0x180003d88	KERNEL32.dll.IsDebuggerPresent
0x180003e87	0x18000b078	import	0x180003d88	KERNEL32.dll.SetUnhandledExceptionFilter
0x180003e92	0x18000b110	import	0x180003d88	KERNEL32.dll.UnhandledExceptionFilter
0x180003eb6	0x1800029f0	string	0x180003d88	H;\r\t
0x180003eec	0x18000b020	import	0x180003ed4	KERNEL32.dll.GetCurrentProcess
0x180003efe	0x18000b108	import	0x180003ed4	KERNEL32.dll.TerminateProcess
0x180003f2f	0x18000b138	import	0x180003f08	KERNEL32.dll.DecodePointer
0x180004276	0x18000b148	import	0x180004080	KERNEL32.dll.RtlUnwindEx
0x1800042a9	0x1800042e6	string	0x180004080	IcqHH
0x1800042af	0x1800042e6	string	0x180004080	IcqHH
0x1800042cc	0x1800042e6	string	0x180004080	IcqHH
0x1800042e1	0x1800042e6	string	0x180004080	IcqHH
0x18000436e	0x18000b140	import	0x18000436c	KERNEL32.dll.EncodePointer
0x18000438b	0x18000b158	import	0x18000437c	KERNEL32.dll.FlsFree
0x180004466	0x18000b080	import	0x18000445c	KERNEL32.dll.GetLastError
0x180004474	0x18000b150	import	0x18000445c	KERNEL32.dll.FlsGetValue
0x1800044a0	0x18000b0f8	import	0x18000445c	KERNEL32.dll.FlsSetValue
0x1800044b4	0x18000b0f0	import	0x18000445c	KERNEL32.dll.GetCurrentThreadId
0x1800044cc	0x18000b160	import	0x18000445c	KERNEL32.dll.SetLastError
0x180004651	0x18000b150	import	0x180004638	KERNEL32.dll.FlsGetValue
0x180004662	0x18000b0f8	import	0x180004638	KERNEL32.dll.FlsSetValue
0x180004693	0x18000b168	import	0x180004678	KERNEL32.dll.FlsAlloc
