reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x10001002	0x10004024	import	0x10001000	KERNEL32.dll.LoadLibraryA
0x10001008	0x100050dc	string	0x10001000	ws2_32.dll
0x10001015	0x100050d0	string	0x10001000	wsock32.dll
0x10001026	0x100050c4	string	0x10001000	WSAStartup
0x10001032	0x100050b8	string	0x10001000	WSACleanup
0x10001043	0x100050b0	string	0x10001000	socket
0x10001054	0x100050a8	string	0x10001000	htons
0x10001065	0x100050a0	string	0x10001000	bind
0x10001076	0x10005098	string	0x10001000	listen
0x10001087	0x10005090	string	0x10001000	accept
0x10001098	0x10005088	string	0x10001000	connect
0x100010a9	0x10005080	string	0x10001000	select
0x100010ba	0x10005078	string	0x10001000	send
0x100010cb	0x10005070	string	0x10001000	recv
0x100010dc	0x10005060	string	0x10001000	gethostbyname
0x100010ed	0x10005054	string	0x10001000	closesocket
0x100010fe	0x10005048	string	0x10001000	shutdown
0x1000110f	0x1000503c	string	0x10001000	setsockopt
0x10001120	0x1000502c	string	0x10001000	__WSAFDIsSet
0x10001131	0x10005020	string	0x10001000	inet_addr
0x10001151	0x10005394	string	0x10001150	Kernel32.dll
0x10001156	0x10004024	import	0x10001150	KERNEL32.dll.LoadLibraryA
0x10001160	0x1000143d	string	0x10001150	^ÐVh blocks=Basic Latin,Latin-1 Supplement
0x10001166	0x10005384	string	0x10001150	GetProcAddress
0x1000116c	0x10004010	import	0x10001150	KERNEL32.dll.GetProcAddress
0x10001172	0x10005374	string	0x10001150	LoadLibraryA
0x1000117f	0x10005368	string	0x10001150	FreeLibrary
0x10001190	0x10005354	string	0x10001150	GetModuleHandleA
0x100011a1	0x10005340	string	0x10001150	GetModuleFileNameA
0x100011b2	0x10005330	string	0x10001150	CreateProcessA
0x100011c3	0x10005320	string	0x10001150	CreateThread
0x100011d4	0x1000530c	string	0x10001150	GetExitCodeProcess
0x100011e5	0x100052f8	string	0x10001150	GetExitCodeThread
0x100011f6	0x100052e4	string	0x10001150	TerminateProcess
0x10001207	0x100052d4	string	0x10001150	TerminateThread
0x10001218	0x100052c0	string	0x10001150	WaitForSingleObject
0x10001229	0x100052b4	string	0x10001150	CloseHandle
0x1000123a	0x100052ac	string	0x10001150	WinExec
0x1000124b	0x100052a0	string	0x10001150	CreateFileA
