reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x4010eb	0x4230dc	import	0x4010a0	KERNEL32.dll.CreateProcessW
0x401121	0x4230d4	import	0x401120	KERNEL32.dll.GetTickCount
0x40115b	0x4231e4	import	0x401150	WS2_32.dll.send
0x401203	0x4230d4	import	0x4011e0	KERNEL32.dll.GetTickCount
0x401240	0x4231d8	import	0x4011e0	WS2_32.dll.setsockopt
0x40124f	0x4231e4	import	0x4011e0	WS2_32.dll.send
0x401258	0x423200	import	0x4011e0	WS2_32.dll.shutdown
0x40125f	0x4231e0	import	0x4011e0	WS2_32.dll.closesocket
0x4012cd	0x4231ec	import	0x401280	WS2_32.dll.select
0x4012f2	0x4231dc	import	0x401280	WS2_32.dll.__WSAFDIsSet
0x4013a8	0x4231e8	import	0x401320	WS2_32.dll.htons
0x4013b9	0x4231e8	import	0x401320	WS2_32.dll.htons
0x4014df	0x4231e8	import	0x401440	WS2_32.dll.htons
0x40181f	0x4230d4	import	0x4017d0	KERNEL32.dll.GetTickCount
0x401ac5	0x4231ec	import	0x401a40	WS2_32.dll.select
0x401adb	0x4231dc	import	0x401a40	WS2_32.dll.__WSAFDIsSet
0x401bbb	0x4231e8	import	0x401a40	WS2_32.dll.htons
0x401bcf	0x4231e8	import	0x401a40	WS2_32.dll.htons
0x401c2b	0x4230d4	import	0x401a40	KERNEL32.dll.GetTickCount
0x401e6a	0x4231e8	import	0x401e30	WS2_32.dll.htons
0x401e78	0x4231e8	import	0x401e30	WS2_32.dll.htons
0x401edd	0x4231e8	import	0x401e30	WS2_32.dll.htons
0x401f13	0x4231e4	import	0x401e30	WS2_32.dll.send
0x401f9a	0x4231d4	import	0x401f60	WS2_32.dll.ntohs
0x4020be	0x4230d4	import	0x402090	KERNEL32.dll.GetTickCount
0x4020f5	0x4231f0	import	0x402090	WS2_32.dll.htonl
0x40211d	0x4230d4	import	0x402090	KERNEL32.dll.GetTickCount
0x40220a	0x4231e8	import	0x402090	WS2_32.dll.htons
0x402251	0x4230cc	import	0x402090	KERNEL32.dll.lstrlenA
0x402263	0x4231e8	import	0x402090	WS2_32.dll.htons
0x402271	0x4231e8	import	0x402090	WS2_32.dll.htons
0x40227f	0x4231e8	import	0x402090	WS2_32.dll.htons
0x402294	0x4230c8	import	0x402090	KERNEL32.dll.lstrcpyA
0x402432	0x4231e8	import	0x402090	WS2_32.dll.htons
0x4024ad	0x4231e8	import	0x402480	WS2_32.dll.htons
0x4024b7	0x4230d4	import	0x402480	KERNEL32.dll.GetTickCount
0x4024f9	0x4230d4	import	0x402480	KERNEL32.dll.GetTickCount
0x4031e0	0x4230c0	import	0x402550	KERNEL32.dll.LoadLibraryA
0x403208	0x4230c4	import	0x402550	KERNEL32.dll.GetProcAddress
0x403c34	0x423028	import	0x403c20	KERNEL32.dll.WideCharToMultiByte
0x403c57	0x423028	import	0x403c20	KERNEL32.dll.WideCharToMultiByte
0x404716	0x427e38	string	0x403d00	KIXJZRLA
0x404e10	0x427e38	string	0x404790	KIXJZRLA
0x404fd1	0x423208	import	0x404f90	ole32.dll.CoInitialize
0x40502a	0x42320c	import	0x404f90	ole32.dll.CoCreateInstance
0x40509f	0x427e50	string	0x404f90	%s%s
0x40510d	0x423210	import	0x404f90	ole32.dll.CoUninitialize
0x405127	0x423210	import	0x404f90	ole32.dll.CoUninitialize
0x405bc0	0x4231bc	import	0x405140	SHELL32.dll.SHGetSpecialFolderPathW
0x405c62	0x423034	import	0x405140	KERNEL32.dll.CopyFileW
0x405d2a	0x427e38	string	0x405140	KIXJZRLA
0x4061b3	0x423030	import	0x405da0	KERNEL32.dll.Sleep
0x4061c5	0x4230d4	import	0x405da0	KERNEL32.dll.GetTickCount
0x406556	0x4230d0	import	0x405da0	KERNEL32.dll.LocalFree
0x40656a	0x423030	import	0x405da0	KERNEL32.dll.Sleep
0x406628	0x4230d0	import	0x406620	KERNEL32.dll.LocalFree
0x4068df	0x423014	import	0x4067f0	KERNEL32.dll.GetDriveTypeW
0x406900	0x423070	import	0x4067f0	KERNEL32.dll.GetDiskFreeSpaceExW
0x406940	0x423080	import	0x4067f0	KERNEL32.dll.GetVolumeInformationW
0x406a7a	0x4231c4	import	0x406a50	SHLWAPI.dll.StrTrimW
0x406abc	0x423058	import	0x406a50	KERNEL32.dll.Process32FirstW
0x406b0f	0x423064	import	0x406a50	KERNEL32.dll.Process32NextW
0x406be4	0x4231c4	import	0x406b80	SHLWAPI.dll.StrTrimW
0x406caf	0x4231f4	import	0x406b80	WS2_32.dll.inet_addr
0x406cfb	0x4231fc	import	0x406b80	WS2_32.dll.ioctlsocket
0x406e39	0x4231c4	import	0x406e30	SHLWAPI.dll.StrTrimW
0x406e40	0x423038	import	0x406e30	KERNEL32.dll.GetFileAttributesW
0x406ebd	0x4231c4	import	0x406e80	SHLWAPI.dll.StrTrimW
