reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40102c	0x40c050	string	0x401020	1A2z3B4y5C6x7D8w9E0v$F_uGtHsIrJqKpLoMnNmOlPkQjRiShTgUfVeWdXcYbZa
0x401331	0x40b008	import	0x401330	KERNEL32.dll.LoadLibraryA
0x401339	0x40c3b0	string	0x401330	kernel32.dll
0x40134a	0x40b004	import	0x401330	KERNEL32.dll.GetProcAddress
0x401350	0x40c39c	string	0x401330	GetSystemDirectoryA
0x401358	0x40c384	string	0x401330	GetWindowsDirectoryA
0x401365	0x40c378	string	0x401330	urlmon.dll
0x401379	0x40c364	string	0x401330	URLDownloadToFileA
0x401381	0x40c358	string	0x401330	wininet.dll
0x401397	0x40c344	string	0x401330	DeleteUrlCacheEntry
0x40139f	0x40c334	string	0x401330	InternetOpenA
0x4013ac	0x40c320	string	0x401330	InternetOpenUrlA
0x4013b9	0x40c30c	string	0x401330	InternetCrackUrlA
0x4013c6	0x40c2f8	string	0x401330	InternetReadFile
0x4013d3	0x40c2e4	string	0x401330	InternetCloseHandle
0x4013e0	0x40c2d0	string	0x401330	iamsorry!@1234567
0x4013e5	0x40c2b8	string	0x401330	!emCFgv7Xc8ItaVGN0bMf
0x401404	0x40c2d0	string	0x401330	iamsorry!@1234567
0x401409	0x40c2a0	string	0x401330	!uRa9t1tCDeS197CPt7I
0x40141a	0x40c2d0	string	0x401330	iamsorry!@1234567
0x40141f	0x40c288	string	0x401330	!VWBeBxYx1nzrCkBLGQO
0x401435	0x40c2d0	string	0x401330	iamsorry!@1234567
0x40143a	0x40c270	string	0x401330	!_2FAcHI224$A_q8gS0dK
0x401450	0x40c2d0	string	0x401330	iamsorry!@1234567
0x401455	0x40c250	string	0x401330	!GawD1UIQi6w8kjUgleSNGrXVwcY
0x40146b	0x40c2d0	string	0x401330	iamsorry!@1234567
0x401470	0x40c234	string	0x401330	!6ro0EYkRiqFMphgymbcTsfJ60K
0x401486	0x40c2d0	string	0x401330	iamsorry!@1234567
0x40148b	0x40c21c	string	0x401330	!m2MBHjehQ7IK6uqIsejT
0x4014a1	0x40c2d0	string	0x401330	iamsorry!@1234567
0x4014a6	0x40c208	string	0x401330	!ctRHFEX5m9JnZdDfpK
0x4014bc	0x40c2d0	string	0x401330	iamsorry!@1234567
0x4014c1	0x40c1f4	string	0x401330	!TlPco4ikBlt6jNEtq1
0x4014d7	0x40c2d0	string	0x401330	iamsorry!@1234567
0x4014dc	0x40c1dc	string	0x401330	!0E1mfduUaneS8YLsMZ7
0x4014f2	0x40c2d0	string	0x401330	iamsorry!@1234567
0x4014f7	0x40c1c0	string	0x401330	!xJkUIwOnZTHBmw_0uG4_48$
0x401512	0x40c2d0	string	0x401330	iamsorry!@1234567
0x401517	0x40c19c	string	0x401330	!n0U76nGoNe2y03lVgOd4t7VDVp1GBXW
0x401528	0x40c2d0	string	0x401330	iamsorry!@1234567
0x40152d	0x40c18c	string	0x401330	!6Y8iuaWgBu7$tK
0x40154c	0x40c2d0	string	0x401330	iamsorry!@1234567
0x401551	0x40c16c	string	0x401330	!9jHTSr_pCZ7BW1jZB9iDAGjHQishBK
0x401562	0x40c2d0	string	0x401330	iamsorry!@1234567
0x401567	0x40c14c	string	0x401330	!dyp$u4MRk_Cb$uupI_1sv7Rvd23F7S
0x40157d	0x40c2d0	string	0x401330	iamsorry!@1234567
0x401582	0x40c128	string	0x401330	!YYz0X1w_GTtD7BNP69mK5XnZWzlB9bKJe1
0x401598	0x40c2d0	string	0x401330	iamsorry!@1234567
0x40159d	0x40c104	string	0x401330	!inIf3w25VNC8bRvXwRDapbCQMc62EtZPx9
0x4015b3	0x40c0f4	string	0x401330	advapi32.dll
0x4015bd	0x40b000	import	0x401330	KERNEL32.dll.GetModuleHandleA
0x4015cd	0x40c0e4	string	0x401330	RegOpenKeyExA
0x4015d5	0x40c0d4	string	0x401330	RegCreateKeyExA
0x4015e2	0x40c0c4	string	0x401330	RegSetValueExA
0x4015ef	0x40c0b0	string	0x401330	RegQueryValueExA
0x4015fc	0x40c0a0	string	0x401330	RegDeleteValueA
0x401609	0x40c094	string	0x401330	RegCloseKey
0x4016f5	0x40c468	string	0x401670	mail
0x401771	0x40c454	string	0x401670	www.hotmail.com
0x40177a	0x40c448	string	0x401670	HELO %s%s
0x4017f0	0x40c438	string	0x401670	AUTH LOGIN%s
0x401849	0x40c430	string	0x401670	%s%s
0x4018a2	0x40c430	string	0x401670	%s%s
0x401902	0x40c41c	string	0x401670	MAIL FROM: <%s>%s
0x401962	0x40c40c	string	0x401670	RCPT TO: <%s>%s
0x4019ba	0x40c404	string	0x401670	DATA%s
0x401a13	0x40c3f4	string	0x401670	FROM: <%s>%s
0x401a4f	0x40c3e0	string	0x401670	TO: Joana <%s>%s
0x401a97	0x40c3d0	string	0x401670	SUBJECT: %s%s%s
0x401ad7	0x40c3c8	string	0x401670	%s.%s
0x401b27	0x40c3c0	string	0x401670	QUIT%s
0x401c05	0x40c528	string	0x401be0	\kernlupd.exe
0x401c3e	0x401fe0	string	0x401be0	QSUV
0x401ca6	0x40b01c	import	0x401c80	KERNEL32.dll.GetModuleFileNameA
0x401ce9	0x40c56c	string	0x401c80	dumpsys.exe
0x401d1e	0x40b018	import	0x401c80	KERNEL32.dll.MultiByteToWideChar
0x401d45	0x40c564	string	0x401c80	0000
0x401d4a	0x40c55c	string	0x401c80	update
0x401d4f	0x40c554	string	0x401c80	Mail
0x401d54	0x40b014	import	0x401c80	KERNEL32.dll.GetProfileStringA
0x401d5e	0x40c54c	string	0x401c80	000F
0x401d77	0x40b010	import	0x401c80	KERNEL32.dll.GlobalAlloc
0x401d96	0x40c538	string	0x401c80	[T]\t%s\t%s\t%s
0x401dc9	0x40b00c	import	0x401c80	KERNEL32.dll.Sleep
0x401e32	0x40b044	import	0x401e10	KERNEL32.dll.GetTempPathA
0x401e38	0x40c588	string	0x401e10	DEF~098.TMP
0x401e6b	0x40b040	import	0x401e10	KERNEL32.dll.DeleteFileA
0x401e74	0x40c57c	string	0x401e10	PWD_TABLE
0x401e7c	0x40b03c	import	0x401e10	KERNEL32.dll.FindResourceA
0x401e89	0x40b038	import	0x401e10	KERNEL32.dll.SizeofResource
0x401e96	0x40b034	import	0x401e10	KERNEL32.dll.LoadResource
0x401e9e	0x401fd0	string	0x401e10	_^][
0x401ea6	0x401fd0	string	0x401e10	_^][
0x401ead	0x40b030	import	0x401e10	KERNEL32.dll.LockResource
0x401ecc	0x40b02c	import	0x401e10	KERNEL32.dll.CreateFileA
0x401ed7	0x401fd0	string	0x401e10	_^][
0x401ee4	0x40b028	import	0x401e10	KERNEL32.dll.SetFilePointer
0x401efe	0x40b024	import	0x401e10	KERNEL32.dll.WriteFile
0x401f05	0x40b020	import	0x401e10	KERNEL32.dll.CloseHandle
0x401f21	0x401fd0	string	0x401e10	_^][
0x401fca	0x40b040	import	0x401e10	KERNEL32.dll.DeleteFileA
0x401ff6	0x40b048	import	0x401fe0	KERNEL32.dll.GetFileAttributesA
0x401fff	0x40208f	string	0x401fe0	_^][YÐ blocks=Basic Latin,Latin-1 Supplement
0x402008	0x40c57c	string	0x401fe0	PWD_TABLE
0x402010	0x40b03c	import	0x401fe0	KERNEL32.dll.FindResourceA
0x40201d	0x40b038	import	0x401fe0	KERNEL32.dll.SizeofResource
0x40202a	0x40b034	import	0x401fe0	KERNEL32.dll.LoadResource
