reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x10001d14	0x10003098	import	0x10001cd0	MSVCRT.dll.sprintf
0x10001d3a	0x100042ac	string	0x10001cd0	%s\*.*
0x10001d4c	0x10004298	string	0x10001cd0	\r\nDirectory %s\r\n
0x10001d52	0x100030a8	import	0x10001cd0	MSVCRT.dll.fprintf
0x10001d58	0x10003060	import	0x10001cd0	KERNEL32.dll.FindFirstFileA
0x10001d88	0x10003070	import	0x10001cd0	KERNEL32.dll.FileTimeToSystemTime
0x10001dd3	0x1000427c	string	0x10001cd0	%04d-%02d-%02d %02d:%02d
0x10001e0c	0x10004274	string	0x10001cd0	<DIR>
0x10001e12	0x10004264	string	0x10001cd0	\t%s\t%+10s %s\r\n
0x10001e18	0x100030a8	import	0x10001cd0	MSVCRT.dll.fprintf
0x10001e24	0x100030a4	import	0x10001cd0	MSVCRT.dll.fflush
0x10001e5a	0x10004250	string	0x10001cd0	\t%s\t%-12I64d%s\r\n
0x10001e60	0x100030a8	import	0x10001cd0	MSVCRT.dll.fprintf
0x10001e6d	0x100030a4	import	0x10001cd0	MSVCRT.dll.fflush
0x10001e73	0x10003098	import	0x10001cd0	MSVCRT.dll.sprintf
0x10001e82	0x10003048	import	0x10001cd0	KERNEL32.dll.FindNextFileA
0x10001e9a	0x10003080	import	0x10001cd0	KERNEL32.dll.FindClose
0x10001f11	0x10004238	string	0x10001cd0	Name too long: %s\%s\r\n
0x10001f17	0x100030a8	import	0x10001cd0	MSVCRT.dll.fprintf
0x10001f23	0x100030a4	import	0x10001cd0	MSVCRT.dll.fflush
0x10001f45	0x10004204	string	0x10001cd0	%s\%s
0x10001f80	0x10004204	string	0x10001cd0	%s\%s
0x10001f8e	0x10003030	import	0x10001cd0	KERNEL32.dll.CreateDirectoryA
0x10001fc7	0x100030b8	import	0x10001cd0	MSVCRT.dll.strstr
0x1000200f	0x10003048	import	0x10001cd0	KERNEL32.dll.FindNextFileA
0x10002027	0x10003080	import	0x10001cd0	KERNEL32.dll.FindClose
0x1000204f	0x100042b8	string	0x10002040	res2.sdb
0x10002066	0x100030ac	import	0x10002040	MSVCRT.dll.fopen
0x10002087	0x100030bc	import	0x10002040	MSVCRT.dll.fread
0x1000211f	0x10003060	import	0x10002040	KERNEL32.dll.FindFirstFileA
0x10002156	0x10003080	import	0x10002040	KERNEL32.dll.FindClose
0x10002167	0x100030a0	import	0x10002040	MSVCRT.dll.fclose
0x10002178	0x10003050	import	0x10002040	KERNEL32.dll.DeleteFileA
0x100021e7	0x100021d8	string	0x10002190	_^]3
0x100021ed	0x100021d8	string	0x10002190	_^]3
0x10002286	0x10003030	import	0x10002190	KERNEL32.dll.CreateDirectoryA
0x10002299	0x10004204	string	0x10002190	%s\%s
0x1000229f	0x10003098	import	0x10002190	MSVCRT.dll.sprintf
0x100022b7	0x10003074	import	0x10002190	KERNEL32.dll.CopyFileA
0x100022d9	0x1000305c	import	0x10002190	KERNEL32.dll.WriteFile
0x100022e9	0x100042c4	string	0x10002190	Copy: %s\r\n
0x100022ef	0x100030a8	import	0x10002190	MSVCRT.dll.fprintf
0x100022fb	0x100030a4	import	0x10002190	MSVCRT.dll.fflush
0x1000233b	0x10004318	string	0x10002320	res1.sdb
0x10002352	0x100030ac	import	0x10002320	MSVCRT.dll.fopen
0x10002368	0x10004310	string	0x10002320	.avi
0x10002395	0x10004308	string	0x10002320	.mp3
0x100023ba	0x10004300	string	0x10002320	.mp4
0x100023da	0x100042f8	string	0x10002320	.wma
0x100023ff	0x100042f0	string	0x10002320	.wmv
0x10002422	0x100042e8	string	0x10002320	.mpg
0x10002445	0x100042e0	string	0x10002320	.asf
0x1000246a	0x100042d8	string	0x10002320	.gho
0x1000248f	0x100042d0	string	0x10002320	.ghs
0x100024c8	0x100030bc	import	0x10002320	MSVCRT.dll.fread
0x10002591	0x100030a0	import	0x10002320	MSVCRT.dll.fclose
0x100025be	0x10004204	string	0x100025b0	%s\%s
0x100025c4	0x10003098	import	0x100025b0	MSVCRT.dll.sprintf
0x100025f2	0x10003094	import	0x100025d0	MSVCRT.dll.strncpy
0x1000260f	0x10003024	import	0x100025d0	KERNEL32.dll.GetDiskFreeSpaceExA
0x10002646	0x1000307c	import	0x100025d0	KERNEL32.dll.GetWindowsDirectoryA
0x10002658	0x10004340	string	0x100025d0	%s\security
0x1000265e	0x10003098	import	0x100025d0	MSVCRT.dll.sprintf
0x1000266c	0x10003078	import	0x100025d0	KERNEL32.dll.GetFileAttributesA
0x10002672	0x10003030	import	0x100025d0	KERNEL32.dll.CreateDirectoryA
0x100026ad	0x10004334	string	0x100025d0	\security
0x10002707	0x1000432c	string	0x100025d0	\config
0x1000275b	0x10004324	string	0x100025d0	\temp
0x10002812	0x10003044	import	0x100025d0	KERNEL32.dll.CreateThread
0x10002869	0x100028bc	string	0x10002860	j Xj
0x100028fc	0x1000308c	import	0x100028f0	KERNEL32.dll.GetProcessHeap
0x10002903	0x10003088	import	0x100028f0	KERNEL32.dll.HeapAlloc
