reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40105a	0x402004	import	0x401000	KERNEL32.dll.CreateProcessA
0x401074	0x402010	import	0x401000	KERNEL32.dll.VirtualAlloc
0x401089	0x402008	import	0x401000	KERNEL32.dll.GetThreadContext
0x4010ac	0x40201c	import	0x401000	KERNEL32.dll.ReadProcessMemory
0x4010ba	0x402130	string	0x401000	NtUnmapViewOfSection
0x4010bf	0x402148	string	0x401000	ntdll.dll
0x4010c4	0x402028	import	0x401000	KERNEL32.dll.GetModuleHandleA
0x4010cb	0x40202c	import	0x401000	KERNEL32.dll.GetProcAddress
0x4010ea	0x402018	import	0x401000	KERNEL32.dll.VirtualAllocEx
0x401105	0x402020	import	0x401000	KERNEL32.dll.WriteProcessMemory
0x401146	0x402020	import	0x401000	KERNEL32.dll.WriteProcessMemory
0x401176	0x402020	import	0x401000	KERNEL32.dll.WriteProcessMemory
0x40118c	0x40200c	import	0x401000	KERNEL32.dll.SetThreadContext
0x401195	0x402000	import	0x401000	KERNEL32.dll.ResumeThread
0x4011a5	0x402014	import	0x401000	KERNEL32.dll.VirtualFree
0x4011e1	0x402024	import	0x4011c0	KERNEL32.dll.GetModuleFileNameA
0x4011fe	0x402030	import	0x4011c0	KERNEL32.dll.AllocConsole
0x401206	0x402154	string	0x4011c0	ConsoleWindowClass
0x40120b	0x402068	import	0x4011c0	USER32.dll.FindWindowA
0x401214	0x40206c	import	0x4011c0	USER32.dll.ShowWindow
0x40139f	0x4016f7	string	0x40122a	j\bhh%@
0x4013c5	0x4016f7	string	0x40122a	j\bhh%@
0x401480	0x402058	import	0x40147b	KERNEL32.dll.SetUnhandledExceptionFilter
0x401489	0x40205c	import	0x40147b	KERNEL32.dll.UnhandledExceptionFilter
0x401494	0x402054	import	0x40147b	KERNEL32.dll.GetCurrentProcess
0x40149b	0x402050	import	0x40147b	KERNEL32.dll.TerminateProcess
0x401828	0x40203c	import	0x401816	KERNEL32.dll.GetSystemTimeAsFileTime
0x401837	0x402040	import	0x401816	KERNEL32.dll.GetCurrentThreadId
0x401840	0x402044	import	0x401816	KERNEL32.dll.GetCurrentProcessId
0x40184d	0x402048	import	0x401816	KERNEL32.dll.QueryPerformanceCounter
0x4018c2	0x402038	import	0x4018bd	KERNEL32.dll.InitializeSListHead
0x401a06	0x402034	import	0x40192f	KERNEL32.dll.IsDebuggerPresent
0x401a26	0x402058	import	0x40192f	KERNEL32.dll.SetUnhandledExceptionFilter
0x401a30	0x40205c	import	0x40192f	KERNEL32.dll.UnhandledExceptionFilter
0x401a4d	0x402060	import	0x401a4b	KERNEL32.dll.GetModuleHandleW
0x401a93	0x402058	import	0x401a8e	KERNEL32.dll.SetUnhandledExceptionFilter
0x401d63	0x402078	import	0x401d63	VCRUNTIME140.dll.memset
0x401d69	0x402074	import	0x401d69	VCRUNTIME140.dll._except_handler4_common
0x401d6f	0x4020d0	import	0x401d6f	api-ms-win-crt-runtime-l1-1-0.dll._seh_filter_exe
0x401d75	0x4020cc	import	0x401d75	api-ms-win-crt-runtime-l1-1-0.dll._set_app_type
0x401d7b	0x402090	import	0x401d7b	api-ms-win-crt-math-l1-1-0.dll.__setusermatherr
0x401d81	0x4020c4	import	0x401d81	api-ms-win-crt-runtime-l1-1-0.dll._configure_narrow_argv
0x401d87	0x4020d4	import	0x401d87	api-ms-win-crt-runtime-l1-1-0.dll._initialize_narrow_environment
0x401d8d	0x4020dc	import	0x401d8d	api-ms-win-crt-runtime-l1-1-0.dll._get_initial_narrow_environment
0x401d93	0x4020d8	import	0x401d93	api-ms-win-crt-runtime-l1-1-0.dll._initterm
0x401d99	0x4020b8	import	0x401d99	api-ms-win-crt-runtime-l1-1-0.dll._initterm_e
0x401d9f	0x4020b0	import	0x401d9f	api-ms-win-crt-runtime-l1-1-0.dll.exit
0x401da5	0x4020a0	import	0x401da5	api-ms-win-crt-runtime-l1-1-0.dll._exit
0x401dab	0x4020e8	import	0x401dab	api-ms-win-crt-stdio-l1-1-0.dll._set_fmode
0x401db1	0x4020b4	import	0x401db1	api-ms-win-crt-runtime-l1-1-0.dll.__p___argc
0x401db7	0x4020e0	import	0x401db7	api-ms-win-crt-runtime-l1-1-0.dll.__p___argv
0x401dbd	0x4020c0	import	0x401dbd	api-ms-win-crt-runtime-l1-1-0.dll._cexit
0x401dc3	0x4020bc	import	0x401dc3	api-ms-win-crt-runtime-l1-1-0.dll._c_exit
0x401dc9	0x4020a4	import	0x401dc9	api-ms-win-crt-runtime-l1-1-0.dll._register_thread_local_exe_atexit_callback
0x401dcf	0x402088	import	0x401dcf	api-ms-win-crt-locale-l1-1-0.dll._configthreadlocale
0x401dd5	0x402080	import	0x401dd5	api-ms-win-crt-heap-l1-1-0.dll._set_new_mode
0x401ddb	0x4020ec	import	0x401ddb	api-ms-win-crt-stdio-l1-1-0.dll.__p__commode
0x401de1	0x402098	import	0x401de1	api-ms-win-crt-runtime-l1-1-0.dll._initialize_onexit_table
0x401de7	0x40209c	import	0x401de7	api-ms-win-crt-runtime-l1-1-0.dll._register_onexit_function
0x401ded	0x4020c8	import	0x401ded	api-ms-win-crt-runtime-l1-1-0.dll._crt_atexit
0x401df3	0x4020a8	import	0x401df3	api-ms-win-crt-runtime-l1-1-0.dll._controlfp_s
0x401df9	0x4020ac	import	0x401df9	api-ms-win-crt-runtime-l1-1-0.dll.terminate
0x401dff	0x40204c	import	0x401dff	KERNEL32.dll.IsProcessorFeaturePresent
